Date,TCS,INFY,WIPRO,TECHM,HCLTECH,MPHASIS,HDFCBANK,ICICIBANK,KOTAKBANK,AXISBANK,SBIN,INDUSINDBK,BANDHANBNK,BAJFINANCE,BAJAJFINSV,HDFCAMC,SBILIFE,ICICIPRU,RELIANCE,ONGC,BPCL,POWERGRID,NTPC,HINDUNILVR,ITC,NESTLEIND,BRITANNIA,DABUR,MARUTI,TATAMOTORS,BAJAJ-AUTO,HEROMOTOCO,EICHERMOT,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,TITAN,ASIANPAINT,PIDILITIND,HAVELLS,BHARTIARTL,LT,ADANIPORTS,SIEMENS,ABB,ULTRACEMCO,AMBUJACEM,JSWSTEEL,TATASTEEL
2016-05-30,1666.61,990.31,452.56,1011.15,1025.67,686.25,867.51,204.82,690.19,583.51,235.2,752.85,489.29,1796.93,1173.93,3251.63,778.95,359.1,1116.05,288.18,323.73,154.54,148.62,731.15,337.8,7661.37,2311.57,475.43,6983.57,230.68,2441.67,3875.77,3006.98,898.01,5133.67,682.58,2410.32,414.63,702.85,1059.46,243.9,311.97,1176.23,263.28,1877.55,1024.65,2839.5,361.41,165.35,403.98
2016-05-31,1656.49,992.78,454.23,1010.23,1029.98,688.55,882.27,208.06,690.15,592.3,234.41,744.15,473.43,1829.58,1190.13,3224.37,772.02,356.22,1126.73,285.97,322.89,154.52,149.38,723.78,338.37,7697.4,2317.39,469.92,6913.77,235.64,2463.08,3889.72,2984.14,892.18,5132.49,691.75,2397.65,420.11,694.69,1063.38,243.12,317.97,1157.03,273.27,1885.53,1028.79,2790.8,363.77,167.31,407.2
2016-06-01,1649.39,1008.98,451.22,1017.27,1029.14,700.1,870.9,215.61,700.95,597.39,239.15,753.58,467.22,1810.83,1205.25,3203.34,763.68,355.66,1139.46,283.81,320.52,150.88,148.46,724.91,341.77,7564.0,2312.49,470.99,6942.52,239.71,2457.56,3883.13,3022.81,896.19,5098.55,685.05,2360.33,417.35,697.23,1060.9,245.13,309.53,1171.85,274.3,1908.75,1045.68,2800.36,368.12,167.55,411.61
2016-06-02,1602.78,993.38,441.66,1022.58,1014.4,678.93,873.87,215.26,693.86,593.3,235.81,734.13,456.7,1833.85,1204.3,3267.74,767.81,359.96,1157.34,288.08,320.51,152.76,146.92,724.41,336.73,7569.08,2292.55,467.15,6855.78,239.55,2443.33,3887.47,2984.08,876.33,5105.49,676.97,2357.3,418.07,701.04,1041.16,241.96,305.99,1165.57,274.63,1918.29,1040.11,2831.58,365.69,172.7,408.89
2016-06-03,1610.25,1001.75,445.63,1046.5,1019.64,682.32,880.54,212.53,694.26,598.56,229.06,749.38,465.58,1841.54,1240.92,3301.83,783.39,355.59,1152.54,282.05,323.39,152.28,147.0,722.76,336.7,7500.45,2297.07,465.21,7066.89,238.35,2454.07,3825.92,3036.17,878.22,5131.07,673.47,2370.21,423.11,695.0,1046.64,240.27,302.13,1161.1,273.28,1876.52,1033.56,2889.49,369.58,172.97,401.24
2016-06-06,1609.76,1001.66,438.62,1054.74,1014.25,682.87,886.32,216.63,708.73,598.67,233.21,750.25,468.02,1780.48,1228.95,3316.07,769.67,356.96,1168.14,287.96,320.0,150.78,147.96,727.53,335.59,7559.21,2325.71,458.02,7211.5,232.09,2440.42,3927.57,2996.58,896.48,5249.64,675.01,2360.97,425.47,702.61,1027.49,239.1,302.06,1170.31,274.43,1868.35,1050.75,2850.65,369.19,172.76,397.16
2016-06-07,1625.58,1004.55,446.52,1075.13,1040.81,685.88,895.7,216.6,703.18,604.03,236.09,753.12,472.87,1847.28,1261.5,3329.91,766.19,357.44,1203.82,285.76,331.31,149.22,148.78,735.49,337.8,7619.1,2317.84,463.62,7353.15,230.75,2461.04,3943.98,3032.2,907.76,5344.92,676.46,2420.14,430.1,703.12,1033.84,242.73,307.23,1159.0,282.08,1877.21,1055.76,2812.75,366.24,177.45,398.11
2016-06-08,1605.15,1019.76,447.28,1067.58,1039.63,709.22,889.91,215.11,706.81,600.23,240.35,752.45,481.82,1849.01,1261.73,3357.42,767.35,355.25,1218.25,283.46,330.28,150.6,149.41,749.35,339.58,7714.39,2342.64,467.99,7594.46,233.28,2454.89,3895.82,3105.93,909.6,5352.05,687.59,2458.17,430.43,709.31,1033.0,247.51,310.16,1177.4,282.92,1870.66,1083.4,2833.71,366.92,179.18,388.99
2016-06-09,1625.61,1022.73,450.87,1075.14,1038.5,728.34,895.8,221.4,732.04,606.7,245.46,748.28,474.27,1855.2,1274.69,3476.67,783.51,358.76,1262.94,283.67,340.92,155.39,150.6,756.23,345.9,7880.55,2393.98,477.34,7617.03,231.7,2484.81,3931.65,3116.24,928.95,5514.29,695.39,2547.81,435.76,725.15,1051.09,254.75,306.81,1197.63,285.08,1888.88,1099.94,2891.88,369.79,181.86,396.64
2016-06-10,1647.45,1006.07,444.25,1064.21,1039.78,737.27,896.57,219.94,726.88,602.06,242.72,748.3,472.28,1856.37,1251.34,3491.31,785.48,363.21,1264.12,284.73,336.56,153.42,147.26,740.72,340.75,7944.54,2389.95,466.69,7656.83,227.34,2503.02,3886.78,3143.77,923.95,5554.45,682.84,2543.34,435.2,718.11,1052.15,253.05,305.88,1193.14,276.87,1894.84,1091.76,2811.03,370.93,175.49,385.29
