Date,Open,High,Low,Close,Volume
2015-01-01,799.49,810.32,794.85,800.0,340397
2015-01-02,812.3,820.6,805.32,807.01,519548
2015-01-05,813.88,821.99,798.14,814.15,373895
2015-01-06,823.78,846.95,815.69,820.86,415286
2015-01-07,826.4,832.99,822.58,824.59,433347
2015-01-08,813.86,832.53,799.4,815.21,466898
2015-01-09,796.48,809.49,787.64,792.82,626908
2015-01-12,798.08,798.24,793.9,797.61,793933
2015-01-13,811.25,821.14,803.19,811.05,362668
2015-01-14,811.08,824.56,793.21,804.78,372480
2015-01-15,811.31,814.41,804.29,807.14,262417
2015-01-16,821.28,839.18,812.79,820.13,398211
2015-01-19,827.68,830.15,822.96,827.0,390839
2015-01-20,833.25,833.78,827.86,833.14,198349
2015-01-21,816.54,822.66,809.94,815.93,426803
2015-01-22,810.58,812.16,801.74,807.56,421906
2015-01-23,802.04,805.88,793.93,805.4,897934
2015-01-26,795.87,806.87,789.11,798.45,923484
2015-01-27,804.78,808.59,799.44,799.92,665377
2015-01-28,804.96,816.74,803.55,807.12,902546
2015-01-29,804.3,814.63,800.83,806.97,407083
2015-01-30,797.2,799.31,796.04,796.08,337234
2015-02-02,788.61,796.93,779.88,787.04,623397
2015-02-03,780.95,788.09,778.51,784.38,630944
2015-02-04,782.4,785.52,772.53,784.68,376592
2015-02-05,786.08,801.72,781.29,788.14,378905
2015-02-06,783.74,788.86,773.34,788.05,555667
2015-02-09,790.44,797.87,788.03,792.14,582820
2015-02-10,803.62,810.48,799.37,807.88,518373
2015-02-11,798.61,805.6,790.75,796.54,947938
2015-02-12,793.91,799.81,790.16,798.43,602195
2015-02-13,787.18,789.97,787.05,788.28,326908
2015-02-16,809.36,816.52,794.74,806.63,750273
2015-02-17,805.33,814.76,796.45,804.89,1467904
2015-02-18,804.52,812.14,800.42,807.85,494198
2015-02-19,800.79,801.56,794.41,798.82,662777
2015-02-20,793.02,805.6,776.48,796.67,406843
2015-02-23,770.32,781.63,763.26,773.93,471570
2015-02-24,761.88,763.55,757.96,761.4,957282
2015-02-25,750.01,760.87,743.47,749.67,430289
2015-02-26,745.06,747.48,737.85,745.54,441941
2015-02-27,748.24,752.25,745.9,746.86,854658
2015-03-02,746.29,755.08,746.09,749.55,428818
2015-03-03,761.51,766.95,754.72,757.84,1073628
2015-03-04,754.3,762.34,748.07,755.34,654896
2015-03-05,745.38,753.1,733.13,749.81,967815
2015-03-06,745.05,745.66,742.55,744.31,511703
2015-03-09,734.27,744.64,727.71,743.14,740622
2015-03-10,754.31,760.06,739.98,753.15,473368
2015-03-11,758.83,768.23,745.5,758.91,450627
2015-03-12,755.59,759.11,753.56,754.24,558878
2015-03-13,751.53,761.75,742.09,754.32,509922
2015-03-16,757.19,760.59,748.81,757.02,316898
2015-03-17,763.2,769.85,758.81,766.0,462260
2015-03-18,748.15,765.03,746.05,746.16,294946
2015-03-19,754.14,763.13,751.31,756.36,795254
2015-03-20,753.32,756.45,732.22,755.96,451630
2015-03-23,749.08,750.52,747.96,748.17,602628
2015-03-24,727.36,739.58,720.28,725.05,631276
2015-03-25,732.68,739.31,732.19,734.77,515031
2015-03-26,738.64,746.51,723.92,733.11,818601
2015-03-27,736.48,742.68,736.23,737.17,346309
2015-03-30,735.15,742.43,723.51,735.63,354895
2015-03-31,730.78,734.71,720.49,731.6,501011
2015-04-01,729.08,735.77,727.13,732.13,365453
2015-04-02,744.04,747.05,728.94,740.38,386360
2015-04-03,740.3,748.82,737.42,742.8,358343
2015-04-06,743.23,747.86,733.52,745.48,482815
2015-04-07,731.57,745.68,726.94,732.42,425038
2015-04-08,743.18,745.37,712.04,738.53,454048
2015-04-09,729.77,732.06,716.48,727.94,597710
2015-04-10,725.55,737.96,720.42,720.64,893332
2015-04-13,721.45,724.84,718.73,722.88,220318
2015-04-14,720.56,722.72,717.51,720.36,273695
2015-04-15,737.18,740.5,726.9,735.45,568101
2015-04-16,724.97,731.6,710.75,728.61,357020
2015-04-17,735.2,736.45,733.88,733.97,415893
2015-04-20,747.24,752.2,742.8,746.07,221652
2015-04-21,732.93,737.01,726.37,731.85,252117
2015-04-22,732.9,736.97,716.02,730.93,491778
2015-04-23,712.28,715.81,712.16,713.99,387419
2015-04-24,720.65,734.75,707.69,717.2,1010337
2015-04-27,709.75,730.46,702.73,715.7,645593
2015-04-28,730.17,731.43,727.85,730.19,375727
2015-04-29,726.58,733.36,725.29,728.12,272521
2015-04-30,718.06,727.66,706.07,714.51,244080
2015-05-01,718.54,719.57,711.68,717.89,446017
2015-05-04,724.38,739.69,719.53,721.01,604397
2015-05-05,728.62,739.07,726.27,727.05,336538
2015-05-06,726.01,731.28,725.99,729.3,570306
2015-05-07,730.69,750.19,730.64,736.55,292067
2015-05-08,724.78,738.97,719.58,730.28,734186
2015-05-11,748.57,748.88,744.49,748.71,381164
2015-05-12,739.79,749.57,734.9,737.04,420725
2015-05-13,730.04,746.56,719.9,734.7,1103959
2015-05-14,741.1,746.28,736.57,738.81,456773
2015-05-15,739.58,746.24,734.57,736.18,783276
2015-05-18,726.01,735.63,723.59,732.75,674306
2015-05-19,728.35,729.5,722.07,729.11,423896
2015-05-20,745.42,749.22,737.09,744.8,305537
2015-05-21,733.34,745.8,720.48,734.15,413418
2015-05-22,713.88,715.41,705.76,713.95,228301
2015-05-25,720.12,735.57,713.98,719.2,486216
2015-05-26,717.8,723.68,716.15,717.37,516219
2015-05-27,724.4,732.12,721.01,725.37,906733
2015-05-28,717.58,729.27,714.36,722.35,418335
2015-05-29,722.96,739.87,717.21,722.09,477776
2015-06-01,734.03,744.14,731.52,736.93,763706
2015-06-02,738.01,754.97,728.97,737.51,309093
2015-06-03,729.78,731.6,721.38,727.84,377587
2015-06-04,720.3,738.24,718.74,724.09,410501
2015-06-05,707.58,711.72,703.55,704.6,524888
2015-06-08,696.93,704.61,696.1,697.98,326818
2015-06-09,685.05,686.82,675.77,681.7,647932
2015-06-10,680.68,693.2,662.17,685.1,542995
2015-06-11,665.88,669.66,660.95,666.41,489914
2015-06-12,662.9,666.02,655.38,660.9,305345
2015-06-15,651.94,663.28,646.6,651.14,365513
2015-06-16,638.26,642.79,636.49,640.46,319334
2015-06-17,642.52,651.08,637.46,639.32,731849
2015-06-18,638.84,639.25,632.73,637.25,339043
2015-06-19,636.64,638.74,636.31,636.86,582625
2015-06-22,633.63,637.55,629.04,634.99,218590
2015-06-23,648.08,650.31,642.82,645.5,684458
2015-06-24,640.41,642.87,628.76,635.31,462455
2015-06-25,636.76,643.82,629.24,642.11,615331
2015-06-26,656.67,663.28,642.75,654.69,784976
2015-06-29,639.62,644.3,629.56,641.99,525989
2015-06-30,638.8,645.81,633.75,640.97,331175
2015-07-01,630.54,635.55,623.49,627.59,313516
2015-07-02,632.41,634.94,621.37,627.11,518183
2015-07-03,636.78,645.92,634.38,636.06,176060
2015-07-06,637.76,642.78,629.3,637.54,170178
2015-07-07,642.0,652.97,639.9,641.95,475977
2015-07-08,650.3,653.01,646.27,648.28,1053986
2015-07-09,641.22,648.89,634.08,639.29,209392
2015-07-10,642.85,649.68,642.54,643.65,303876
2015-07-13,633.48,633.77,627.99,631.67,304820
2015-07-14,629.25,634.83,622.23,626.28,434642
2015-07-15,625.19,633.51,618.14,626.23,559365
2015-07-16,618.94,628.63,616.06,619.35,882661
2015-07-17,622.27,626.5,616.56,624.61,652332
2015-07-20,644.82,653.42,638.67,641.23,527885
2015-07-21,625.09,635.88,611.31,625.54,516702
2015-07-22,627.86,627.99,620.85,627.69,243276
2015-07-23,633.2,638.53,628.49,632.01,222595
2015-07-24,641.73,647.29,634.01,639.83,610265
2015-07-27,634.4,646.31,630.16,630.5,472908
