Date,Open,High,Low,Close,Volume
2015-01-01,199.03,201.36,196.97,200.0,219818
2015-01-02,203.97,206.57,198.71,204.06,802176
2015-01-05,201.68,203.56,200.69,202.99,357798
2015-01-06,205.85,206.92,200.07,206.81,629313
2015-01-07,215.18,216.12,213.25,214.28,471694
2015-01-08,215.87,217.35,212.74,213.66,297879
2015-01-09,216.71,218.23,210.5,215.5,243047
2015-01-12,220.72,222.17,220.28,221.52,598119
2015-01-13,226.1,226.11,223.48,224.62,733378
2015-01-14,219.24,224.86,214.09,220.79,1143328
2015-01-15,223.88,226.73,219.73,223.87,966693
2015-01-16,227.04,227.29,221.79,225.66,485577
2015-01-19,221.28,221.87,218.81,220.89,946358
2015-01-20,222.89,225.51,221.06,222.54,418850
2015-01-21,220.96,222.4,217.25,219.39,524532
2015-01-22,214.4,218.79,211.52,215.47,796482
2015-01-23,219.64,228.39,216.71,218.22,644044
2015-01-26,220.04,221.09,217.14,218.59,483900
2015-01-27,219.0,220.37,218.01,219.09,455986
2015-01-28,212.12,216.27,208.46,212.17,836326
2015-01-29,218.25,225.16,216.58,218.0,709824
2015-01-30,221.14,223.62,219.0,220.79,167005
2015-02-02,219.73,222.76,218.41,220.14,289676
2015-02-03,223.54,224.76,221.08,223.12,314366
2015-02-04,231.53,234.49,229.41,230.74,835976
2015-02-05,228.27,233.02,222.35,230.08,586854
2015-02-06,227.7,228.68,225.87,228.12,2116219
2015-02-09,229.24,231.7,228.43,229.45,327079
2015-02-10,237.5,244.44,235.82,236.48,770129
2015-02-11,236.65,239.94,233.42,235.03,751740
2015-02-12,234.42,240.88,231.17,235.27,1017067
2015-02-13,229.79,231.73,229.61,229.96,816809
2015-02-16,233.92,235.13,233.01,234.12,388143
2015-02-17,237.02,237.21,232.17,236.3,612907
2015-02-18,227.17,229.45,226.49,228.06,783410
2015-02-19,224.64,231.47,220.79,223.59,547089
2015-02-20,220.52,223.3,216.1,217.82,584274
2015-02-23,215.13,217.51,213.62,216.29,629805
2015-02-24,219.21,227.16,217.02,220.06,483234
2015-02-25,213.61,220.31,208.95,214.36,290849
2015-02-26,208.31,209.65,203.23,209.39,390827
2015-02-27,216.54,217.72,212.38,216.27,596169
2015-03-02,215.45,215.83,208.88,215.01,482938
2015-03-03,211.53,216.16,207.8,213.63,392418
2015-03-04,214.93,218.35,213.15,213.37,811501
2015-03-05,214.73,220.1,214.16,214.3,777999
