Date,Open,High,Low,Close,Volume
2015-01-01,201.18,205.19,199.66,200.0,426301
2015-01-02,200.63,203.15,200.2,200.72,247036
2015-01-05,204.46,205.73,201.91,203.3,575940
2015-01-06,206.9,207.21,205.87,206.69,624847
2015-01-07,211.23,211.45,208.22,210.02,700543
2015-01-08,208.66,209.45,207.51,208.94,818674
2015-01-09,207.17,207.92,204.29,207.01,462743
2015-01-12,210.11,211.02,207.76,209.67,712521
2015-01-13,207.66,210.28,202.71,209.35,647941
2015-01-14,210.47,212.63,208.77,210.54,297817
2015-01-15,212.33,215.96,210.4,211.9,619217
2015-01-16,214.43,214.64,212.64,214.05,622443
2015-01-19,215.41,216.63,213.24,214.82,544502
2015-01-20,215.75,217.31,213.21,215.35,1394273
2015-01-21,212.56,217.42,208.32,211.79,1253217
2015-01-22,207.24,210.21,206.59,207.15,515824
2015-01-23,210.3,213.31,208.33,209.0,516540
2015-01-26,210.36,212.78,209.45,210.73,279155
2015-01-27,214.69,215.51,214.5,214.91,684666
2015-01-28,213.72,215.68,212.79,214.11,1421988
2015-01-29,217.06,217.92,211.85,215.82,880218
2015-01-30,218.13,220.91,217.01,217.22,430958
2015-02-02,220.6,225.63,215.24,222.26,704511
2015-02-03,226.02,230.05,224.43,225.86,699388
2015-02-04,224.37,230.15,224.17,224.74,1214641
2015-02-05,218.85,219.52,217.61,219.17,1062346
2015-02-06,220.41,221.15,218.65,220.51,612605
2015-02-09,217.29,221.58,216.14,219.0,718555
2015-02-10,222.96,225.26,222.17,222.21,374676
2015-02-11,230.46,230.48,227.12,230.16,492207
2015-02-12,230.31,234.24,228.04,230.85,520057
2015-02-13,235.81,241.63,228.1,236.25,446136
2015-02-16,240.02,243.13,237.72,240.34,295680
2015-02-17,243.33,244.33,239.35,242.5,295110
2015-02-18,239.62,241.05,237.09,239.61,1335581
2015-02-19,239.69,243.83,239.34,241.54,325130
2015-02-20,239.98,240.63,236.24,239.86,576946
2015-02-23,239.08,246.1,237.03,237.81,851717
2015-02-24,240.38,244.24,238.46,239.31,1041237
2015-02-25,242.32,246.19,236.64,241.56,611926
2015-02-26,241.68,245.33,237.97,240.76,651646
2015-02-27,247.07,249.09,245.33,246.87,910777
2015-03-02,245.91,246.75,244.4,245.7,422737
2015-03-03,244.04,245.39,243.66,244.42,480474
2015-03-04,244.55,246.59,243.43,243.89,823112
2015-03-05,241.32,243.99,240.62,241.82,738023
2015-03-06,237.48,241.26,237.25,237.4,567746
2015-03-09,235.36,238.33,234.61,235.93,575425
2015-03-10,239.78,241.61,238.44,240.11,409339
2015-03-11,235.73,237.52,234.67,235.54,600486
2015-03-12,231.08,232.95,226.78,230.37,798882
2015-03-13,231.1,234.85,230.23,230.37,263749
2015-03-16,230.54,233.41,230.06,230.54,1458981
2015-03-17,230.84,233.38,230.57,231.32,457899
2015-03-18,229.18,230.19,228.86,229.49,787589
2015-03-19,230.85,233.29,228.64,229.55,488837
2015-03-20,230.93,231.81,230.04,231.5,351043
2015-03-23,230.21,231.83,225.61,230.57,769808
2015-03-24,232.93,236.9,228.26,230.75,422858
2015-03-25,231.39,231.53,227.57,230.55,771456
2015-03-26,230.79,232.41,228.8,229.58,628184
2015-03-27,227.14,229.85,226.41,227.07,378965
2015-03-30,225.31,229.57,221.78,224.64,677406
2015-03-31,222.11,226.08,220.18,222.24,414492
2015-04-01,219.38,219.89,214.65,219.22,311662
2015-04-02,223.06,223.16,220.87,222.33,710630
2015-04-03,220.12,220.61,217.68,218.85,597078
2015-04-06,214.93,218.22,213.91,215.07,580780
2015-04-07,219.78,222.02,219.18,219.38,321594
2015-04-08,217.48,219.51,214.97,217.03,893976
2015-04-09,218.23,218.83,216.07,218.01,588669
2015-04-10,221.05,222.94,215.63,219.92,960122
2015-04-13,223.69,227.26,222.83,223.79,300055
2015-04-14,222.89,225.93,221.54,222.72,787166
2015-04-15,220.92,223.31,220.68,221.71,850123
2015-04-16,219.13,220.32,218.58,218.98,950689
2015-04-17,223.42,225.67,221.0,222.92,607755
2015-04-20,221.34,221.97,219.57,220.75,562322
2015-04-21,225.95,231.22,224.46,226.62,774290
2015-04-22,228.08,231.37,225.9,228.84,548736
2015-04-23,226.65,226.71,224.24,225.03,390004
2015-04-24,228.93,230.57,227.56,228.45,572187
2015-04-27,230.18,234.83,226.29,231.13,358697
2015-04-28,231.44,234.49,230.25,231.05,1178301
2015-04-29,233.75,234.91,232.23,232.81,499664
2015-04-30,234.8,235.61,231.15,234.32,616311
2015-05-01,231.81,235.26,228.46,231.1,919435
2015-05-04,236.33,242.92,233.87,236.73,337154
2015-05-05,239.45,244.63,232.96,240.38,287337
2015-05-06,238.61,243.25,233.95,237.98,416575
2015-05-07,238.19,240.55,237.55,238.49,586267
2015-05-08,242.59,245.81,240.67,242.65,452132
2015-05-11,246.92,249.43,243.18,246.14,556159
2015-05-12,246.54,246.87,242.03,245.17,666611
2015-05-13,243.02,246.26,242.86,243.46,949614
2015-05-14,251.72,253.41,246.88,252.16,760887
2015-05-15,244.96,245.84,244.2,244.63,1136845
2015-05-18,241.16,244.17,240.21,241.62,638772
2015-05-19,244.41,244.46,243.12,243.36,474749
2015-05-20,243.34,246.51,243.25,245.42,765929
2015-05-21,245.0,249.69,244.32,245.23,563777
2015-05-22,241.34,243.57,238.13,242.18,1504629
2015-05-25,241.54,242.23,238.6,241.21,449642
2015-05-26,239.45,243.24,237.2,237.93,553990
2015-05-27,235.05,235.38,234.35,234.88,752511
2015-05-28,235.24,240.9,233.27,235.45,359691
2015-05-29,234.78,236.4,234.66,236.34,751969
2015-06-01,241.31,241.98,236.41,239.81,619617
2015-06-02,240.66,245.67,236.96,241.29,371303
2015-06-03,241.29,241.9,238.02,241.52,952243
2015-06-04,242.29,243.79,241.28,242.46,676174
2015-06-05,241.43,243.74,239.54,241.8,925462
2015-06-08,241.6,243.07,239.21,240.72,530540
2015-06-09,241.15,246.53,240.26,242.62,413952
2015-06-10,246.32,247.66,244.35,245.58,479373
2015-06-11,244.67,247.02,242.8,245.78,1021634
2015-06-12,248.55,252.1,246.72,249.58,295277
2015-06-15,255.81,258.7,255.21,256.07,447528
2015-06-16,255.71,257.09,254.63,255.0,898078
2015-06-17,252.2,253.79,251.98,252.54,734842
2015-06-18,253.24,257.5,246.12,251.51,387179
2015-06-19,250.21,255.54,245.78,251.83,1213513
2015-06-22,244.75,244.79,243.58,244.39,1424776
2015-06-23,245.75,247.61,243.5,243.88,976142
2015-06-24,234.57,237.11,230.79,234.39,776998
2015-06-25,236.59,240.77,236.26,237.52,457085
2015-06-26,246.36,248.65,244.81,245.57,958999
2015-06-29,244.51,246.97,241.69,244.66,827339
2015-06-30,246.23,252.14,245.0,247.7,582163
2015-07-01,244.8,248.64,243.71,243.94,884660
2015-07-02,239.64,242.12,238.25,241.0,1080372
2015-07-03,240.07,241.59,235.25,240.29,466742
2015-07-06,243.9,249.2,241.86,244.21,763986
2015-07-07,246.82,250.26,242.73,244.49,692022
2015-07-08,241.53,242.47,239.82,241.1,732516
2015-07-09,239.84,240.91,238.89,240.65,368727
2015-07-10,239.75,240.88,239.71,240.59,637589
2015-07-13,240.5,240.85,238.93,240.39,859235
2015-07-14,242.79,248.97,240.18,243.06,639892
2015-07-15,248.47,251.43,243.53,249.72,1485424
2015-07-16,246.23,247.17,235.95,244.07,937839
2015-07-17,242.47,243.86,242.14,242.8,460468
2015-07-20,243.14,244.26,239.8,243.87,1417669
2015-07-21,240.35,243.49,238.86,240.95,374876
2015-07-22,243.57,244.75,241.99,242.96,458680
2015-07-23,239.45,240.43,238.17,239.14,307604
2015-07-24,243.82,245.93,241.75,243.87,714339
2015-07-27,246.19,247.36,246.05,246.29,664722
2015-07-28,245.08,248.06,244.65,245.98,1078452
2015-07-29,253.51,258.71,250.81,252.64,473744
2015-07-30,256.08,259.19,253.58,255.47,1485688
2015-07-31,258.99,260.58,256.73,257.29,719985
2015-08-03,260.41,264.21,257.45,259.15,936397
2015-08-04,252.58,258.27,252.42,253.07,1064058
2015-08-05,252.78,256.17,250.57,252.75,934144
2015-08-06,255.68,257.78,253.76,255.34,843470
2015-08-07,257.0,258.34,254.68,255.67,549692
2015-08-10,255.08,255.15,253.62,254.91,1259308
2015-08-11,257.29,259.89,257.1,257.63,1365220
2015-08-12,252.89,256.06,249.66,253.28,1349657
2015-08-13,246.76,248.63,246.25,247.87,592648
2015-08-14,244.87,245.33,242.53,244.13,1008028
2015-08-17,243.16,246.55,242.37,243.23,539248
2015-08-18,242.08,242.63,239.61,241.88,479300
2015-08-19,236.89,239.37,230.97,238.88,845317
2015-08-20,238.88,243.15,237.68,240.27,1088583
2015-08-21,243.5,246.57,240.41,243.24,483715
2015-08-24,249.3,250.55,244.31,248.31,394382
2015-08-25,248.56,248.72,245.39,247.35,555737
2015-08-26,249.75,256.33,247.03,248.49,1252072
2015-08-27,247.61,249.09,245.1,248.32,390616
2015-08-28,253.69,254.84,247.19,252.17,753579
2015-08-31,246.6,246.72,245.36,245.66,679675
2015-09-01,246.7,247.08,245.75,245.96,577572
2015-09-02,246.09,250.01,244.34,246.84,510525
