Date,Open,High,Low,Close,Volume
2015-01-01,617.13,627.47,616.24,620.0,456924
2015-01-02,632.7,635.09,627.65,634.06,598281
2015-01-05,631.93,633.29,628.69,632.73,197518
2015-01-06,631.85,634.51,611.8,632.72,446694
2015-01-07,643.83,652.83,640.02,646.22,517697
2015-01-08,642.97,650.26,635.58,643.99,279495
2015-01-09,643.13,643.73,635.85,640.34,474570
2015-01-12,645.21,648.11,633.98,646.6,945522
2015-01-13,654.6,657.66,648.0,652.91,539089
2015-01-14,667.46,671.87,662.1,667.24,299704
2015-01-15,662.49,665.56,659.18,662.0,467764
2015-01-16,655.92,659.43,653.12,658.16,544308
2015-01-19,661.6,676.0,661.08,665.63,522744
2015-01-20,674.75,685.41,667.13,672.05,860568
2015-01-21,657.54,662.53,652.64,661.68,503640
2015-01-22,650.46,654.9,648.47,651.12,1381918
2015-01-23,637.23,639.63,633.31,635.57,485827
2015-01-26,635.86,638.75,631.53,637.94,662471
2015-01-27,643.25,650.44,637.23,642.68,648849
2015-01-28,638.88,641.15,636.25,639.31,675114
2015-01-29,648.55,653.94,644.95,647.73,432110
2015-01-30,667.51,672.28,659.39,667.02,293710
2015-02-02,667.01,668.8,666.86,667.62,283396
2015-02-03,667.17,677.13,666.1,667.02,285823
2015-02-04,675.55,680.72,671.81,672.79,323996
2015-02-05,664.88,668.55,658.85,666.43,409782
2015-02-06,673.19,678.29,667.4,675.72,608832
2015-02-09,672.91,678.5,668.67,672.51,870611
2015-02-10,670.1,681.78,663.56,670.86,484917
2015-02-11,677.9,686.28,672.55,676.88,939446
2015-02-12,680.59,687.02,673.87,680.49,611670
2015-02-13,686.78,689.72,670.69,683.07,574476
2015-02-16,691.32,694.3,688.31,690.38,906141
2015-02-17,688.22,698.38,685.13,690.7,312961
2015-02-18,697.45,700.58,687.47,692.76,634827
2015-02-19,682.18,684.71,681.91,683.17,810949
2015-02-20,678.56,684.53,676.63,680.8,693150
2015-02-23,679.59,687.28,676.31,681.29,767881
2015-02-24,666.86,668.69,664.1,665.22,731494
2015-02-25,645.24,654.48,644.46,648.31,624495
