Date,Open,High,Low,Close,Volume
2015-01-01,378.03,389.76,377.05,380.0,372434
2015-01-02,376.88,384.05,375.02,379.53,484219
2015-01-05,383.5,386.81,381.99,383.8,384712
2015-01-06,393.32,401.48,389.58,390.81,390742
2015-01-07,392.38,400.39,386.13,392.22,298402
2015-01-08,400.86,405.77,390.58,395.35,342455
2015-01-09,399.57,402.25,389.95,395.95,729635
2015-01-12,391.52,393.91,385.31,393.42,419423
2015-01-13,391.39,396.66,391.32,393.68,677409
2015-01-14,389.23,393.93,387.21,387.52,990159
2015-01-15,390.18,394.54,383.64,391.91,886677
2015-01-16,383.98,396.67,376.82,385.49,422277
2015-01-19,385.97,388.99,383.9,384.82,245415
2015-01-20,392.49,392.93,382.22,389.27,483648
2015-01-21,381.14,384.06,374.84,379.52,356373
2015-01-22,382.74,388.61,377.11,382.53,412433
2015-01-23,393.35,403.33,390.58,391.1,1218552
2015-01-26,385.59,385.89,380.46,382.36,252582
2015-01-27,381.88,392.22,381.87,382.19,521686
2015-01-28,376.01,389.27,373.4,377.72,462037
2015-01-29,373.39,376.24,369.64,374.67,606551
2015-01-30,374.41,378.08,370.85,374.59,225412
2015-02-02,378.29,382.15,373.43,379.06,413452
2015-02-03,376.7,383.17,371.39,376.07,418695
2015-02-04,377.24,381.77,374.44,379.22,735049
2015-02-05,375.59,380.2,374.43,375.05,551664
2015-02-06,381.7,386.88,375.37,382.54,451300
2015-02-09,384.92,386.48,381.43,384.85,285430
2015-02-10,384.86,388.57,375.26,382.18,1280287
2015-02-11,387.73,391.33,380.79,383.8,427154
2015-02-12,377.15,383.95,376.24,377.05,357276
2015-02-13,382.48,388.96,377.71,379.74,432500
2015-02-16,381.04,391.18,375.29,380.57,506214
2015-02-17,377.94,388.99,377.46,380.66,527396
2015-02-18,376.7,380.63,375.59,376.32,352053
2015-02-19,381.71,387.39,378.81,384.12,327977
2015-02-20,388.9,396.38,379.88,386.42,322476
2015-02-23,381.36,386.35,379.35,381.96,287911
2015-02-24,365.28,372.3,362.44,369.18,499556
2015-02-25,359.47,362.83,358.93,362.06,424644
2015-02-26,363.05,364.21,360.53,364.15,416710
2015-02-27,356.74,365.62,353.88,360.39,639409
2015-03-02,354.59,357.66,349.02,354.05,437369
2015-03-03,350.95,355.76,343.23,348.98,165194
2015-03-04,342.35,345.89,340.85,343.15,371457
2015-03-05,344.14,354.65,341.85,343.94,523221
2015-03-06,347.22,351.44,340.85,343.99,465152
2015-03-09,347.48,348.61,347.38,348.58,438753
2015-03-10,345.97,347.99,339.8,347.03,419093
2015-03-11,343.66,347.27,341.24,344.53,670865
2015-03-12,347.26,348.33,344.5,346.0,481788
2015-03-13,345.62,351.91,341.18,347.14,405075
2015-03-16,349.1,351.87,346.36,349.22,605881
2015-03-17,348.36,353.95,341.57,345.63,262987
2015-03-18,344.12,348.64,343.48,346.21,412338
2015-03-19,338.53,339.65,335.98,337.4,478867
2015-03-20,349.07,349.35,341.72,347.17,502782
2015-03-23,350.81,353.87,345.26,349.35,441886
2015-03-24,340.72,343.03,333.96,339.03,389321
2015-03-25,338.12,343.23,335.84,339.31,353371
2015-03-26,347.05,351.06,340.76,345.45,194184
2015-03-27,344.32,346.14,344.01,345.78,330180
2015-03-30,347.14,351.62,346.68,347.25,343082
2015-03-31,345.89,353.65,343.29,348.16,746759
2015-04-01,345.15,346.92,343.56,344.96,630066
2015-04-02,345.41,346.14,337.91,345.33,472578
2015-04-03,352.34,352.5,349.73,349.77,270350
2015-04-06,344.46,353.9,344.1,346.28,458663
2015-04-07,349.67,353.86,347.69,350.16,380463
2015-04-08,349.79,354.01,348.89,351.31,340762
2015-04-09,352.4,355.4,346.31,353.36,186739
2015-04-10,355.92,362.72,352.21,358.67,477712
2015-04-13,367.06,371.08,362.82,369.26,380553
2015-04-14,370.65,379.06,364.18,369.41,590980
2015-04-15,367.17,370.55,364.26,369.78,804452
2015-04-16,357.76,363.69,356.36,361.47,1151372
2015-04-17,369.44,372.59,362.73,368.01,425136
2015-04-20,365.29,371.92,358.78,366.84,403954
2015-04-21,373.48,373.84,370.18,371.17,761313
2015-04-22,371.71,372.99,364.27,371.93,312062
2015-04-23,374.8,377.96,370.89,374.76,762202
2015-04-24,373.08,385.97,372.59,375.88,467973
2015-04-27,372.56,376.4,369.74,373.68,385529
2015-04-28,384.29,387.82,376.23,385.09,570273
2015-04-29,382.42,383.63,380.29,380.69,421819
2015-04-30,375.55,379.61,365.44,375.06,790311
2015-05-01,377.07,379.33,376.66,376.74,809721
2015-05-04,373.67,376.35,369.99,374.81,388190
2015-05-05,376.76,379.38,364.88,376.87,452938
2015-05-06,378.51,381.76,372.63,376.29,404125
2015-05-07,380.17,380.75,379.08,379.25,518384
2015-05-08,391.39,395.87,382.34,391.49,844428
2015-05-11,395.72,402.18,390.54,396.86,393138
2015-05-12,396.29,399.92,386.45,394.56,405311
2015-05-13,412.23,421.53,410.97,411.87,670800
2015-05-14,418.42,421.56,406.43,417.53,566122
2015-05-15,411.77,412.56,403.93,411.22,655669
2015-05-18,424.72,434.71,410.73,422.95,904690
2015-05-19,409.05,415.85,403.83,412.29,674386
2015-05-20,412.62,413.43,408.9,412.51,265301
2015-05-21,407.44,414.75,406.02,409.21,646212
2015-05-22,405.37,407.07,402.17,406.55,434463
2015-05-25,405.58,417.56,404.62,407.37,655196
2015-05-26,404.54,410.31,395.96,403.75,782518
2015-05-27,410.81,411.97,402.68,407.84,641083
2015-05-28,418.47,424.37,412.59,415.69,181783
2015-05-29,410.83,417.48,408.13,409.27,489871
2015-06-01,410.67,412.27,403.85,407.36,517475
2015-06-02,417.84,422.08,415.28,417.84,401798
2015-06-03,415.06,421.21,411.77,417.03,761732
2015-06-04,405.17,412.83,399.31,405.53,636980
2015-06-05,402.72,411.28,393.76,401.81,630645
2015-06-08,407.71,415.58,402.46,405.43,661376
2015-06-09,411.96,426.12,399.22,409.29,379259
2015-06-10,413.96,418.75,410.95,417.58,556576
2015-06-11,412.98,421.9,411.44,417.24,1254859
2015-06-12,408.36,410.44,402.54,408.89,376973
2015-06-15,411.29,411.79,406.13,409.33,419075
2015-06-16,409.86,415.19,405.14,410.77,468897
2015-06-17,418.98,421.78,412.81,420.0,471159
2015-06-18,424.25,428.23,420.99,425.47,581083
2015-06-19,435.67,436.79,432.17,436.6,297835
2015-06-22,429.26,436.05,426.52,428.41,649274
2015-06-23,428.62,433.55,426.49,432.84,971151
2015-06-24,428.62,430.59,423.86,426.54,643993
2015-06-25,442.42,444.29,438.75,440.8,995263
2015-06-26,449.37,458.73,445.64,452.69,788566
2015-06-29,471.06,481.46,463.07,470.42,509173
2015-06-30,472.95,474.81,469.33,472.08,270716
2015-07-01,477.7,482.16,470.02,480.13,643885
2015-07-02,479.77,483.61,478.58,481.02,700076
2015-07-03,469.56,478.12,463.93,470.7,681507
2015-07-06,464.53,477.26,458.27,469.19,1637796
2015-07-07,465.37,469.11,464.45,466.96,847287
2015-07-08,461.38,464.76,456.22,459.25,358863
2015-07-09,456.05,463.36,452.51,458.27,528629
2015-07-10,453.8,459.23,451.7,453.65,761417
2015-07-13,474.5,488.14,464.65,473.52,1184661
2015-07-14,478.15,484.21,475.87,480.38,521305
2015-07-15,488.99,493.12,482.29,486.45,471922
2015-07-16,489.73,493.83,489.62,490.68,345081
2015-07-17,500.55,505.16,497.63,501.54,950265
2015-07-20,516.68,519.84,508.47,516.43,902041
2015-07-21,523.78,524.69,513.12,514.69,564047
2015-07-22,518.2,532.54,514.38,515.88,496455
2015-07-23,520.69,530.72,515.4,520.56,639312
2015-07-24,522.11,533.38,514.7,523.65,407984
2015-07-27,512.81,526.14,508.93,509.82,514630
2015-07-28,496.68,498.54,479.7,492.82,335728
2015-07-29,503.96,504.22,491.09,502.33,465042
2015-07-30,509.9,520.38,499.13,509.63,751050
2015-07-31,513.57,519.53,510.12,510.91,1340999
2015-08-03,507.08,516.75,504.28,504.95,537770
2015-08-04,496.52,500.31,488.67,497.32,884169
2015-08-05,503.71,505.73,496.84,501.94,485583
2015-08-06,498.98,519.5,495.72,500.52,619604
2015-08-07,490.6,492.37,485.51,489.82,782036
2015-08-10,495.78,500.67,485.42,499.86,988583
2015-08-11,499.71,506.77,492.14,497.35,631661
2015-08-12,496.75,503.47,496.55,499.11,762812
2015-08-13,505.92,512.88,500.28,503.83,583569
2015-08-14,507.13,513.97,506.85,508.37,914435
2015-08-17,504.85,511.83,496.93,507.09,1218240
2015-08-18,518.63,523.2,517.12,521.71,990231
2015-08-19,512.21,527.46,504.57,512.13,618209
2015-08-20,515.43,517.5,507.71,513.46,700952
