Date,Open,High,Low,Close,Volume
2015-01-01,2197.59,2216.57,2170.94,2200.0,677040
2015-01-02,2192.38,2219.86,2179.09,2184.25,527958
2015-01-05,2187.04,2196.03,2171.53,2194.46,245944
2015-01-06,2236.29,2249.8,2221.12,2244.35,734499
2015-01-07,2245.34,2261.13,2244.34,2257.07,288449
2015-01-08,2289.62,2316.33,2280.65,2291.63,518969
2015-01-09,2266.19,2303.5,2234.99,2276.93,294776
2015-01-12,2327.07,2376.86,2292.94,2337.81,945196
2015-01-13,2310.96,2327.01,2286.51,2303.86,1109859
2015-01-14,2308.04,2320.7,2289.71,2303.67,844005
2015-01-15,2253.73,2260.52,2251.48,2255.22,375064
2015-01-16,2266.0,2276.67,2237.19,2265.18,830514
2015-01-19,2273.31,2275.81,2267.28,2272.76,952187
2015-01-20,2234.37,2250.03,2221.62,2247.0,296706
2015-01-21,2214.56,2235.35,2195.27,2218.89,421171
2015-01-22,2213.16,2226.14,2200.73,2212.94,335297
2015-01-23,2253.98,2263.39,2227.88,2250.87,543205
2015-01-26,2239.31,2251.43,2181.18,2232.53,355381
2015-01-27,2212.76,2221.71,2177.59,2210.87,375256
2015-01-28,2199.04,2211.53,2176.39,2195.29,732474
2015-01-29,2202.47,2213.43,2187.32,2209.32,514448
2015-01-30,2229.3,2251.87,2223.9,2226.27,541973
2015-02-02,2199.25,2201.82,2175.3,2197.7,288901
2015-02-03,2205.34,2240.56,2178.42,2204.25,1099420
2015-02-04,2210.21,2235.09,2204.04,2218.22,556714
2015-02-05,2221.08,2233.3,2194.23,2213.63,481483
2015-02-06,2223.22,2239.59,2192.02,2223.18,373921
2015-02-09,2181.55,2208.43,2175.64,2181.22,734768
2015-02-10,2210.73,2235.95,2202.21,2221.11,547028
2015-02-11,2211.77,2223.09,2188.58,2213.59,1008051
2015-02-12,2210.64,2225.65,2208.04,2209.46,201065
2015-02-13,2208.38,2224.27,2196.56,2200.32,702522
2015-02-16,2260.94,2298.32,2241.16,2252.44,917489
2015-02-17,2290.46,2318.98,2260.93,2294.96,497602
2015-02-18,2272.14,2282.3,2232.71,2268.36,534842
2015-02-19,2272.13,2300.87,2258.45,2281.44,985674
2015-02-20,2230.97,2257.51,2229.88,2241.98,768792
2015-02-23,2253.55,2264.01,2252.19,2263.88,721041
2015-02-24,2238.62,2247.78,2209.34,2233.93,362173
2015-02-25,2224.71,2271.47,2223.33,2247.57,736189
2015-02-26,2232.45,2262.12,2215.27,2233.33,477958
2015-02-27,2234.35,2240.89,2204.05,2237.22,381195
2015-03-02,2253.15,2258.55,2249.28,2253.95,1066894
2015-03-03,2266.48,2279.39,2240.66,2254.8,687474
2015-03-04,2221.4,2221.8,2201.08,2211.1,1054752
2015-03-05,2203.88,2217.28,2182.42,2214.12,352504
2015-03-06,2224.27,2253.52,2214.37,2216.53,476820
2015-03-09,2187.32,2199.65,2181.41,2186.52,699277
2015-03-10,2172.81,2195.02,2154.12,2188.54,355665
2015-03-11,2147.53,2153.55,2139.33,2149.37,725402
2015-03-12,2120.14,2135.4,2095.91,2119.29,638646
2015-03-13,2125.81,2134.43,2120.11,2127.16,686191
2015-03-16,2138.53,2172.77,2116.67,2141.17,277089
2015-03-17,2108.32,2144.55,2079.57,2104.03,230518
2015-03-18,2112.48,2171.26,2078.33,2107.88,409778
2015-03-19,2101.28,2109.1,2090.32,2105.49,392877
2015-03-20,2074.2,2089.2,2028.1,2077.31,354978
2015-03-23,2113.3,2124.96,2076.79,2115.26,471915
2015-03-24,2164.25,2190.73,2164.02,2165.09,487073
2015-03-25,2200.99,2210.8,2174.35,2193.26,622646
2015-03-26,2189.67,2206.15,2180.06,2193.95,407125
2015-03-27,2226.7,2228.37,2193.81,2221.19,497741
2015-03-30,2212.43,2255.19,2177.57,2219.23,353275
2015-03-31,2185.78,2221.25,2179.87,2192.47,392321
2015-04-01,2110.97,2111.48,2099.46,2107.67,504824
2015-04-02,2111.42,2116.27,2094.85,2099.53,709613
2015-04-03,2132.86,2154.77,2119.04,2147.77,613209
2015-04-06,2182.13,2187.87,2166.97,2183.72,702469
2015-04-07,2224.03,2230.16,2214.83,2218.58,543679
2015-04-08,2176.48,2196.84,2159.75,2193.69,358098
2015-04-09,2193.8,2202.55,2190.53,2200.14,423623
2015-04-10,2156.2,2190.01,2146.42,2161.91,653397
2015-04-13,2178.14,2211.91,2160.85,2187.79,1314954
2015-04-14,2232.86,2241.53,2214.89,2227.55,277591
2015-04-15,2223.26,2227.24,2207.28,2227.21,624632
2015-04-16,2145.85,2151.04,2126.93,2147.27,642798
2015-04-17,2152.36,2160.2,2149.8,2154.74,460989
2015-04-20,2137.54,2151.68,2103.73,2129.23,491601
2015-04-21,2098.46,2111.45,2097.83,2110.43,543731
2015-04-22,2132.17,2141.6,2130.49,2133.84,445696
2015-04-23,2097.96,2127.42,2090.56,2105.86,642013
2015-04-24,2112.25,2120.27,2102.9,2111.28,451942
2015-04-27,2155.85,2177.42,2137.47,2150.95,638314
2015-04-28,2161.49,2169.41,2155.77,2168.77,598331
2015-04-29,2172.37,2188.08,2142.78,2170.47,482119
2015-04-30,2147.03,2163.53,2121.75,2145.72,279378
2015-05-01,2110.53,2134.92,2092.7,2118.2,482393
2015-05-04,2120.7,2159.28,2094.1,2104.55,549526
2015-05-05,2125.62,2131.58,2088.59,2113.18,439308
2015-05-06,2105.41,2110.44,2096.14,2101.34,473288
2015-05-07,2110.42,2111.39,2099.39,2100.56,310940
2015-05-08,2114.81,2124.48,2105.93,2116.18,368938
2015-05-11,2111.22,2129.68,2100.47,2107.04,315550
2015-05-12,2088.02,2096.65,2077.8,2081.37,899067
2015-05-13,2108.16,2120.28,2087.1,2092.61,1225113
2015-05-14,2078.67,2084.61,2063.05,2082.38,1142602
2015-05-15,2092.98,2096.35,2063.51,2089.77,381355
2015-05-18,2068.9,2120.86,2056.37,2066.08,844599
2015-05-19,2110.04,2133.84,2074.91,2095.72,364028
2015-05-20,2096.06,2102.62,2095.3,2098.96,342475
2015-05-21,2099.18,2129.95,2069.44,2108.29,383412
2015-05-22,2091.07,2102.01,2039.13,2085.38,510461
2015-05-25,2060.93,2103.1,2039.57,2067.14,328459
2015-05-26,2027.08,2034.15,2020.47,2033.22,535778
2015-05-27,2043.64,2051.02,2036.83,2043.99,443814
2015-05-28,2035.28,2061.25,2015.08,2039.22,301190
2015-05-29,2027.24,2032.82,2008.29,2032.66,539713
2015-06-01,2061.85,2073.0,2047.63,2057.85,462552
2015-06-02,2042.24,2063.04,2022.67,2052.13,578397
2015-06-03,2039.02,2068.33,2030.35,2047.66,550739
2015-06-04,2074.93,2100.03,2062.25,2073.46,1142588
2015-06-05,2066.67,2098.72,2056.18,2073.9,447154
2015-06-08,2070.71,2072.13,2048.24,2069.89,416424
2015-06-09,2034.23,2049.44,2028.6,2042.73,206920
2015-06-10,2042.82,2070.7,2025.81,2047.68,530706
2015-06-11,2041.61,2059.15,2014.58,2035.71,321677
2015-06-12,2051.84,2058.51,2040.58,2041.82,537766
2015-06-15,2023.63,2030.79,1986.63,2029.1,286846
2015-06-16,2001.65,2027.36,1995.94,2009.98,512342
2015-06-17,2014.78,2027.28,2005.84,2026.2,437348
2015-06-18,2080.25,2108.98,2078.59,2086.82,910111
2015-06-19,2114.73,2121.57,2110.71,2115.2,523261
2015-06-22,2125.57,2132.25,2109.78,2124.93,226803
2015-06-23,2147.6,2165.7,2133.55,2151.67,790144
2015-06-24,2149.43,2162.39,2136.99,2140.55,380739
2015-06-25,2146.59,2163.24,2142.45,2152.87,182105
2015-06-26,2218.36,2221.82,2212.62,2213.28,835373
2015-06-29,2242.82,2258.87,2222.42,2223.94,193993
2015-06-30,2193.52,2229.89,2188.17,2196.54,864290
2015-07-01,2233.22,2275.51,2224.82,2231.5,245580
2015-07-02,2188.25,2204.9,2172.05,2201.6,585316
2015-07-03,2190.8,2220.35,2187.26,2187.68,688503
2015-07-06,2154.41,2171.9,2127.39,2157.01,567277
2015-07-07,2139.05,2175.26,2132.42,2135.59,674612
2015-07-08,2184.68,2249.91,2176.11,2201.71,750570
2015-07-09,2176.54,2186.19,2163.72,2183.3,546092
2015-07-10,2143.65,2173.26,2134.79,2159.76,580672
2015-07-13,2148.3,2173.26,2128.12,2152.08,498655
2015-07-14,2137.91,2150.83,2132.48,2143.58,608919
2015-07-15,2198.17,2201.35,2177.46,2199.17,565116
2015-07-16,2206.03,2219.29,2197.94,2213.58,1068813
2015-07-17,2234.5,2256.03,2221.36,2234.61,206858
2015-07-20,2315.59,2319.91,2287.71,2295.09,945655
2015-07-21,2296.27,2304.54,2283.48,2303.72,246757
2015-07-22,2298.21,2335.36,2281.62,2312.94,931240
2015-07-23,2330.34,2358.93,2309.2,2324.2,343338
2015-07-24,2375.56,2381.39,2351.48,2367.27,376716
2015-07-27,2350.19,2375.09,2323.1,2350.52,302035
2015-07-28,2335.63,2340.66,2321.68,2338.64,727533
2015-07-29,2322.45,2340.94,2284.48,2313.27,1206247
2015-07-30,2346.99,2375.05,2327.37,2352.3,618562
2015-07-31,2354.55,2359.29,2346.98,2355.25,368222
2015-08-03,2383.54,2430.06,2330.41,2385.4,358527
2015-08-04,2395.47,2402.92,2383.62,2391.89,794423
2015-08-05,2397.79,2406.39,2366.53,2402.48,427946
2015-08-06,2466.43,2486.15,2439.9,2467.0,650799
2015-08-07,2472.37,2505.97,2454.91,2484.04,511051
2015-08-10,2489.3,2516.01,2462.94,2503.13,859307
2015-08-11,2569.85,2597.59,2513.41,2554.69,357827
2015-08-12,2545.45,2583.03,2513.38,2534.88,449427
2015-08-13,2533.9,2536.87,2452.24,2525.38,497641
2015-08-14,2468.6,2484.87,2439.96,2463.24,452663
2015-08-17,2516.36,2524.49,2500.8,2516.02,783969
2015-08-18,2517.28,2554.82,2508.47,2528.92,1631191
2015-08-19,2520.68,2528.78,2496.44,2517.1,261311
2015-08-20,2525.97,2550.28,2500.21,2526.73,928384
2015-08-21,2586.34,2608.45,2573.26,2586.1,280520
2015-08-24,2534.9,2556.89,2531.8,2541.43,797711
2015-08-25,2570.99,2577.36,2550.91,2576.51,781560
2015-08-26,2561.26,2585.26,2533.71,2554.58,686223
2015-08-27,2524.05,2529.64,2517.67,2525.49,844956
2015-08-28,2540.25,2567.93,2538.69,2548.11,1139003
2015-08-31,2549.4,2553.84,2504.21,2542.93,432280
2015-09-01,2549.82,2573.54,2543.19,2554.36,423360
2015-09-02,2559.17,2572.78,2540.26,2544.71,928742
2015-09-03,2595.57,2608.16,2590.17,2591.65,564149
2015-09-04,2554.34,2578.8,2554.03,2572.09,570893
2015-09-07,2573.44,2586.99,2539.93,2566.47,693927
2015-09-08,2560.15,2578.74,2521.95,2574.04,362411
2015-09-09,2580.71,2585.83,2572.79,2584.04,789942
2015-09-10,2630.0,2647.93,2619.23,2627.05,530100
2015-09-11,2585.96,2602.65,2560.08,2570.85,588712
2015-09-14,2545.67,2555.41,2524.43,2542.23,289074
2015-09-15,2522.62,2540.6,2521.57,2523.72,786855
2015-09-16,2555.02,2565.32,2533.5,2551.8,635235
2015-09-17,2595.43,2626.9,2593.19,2593.23,432679
2015-09-18,2623.04,2659.41,2582.47,2618.95,605563
2015-09-21,2607.93,2619.78,2577.99,2611.67,566634
2015-09-22,2655.15,2662.9,2599.72,2644.21,710250
2015-09-23,2635.77,2652.98,2575.58,2614.68,531269
2015-09-24,2618.78,2624.37,2602.7,2611.06,689120
2015-09-25,2616.61,2620.84,2581.13,2607.05,350252
2015-09-28,2642.93,2656.63,2639.44,2644.88,196449
2015-09-29,2673.19,2682.47,2660.31,2662.56,646046
2015-09-30,2678.27,2699.99,2664.08,2677.05,454478
2015-10-01,2721.2,2736.02,2703.3,2707.03,678383
2015-10-02,2736.28,2746.81,2685.0,2713.31,517772
2015-10-05,2711.35,2718.87,2691.86,2709.45,1077073
2015-10-06,2728.28,2758.08,2716.99,2743.61,1252795
2015-10-07,2741.89,2813.45,2682.18,2753.46,1347266
2015-10-08,2739.34,2770.46,2721.5,2742.11,350678
2015-10-09,2829.51,2854.53,2820.88,2826.96,738963
2015-10-12,2836.93,2870.49,2802.6,2847.34,778470
2015-10-13,2882.5,2891.23,2869.23,2880.5,346304
2015-10-14,2899.45,2958.9,2884.01,2904.58,1153594
2015-10-15,2847.43,2872.21,2837.33,2861.11,793215
2015-10-16,2870.07,2894.53,2847.37,2850.88,1030576
2015-10-19,2852.06,2870.74,2843.41,2853.77,647391
2015-10-20,2822.99,2831.85,2798.59,2823.78,723948
2015-10-21,2863.87,2893.73,2847.46,2859.66,815869
2015-10-22,2905.76,2920.88,2884.79,2899.61,670679
2015-10-23,2913.16,2938.77,2896.45,2924.07,1717255
2015-10-26,2957.33,2960.19,2926.22,2934.65,1587508
2015-10-27,2959.12,2992.76,2947.02,2956.14,696222
2015-10-28,2960.84,3001.55,2945.89,2946.61,1078406
2015-10-29,2913.17,2960.53,2884.57,2931.05,414492
2015-10-30,2925.42,2930.05,2906.4,2926.37,1140941
2015-11-02,2907.74,2923.38,2864.44,2901.95,512850
2015-11-03,2846.05,2929.91,2814.13,2863.61,710926
2015-11-04,2909.1,2921.96,2855.11,2914.7,734215
2015-11-05,2980.57,2994.45,2935.53,2977.46,350639
2015-11-06,3009.25,3060.25,2996.75,3010.74,1141560
2015-11-09,2918.88,2936.12,2904.85,2936.03,520985
2015-11-10,2924.83,2953.32,2893.14,2936.12,673660
2015-11-11,2854.39,2898.05,2816.03,2854.89,697876
2015-11-12,2837.66,2857.02,2819.35,2832.16,1077976
2015-11-13,2893.03,2918.06,2868.74,2889.08,891973
2015-11-16,2878.89,2916.83,2793.76,2869.09,765377
2015-11-17,2776.87,2800.55,2760.96,2788.29,1584569
2015-11-18,2734.62,2784.45,2728.35,2750.29,874357
2015-11-19,2762.51,2770.32,2751.22,2754.82,360306
2015-11-20,2733.27,2738.76,2722.09,2737.46,778728
2015-11-23,2754.63,2794.52,2751.87,2761.52,594915
2015-11-24,2801.91,2817.3,2749.57,2785.0,602366
2015-11-25,2821.97,2835.6,2762.22,2810.8,589139
2015-11-26,2901.14,2946.95,2848.09,2901.77,364398
2015-11-27,2850.6,2865.36,2838.89,2855.27,666826
2015-11-30,2845.28,2855.86,2817.27,2850.58,210812
2015-12-01,2846.41,2886.82,2830.38,2843.27,321477
2015-12-02,2855.31,2903.19,2819.75,2886.83,470302
2015-12-03,2927.96,2967.22,2916.99,2927.71,556298
2015-12-04,2924.29,2937.24,2892.17,2918.85,558343
2015-12-07,2835.87,2854.66,2816.83,2841.81,956951
2015-12-08,2875.62,2884.63,2846.79,2864.33,1297727
2015-12-09,2926.23,2939.45,2920.34,2932.31,783456
2015-12-10,2890.41,2899.56,2852.7,2887.49,972658
2015-12-11,2853.98,2867.84,2845.0,2855.8,698380
2015-12-14,2887.76,2904.07,2872.24,2875.25,442506
2015-12-15,2837.15,2871.87,2830.69,2843.66,500033
2015-12-16,2859.25,2884.8,2823.05,2863.37,699797
2015-12-17,2870.1,2903.25,2857.5,2863.88,622371
2015-12-18,2800.6,2840.74,2715.2,2830.28,908969
2015-12-21,2842.56,2877.36,2805.77,2849.22,516733
2015-12-22,2880.69,2914.22,2872.96,2873.17,664739
2015-12-23,2900.44,2942.92,2890.45,2893.28,553551
2015-12-24,2880.77,2932.0,2868.19,2869.1,658863
2015-12-25,2837.02,2873.6,2804.18,2830.4,485623
2015-12-28,2860.83,2868.21,2848.43,2854.56,926996
2015-12-29,2841.23,2872.48,2837.38,2848.87,410191
2015-12-30,2848.54,2855.38,2839.49,2841.64,1457810
2015-12-31,2821.35,2829.07,2767.89,2826.95,447250
2016-01-01,2841.22,2857.14,2827.47,2833.89,621069
2016-01-04,2799.78,2834.34,2790.32,2799.11,424436
2016-01-05,2741.27,2754.88,2715.93,2742.28,820750
2016-01-06,2769.43,2826.03,2742.09,2746.44,1250517
2016-01-07,2704.41,2732.94,2698.23,2720.33,399093
2016-01-08,2645.12,2656.93,2632.87,2639.2,874204
2016-01-11,2685.49,2703.14,2664.58,2697.01,1228234
2016-01-12,2644.53,2648.85,2618.49,2629.49,591807
2016-01-13,2631.97,2638.93,2582.17,2616.04,739385
2016-01-14,2584.73,2593.84,2581.95,2583.05,604208
2016-01-15,2610.02,2612.4,2587.75,2596.56,457167
2016-01-18,2549.65,2580.35,2537.98,2558.4,910644
2016-01-19,2579.68,2617.73,2555.03,2577.86,460904
2016-01-20,2619.74,2631.04,2598.27,2608.95,767977
2016-01-21,2578.81,2587.85,2565.96,2583.54,1094987
2016-01-22,2576.46,2629.85,2574.67,2587.92,1603145
2016-01-25,2609.09,2651.39,2588.57,2610.86,1511580
2016-01-26,2584.24,2599.75,2556.6,2592.82,778693
2016-01-27,2553.8,2582.78,2539.48,2548.92,269177
2016-01-28,2560.02,2586.61,2552.11,2572.96,579118
2016-01-29,2545.95,2568.68,2520.32,2553.71,534294
2016-02-01,2594.69,2611.6,2560.6,2590.58,864095
2016-02-02,2577.09,2619.95,2564.32,2590.61,1062551
2016-02-03,2523.9,2546.23,2522.65,2536.16,1037090
2016-02-04,2536.55,2579.78,2520.95,2539.99,654483
2016-02-05,2541.65,2549.52,2505.91,2535.18,376053
2016-02-08,2546.72,2568.56,2536.51,2556.7,415550
2016-02-09,2560.13,2577.32,2514.09,2550.72,1497414
2016-02-10,2549.43,2566.44,2542.01,2551.35,489694
2016-02-11,2539.78,2571.85,2528.98,2532.71,632007
2016-02-12,2527.27,2567.87,2489.84,2522.04,645795
2016-02-15,2490.89,2512.81,2484.11,2493.45,396958
2016-02-16,2521.31,2522.27,2510.32,2513.97,894861
2016-02-17,2572.51,2588.22,2540.38,2562.84,387734
2016-02-18,2553.73,2566.02,2544.39,2558.19,1027797
2016-02-19,2549.65,2555.93,2540.84,2553.83,793967
2016-02-22,2594.72,2621.4,2552.06,2596.58,285587
2016-02-23,2570.09,2570.62,2568.96,2569.0,458182
2016-02-24,2630.72,2639.19,2620.49,2621.99,1557147
2016-02-25,2596.45,2633.26,2589.59,2613.87,605496
2016-02-26,2590.59,2593.11,2565.19,2584.63,431424
2016-02-29,2585.72,2607.97,2573.25,2607.25,482454
2016-03-01,2624.55,2627.71,2615.43,2618.71,949972
2016-03-02,2690.46,2714.85,2657.2,2673.61,1455491
2016-03-03,2738.85,2761.92,2706.04,2729.79,744359
2016-03-04,2727.45,2740.02,2701.26,2714.87,702759
2016-03-07,2732.03,2807.43,2723.66,2746.58,471760
2016-03-08,2675.58,2684.11,2663.76,2672.07,831662
2016-03-09,2706.78,2712.15,2642.61,2690.25,347864
2016-03-10,2694.6,2728.53,2664.56,2689.52,738709
2016-03-11,2641.71,2663.8,2636.91,2646.15,1588702
2016-03-14,2655.46,2680.62,2623.21,2660.3,393956
2016-03-15,2619.89,2674.98,2598.21,2641.88,664297
2016-03-16,2694.29,2740.71,2672.41,2688.42,793401
2016-03-17,2654.55,2684.91,2630.84,2658.71,961908
2016-03-18,2652.31,2659.17,2604.74,2641.01,487673
2016-03-21,2668.97,2671.43,2655.73,2662.17,568932
2016-03-22,2673.69,2693.68,2655.48,2673.71,646763
2016-03-23,2720.29,2730.77,2668.27,2728.27,726862
2016-03-24,2752.12,2774.02,2719.37,2757.23,321154
2016-03-25,2692.6,2733.04,2680.46,2697.65,1046751
2016-03-28,2666.55,2673.25,2638.2,2672.69,516149
2016-03-29,2656.62,2688.98,2636.0,2645.74,1165007
2016-03-30,2703.93,2715.78,2686.32,2694.2,623625
2016-03-31,2769.11,2811.05,2760.95,2781.84,621689
2016-04-01,2715.51,2738.85,2713.47,2716.89,365903
2016-04-04,2712.31,2719.58,2651.21,2714.39,973269
2016-04-05,2689.74,2728.12,2683.56,2718.44,549569
2016-04-06,2735.87,2763.55,2714.79,2743.56,387991
2016-04-07,2775.16,2784.76,2753.39,2756.6,884909
2016-04-08,2792.15,2806.35,2753.63,2790.77,1016855
2016-04-11,2764.26,2766.84,2669.32,2735.76,579690
2016-04-12,2750.25,2760.62,2749.84,2753.54,375325
2016-04-13,2697.23,2708.32,2676.84,2693.47,784737
2016-04-14,2710.78,2755.42,2699.69,2713.75,385470
2016-04-15,2723.86,2753.35,2704.27,2706.64,462248
2016-04-18,2703.36,2716.48,2660.73,2695.74,273857
2016-04-19,2663.51,2710.24,2659.26,2662.55,348871
2016-04-20,2711.76,2748.78,2710.84,2728.02,499715
2016-04-21,2744.56,2771.52,2733.97,2736.04,287773
2016-04-22,2731.34,2751.44,2726.15,2731.88,690900
2016-04-25,2707.77,2737.55,2681.42,2697.86,366779
2016-04-26,2668.39,2699.99,2658.55,2676.44,893471
2016-04-27,2664.56,2679.92,2641.65,2672.43,1051486
2016-04-28,2644.63,2652.52,2638.45,2645.93,880219
2016-04-29,2617.49,2618.48,2591.4,2607.74,576812
2016-05-02,2550.26,2575.0,2526.41,2552.75,618635
2016-05-03,2563.16,2600.08,2535.82,2583.29,403601
2016-05-04,2569.22,2570.96,2544.62,2567.34,1308134
2016-05-05,2577.76,2616.56,2554.07,2569.22,366606
2016-05-06,2552.28,2561.26,2514.15,2549.2,532110
2016-05-09,2597.95,2629.84,2596.2,2602.45,1039085
2016-05-10,2601.35,2643.65,2582.82,2598.19,483471
2016-05-11,2561.84,2592.17,2508.5,2554.13,406007
2016-05-12,2537.69,2570.29,2506.01,2540.47,895876
2016-05-13,2501.35,2525.05,2487.13,2510.98,398855
2016-05-16,2541.26,2570.46,2531.51,2549.27,652493
2016-05-17,2572.59,2613.18,2553.59,2574.88,762618
2016-05-18,2585.71,2608.9,2557.37,2584.85,229637
2016-05-19,2518.21,2524.05,2505.94,2508.92,768729
2016-05-20,2502.95,2542.0,2447.93,2503.54,288981
2016-05-23,2499.65,2537.57,2475.93,2507.71,531836
2016-05-24,2481.28,2485.31,2445.71,2464.26,737982
2016-05-25,2480.69,2513.44,2466.57,2481.38,1286624
2016-05-26,2497.15,2511.51,2475.58,2503.24,429846
2016-05-27,2469.74,2476.74,2464.26,2473.64,376937
2016-05-30,2444.83,2456.04,2401.67,2441.67,804404
2016-05-31,2455.66,2493.23,2438.77,2463.08,672822
2016-06-01,2461.16,2481.07,2434.57,2457.56,414564
2016-06-02,2438.49,2459.2,2410.18,2443.33,333555
2016-06-03,2457.82,2460.88,2435.77,2454.07,456862
2016-06-06,2430.99,2448.75,2409.75,2440.42,286229
2016-06-07,2457.82,2463.44,2426.59,2461.04,883554
2016-06-08,2460.21,2474.72,2441.91,2454.89,423494
2016-06-09,2491.9,2528.99,2455.8,2484.81,1106940
2016-06-10,2512.62,2522.42,2497.47,2503.02,590595
2016-06-13,2529.03,2550.68,2518.48,2521.6,438813
2016-06-14,2522.04,2524.14,2499.76,2516.39,627666
2016-06-15,2541.35,2551.15,2536.86,2545.55,559520
2016-06-16,2569.74,2588.39,2538.98,2556.81,517293
2016-06-17,2512.41,2545.58,2478.47,2525.24,705458
2016-06-20,2532.43,2554.46,2511.96,2517.79,596440
2016-06-21,2460.83,2463.25,2432.71,2442.52,770767
2016-06-22,2467.14,2487.98,2439.29,2445.23,1355029
2016-06-23,2454.42,2485.71,2414.15,2451.41,812440
2016-06-24,2441.54,2475.03,2398.91,2438.89,429570
2016-06-27,2401.16,2422.01,2385.63,2415.14,463260
2016-06-28,2432.88,2458.75,2427.1,2450.27,534624
2016-06-29,2468.37,2491.6,2432.68,2473.42,573552
2016-06-30,2422.88,2438.76,2411.9,2428.74,598723
2016-07-01,2420.7,2446.32,2387.14,2429.18,721358
2016-07-04,2494.42,2514.78,2492.14,2492.89,383356
2016-07-05,2493.47,2535.0,2479.82,2502.52,347650
2016-07-06,2448.83,2487.44,2440.44,2457.37,749111
