Date,Open,High,Low,Close,Volume
2015-01-01,1098.98,1119.18,1096.91,1100.0,590027
2015-01-02,1069.71,1080.24,1047.18,1074.65,893923
2015-01-05,1094.44,1101.77,1075.77,1094.41,486722
2015-01-06,1061.97,1073.64,1048.98,1067.27,573946
2015-01-07,1088.37,1104.53,1056.32,1085.97,495010
2015-01-08,1077.92,1091.41,1072.65,1081.32,368968
2015-01-09,1087.09,1093.29,1064.49,1078.4,558510
2015-01-12,1108.35,1112.47,1106.74,1110.64,582539
2015-01-13,1134.91,1160.82,1125.16,1127.59,315174
2015-01-14,1146.72,1147.45,1137.75,1147.29,979864
2015-01-15,1148.1,1189.23,1142.41,1153.47,435242
2015-01-16,1137.46,1147.01,1130.3,1139.44,554256
2015-01-19,1126.81,1137.1,1126.54,1132.28,713520
2015-01-20,1134.65,1142.43,1128.14,1135.71,553620
2015-01-21,1100.91,1128.47,1096.36,1118.61,144438
2015-01-22,1103.48,1124.11,1090.52,1100.34,324369
2015-01-23,1093.52,1105.72,1086.91,1105.55,437900
2015-01-26,1121.0,1141.81,1106.8,1123.2,269635
2015-01-27,1147.96,1155.72,1134.87,1148.1,655820
2015-01-28,1176.84,1206.65,1175.85,1177.97,674611
2015-01-29,1162.91,1182.36,1151.1,1165.3,965519
2015-01-30,1158.87,1182.85,1155.89,1163.79,909155
2015-02-02,1162.09,1197.93,1153.35,1171.99,621358
2015-02-03,1183.85,1184.68,1133.89,1184.19,705321
2015-02-04,1164.92,1177.94,1152.19,1167.45,240028
2015-02-05,1145.06,1153.59,1125.46,1139.11,609951
2015-02-06,1121.76,1125.0,1113.72,1118.77,319183
2015-02-09,1122.35,1144.75,1104.16,1113.9,333203
2015-02-10,1095.14,1106.08,1079.31,1088.93,315957
2015-02-11,1087.63,1109.11,1081.06,1085.77,771869
2015-02-12,1068.65,1092.69,1039.07,1065.22,482319
2015-02-13,1088.98,1094.74,1072.34,1086.99,443015
2015-02-16,1095.42,1105.78,1089.33,1101.69,311155
2015-02-17,1110.59,1124.9,1095.64,1119.85,512812
2015-02-18,1126.73,1153.25,1123.33,1128.31,1019296
2015-02-19,1156.67,1161.09,1152.93,1154.62,471272
2015-02-20,1137.37,1149.41,1133.61,1135.46,468897
2015-02-23,1119.73,1131.81,1115.76,1123.93,413226
2015-02-24,1112.61,1112.93,1098.93,1111.2,439909
2015-02-25,1115.0,1120.93,1096.14,1116.04,675306
2015-02-26,1181.78,1193.69,1148.84,1176.15,614036
2015-02-27,1143.6,1158.71,1132.95,1144.56,548460
2015-03-02,1149.54,1150.22,1101.26,1137.58,407767
2015-03-03,1124.54,1130.83,1114.76,1119.39,653746
2015-03-04,1123.47,1128.85,1102.68,1120.27,426758
2015-03-05,1109.29,1130.12,1099.3,1103.55,413562
2015-03-06,1104.8,1114.95,1094.06,1107.13,708180
2015-03-09,1104.68,1114.76,1098.48,1100.84,1096303
2015-03-10,1119.14,1120.69,1113.83,1115.85,353051
2015-03-11,1097.28,1109.25,1079.63,1098.79,188417
2015-03-12,1102.26,1145.35,1091.89,1093.47,503661
2015-03-13,1083.2,1100.72,1052.67,1075.83,602300
2015-03-16,1085.72,1095.22,1072.31,1078.95,471043
2015-03-17,1069.02,1090.11,1062.32,1065.64,191227
2015-03-18,1098.76,1110.71,1076.48,1095.7,496003
2015-03-19,1107.97,1124.36,1099.17,1099.94,989748
2015-03-20,1123.62,1150.64,1113.01,1119.04,363351
2015-03-23,1107.84,1125.66,1096.22,1101.12,315717
2015-03-24,1105.57,1114.57,1089.65,1100.43,504549
2015-03-25,1108.69,1136.74,1090.63,1096.11,1301325
2015-03-26,1107.64,1136.97,1091.34,1104.63,610871
2015-03-27,1086.53,1097.03,1076.94,1078.63,592439
2015-03-30,1042.12,1062.98,1033.13,1045.21,590964
2015-03-31,1058.64,1065.77,1041.74,1053.75,431378
2015-04-01,1049.02,1061.62,1048.87,1052.45,539673
2015-04-02,1067.55,1074.05,1048.41,1066.16,403372
2015-04-03,1077.89,1094.41,1067.56,1072.61,428442
2015-04-06,1097.57,1099.39,1087.61,1091.67,232741
2015-04-07,1078.84,1094.98,1054.71,1089.42,313461
2015-04-08,1088.04,1102.35,1058.71,1083.83,347312
2015-04-09,1080.74,1103.66,1073.93,1087.44,650123
2015-04-10,1082.56,1099.77,1052.42,1080.42,915447
2015-04-13,1098.98,1131.13,1070.36,1110.19,560348
2015-04-14,1095.34,1114.57,1094.88,1096.96,479468
2015-04-15,1085.55,1091.69,1080.21,1086.39,320200
2015-04-16,1041.38,1060.26,1035.32,1036.53,571522
2015-04-17,1051.4,1052.04,1046.24,1050.65,264674
2015-04-20,1044.44,1069.75,1028.95,1049.28,745704
2015-04-21,1049.19,1051.51,1036.88,1042.41,611541
2015-04-22,1052.48,1061.17,1049.52,1049.72,566795
2015-04-23,1014.11,1017.95,1001.37,1010.57,307310
2015-04-24,998.36,1005.96,990.21,999.72,418330
2015-04-27,1029.39,1034.08,1016.46,1029.13,408242
2015-04-28,1057.75,1063.73,1050.8,1054.12,904567
2015-04-29,1058.84,1083.5,1042.26,1051.66,262675
2015-04-30,1037.77,1041.65,1025.17,1032.83,388540
2015-05-01,1023.01,1032.2,1015.1,1020.47,382359
2015-05-04,1016.42,1030.55,1004.15,1022.06,551271
2015-05-05,1029.38,1039.9,1013.11,1021.08,713562
2015-05-06,1009.78,1021.63,987.28,1011.22,283701
2015-05-07,1025.21,1029.24,1017.95,1025.83,489062
2015-05-08,1032.36,1048.35,982.32,1027.76,333711
2015-05-11,1026.23,1026.23,1021.82,1023.05,641472
2015-05-12,1006.32,1025.17,1005.4,1019.14,932248
2015-05-13,1013.32,1016.97,1004.66,1014.26,520186
2015-05-14,1019.14,1021.22,1008.22,1020.05,690669
2015-05-15,998.75,1008.74,985.31,1001.54,573878
2015-05-18,1002.67,1006.27,981.21,1003.64,453380
2015-05-19,994.79,1001.87,962.32,991.42,526867
2015-05-20,1002.76,1025.11,995.22,996.77,797536
2015-05-21,971.57,974.19,966.95,970.68,531219
2015-05-22,949.9,964.52,945.26,957.85,508356
2015-05-25,972.18,980.18,966.47,971.43,390818
2015-05-26,948.56,975.76,939.53,954.03,922339
2015-05-27,946.37,950.03,933.56,946.47,336759
2015-05-28,961.35,973.21,949.22,954.55,717276
2015-05-29,970.57,973.08,965.86,968.08,304247
2015-06-01,972.38,981.59,950.64,976.05,440053
2015-06-02,974.11,999.38,969.9,979.35,1017858
2015-06-03,996.14,998.95,973.11,991.83,555786
2015-06-04,999.27,1023.08,989.55,991.8,552971
2015-06-05,966.7,981.53,945.67,973.95,343723
2015-06-08,976.2,981.23,968.6,973.12,234766
2015-06-09,978.02,991.19,959.99,969.57,324282
2015-06-10,969.61,978.96,964.86,971.82,654093
2015-06-11,976.07,982.65,973.17,980.33,549193
2015-06-12,972.65,994.29,957.35,972.72,225766
2015-06-15,960.22,965.54,941.1,959.41,372417
2015-06-16,945.75,946.83,931.74,939.65,821728
2015-06-17,928.49,941.23,919.27,929.52,613093
2015-06-18,939.26,951.6,930.05,938.34,305063
2015-06-19,949.63,957.17,944.53,949.49,389540
2015-06-22,970.09,1000.45,962.17,964.21,477582
2015-06-23,963.5,973.58,956.49,961.33,341602
2015-06-24,967.48,979.55,959.15,969.43,438278
2015-06-25,997.81,1001.54,988.94,994.66,279238
2015-06-26,1012.36,1024.84,1001.93,1010.23,385219
2015-06-29,1008.53,1035.61,999.81,1013.55,470623
2015-06-30,996.72,1010.97,996.43,1003.48,498861
2015-07-01,996.68,1005.79,990.9,1004.38,558249
2015-07-02,1009.76,1017.11,1002.9,1007.01,281883
2015-07-03,978.15,997.34,952.45,973.73,326390
2015-07-06,971.1,977.05,960.45,975.63,979912
2015-07-07,960.03,970.22,932.2,956.24,667838
2015-07-08,926.76,942.97,913.95,932.24,626837
2015-07-09,940.22,953.55,921.55,929.4,364288
2015-07-10,945.5,946.07,943.08,944.96,459812
2015-07-13,923.78,932.67,916.13,922.36,328159
2015-07-14,909.67,939.15,906.69,915.84,618090
2015-07-15,912.58,930.47,902.06,905.67,281047
2015-07-16,896.01,902.1,875.23,889.78,419644
2015-07-17,882.51,898.3,860.16,887.03,133061
2015-07-20,886.49,896.0,870.32,879.29,226571
2015-07-21,878.92,892.21,872.22,882.56,268288
2015-07-22,882.08,893.58,879.45,885.22,260585
2015-07-23,883.96,884.05,871.19,883.47,265374
2015-07-24,902.57,908.13,901.1,907.07,372081
2015-07-27,896.98,919.5,885.49,886.96,518192
2015-07-28,900.75,908.19,891.09,891.79,375437
2015-07-29,875.01,889.31,861.59,873.45,418234
2015-07-30,886.51,905.64,873.34,893.34,300458
2015-07-31,900.63,910.66,896.31,898.49,906634
2015-08-03,894.76,895.18,886.46,893.89,735134
2015-08-04,895.4,921.09,885.62,901.17,562366
2015-08-05,911.1,927.0,910.67,916.42,316456
2015-08-06,895.12,921.65,893.03,905.83,571406
2015-08-07,911.31,913.6,899.63,911.4,257576
2015-08-10,935.31,949.32,930.21,936.03,618938
2015-08-11,935.72,941.78,927.14,939.84,333809
2015-08-12,929.23,948.57,918.88,936.43,644019
2015-08-13,961.1,982.0,937.64,955.0,373267
2015-08-14,945.98,949.11,935.99,944.08,671086
2015-08-17,947.72,960.32,930.87,944.15,295924
2015-08-18,959.4,972.59,958.14,962.94,473566
2015-08-19,946.32,960.93,944.3,956.13,355089
2015-08-20,963.46,963.53,960.54,962.82,240428
2015-08-21,978.23,980.01,957.19,975.38,361536
2015-08-24,998.03,998.71,983.1,995.66,297114
2015-08-25,999.49,1018.62,994.56,1005.76,358092
2015-08-26,999.78,1007.78,993.51,994.39,461400
2015-08-27,994.51,1014.7,983.4,991.68,541251
2015-08-28,963.3,974.86,949.9,968.61,984413
2015-08-31,952.5,960.84,943.93,945.0,564542
2015-09-01,935.99,950.72,933.7,937.3,525573
2015-09-02,915.44,918.59,902.39,909.74,333871
2015-09-03,932.91,946.07,913.12,933.72,497495
2015-09-04,943.17,945.9,919.93,943.53,550636
2015-09-07,942.36,950.76,928.98,938.65,699130
2015-09-08,973.5,983.15,973.17,975.96,383340
2015-09-09,982.16,993.1,979.47,983.23,510902
2015-09-10,1018.4,1029.25,1004.4,1019.22,888591
2015-09-11,1022.73,1039.01,1011.12,1018.26,627348
2015-09-14,990.41,1005.26,980.42,987.51,463006
2015-09-15,965.26,985.02,952.66,962.99,363900
2015-09-16,977.6,1008.91,965.26,983.86,730035
2015-09-17,1008.8,1018.14,991.8,1008.34,383225
2015-09-18,1008.02,1017.52,998.8,1009.46,356519
2015-09-21,1021.01,1028.93,1003.31,1014.89,469303
2015-09-22,1014.86,1023.88,1004.25,1020.88,517967
2015-09-23,1011.93,1018.21,1004.86,1012.55,844059
2015-09-24,1039.7,1056.97,1026.65,1037.4,347728
2015-09-25,995.91,1010.81,995.63,996.33,294389
2015-09-28,1029.32,1029.47,1010.74,1021.03,420165
2015-09-29,1030.74,1037.88,1020.11,1027.91,236881
2015-09-30,1013.39,1030.05,1007.6,1024.38,271451
2015-10-01,1056.42,1070.89,1048.25,1057.52,757514
2015-10-02,1075.28,1083.93,1061.89,1073.07,263641
2015-10-05,1052.66,1054.77,1040.68,1049.46,1058750
2015-10-06,1048.43,1064.54,1042.02,1053.13,364185
2015-10-07,1068.65,1076.01,1064.13,1069.14,337412
2015-10-08,1050.68,1053.86,1040.71,1053.49,916505
2015-10-09,1027.81,1040.3,1026.77,1034.88,1054500
2015-10-12,1038.83,1063.78,1007.01,1043.72,476043
2015-10-13,1035.35,1048.75,1020.11,1038.67,545681
2015-10-14,1073.39,1077.29,1040.66,1059.81,494203
2015-10-15,1054.94,1055.28,1047.95,1048.9,528256
2015-10-16,1052.66,1068.09,1030.21,1049.73,533680
2015-10-19,1041.62,1045.04,1035.21,1040.35,671305
2015-10-20,1030.63,1035.45,1023.04,1028.56,500668
2015-10-21,1039.5,1054.5,1024.36,1042.37,462108
2015-10-22,1066.36,1070.14,1045.54,1069.1,1108231
2015-10-23,1072.84,1090.5,1047.57,1065.52,608519
2015-10-26,1087.8,1098.65,1072.14,1086.43,480586
2015-10-27,1084.08,1108.74,1083.34,1097.01,1045059
2015-10-28,1102.6,1128.56,1098.28,1099.82,371244
2015-10-29,1104.48,1112.84,1096.68,1100.74,485091
2015-10-30,1141.72,1142.39,1130.12,1131.09,452737
2015-11-02,1111.58,1118.0,1091.97,1104.89,444315
2015-11-03,1094.28,1116.08,1085.24,1102.5,337745
2015-11-04,1103.54,1118.71,1069.98,1108.96,348742
2015-11-05,1100.59,1116.69,1090.03,1097.57,329839
2015-11-06,1114.54,1132.47,1099.61,1115.35,339031
2015-11-09,1111.27,1120.77,1108.0,1118.79,743581
2015-11-10,1096.88,1100.06,1068.07,1098.7,521510
2015-11-11,1094.23,1098.95,1069.09,1098.68,326951
2015-11-12,1114.17,1116.16,1097.13,1102.53,627062
2015-11-13,1124.38,1126.66,1105.24,1121.12,368079
2015-11-16,1147.73,1178.93,1111.47,1135.96,339355
2015-11-17,1164.58,1166.74,1143.98,1158.51,1030837
2015-11-18,1160.22,1179.45,1144.81,1164.69,914675
2015-11-19,1166.28,1172.68,1124.52,1159.47,767036
2015-11-20,1149.59,1160.27,1131.87,1144.38,1139240
2015-11-23,1103.7,1113.79,1075.4,1104.26,501046
2015-11-24,1119.98,1130.47,1102.03,1117.53,426274
2015-11-25,1103.89,1103.91,1083.77,1098.68,669963
2015-11-26,1107.49,1137.48,1104.64,1115.91,682033
2015-11-27,1123.75,1146.33,1104.08,1129.79,676649
2015-11-30,1111.44,1127.88,1086.28,1117.89,1018291
2015-12-01,1124.74,1139.88,1118.68,1124.96,321025
2015-12-02,1113.89,1113.9,1101.76,1107.59,714835
2015-12-03,1130.18,1147.92,1114.58,1128.42,498930
2015-12-04,1128.04,1129.26,1121.35,1127.28,588744
2015-12-07,1131.2,1142.64,1116.24,1122.68,349061
2015-12-08,1122.24,1162.43,1111.78,1130.97,570385
2015-12-09,1127.96,1143.09,1109.76,1123.33,532348
2015-12-10,1091.05,1103.46,1086.36,1094.16,616985
2015-12-11,1102.98,1117.72,1099.3,1099.59,488396
2015-12-14,1096.61,1108.64,1075.18,1097.51,477788
2015-12-15,1106.66,1108.94,1093.2,1097.93,340893
2015-12-16,1128.51,1141.81,1110.08,1119.91,553995
2015-12-17,1130.08,1132.35,1115.68,1129.54,610343
2015-12-18,1077.37,1089.9,1058.77,1079.46,1028518
2015-12-21,1121.28,1130.77,1111.24,1113.33,471769
2015-12-22,1125.56,1134.49,1115.72,1124.75,434829
2015-12-23,1154.65,1161.89,1138.89,1149.06,707346
2015-12-24,1116.28,1128.85,1097.93,1120.52,707130
2015-12-25,1146.41,1162.61,1133.16,1152.13,469892
2015-12-28,1152.1,1169.7,1141.98,1154.41,363965
2015-12-29,1133.98,1141.67,1125.47,1134.43,396645
2015-12-30,1125.64,1135.99,1110.47,1135.24,314431
2015-12-31,1145.27,1166.84,1132.41,1151.68,558384
2016-01-01,1182.6,1183.05,1169.48,1180.58,242754
2016-01-04,1132.55,1146.96,1129.37,1138.49,477243
2016-01-05,1144.34,1154.67,1133.69,1148.13,478660
2016-01-06,1141.93,1145.44,1124.45,1145.4,408229
2016-01-07,1144.84,1160.01,1139.56,1149.87,281697
2016-01-08,1139.56,1157.73,1134.82,1139.8,458781
2016-01-11,1154.49,1174.67,1149.57,1170.32,834841
2016-01-12,1163.75,1175.86,1153.51,1162.87,605791
2016-01-13,1149.51,1160.85,1133.61,1152.95,490540
2016-01-14,1161.6,1200.63,1155.41,1158.72,442852
2016-01-15,1185.27,1196.1,1183.01,1187.0,1686979
2016-01-18,1188.09,1202.08,1178.13,1190.9,1016081
2016-01-19,1208.81,1219.84,1197.88,1207.06,732658
2016-01-20,1197.89,1202.78,1196.64,1199.61,228084
2016-01-21,1181.77,1190.64,1165.0,1175.9,557418
2016-01-22,1200.04,1223.86,1186.44,1207.32,437026
2016-01-25,1226.74,1231.16,1195.32,1219.54,646836
2016-01-26,1200.44,1225.88,1199.97,1201.35,518678
2016-01-27,1207.22,1220.12,1197.53,1204.96,515042
2016-01-28,1184.5,1200.34,1169.93,1195.25,259073
2016-01-29,1219.48,1267.55,1213.33,1220.17,528810
2016-02-01,1236.65,1260.96,1177.35,1222.1,458080
2016-02-02,1266.12,1304.88,1257.11,1260.71,1312360
2016-02-03,1234.55,1265.4,1213.66,1239.15,356258
2016-02-04,1237.21,1247.58,1233.56,1238.68,469502
2016-02-05,1217.44,1229.49,1216.28,1220.46,1307771
2016-02-08,1237.68,1253.1,1227.24,1235.24,388424
2016-02-09,1230.07,1236.67,1225.75,1225.77,929334
2016-02-10,1251.73,1261.91,1220.04,1244.27,293507
2016-02-11,1262.03,1274.63,1253.62,1262.52,636975
2016-02-12,1240.92,1259.34,1223.82,1243.79,499222
2016-02-15,1202.88,1216.98,1176.92,1214.45,483543
2016-02-16,1228.34,1228.78,1192.21,1219.4,753194
2016-02-17,1235.42,1248.71,1228.06,1233.11,258601
2016-02-18,1244.92,1255.76,1241.26,1246.76,426798
2016-02-19,1215.47,1229.19,1212.72,1216.25,921256
2016-02-22,1222.53,1245.42,1216.81,1224.31,332427
2016-02-23,1225.74,1241.86,1199.28,1220.4,529048
2016-02-24,1234.69,1245.04,1228.93,1241.45,717477
2016-02-25,1284.53,1294.08,1257.23,1266.7,385116
2016-02-26,1276.56,1283.8,1263.39,1281.86,798334
2016-02-29,1283.29,1297.58,1268.7,1286.8,496832
2016-03-01,1303.57,1312.31,1298.35,1303.25,779877
2016-03-02,1321.83,1338.64,1300.82,1315.21,569023
2016-03-03,1281.74,1294.1,1259.24,1288.02,526968
2016-03-04,1223.25,1234.9,1212.71,1220.96,330672
2016-03-07,1247.79,1276.35,1227.66,1263.41,417745
2016-03-08,1294.52,1296.49,1282.49,1286.18,915395
2016-03-09,1321.67,1362.29,1307.7,1331.67,1054711
2016-03-10,1323.25,1339.2,1292.45,1317.41,585076
2016-03-11,1329.02,1347.31,1311.61,1318.38,927507
2016-03-14,1339.04,1370.18,1334.1,1346.26,762877
2016-03-15,1373.67,1393.2,1362.05,1371.09,792371
2016-03-16,1348.98,1397.57,1323.49,1356.64,504719
2016-03-17,1366.5,1380.82,1359.24,1365.11,819187
2016-03-18,1353.5,1384.73,1339.33,1347.77,557690
2016-03-21,1339.21,1339.78,1326.25,1333.4,904416
2016-03-22,1316.55,1327.82,1302.24,1314.16,576994
2016-03-23,1305.88,1316.26,1302.83,1310.43,622303
2016-03-24,1307.02,1309.48,1297.29,1307.06,1244958
2016-03-25,1322.27,1326.57,1314.86,1322.91,521507
2016-03-28,1276.66,1285.02,1240.2,1272.87,202801
2016-03-29,1281.07,1290.54,1273.64,1284.52,357347
2016-03-30,1277.42,1281.2,1248.82,1273.47,387809
2016-03-31,1239.64,1252.18,1222.68,1235.9,518846
2016-04-01,1233.7,1235.51,1212.64,1224.08,760491
2016-04-04,1245.09,1255.81,1221.79,1241.64,863134
2016-04-05,1202.37,1216.27,1202.17,1216.14,936410
2016-04-06,1217.67,1228.99,1196.42,1215.11,379949
2016-04-07,1211.91,1217.53,1188.18,1211.21,266715
2016-04-08,1193.0,1223.13,1192.58,1194.88,524997
2016-04-11,1219.71,1237.5,1207.86,1208.64,561762
2016-04-12,1190.88,1206.35,1183.48,1196.77,640054
2016-04-13,1180.72,1229.07,1178.51,1184.5,552853
2016-04-14,1202.36,1203.94,1196.11,1200.78,334832
2016-04-15,1204.08,1229.19,1187.63,1202.68,296161
2016-04-18,1203.19,1210.49,1193.9,1203.98,733105
2016-04-19,1213.6,1218.89,1198.8,1212.78,417551
2016-04-20,1230.96,1234.52,1175.0,1219.87,604375
2016-04-21,1220.26,1221.95,1205.44,1217.59,364905
2016-04-22,1219.81,1240.65,1214.72,1227.66,680126
2016-04-25,1214.17,1222.45,1188.5,1209.26,531518
2016-04-26,1214.73,1224.16,1210.74,1216.49,1167346
2016-04-27,1222.23,1232.68,1195.26,1214.12,417714
2016-04-28,1175.55,1210.22,1140.33,1178.7,675064
2016-04-29,1174.95,1179.32,1154.2,1174.66,506096
2016-05-02,1161.08,1186.45,1160.27,1160.92,862724
2016-05-03,1137.66,1139.84,1131.52,1137.18,625663
2016-05-04,1132.06,1138.56,1122.05,1134.39,654506
2016-05-05,1136.17,1138.44,1124.42,1131.1,273715
2016-05-06,1145.01,1155.11,1139.02,1143.73,879849
2016-05-09,1152.34,1159.06,1145.55,1148.26,1116719
2016-05-10,1134.82,1144.47,1128.9,1131.21,425908
2016-05-11,1121.42,1130.99,1114.81,1129.04,744347
2016-05-12,1149.73,1166.57,1132.07,1144.97,417836
2016-05-13,1155.09,1177.44,1140.36,1151.28,311717
2016-05-16,1169.27,1200.77,1156.71,1161.04,171922
2016-05-17,1140.96,1167.43,1116.67,1135.32,607812
2016-05-18,1135.54,1138.62,1119.94,1130.95,448479
2016-05-19,1121.78,1123.8,1107.35,1121.06,552144
2016-05-20,1142.99,1154.9,1134.96,1153.62,401238
2016-05-23,1185.68,1189.94,1180.7,1183.66,618425
2016-05-24,1180.7,1209.77,1165.83,1180.61,435586
2016-05-25,1190.7,1194.7,1185.25,1190.61,1063618
2016-05-26,1205.0,1214.4,1185.36,1206.3,456146
2016-05-27,1175.8,1183.1,1163.39,1169.25,364505
2016-05-30,1166.93,1192.16,1157.17,1173.93,445072
2016-05-31,1181.84,1197.28,1171.52,1190.13,931949
2016-06-01,1203.12,1209.82,1202.31,1205.25,710202
2016-06-02,1206.26,1207.2,1190.76,1204.3,721004
2016-06-03,1242.7,1268.41,1224.69,1240.92,507488
2016-06-06,1232.47,1245.07,1228.05,1228.95,770568
2016-06-07,1262.74,1270.66,1251.59,1261.5,763254
2016-06-08,1268.01,1269.19,1250.73,1261.73,882094
2016-06-09,1276.72,1283.66,1265.03,1274.69,456025
2016-06-10,1256.72,1282.24,1241.34,1251.34,294602
2016-06-13,1261.0,1261.78,1221.11,1251.49,637447
2016-06-14,1252.29,1252.57,1244.03,1245.68,606040
2016-06-15,1257.81,1277.38,1252.46,1264.04,644118
2016-06-16,1239.99,1261.39,1218.56,1248.3,620951
2016-06-17,1238.51,1261.91,1227.26,1236.13,432057
2016-06-20,1232.01,1243.75,1225.3,1226.55,769333
2016-06-21,1193.2,1201.73,1159.35,1187.21,552141
2016-06-22,1192.86,1216.21,1164.27,1201.41,216121
2016-06-23,1179.12,1190.42,1167.07,1177.94,857196
2016-06-24,1166.98,1189.01,1158.98,1162.93,842149
2016-06-27,1167.49,1173.53,1162.63,1171.51,305567
2016-06-28,1187.04,1192.11,1174.27,1183.52,1015295
2016-06-29,1198.72,1202.04,1187.38,1193.04,615906
2016-06-30,1232.06,1235.91,1215.5,1220.96,1070861
2016-07-01,1170.11,1179.09,1148.18,1168.33,895311
2016-07-04,1165.37,1167.89,1150.2,1157.55,267528
2016-07-05,1147.96,1158.46,1139.51,1152.05,392645
2016-07-06,1144.57,1156.46,1137.36,1149.63,639097
2016-07-07,1147.11,1151.42,1126.33,1143.47,236645
2016-07-08,1142.0,1149.68,1132.36,1144.81,668876
2016-07-11,1143.81,1161.41,1123.44,1145.03,663360
2016-07-12,1142.76,1146.53,1129.61,1136.91,665120
2016-07-13,1160.0,1173.62,1155.03,1161.16,367048
2016-07-14,1208.37,1240.96,1206.39,1212.09,727670
2016-07-15,1240.74,1276.64,1218.27,1226.7,661898
2016-07-18,1223.94,1229.44,1192.54,1228.88,859942
2016-07-19,1223.84,1225.81,1202.65,1220.64,835733
2016-07-20,1248.03,1261.45,1244.14,1253.55,385182
2016-07-21,1262.61,1279.94,1241.36,1262.86,414345
2016-07-22,1279.75,1288.72,1275.41,1287.09,744822
2016-07-25,1297.92,1314.99,1279.12,1288.93,434905
2016-07-26,1272.75,1301.58,1258.78,1275.19,334508
2016-07-27,1295.35,1323.21,1270.98,1288.42,630846
2016-07-28,1290.78,1296.64,1270.64,1293.95,723494
2016-07-29,1307.19,1314.35,1296.5,1302.2,745200
2016-08-01,1280.18,1283.42,1246.69,1272.03,880113
2016-08-02,1268.3,1285.17,1256.31,1273.92,821314
2016-08-03,1306.2,1335.16,1302.11,1306.96,954981
2016-08-04,1298.7,1335.17,1296.56,1307.89,1706674
2016-08-05,1315.96,1326.94,1286.11,1314.62,640415
2016-08-08,1335.46,1352.24,1332.32,1343.74,1395836
2016-08-09,1352.28,1360.63,1343.71,1353.48,845317
2016-08-10,1319.16,1331.39,1309.4,1316.69,631531
2016-08-11,1343.15,1343.75,1337.74,1337.79,541996
2016-08-12,1390.54,1399.5,1363.86,1378.62,533717
2016-08-15,1390.31,1414.15,1336.45,1389.15,1069121
2016-08-16,1394.0,1403.86,1374.13,1395.62,529664
2016-08-17,1416.89,1421.3,1399.64,1414.96,824727
2016-08-18,1429.54,1432.37,1418.32,1420.03,566663
2016-08-19,1421.9,1429.91,1414.64,1427.89,435897
2016-08-22,1400.31,1444.49,1377.64,1408.64,517520
2016-08-23,1451.21,1503.23,1427.12,1454.54,1135173
2016-08-24,1477.06,1484.78,1462.45,1482.93,538302
2016-08-25,1500.81,1500.99,1463.81,1493.45,373019
2016-08-26,1426.2,1445.37,1418.57,1428.03,807798
2016-08-29,1398.28,1403.68,1385.37,1391.46,480901
2016-08-30,1391.33,1440.53,1372.31,1392.96,519126
