Date,Open,High,Low,Close,Volume
2015-01-01,1211.5,1213.88,1155.82,1200.0,823843
2015-01-02,1203.09,1250.6,1199.54,1218.26,569888
2015-01-05,1229.55,1230.68,1218.82,1221.5,484360
2015-01-06,1224.04,1228.0,1215.39,1217.65,882932
2015-01-07,1208.64,1236.3,1206.4,1209.0,270513
2015-01-08,1195.11,1206.24,1171.63,1191.53,807225
2015-01-09,1174.82,1209.38,1158.95,1170.45,834233
2015-01-12,1182.83,1197.55,1170.9,1190.04,666014
2015-01-13,1198.46,1205.24,1177.83,1199.23,300469
2015-01-14,1184.25,1207.45,1182.74,1189.95,1002439
2015-01-15,1186.87,1206.31,1183.45,1183.99,797906
2015-01-16,1167.62,1183.77,1157.17,1173.32,367063
2015-01-19,1223.32,1232.64,1205.93,1211.32,1188050
2015-01-20,1220.54,1240.04,1203.08,1212.19,402612
2015-01-21,1209.22,1211.49,1193.66,1209.57,366295
2015-01-22,1153.32,1174.64,1138.85,1160.68,915827
2015-01-23,1122.95,1130.26,1100.62,1125.13,956503
2015-01-26,1083.96,1085.61,1058.76,1080.69,425629
2015-01-27,1088.09,1109.65,1072.14,1075.42,465723
2015-01-28,1071.31,1082.21,1063.74,1074.07,406061
2015-01-29,1082.0,1087.41,1058.1,1078.19,508966
2015-01-30,1094.01,1110.73,1086.95,1090.09,231630
2015-02-02,1074.13,1093.27,1050.47,1075.11,338521
2015-02-03,1077.06,1086.68,1063.03,1072.18,522045
2015-02-04,1065.58,1077.94,1047.37,1057.77,608544
2015-02-05,1034.8,1051.02,1029.2,1030.28,311096
2015-02-06,1027.79,1048.04,1007.73,1030.47,632440
2015-02-09,1051.16,1066.54,1037.44,1046.46,232531
2015-02-10,1045.43,1072.53,1022.34,1044.39,367984
2015-02-11,1047.17,1067.34,1035.36,1052.79,229995
2015-02-12,1053.55,1069.74,1038.15,1055.21,494430
2015-02-13,1018.07,1032.04,1012.25,1025.35,559097
2015-02-16,1046.75,1090.64,1037.4,1057.59,387440
2015-02-17,1062.02,1072.9,1044.65,1065.59,626867
2015-02-18,1027.35,1050.28,1021.27,1023.9,701098
2015-02-19,1021.64,1025.83,1005.68,1015.53,556037
2015-02-20,1017.2,1023.94,995.9,1013.56,445307
2015-02-23,984.61,1004.09,971.1,987.33,452974
2015-02-24,963.41,970.88,949.58,961.91,707105
2015-02-25,950.53,969.98,925.64,937.84,446995
2015-02-26,933.73,936.84,916.31,925.64,220561
2015-02-27,929.23,940.39,921.68,928.96,424136
2015-03-02,934.77,934.92,926.02,934.28,298712
2015-03-03,930.39,942.65,913.53,935.05,468846
2015-03-04,933.68,956.38,925.9,938.88,294262
2015-03-05,948.68,953.46,929.97,949.39,584955
2015-03-06,958.3,967.45,955.78,957.79,248884
2015-03-09,942.99,944.58,929.79,937.92,441815
2015-03-10,955.15,956.77,948.76,953.79,233958
2015-03-11,927.65,944.09,920.91,925.32,321326
2015-03-12,940.89,942.33,930.65,936.3,262583
2015-03-13,952.89,962.48,946.04,950.81,250786
2015-03-16,947.0,951.42,940.46,949.83,302897
2015-03-17,933.59,946.82,912.15,929.75,646065
2015-03-18,947.67,959.97,930.99,945.45,276231
2015-03-19,936.74,954.18,929.28,930.48,489105
2015-03-20,945.21,950.85,938.34,949.65,318510
2015-03-23,955.13,980.0,933.97,946.15,446312
2015-03-24,936.78,955.78,928.19,938.8,325357
2015-03-25,938.49,947.89,931.04,942.52,326531
2015-03-26,986.13,987.79,976.49,983.34,405091
2015-03-27,963.93,980.0,940.52,957.39,493923
2015-03-30,949.86,967.34,916.24,954.36,776308
2015-03-31,947.01,950.78,919.42,944.16,204958
2015-04-01,936.05,940.78,934.68,939.14,193656
2015-04-02,947.72,956.55,938.76,946.6,635323
2015-04-03,984.23,999.31,965.16,975.41,539557
2015-04-06,952.38,959.11,938.7,957.99,337260
2015-04-07,985.84,996.65,961.42,989.22,624735
2015-04-08,995.02,1000.73,978.35,992.57,431969
2015-04-09,966.89,1004.38,951.67,964.76,592357
2015-04-10,968.24,974.87,949.58,956.82,637257
2015-04-13,971.64,1001.61,955.07,974.94,307148
2015-04-14,989.22,1016.53,958.57,983.95,687151
2015-04-15,1000.25,1010.84,985.88,988.87,344727
2015-04-16,968.32,982.24,955.37,967.39,456960
2015-04-17,987.31,1005.8,984.67,988.11,564770
2015-04-20,997.89,1012.05,983.81,1000.08,400669
2015-04-21,988.1,1003.78,967.89,991.39,435774
2015-04-22,976.52,992.15,955.31,979.26,205536
2015-04-23,960.5,969.19,940.54,948.04,840164
2015-04-24,946.19,949.61,931.2,940.55,430240
2015-04-27,970.71,980.31,967.15,974.01,238094
2015-04-28,1019.57,1019.7,1015.68,1018.44,1445750
2015-04-29,993.25,996.58,985.96,993.25,172043
2015-04-30,1002.16,1004.8,985.42,1002.95,437893
2015-05-01,1005.35,1016.87,986.85,999.52,477963
2015-05-04,1017.95,1027.36,1006.2,1017.96,335601
2015-05-05,1067.34,1075.53,1054.91,1071.39,343930
2015-05-06,1099.69,1116.36,1072.24,1089.54,307948
2015-05-07,1121.16,1141.81,1109.25,1123.28,404305
2015-05-08,1108.8,1132.07,1108.07,1109.59,524596
2015-05-11,1078.74,1084.38,1065.42,1078.01,493046
2015-05-12,1068.66,1079.73,1045.6,1067.43,343536
2015-05-13,1100.9,1141.1,1092.67,1105.08,576091
2015-05-14,1128.07,1133.26,1117.42,1129.13,278279
2015-05-15,1120.86,1132.73,1093.41,1113.72,418763
2015-05-18,1136.36,1140.87,1107.16,1130.75,600972
2015-05-19,1126.57,1146.16,1122.72,1139.24,697286
2015-05-20,1106.34,1119.27,1086.98,1116.53,575792
2015-05-21,1115.11,1137.39,1112.8,1121.27,375736
2015-05-22,1127.98,1139.99,1126.1,1139.97,1196287
2015-05-25,1145.45,1163.18,1139.27,1154.01,1072442
2015-05-26,1131.01,1173.37,1122.62,1128.91,546432
2015-05-27,1082.01,1113.08,1072.94,1089.23,478119
2015-05-28,1121.28,1137.25,1107.67,1118.68,227487
2015-05-29,1139.15,1159.28,1124.74,1137.66,1031935
2015-06-01,1170.17,1187.76,1132.33,1179.24,683047
2015-06-02,1223.08,1226.25,1195.05,1218.81,784280
2015-06-03,1194.48,1202.98,1183.36,1201.81,786878
2015-06-04,1215.21,1250.23,1204.29,1209.09,655883
2015-06-05,1194.48,1214.98,1187.72,1193.05,288768
2015-06-08,1192.64,1194.2,1178.22,1189.52,575696
2015-06-09,1188.47,1189.39,1178.24,1189.22,397336
2015-06-10,1200.56,1211.57,1170.26,1196.89,667270
2015-06-11,1186.08,1221.54,1170.27,1191.06,651098
2015-06-12,1203.97,1214.35,1180.14,1201.16,1002313
2015-06-15,1209.18,1212.08,1195.12,1199.44,387959
2015-06-16,1212.2,1224.33,1208.08,1213.49,224038
2015-06-17,1204.41,1231.02,1189.99,1204.39,447238
2015-06-18,1215.76,1247.09,1212.86,1219.87,957959
2015-06-19,1210.05,1236.26,1180.43,1200.22,204371
2015-06-22,1167.83,1187.74,1162.49,1178.69,912668
2015-06-23,1180.0,1206.78,1156.16,1183.72,512480
2015-06-24,1181.0,1217.75,1169.09,1169.54,709210
2015-06-25,1196.86,1200.71,1184.01,1188.72,915579
2015-06-26,1229.99,1235.23,1225.97,1229.78,1113669
2015-06-29,1241.59,1260.57,1240.68,1250.5,359397
2015-06-30,1253.24,1287.14,1241.52,1245.06,262693
2015-07-01,1286.09,1300.63,1282.06,1287.4,945638
2015-07-02,1278.03,1282.92,1258.0,1273.77,717745
2015-07-03,1276.42,1279.23,1264.15,1265.57,1034336
2015-07-06,1274.48,1299.97,1263.29,1263.38,503180
2015-07-07,1277.41,1306.37,1255.87,1274.65,316214
2015-07-08,1272.6,1275.73,1264.72,1274.08,564849
2015-07-09,1275.89,1287.85,1264.3,1269.16,875582
2015-07-10,1284.38,1319.82,1256.73,1291.07,500726
2015-07-13,1302.06,1317.6,1289.13,1313.98,486694
2015-07-14,1315.53,1318.28,1275.28,1306.39,392095
2015-07-15,1330.39,1375.27,1286.93,1326.85,926607
2015-07-16,1301.82,1329.78,1295.98,1311.59,387740
2015-07-17,1325.18,1341.76,1316.59,1330.51,494878
2015-07-20,1301.52,1327.53,1296.46,1308.38,228627
2015-07-21,1331.72,1344.4,1313.21,1324.31,323189
2015-07-22,1316.48,1321.66,1298.32,1314.24,774629
2015-07-23,1304.53,1310.06,1289.33,1291.19,393411
2015-07-24,1358.31,1401.08,1333.75,1343.49,398151
2015-07-27,1369.03,1386.17,1350.08,1353.58,653306
2015-07-28,1346.0,1358.52,1314.68,1336.3,574108
2015-07-29,1315.55,1345.78,1273.13,1309.05,447854
2015-07-30,1334.55,1347.66,1323.94,1328.29,523018
2015-07-31,1327.76,1355.51,1323.29,1324.88,813939
2015-08-03,1356.65,1363.58,1305.16,1347.54,707524
2015-08-04,1399.24,1400.18,1361.08,1393.54,604899
2015-08-05,1394.23,1405.44,1377.56,1391.23,842425
2015-08-06,1405.05,1433.31,1394.27,1405.91,453506
2015-08-07,1378.08,1395.33,1357.91,1386.57,719323
2015-08-10,1393.62,1417.63,1372.0,1387.93,564214
2015-08-11,1402.28,1433.7,1383.46,1408.82,577176
2015-08-12,1379.0,1385.15,1373.95,1384.54,558878
2015-08-13,1389.3,1418.55,1389.14,1400.34,382576
2015-08-14,1401.98,1403.81,1394.87,1403.31,912549
2015-08-17,1425.85,1437.05,1415.21,1427.76,747055
2015-08-18,1397.58,1433.94,1370.63,1398.59,728218
2015-08-19,1338.02,1352.7,1334.26,1350.05,1074281
2015-08-20,1363.5,1370.48,1320.4,1353.84,649817
2015-08-21,1331.74,1371.91,1321.87,1338.29,512543
2015-08-24,1379.13,1403.92,1373.66,1395.47,457711
2015-08-25,1418.06,1449.62,1405.4,1420.71,434396
2015-08-26,1409.37,1438.02,1404.96,1406.42,1044932
2015-08-27,1384.14,1416.42,1365.25,1381.45,1322217
2015-08-28,1406.98,1416.29,1371.03,1405.79,426088
2015-08-31,1370.63,1388.93,1352.28,1371.69,526189
2015-09-01,1350.33,1364.15,1326.17,1355.57,483142
2015-09-02,1354.27,1383.04,1326.36,1348.48,359314
2015-09-03,1394.51,1398.6,1374.76,1375.6,694679
2015-09-04,1415.65,1415.76,1383.25,1414.74,487114
2015-09-07,1407.79,1429.16,1389.82,1414.15,1518090
2015-09-08,1498.12,1515.07,1465.59,1487.58,869374
2015-09-09,1502.25,1524.2,1475.68,1510.97,629049
2015-09-10,1502.86,1542.93,1484.24,1520.79,973336
2015-09-11,1523.54,1524.31,1491.88,1507.08,896674
2015-09-14,1461.92,1488.05,1447.96,1459.45,617861
2015-09-15,1446.21,1465.56,1419.63,1433.13,599853
2015-09-16,1405.83,1418.55,1397.97,1407.55,1368464
2015-09-17,1410.81,1439.13,1410.35,1410.93,387479
2015-09-18,1401.48,1421.1,1362.96,1395.41,419607
2015-09-21,1341.2,1351.48,1315.27,1337.77,293729
2015-09-22,1348.37,1369.05,1342.58,1356.28,745658
2015-09-23,1352.58,1372.05,1322.16,1359.54,497828
2015-09-24,1338.58,1343.71,1326.94,1335.97,1132119
2015-09-25,1362.42,1365.01,1328.09,1356.39,625352
2015-09-28,1355.93,1374.84,1333.57,1364.53,441678
2015-09-29,1373.78,1377.45,1365.67,1376.08,554155
2015-09-30,1380.63,1393.05,1367.76,1386.55,660794
2015-10-01,1401.94,1417.94,1376.67,1412.14,491431
2015-10-02,1438.86,1442.48,1428.69,1438.44,643461
2015-10-05,1434.35,1455.31,1413.84,1440.63,1009298
2015-10-06,1438.29,1444.25,1420.98,1432.2,611558
2015-10-07,1446.3,1464.05,1412.79,1437.23,338041
2015-10-08,1412.3,1427.6,1390.67,1404.85,759747
2015-10-09,1408.82,1415.91,1385.43,1403.3,791612
2015-10-12,1396.33,1421.51,1392.23,1409.49,544524
2015-10-13,1399.21,1402.42,1365.31,1392.42,721856
2015-10-14,1453.53,1471.36,1434.28,1443.7,435074
2015-10-15,1439.19,1453.89,1428.09,1428.54,350120
2015-10-16,1384.55,1404.08,1352.9,1393.11,655755
2015-10-19,1354.15,1358.69,1335.1,1353.48,651199
2015-10-20,1321.16,1356.48,1319.67,1320.13,353675
2015-10-21,1323.07,1343.41,1305.32,1311.32,432651
2015-10-22,1375.01,1397.31,1346.01,1363.27,1143158
2015-10-23,1343.83,1356.76,1334.72,1352.11,724133
2015-10-26,1378.04,1382.45,1375.54,1378.42,839499
2015-10-27,1417.74,1490.97,1407.16,1426.79,683108
2015-10-28,1425.19,1452.25,1393.89,1429.38,605636
2015-10-29,1445.36,1461.72,1437.37,1454.66,755039
2015-10-30,1434.99,1437.7,1406.5,1433.25,418752
2015-11-02,1428.24,1444.91,1414.18,1435.46,968083
2015-11-03,1432.84,1433.18,1416.7,1423.96,558524
2015-11-04,1413.9,1430.96,1390.72,1428.24,385869
2015-11-05,1455.9,1465.71,1442.6,1452.01,872008
2015-11-06,1470.8,1488.83,1450.82,1465.66,848008
2015-11-09,1405.47,1428.4,1375.39,1415.76,745931
2015-11-10,1395.87,1420.43,1379.99,1398.23,537736
2015-11-11,1337.34,1360.45,1332.9,1356.64,691189
2015-11-12,1358.12,1363.35,1331.91,1346.64,430720
2015-11-13,1349.76,1384.15,1346.13,1355.67,462867
2015-11-16,1329.31,1330.49,1302.55,1322.09,658426
2015-11-17,1321.81,1333.48,1314.81,1319.06,682752
2015-11-18,1307.71,1316.52,1282.22,1297.21,524298
2015-11-19,1305.15,1322.97,1284.99,1302.95,733833
2015-11-20,1312.48,1362.72,1289.94,1315.23,884726
2015-11-23,1294.61,1314.57,1276.51,1311.87,744565
2015-11-24,1319.45,1334.44,1277.27,1317.59,1075672
2015-11-25,1309.66,1327.62,1276.18,1313.75,688081
2015-11-26,1331.21,1361.71,1311.04,1335.94,328219
2015-11-27,1329.11,1357.68,1318.68,1319.92,581708
2015-11-30,1318.72,1329.1,1311.89,1313.78,261552
2015-12-01,1342.88,1362.39,1328.92,1350.2,578962
2015-12-02,1327.74,1336.22,1303.72,1327.99,1059939
2015-12-03,1314.34,1335.71,1304.0,1314.2,430324
2015-12-04,1361.01,1386.21,1337.02,1353.39,712479
2015-12-07,1329.65,1330.5,1303.06,1320.1,707149
2015-12-08,1313.94,1329.13,1310.76,1316.33,672216
2015-12-09,1309.42,1318.98,1298.49,1313.69,757451
2015-12-10,1329.04,1330.0,1310.5,1327.84,788844
2015-12-11,1318.14,1362.99,1303.97,1325.74,791764
2015-12-14,1326.86,1341.33,1303.87,1322.01,588945
2015-12-15,1368.27,1381.42,1325.86,1372.57,662289
2015-12-16,1399.01,1408.15,1387.83,1399.93,1097389
2015-12-17,1394.77,1423.77,1384.51,1403.84,660783
2015-12-18,1419.37,1462.31,1402.6,1429.52,756034
2015-12-21,1435.32,1454.84,1417.05,1432.92,633669
2015-12-22,1482.74,1487.6,1460.74,1472.12,648147
2015-12-23,1459.14,1478.42,1451.94,1467.84,979234
2015-12-24,1455.13,1480.66,1437.5,1439.13,524730
2015-12-25,1459.96,1461.32,1448.03,1454.29,877492
2015-12-28,1493.15,1497.0,1470.64,1490.79,536082
2015-12-29,1523.56,1536.72,1506.98,1523.95,832333
2015-12-30,1535.11,1542.62,1511.82,1540.76,486946
2015-12-31,1557.57,1580.52,1521.06,1549.83,954772
2016-01-01,1581.08,1601.33,1558.56,1580.27,533054
2016-01-04,1556.53,1570.6,1554.22,1562.13,409410
2016-01-05,1550.96,1562.84,1524.39,1562.09,442690
2016-01-06,1603.59,1613.65,1552.92,1578.87,632861
2016-01-07,1616.75,1632.41,1578.68,1600.26,507832
2016-01-08,1578.25,1583.53,1559.2,1577.93,1337014
2016-01-11,1632.77,1646.77,1616.1,1635.24,878084
2016-01-12,1604.04,1642.53,1599.91,1605.54,985185
2016-01-13,1625.36,1670.78,1603.26,1607.19,1000157
2016-01-14,1645.01,1691.24,1616.39,1644.43,194908
2016-01-15,1666.37,1680.94,1637.57,1678.72,617054
2016-01-18,1694.91,1727.96,1668.0,1710.14,668343
2016-01-19,1679.35,1698.04,1655.6,1686.29,911248
2016-01-20,1667.11,1716.1,1662.88,1665.6,639858
2016-01-21,1634.92,1646.18,1602.44,1637.69,561488
2016-01-22,1643.01,1673.91,1594.24,1639.15,563011
2016-01-25,1660.62,1693.25,1659.14,1678.44,889521
2016-01-26,1642.2,1700.7,1621.92,1655.96,2002079
2016-01-27,1668.79,1669.98,1656.39,1663.15,948707
2016-01-28,1614.93,1623.88,1586.57,1602.99,929701
2016-01-29,1651.61,1680.51,1636.15,1669.79,331797
2016-02-01,1635.28,1650.15,1613.42,1641.39,474270
2016-02-02,1679.3,1706.91,1657.54,1673.39,975617
2016-02-03,1672.28,1679.26,1648.23,1674.49,775267
2016-02-04,1683.79,1712.35,1660.83,1686.93,819514
2016-02-05,1652.99,1670.31,1634.52,1654.95,978435
2016-02-08,1684.69,1700.44,1658.55,1683.39,757967
2016-02-09,1659.66,1665.9,1641.94,1652.64,1539861
2016-02-10,1673.84,1714.9,1639.36,1677.32,970139
2016-02-11,1655.58,1662.38,1633.96,1649.79,959901
2016-02-12,1670.9,1710.96,1624.92,1668.4,574416
2016-02-15,1667.44,1677.67,1660.13,1662.53,1149871
2016-02-16,1700.3,1703.82,1662.67,1695.05,1228717
2016-02-17,1685.14,1690.1,1669.67,1685.71,966947
2016-02-18,1697.35,1716.61,1666.09,1698.6,398624
2016-02-19,1641.57,1665.41,1633.8,1652.62,662711
2016-02-22,1711.09,1727.4,1684.27,1703.44,984130
2016-02-23,1722.52,1758.1,1688.44,1726.38,1131785
2016-02-24,1739.82,1760.71,1721.52,1750.19,409416
2016-02-25,1818.61,1831.24,1816.13,1819.91,1386600
