Date,Open,High,Low,Close,Volume
2015-01-01,346.14,355.78,342.19,350.0,526620
2015-01-02,353.13,359.29,349.64,351.78,789190
2015-01-05,357.63,357.67,352.27,356.72,1244998
2015-01-06,356.02,358.99,347.81,355.38,354375
2015-01-07,355.67,359.17,349.7,351.8,788570
2015-01-08,352.74,363.21,350.61,354.9,661307
2015-01-09,359.37,362.83,356.71,358.16,328136
2015-01-12,366.78,367.64,362.55,367.29,1117718
2015-01-13,377.25,381.29,367.83,373.25,417180
2015-01-14,368.27,371.69,367.21,368.07,384972
2015-01-15,375.78,379.08,364.98,372.13,632716
2015-01-16,369.06,373.11,366.02,372.77,711353
2015-01-19,376.61,380.16,372.95,379.38,310891
2015-01-20,371.91,375.55,369.83,374.37,407990
2015-01-21,360.41,369.29,357.47,361.73,869085
2015-01-22,355.05,367.89,351.37,357.96,524157
2015-01-23,361.52,364.82,340.93,355.46,521987
2015-01-26,359.42,364.72,358.06,362.37,418360
2015-01-27,372.73,388.25,366.51,376.7,589125
2015-01-28,380.92,384.56,373.04,381.93,796318
2015-01-29,376.48,384.0,376.4,380.39,441840
2015-01-30,380.42,386.36,378.13,383.02,734274
2015-02-02,382.5,385.56,375.63,381.64,730657
2015-02-03,385.7,397.48,379.07,385.07,539058
2015-02-04,384.54,389.08,375.85,387.62,390003
2015-02-05,385.64,389.32,379.06,385.29,418193
2015-02-06,385.73,391.98,376.58,382.5,1079806
2015-02-09,384.29,394.03,380.48,383.94,718650
2015-02-10,381.28,386.36,374.52,382.92,954915
2015-02-11,374.56,384.08,369.35,378.09,719178
2015-02-12,389.42,399.8,388.83,389.53,597995
2015-02-13,393.32,400.48,391.56,395.9,816196
2015-02-16,403.16,418.21,395.79,405.71,190467
2015-02-17,407.75,415.11,407.67,414.14,612279
2015-02-18,419.44,420.34,412.02,418.45,528178
2015-02-19,407.23,418.64,390.82,411.03,1215913
2015-02-20,392.32,397.55,387.71,390.49,739853
2015-02-23,397.65,405.3,392.62,397.07,348350
2015-02-24,383.92,393.57,380.13,384.72,1007151
2015-02-25,376.93,381.62,369.12,375.81,791388
2015-02-26,380.76,387.76,372.83,376.37,744109
2015-02-27,382.37,391.0,379.67,385.17,695715
2015-03-02,382.81,383.86,382.43,383.82,435475
2015-03-03,381.93,388.56,372.62,387.21,289654
2015-03-04,390.57,401.58,387.03,392.94,585189
2015-03-05,394.55,402.22,385.29,392.2,347540
2015-03-06,387.86,389.0,383.05,388.75,570955
2015-03-09,392.6,394.11,390.19,392.38,391907
2015-03-10,386.81,391.84,386.52,389.71,755010
2015-03-11,397.14,404.17,394.02,397.3,843343
2015-03-12,392.14,409.09,382.19,395.99,425858
2015-03-13,391.58,398.0,387.88,393.3,407866
2015-03-16,385.34,390.64,377.01,383.34,516728
2015-03-17,382.71,390.9,378.8,380.6,646227
2015-03-18,365.99,374.75,365.36,369.31,663524
