Date,Open,High,Low,Close,Volume
2015-01-01,300.29,302.19,297.67,300.0,362804
2015-01-02,295.67,298.15,293.48,294.88,631349
2015-01-05,298.77,299.94,296.21,296.24,614072
2015-01-06,300.32,300.62,296.65,298.9,1293822
2015-01-07,303.32,305.78,301.62,304.28,567919
2015-01-08,304.0,307.21,298.14,300.33,350601
2015-01-09,299.01,299.92,296.52,299.2,158570
2015-01-12,300.68,305.44,292.39,298.7,410522
2015-01-13,300.24,304.27,300.12,301.42,629771
2015-01-14,307.09,308.4,304.67,305.65,499720
2015-01-15,304.98,306.2,301.02,304.06,494974
2015-01-16,305.55,306.89,300.38,304.63,825220
2015-01-19,303.05,304.4,300.91,302.43,926146
2015-01-20,300.06,311.66,296.49,300.77,261883
2015-01-21,301.69,303.22,300.62,301.06,315689
2015-01-22,296.09,299.35,292.66,297.94,266519
2015-01-23,298.15,305.1,295.67,300.89,355331
2015-01-26,298.22,301.87,294.26,301.32,1155700
2015-01-27,306.3,306.85,305.19,306.5,420719
2015-01-28,302.31,305.1,296.58,300.98,656117
2015-01-29,298.56,301.96,292.27,298.36,585998
2015-01-30,302.02,309.34,300.68,302.75,586944
2015-02-02,304.97,305.69,299.93,303.62,799259
2015-02-03,295.89,300.79,288.05,299.12,414601
2015-02-04,294.56,297.13,285.77,296.1,818663
2015-02-05,293.54,306.17,292.51,295.71,616307
2015-02-06,292.96,301.82,292.92,293.82,463031
2015-02-09,291.75,297.86,289.04,291.19,393728
2015-02-10,293.64,296.72,291.15,292.25,384677
2015-02-11,292.39,293.48,291.56,292.15,684682
2015-02-12,294.65,297.75,291.75,291.79,692725
2015-02-13,285.89,285.9,282.96,285.44,1046153
2015-02-16,293.75,295.73,290.65,291.36,301221
2015-02-17,297.81,299.17,292.0,296.6,699307
2015-02-18,294.83,296.27,289.5,295.06,326792
2015-02-19,296.43,297.81,291.41,295.56,306526
2015-02-20,289.57,290.94,285.43,290.22,436275
2015-02-23,287.29,287.89,284.19,287.44,722296
2015-02-24,277.13,282.09,269.94,274.89,339105
2015-02-25,273.75,275.23,272.91,274.45,215463
2015-02-26,274.24,274.76,270.2,274.71,482561
2015-02-27,281.73,286.5,279.7,281.72,454647
2015-03-02,279.54,280.09,277.23,279.66,284369
2015-03-03,283.93,285.02,283.24,284.72,363465
2015-03-04,286.51,287.08,281.98,285.07,706538
2015-03-05,288.08,288.17,283.59,287.0,680792
2015-03-06,283.25,284.44,279.17,283.59,248866
2015-03-09,280.28,281.11,275.77,280.65,446998
2015-03-10,275.17,280.0,274.47,276.71,667097
2015-03-11,283.82,284.33,277.66,281.94,584228
2015-03-12,279.71,281.18,279.65,279.84,583661
2015-03-13,282.45,286.96,279.35,282.52,419475
2015-03-16,280.3,286.65,274.97,281.54,507252
2015-03-17,282.24,287.67,281.01,284.99,639931
2015-03-18,290.18,292.71,285.9,292.12,229944
2015-03-19,293.69,296.23,289.52,292.34,342385
2015-03-20,290.87,294.09,286.08,292.72,464344
2015-03-23,294.53,298.34,291.28,294.03,196824
2015-03-24,294.85,300.36,288.22,294.61,543989
2015-03-25,291.27,291.78,285.25,290.69,986337
2015-03-26,292.26,298.74,290.9,292.69,400221
2015-03-27,287.51,290.81,286.13,287.79,420598
2015-03-30,283.78,286.54,275.48,283.9,394606
2015-03-31,280.6,282.37,276.99,279.33,282769
2015-04-01,280.09,288.36,278.11,280.88,288084
2015-04-02,288.36,291.52,285.52,286.95,361270
2015-04-03,285.66,291.28,285.0,287.01,378478
2015-04-06,294.11,294.42,289.65,294.41,871591
2015-04-07,293.42,294.71,287.12,293.17,195276
2015-04-08,295.36,298.34,291.56,294.82,199465
2015-04-09,295.11,299.28,289.86,292.61,515562
2015-04-10,292.66,298.0,286.84,294.57,384232
2015-04-13,297.94,301.72,293.72,297.96,466015
2015-04-14,293.91,300.24,293.21,293.87,805176
2015-04-15,290.11,296.39,279.84,291.3,758819
2015-04-16,282.44,285.95,276.56,282.28,1212976
2015-04-17,282.69,289.96,279.69,286.19,257744
2015-04-20,285.31,289.21,283.42,285.86,258030
2015-04-21,282.15,283.1,280.4,281.38,723853
2015-04-22,283.13,284.1,282.67,283.95,643967
2015-04-23,287.72,289.11,285.75,287.98,457575
2015-04-24,285.44,290.75,282.0,284.39,432930
2015-04-27,282.4,287.29,280.8,283.43,547788
2015-04-28,277.52,278.91,272.3,278.27,587875
2015-04-29,281.17,282.98,277.14,280.43,379328
2015-04-30,275.25,275.76,274.77,275.65,399467
2015-05-01,278.54,278.98,276.09,278.75,412105
2015-05-04,279.27,280.99,275.85,278.49,247530
2015-05-05,280.27,284.65,278.68,283.18,373503
2015-05-06,280.29,282.7,273.93,279.47,714773
2015-05-07,272.1,274.86,270.4,273.27,626582
2015-05-08,280.34,285.93,276.46,277.59,259669
2015-05-11,283.62,285.83,274.3,283.36,493589
2015-05-12,283.04,286.25,272.89,281.24,846443
2015-05-13,287.19,288.28,283.6,286.14,481014
2015-05-14,283.95,284.88,281.22,284.73,286633
2015-05-15,283.56,283.66,282.38,283.4,842842
2015-05-18,280.36,285.33,277.36,280.78,721576
2015-05-19,298.02,298.76,292.72,294.61,711106
2015-05-20,290.4,296.71,290.14,293.67,265000
2015-05-21,291.55,292.51,289.93,291.63,416147
2015-05-22,285.89,287.57,285.67,287.47,466819
2015-05-25,287.17,288.83,282.93,286.72,650819
2015-05-26,279.73,281.71,278.63,280.22,405634
2015-05-27,280.86,284.18,279.22,280.06,486021
2015-05-28,266.63,274.28,263.67,267.46,330750
2015-05-29,264.42,268.72,258.16,264.05,643935
2015-06-01,268.77,272.46,267.42,269.61,255903
