Date,Open,High,Low,Close,Volume
2015-01-01,339.44,341.56,336.68,340.0,432214
2015-01-02,339.88,342.33,334.66,339.71,530945
2015-01-05,340.21,341.7,335.66,340.78,525915
2015-01-06,330.0,334.2,327.32,333.29,393804
2015-01-07,328.82,337.59,327.09,328.92,615282
2015-01-08,324.3,325.14,320.51,323.39,448732
2015-01-09,320.43,325.15,319.0,322.59,290452
2015-01-12,330.01,331.72,327.45,328.35,836493
2015-01-13,328.98,340.63,327.53,330.3,337239
2015-01-14,331.6,333.58,324.05,331.13,515909
2015-01-15,323.45,326.33,319.89,321.99,572068
2015-01-16,331.13,334.27,326.49,332.67,407405
2015-01-19,321.46,324.92,316.44,323.08,583284
2015-01-20,319.13,320.19,311.34,319.03,340421
2015-01-21,312.03,312.61,307.82,309.23,383349
2015-01-22,311.42,315.38,306.26,314.11,459485
2015-01-23,319.15,320.17,317.97,319.03,566199
2015-01-26,313.29,320.76,310.44,314.69,902714
2015-01-27,318.91,326.82,316.81,317.89,933544
2015-01-28,311.85,315.38,310.69,314.9,494691
2015-01-29,317.98,323.41,310.12,314.77,346410
2015-01-30,322.2,329.02,320.3,320.77,376088
2015-02-02,317.48,319.05,313.51,318.95,852458
2015-02-03,323.14,326.47,321.26,322.94,319993
2015-02-04,319.43,322.22,317.16,320.28,405442
2015-02-05,330.22,336.03,330.11,330.41,393078
2015-02-06,338.84,341.54,334.12,338.03,498015
2015-02-09,336.31,340.07,333.46,338.35,327903
2015-02-10,337.6,345.05,326.02,336.02,310862
2015-02-11,334.25,336.14,330.95,334.05,615942
2015-02-12,332.35,340.98,331.51,333.98,637902
2015-02-13,334.48,339.29,328.43,334.07,922232
2015-02-16,329.01,332.19,326.83,329.13,477493
2015-02-17,330.88,332.29,328.28,331.5,266049
2015-02-18,323.49,330.97,316.99,322.87,307850
2015-02-19,322.95,323.71,322.22,323.33,568781
2015-02-20,323.42,326.69,318.31,322.13,240719
2015-02-23,315.54,319.65,312.49,318.68,547407
2015-02-24,312.35,315.75,308.13,313.29,381144
2015-02-25,308.31,313.15,306.59,309.2,325964
2015-02-26,306.65,310.77,298.44,307.93,723243
2015-02-27,308.37,308.72,299.39,307.24,460044
2015-03-02,310.56,313.21,303.94,311.41,374772
2015-03-03,317.07,325.46,313.22,315.84,351933
2015-03-04,318.97,322.5,317.4,318.1,1239808
2015-03-05,316.66,320.68,310.57,316.64,563089
2015-03-06,304.6,307.61,303.24,305.37,544842
2015-03-09,306.24,308.52,302.57,305.85,247418
2015-03-10,299.27,301.15,297.78,298.88,585066
2015-03-11,301.22,304.29,294.8,299.41,566255
2015-03-12,299.04,299.87,297.09,299.34,228107
2015-03-13,302.53,302.65,299.37,301.55,464212
2015-03-16,299.85,301.3,298.73,299.78,510889
2015-03-17,292.84,294.72,289.77,293.32,617185
2015-03-18,295.79,297.86,291.3,293.77,372021
2015-03-19,289.75,290.99,288.54,289.08,434564
2015-03-20,294.76,301.36,286.67,295.47,464127
2015-03-23,294.69,299.19,294.45,294.72,940267
2015-03-24,297.8,308.32,296.31,296.75,564990
2015-03-25,297.38,300.09,294.29,297.06,187115
2015-03-26,302.43,304.09,293.69,303.38,637591
2015-03-27,301.18,301.8,296.01,301.67,312248
2015-03-30,301.53,302.25,297.48,300.19,302169
2015-03-31,296.69,297.9,295.68,297.55,820803
2015-04-01,299.46,300.61,297.48,298.42,330339
2015-04-02,303.16,306.29,301.67,304.45,648717
2015-04-03,313.17,314.4,310.58,314.03,644827
2015-04-06,314.13,315.76,305.03,311.32,457481
2015-04-07,306.48,308.26,302.41,306.69,336479
2015-04-08,298.75,303.76,295.74,298.27,402063
2015-04-09,295.24,299.59,294.06,298.51,623229
2015-04-10,300.82,302.69,298.62,301.41,338281
2015-04-13,302.66,303.34,301.46,302.03,297217
2015-04-14,294.02,294.82,288.72,294.66,189568
2015-04-15,296.23,299.68,294.37,296.38,399707
2015-04-16,290.93,292.91,283.41,290.18,235823
2015-04-17,293.71,297.27,289.84,294.02,329766
2015-04-20,286.81,292.16,285.87,287.79,449307
2015-04-21,288.51,293.66,284.42,288.55,360705
2015-04-22,292.04,294.46,289.61,292.84,327954
2015-04-23,288.92,296.73,285.43,292.02,333105
2015-04-24,289.72,297.91,284.36,290.06,426202
2015-04-27,290.13,296.11,289.84,292.81,485335
2015-04-28,297.86,303.25,292.83,294.99,908245
2015-04-29,300.87,305.11,300.51,302.04,311936
2015-04-30,302.07,303.36,299.35,301.04,538460
2015-05-01,310.28,311.14,301.52,307.76,585707
2015-05-04,310.0,311.32,304.66,309.52,466002
2015-05-05,309.48,313.13,299.84,312.02,520472
2015-05-06,306.53,310.38,306.49,308.83,418184
2015-05-07,315.7,319.1,315.21,315.72,697793
2015-05-08,321.82,324.78,314.01,319.29,667995
2015-05-11,320.01,321.98,318.84,320.43,389974
2015-05-12,324.71,327.15,317.85,323.94,369905
2015-05-13,323.97,324.55,319.74,322.39,280471
2015-05-14,318.8,320.55,315.32,317.64,463710
2015-05-15,312.5,314.13,310.19,313.02,785671
2015-05-18,310.59,312.59,306.78,311.65,803060
2015-05-19,319.42,321.8,315.79,318.41,368579
2015-05-20,323.36,324.12,316.76,321.53,630353
2015-05-21,324.63,332.31,317.5,323.89,657645
2015-05-22,321.9,325.74,318.04,322.24,458026
2015-05-25,323.91,329.19,314.58,324.88,460370
2015-05-26,323.85,329.99,321.18,325.67,380133
2015-05-27,320.06,323.86,319.01,322.22,501506
2015-05-28,329.21,335.26,328.95,330.81,631019
2015-05-29,335.23,337.5,330.1,335.33,1128549
2015-06-01,333.03,336.18,330.63,334.22,280770
2015-06-02,340.54,344.62,339.73,341.45,635715
2015-06-03,336.94,338.01,330.84,335.63,500158
2015-06-04,337.34,339.79,331.83,338.96,852809
2015-06-05,340.69,343.94,340.42,341.72,534141
2015-06-08,337.84,340.46,331.5,336.92,395044
2015-06-09,329.55,337.1,327.92,330.64,383986
