Date,Open,High,Low,Close,Volume
2015-01-01,1499.54,1506.01,1493.32,1500.0,615562
2015-01-02,1504.54,1506.03,1504.41,1505.61,468449
2015-01-05,1506.63,1509.69,1490.43,1501.58,465801
2015-01-06,1514.02,1526.1,1512.73,1520.15,571399
2015-01-07,1539.36,1540.8,1520.12,1523.79,305995
2015-01-08,1524.24,1536.91,1508.46,1523.96,555128
2015-01-09,1517.83,1524.3,1513.5,1520.77,709028
2015-01-12,1542.05,1569.56,1537.24,1540.96,660287
2015-01-13,1562.53,1564.78,1541.34,1564.64,439131
2015-01-14,1545.27,1551.74,1527.75,1548.91,1314827
2015-01-15,1567.65,1570.77,1558.44,1563.43,275575
2015-01-16,1578.81,1590.27,1547.51,1582.68,683325
2015-01-19,1554.82,1592.65,1551.52,1565.5,882778
2015-01-20,1565.0,1576.7,1553.03,1570.75,574194
2015-01-21,1574.1,1574.28,1560.63,1568.59,480326
2015-01-22,1547.79,1558.46,1532.79,1552.63,421389
2015-01-23,1538.36,1560.92,1535.49,1539.9,586023
2015-01-26,1543.42,1552.69,1530.16,1537.56,430753
2015-01-27,1549.2,1555.66,1543.28,1549.54,538282
2015-01-28,1551.49,1557.21,1523.95,1542.82,521811
2015-01-29,1551.76,1562.64,1535.75,1547.15,623024
2015-01-30,1551.63,1562.7,1541.06,1555.81,366606
2015-02-02,1558.56,1568.18,1546.79,1563.79,395968
2015-02-03,1566.57,1570.3,1563.7,1564.28,467217
2015-02-04,1539.72,1553.65,1528.63,1551.14,406945
2015-02-05,1548.43,1558.04,1545.03,1546.62,732450
2015-02-06,1557.21,1566.04,1539.35,1552.08,582274
2015-02-09,1530.91,1541.38,1526.86,1534.64,275465
2015-02-10,1536.25,1547.38,1523.17,1539.86,860450
2015-02-11,1541.31,1558.01,1532.13,1536.39,579083
2015-02-12,1540.73,1544.2,1522.4,1533.12,489099
2015-02-13,1547.38,1563.74,1540.83,1550.01,480913
2015-02-16,1545.15,1563.22,1515.68,1539.5,325669
2015-02-17,1549.43,1559.01,1540.95,1555.34,419821
2015-02-18,1557.56,1557.87,1545.39,1553.6,529738
2015-02-19,1571.0,1590.39,1562.65,1574.44,431769
2015-02-20,1558.12,1566.12,1551.58,1560.78,270594
2015-02-23,1564.43,1569.49,1552.2,1555.34,336370
2015-02-24,1563.48,1584.41,1549.22,1551.47,848635
2015-02-25,1546.45,1551.51,1537.72,1544.63,1288236
2015-02-26,1555.72,1566.94,1544.99,1555.15,448933
2015-02-27,1559.81,1561.81,1544.35,1552.53,1059874
2015-03-02,1589.29,1595.71,1581.73,1586.57,422929
2015-03-03,1590.99,1597.7,1581.05,1590.42,424068
2015-03-04,1595.77,1616.71,1570.28,1599.22,780263
2015-03-05,1580.12,1586.24,1568.64,1583.98,284928
2015-03-06,1572.28,1581.83,1563.42,1571.55,705749
2015-03-09,1564.52,1568.94,1557.03,1564.32,676852
2015-03-10,1604.4,1618.67,1594.38,1594.68,683010
2015-03-11,1613.07,1613.99,1605.09,1609.42,1017266
2015-03-12,1593.47,1600.22,1576.01,1588.22,1171302
2015-03-13,1576.06,1583.18,1569.94,1577.17,657827
2015-03-16,1582.8,1589.99,1571.91,1577.11,546495
2015-03-17,1576.5,1588.48,1569.23,1572.04,457977
2015-03-18,1581.83,1586.39,1566.55,1586.07,1246466
2015-03-19,1600.35,1606.9,1589.66,1593.06,575581
2015-03-20,1605.1,1630.27,1601.67,1601.92,654635
2015-03-23,1601.12,1611.47,1587.37,1598.95,832781
2015-03-24,1578.27,1585.93,1574.55,1580.28,611973
