Date,Open,High,Low,Close,Volume
2015-01-01,478.79,484.13,478.67,480.0,300236
2015-01-02,485.57,487.86,475.25,484.12,440939
2015-01-05,480.64,485.05,475.66,481.83,953312
2015-01-06,483.99,486.2,476.31,479.38,1170150
2015-01-07,482.47,487.16,473.28,481.46,449859
2015-01-08,478.56,483.29,477.65,479.2,378921
2015-01-09,481.37,483.46,480.64,482.78,255331
2015-01-12,493.26,496.27,488.1,492.89,317981
2015-01-13,496.45,500.53,490.06,494.65,767839
2015-01-14,489.87,490.38,488.18,489.03,922559
2015-01-15,498.98,500.05,495.06,497.47,1519992
2015-01-16,492.71,494.9,490.49,493.42,808917
2015-01-19,496.2,497.15,488.21,493.96,381933
2015-01-20,498.13,499.07,496.69,498.01,467947
2015-01-21,496.23,500.48,490.92,497.92,651414
2015-01-22,495.5,503.94,492.77,496.31,299459
2015-01-23,493.2,499.2,490.11,490.4,635505
2015-01-26,493.77,498.08,482.16,492.81,605024
2015-01-27,494.04,494.1,487.88,490.41,630560
2015-01-28,482.25,485.49,480.52,482.27,770523
2015-01-29,478.43,485.67,475.45,478.09,1523765
2015-01-30,489.88,494.14,485.19,486.52,1159355
2015-02-02,486.88,487.72,481.52,484.35,568861
2015-02-03,492.17,492.59,482.12,488.68,807049
2015-02-04,489.37,490.11,479.84,487.83,1164653
2015-02-05,485.45,491.73,481.44,484.21,521119
2015-02-06,489.22,492.66,483.03,489.43,552815
2015-02-09,487.72,491.53,483.54,488.51,563283
2015-02-10,488.6,490.56,486.12,488.55,591134
2015-02-11,492.11,496.63,488.61,491.25,570370
2015-02-12,489.18,489.88,486.83,487.03,771098
2015-02-13,485.0,487.43,481.56,483.11,804679
2015-02-16,488.66,492.78,487.63,490.03,740683
2015-02-17,486.35,492.5,477.8,483.72,436233
2015-02-18,472.91,478.29,469.43,474.95,541146
2015-02-19,486.74,486.76,482.56,485.69,798034
2015-02-20,481.96,483.51,477.58,483.17,1015542
2015-02-23,477.47,482.13,475.52,478.35,1114129
2015-02-24,479.15,481.8,474.91,478.71,624849
2015-02-25,481.62,484.87,479.62,480.79,746873
2015-02-26,483.74,494.7,481.83,484.62,1001438
2015-02-27,490.77,494.49,486.17,489.64,519765
2015-03-02,486.21,489.5,480.53,486.1,678541
2015-03-03,487.22,488.43,483.09,487.96,270687
2015-03-04,494.27,495.15,493.17,493.77,251571
2015-03-05,489.63,494.41,487.95,488.23,567041
2015-03-06,492.23,495.68,485.98,490.73,875090
2015-03-09,494.53,496.82,491.56,495.63,641321
2015-03-10,493.91,501.9,488.5,497.51,475022
2015-03-11,496.42,502.17,490.03,495.16,283872
2015-03-12,494.46,497.04,493.03,493.92,718620
2015-03-13,492.53,494.7,483.08,492.37,438167
2015-03-16,492.61,496.43,490.29,493.37,450195
2015-03-17,492.96,500.68,489.04,494.1,344063
2015-03-18,497.86,502.07,497.74,499.29,335568
2015-03-19,503.05,503.09,499.05,502.57,1007973
2015-03-20,506.58,507.77,501.36,506.89,287267
2015-03-23,503.8,509.29,499.79,503.28,427517
2015-03-24,493.2,498.33,491.89,495.24,278931
2015-03-25,501.09,501.27,498.6,500.59,819753
2015-03-26,499.12,500.33,498.92,499.33,498056
2015-03-27,497.22,498.4,495.44,495.67,538892
2015-03-30,492.22,495.11,488.31,494.72,588562
2015-03-31,486.01,495.54,481.75,486.88,778251
2015-04-01,481.02,482.04,477.36,480.31,648257
2015-04-02,478.69,481.01,474.12,479.39,313184
2015-04-03,488.5,490.84,482.89,486.76,774245
2015-04-06,483.7,489.17,482.5,482.94,488482
2015-04-07,482.22,490.78,480.03,483.63,472623
2015-04-08,490.26,498.02,485.91,488.56,848387
2015-04-09,482.83,484.03,478.6,482.25,345756
2015-04-10,480.38,486.12,476.82,479.55,414063
2015-04-13,481.11,481.75,480.57,480.82,1086281
2015-04-14,484.3,485.56,475.62,482.8,759422
2015-04-15,485.27,487.67,481.93,483.35,531108
