Date,Open,High,Low,Close,Volume
2015-01-01,261.3,264.06,259.78,260.0,747780
2015-01-02,264.65,266.1,261.92,263.94,1174902
2015-01-05,263.11,265.45,261.97,262.97,196122
2015-01-06,262.41,264.53,260.13,262.36,306416
2015-01-07,266.26,267.74,263.04,266.98,626119
2015-01-08,265.04,266.96,263.99,265.61,501921
2015-01-09,266.32,270.46,264.05,265.81,410795
2015-01-12,262.8,263.81,262.3,263.64,237238
2015-01-13,266.6,270.49,265.95,266.98,230397
2015-01-14,260.55,265.76,259.53,262.08,786314
2015-01-15,265.08,266.72,262.04,265.79,239221
2015-01-16,267.85,268.79,267.0,267.19,336615
2015-01-19,266.97,269.22,266.77,268.33,527558
2015-01-20,271.86,273.62,270.66,271.53,529468
2015-01-21,267.61,267.69,264.83,266.52,271471
2015-01-22,267.73,268.87,265.28,267.7,667001
2015-01-23,266.97,267.85,263.28,265.28,645830
2015-01-26,262.65,264.86,261.68,263.36,338105
2015-01-27,263.53,265.02,261.42,263.85,510582
2015-01-28,263.41,264.59,261.75,263.96,644379
2015-01-29,259.61,263.8,257.98,259.49,374889
2015-01-30,269.55,271.6,267.41,268.9,547345
2015-02-02,267.94,271.04,266.37,268.01,662987
2015-02-03,270.77,270.98,266.64,269.96,489405
2015-02-04,267.81,271.6,266.78,268.63,566391
2015-02-05,266.84,266.88,264.81,266.21,307198
2015-02-06,264.23,264.75,261.17,264.68,627358
2015-02-09,262.7,265.02,259.78,263.49,499228
2015-02-10,260.39,262.34,259.35,261.9,485205
2015-02-11,260.55,262.73,258.49,261.37,384654
2015-02-12,260.06,263.7,258.38,261.12,572788
2015-02-13,257.94,260.86,257.28,258.53,858897
2015-02-16,257.54,259.44,253.89,258.16,503250
2015-02-17,259.9,262.09,258.35,261.2,424056
2015-02-18,260.99,263.63,260.32,261.97,468649
2015-02-19,262.96,265.45,261.41,263.52,513590
2015-02-20,259.65,260.16,255.79,258.26,829085
2015-02-23,258.36,259.0,257.28,258.87,784749
2015-02-24,254.47,254.5,251.83,253.43,408358
2015-02-25,249.3,251.85,248.84,250.45,333974
2015-02-26,248.44,250.11,246.97,249.49,482034
2015-02-27,253.42,255.29,250.57,253.23,377493
2015-03-02,253.61,254.5,252.59,253.41,363084
2015-03-03,247.49,250.32,246.76,248.99,506906
2015-03-04,251.1,251.94,249.64,251.06,555400
2015-03-05,247.85,251.79,247.24,248.3,423093
