Date,Open,High,Low,Close,Volume
2015-01-01,1504.46,1531.01,1493.98,1500.0,606597
2015-01-02,1495.98,1512.21,1494.42,1507.74,354513
2015-01-05,1511.42,1526.3,1490.7,1501.82,774607
2015-01-06,1521.94,1529.97,1501.17,1521.41,520413
2015-01-07,1527.24,1539.18,1518.8,1535.58,488993
2015-01-08,1581.36,1586.29,1556.98,1570.5,1114705
2015-01-09,1563.55,1583.91,1562.17,1565.83,268785
2015-01-12,1597.69,1615.12,1594.52,1595.49,405047
2015-01-13,1566.39,1587.85,1550.04,1563.11,624996
2015-01-14,1571.42,1586.42,1551.86,1567.59,480899
2015-01-15,1569.28,1592.23,1564.14,1570.06,671220
2015-01-16,1558.8,1569.35,1552.05,1561.03,587409
2015-01-19,1570.65,1575.25,1544.27,1563.8,1067140
2015-01-20,1571.54,1583.95,1563.37,1576.34,140834
2015-01-21,1549.78,1562.4,1525.51,1553.98,584283
2015-01-22,1540.0,1564.97,1535.61,1548.76,284446
2015-01-23,1533.87,1557.45,1522.19,1537.89,550303
2015-01-26,1553.66,1563.36,1549.66,1552.06,239035
2015-01-27,1545.33,1559.36,1531.71,1536.09,972489
2015-01-28,1550.39,1571.78,1489.13,1542.68,358804
2015-01-29,1520.6,1538.69,1510.45,1528.93,483984
2015-01-30,1497.14,1525.75,1493.11,1513.56,858780
2015-02-02,1526.12,1533.77,1501.22,1519.25,475492
2015-02-03,1487.01,1515.62,1482.78,1493.32,255494
2015-02-04,1446.14,1458.4,1437.7,1456.73,490895
2015-02-05,1471.44,1487.83,1459.75,1464.65,449756
2015-02-06,1467.97,1473.56,1451.89,1458.6,849574
2015-02-09,1451.4,1455.16,1444.15,1448.51,461415
2015-02-10,1489.68,1492.09,1479.74,1491.44,603870
2015-02-11,1492.37,1507.49,1487.46,1504.26,344523
2015-02-12,1496.84,1508.82,1492.81,1498.32,618235
2015-02-13,1525.14,1532.15,1507.99,1519.58,535851
2015-02-16,1545.24,1545.42,1523.68,1540.41,221682
2015-02-17,1559.76,1578.83,1557.08,1559.06,553363
2015-02-18,1532.15,1539.95,1518.82,1533.44,481880
2015-02-19,1539.54,1562.86,1517.23,1544.75,449750
2015-02-20,1498.8,1510.14,1482.11,1505.91,384369
2015-02-23,1531.99,1539.96,1485.63,1536.78,727495
2015-02-24,1538.18,1550.66,1531.46,1535.77,704271
2015-02-25,1517.0,1526.37,1495.75,1508.48,890406
2015-02-26,1535.73,1540.98,1523.08,1537.33,387562
2015-02-27,1585.39,1592.05,1555.03,1569.71,860157
2015-03-02,1545.0,1553.78,1506.46,1540.53,513491
2015-03-03,1529.59,1531.23,1515.53,1528.95,415434
2015-03-04,1530.55,1541.01,1525.91,1535.37,719815
2015-03-05,1500.56,1517.34,1474.71,1493.8,397305
2015-03-06,1484.82,1490.88,1480.41,1486.28,664428
2015-03-09,1512.05,1524.55,1498.86,1509.38,762760
2015-03-10,1488.32,1508.35,1474.13,1496.23,537541
2015-03-11,1490.68,1510.07,1479.29,1493.53,873973
2015-03-12,1450.98,1474.69,1442.65,1450.4,465953
2015-03-13,1423.09,1426.43,1420.81,1424.29,828992
2015-03-16,1422.17,1444.73,1416.43,1420.18,343292
2015-03-17,1432.22,1435.78,1430.64,1435.55,474243
2015-03-18,1462.73,1475.41,1435.21,1456.86,524133
2015-03-19,1453.22,1465.54,1440.81,1459.97,464710
2015-03-20,1501.59,1516.4,1464.85,1495.33,492166
2015-03-23,1475.05,1497.17,1459.25,1480.24,353251
2015-03-24,1500.52,1529.8,1476.45,1495.29,203780
2015-03-25,1508.52,1517.2,1466.59,1500.93,469438
2015-03-26,1494.57,1527.58,1485.14,1509.01,466276
2015-03-27,1497.84,1506.06,1480.21,1496.13,801962
2015-03-30,1501.79,1516.81,1496.41,1511.31,475588
2015-03-31,1498.86,1515.63,1486.03,1498.12,445094
2015-04-01,1439.51,1473.97,1418.55,1447.36,919348
2015-04-02,1425.09,1428.68,1413.98,1424.34,262896
2015-04-03,1448.85,1455.58,1423.23,1444.23,834311
2015-04-06,1466.64,1482.9,1457.39,1459.42,293110
2015-04-07,1495.64,1502.72,1488.99,1494.7,817517
2015-04-08,1500.89,1519.59,1485.94,1504.32,1005060
2015-04-09,1527.1,1561.35,1508.91,1529.68,420629
2015-04-10,1510.78,1532.71,1478.58,1509.2,375794
2015-04-13,1481.34,1495.65,1474.5,1485.7,703146
2015-04-14,1482.78,1485.7,1436.54,1482.14,373617
2015-04-15,1499.34,1511.68,1483.35,1509.8,431417
2015-04-16,1482.24,1499.03,1478.02,1483.91,187989
2015-04-17,1482.96,1497.9,1463.39,1471.46,991725
2015-04-20,1481.45,1489.05,1459.43,1478.71,1508094
2015-04-21,1466.26,1474.13,1445.15,1471.66,477335
2015-04-22,1495.93,1515.03,1493.86,1495.68,304754
2015-04-23,1470.56,1480.84,1466.9,1468.99,510462
2015-04-24,1443.81,1451.28,1428.12,1436.93,330547
2015-04-27,1412.39,1425.81,1396.95,1423.87,502639
2015-04-28,1449.7,1469.89,1438.61,1452.8,662038
2015-04-29,1450.1,1451.46,1428.96,1451.28,563795
2015-04-30,1418.91,1426.54,1410.85,1421.6,1105484
2015-05-01,1412.28,1425.12,1400.04,1409.76,350452
