Date,Open,High,Low,Close,Volume
2015-01-01,2799.17,2804.24,2770.83,2800.0,410955
2015-01-02,2858.11,2892.74,2852.66,2862.78,384774
2015-01-05,2910.74,2940.47,2905.58,2908.16,432189
2015-01-06,2981.2,2983.0,2924.11,2978.97,386680
2015-01-07,2988.38,3039.12,2929.81,3001.04,629613
2015-01-08,2994.54,3019.31,2980.97,3003.73,685598
2015-01-09,2955.93,2963.22,2923.94,2947.68,956865
2015-01-12,2982.16,3016.68,2951.39,2979.94,713360
2015-01-13,2980.48,3004.48,2978.0,2982.69,531894
2015-01-14,2997.08,3002.57,2953.72,2999.36,611262
2015-01-15,3046.26,3081.46,3028.27,3050.25,504925
2015-01-16,3036.39,3050.81,2973.56,3027.1,938692
2015-01-19,3075.81,3093.46,3054.68,3062.56,528394
2015-01-20,3090.02,3106.46,3042.66,3081.45,590423
2015-01-21,3094.83,3106.25,3067.88,3092.15,694916
2015-01-22,3068.86,3091.16,3056.59,3065.59,551813
2015-01-23,3064.02,3099.87,3056.59,3084.6,781376
2015-01-26,3168.25,3176.53,3147.97,3161.49,784961
2015-01-27,3173.88,3173.89,3143.69,3173.52,591669
2015-01-28,3226.92,3238.96,3153.2,3209.61,1218902
2015-01-29,3186.27,3226.59,3172.59,3217.71,760269
2015-01-30,3227.29,3252.72,3202.35,3232.93,1017459
2015-02-02,3201.03,3224.0,3117.59,3187.33,789914
2015-02-03,3190.9,3202.99,3147.64,3183.97,553283
2015-02-04,3169.06,3250.83,3166.65,3181.88,850248
2015-02-05,3169.89,3194.7,3123.54,3175.61,667807
2015-02-06,3149.76,3170.42,3146.38,3148.47,1319870
2015-02-09,3171.93,3229.03,3160.3,3180.26,633090
2015-02-10,3175.57,3212.51,3126.07,3179.65,546187
2015-02-11,3160.52,3189.68,3133.38,3154.56,504849
2015-02-12,3100.71,3110.69,3018.73,3091.99,483209
2015-02-13,3148.63,3149.07,3134.23,3136.39,566693
2015-02-16,3181.11,3205.83,3170.88,3192.03,752791
2015-02-17,3208.91,3223.17,3148.35,3204.95,599702
2015-02-18,3213.67,3224.69,3119.76,3202.62,705438
2015-02-19,3208.73,3226.09,3203.3,3217.25,638971
2015-02-20,3231.16,3305.56,3191.82,3218.22,538253
2015-02-23,3242.3,3254.67,3210.2,3231.7,1136237
2015-02-24,3193.21,3224.1,3191.73,3213.17,556694
2015-02-25,3215.64,3235.61,3182.7,3222.25,405367
2015-02-26,3261.25,3303.7,3207.53,3253.05,827094
2015-02-27,3296.36,3312.94,3266.53,3296.05,631625
2015-03-02,3278.69,3367.06,3243.05,3293.5,757776
2015-03-03,3312.43,3430.75,3296.25,3322.62,576496
2015-03-04,3346.22,3355.68,3310.2,3338.21,1165697
2015-03-05,3396.45,3468.56,3390.22,3397.55,531397
2015-03-06,3380.58,3442.82,3369.86,3385.08,975376
2015-03-09,3387.71,3409.52,3369.77,3369.99,440646
2015-03-10,3465.55,3503.68,3447.34,3458.32,1151853
2015-03-11,3413.42,3418.79,3402.28,3404.51,684869
2015-03-12,3357.0,3362.88,3323.52,3342.75,705137
2015-03-13,3371.22,3379.69,3342.27,3366.39,522917
2015-03-16,3372.52,3377.95,3333.69,3367.54,834076
2015-03-17,3415.54,3437.46,3397.26,3418.93,798424
2015-03-18,3518.85,3582.85,3476.94,3499.63,507357
2015-03-19,3516.18,3567.72,3482.43,3539.86,822594
2015-03-20,3510.06,3517.63,3463.22,3503.77,926467
2015-03-23,3523.72,3526.93,3507.27,3508.26,959875
2015-03-24,3467.85,3501.73,3420.33,3446.2,379197
2015-03-25,3431.68,3457.75,3402.29,3420.6,384225
2015-03-26,3447.96,3487.87,3441.7,3447.19,691692
2015-03-27,3442.1,3468.96,3418.58,3425.95,1386521
2015-03-30,3467.36,3488.88,3435.82,3472.71,1094663
2015-03-31,3482.91,3523.84,3466.44,3495.67,1570931
2015-04-01,3481.62,3541.37,3431.47,3487.21,509524
2015-04-02,3497.27,3537.67,3402.04,3499.48,773049
2015-04-03,3590.0,3634.92,3579.11,3581.26,316594
2015-04-06,3572.69,3646.8,3563.45,3570.49,728885
2015-04-07,3554.68,3583.41,3503.31,3572.7,310403
2015-04-08,3542.26,3597.48,3535.25,3569.11,603069
2015-04-09,3560.21,3569.99,3514.76,3544.5,796039
2015-04-10,3583.71,3607.35,3579.52,3589.51,697665
2015-04-13,3566.61,3571.59,3547.72,3569.26,330436
2015-04-14,3564.21,3594.48,3544.81,3561.9,1172995
2015-04-15,3510.72,3518.22,3470.14,3502.97,592099
2015-04-16,3396.95,3423.1,3363.8,3414.61,544719
2015-04-17,3437.18,3476.91,3425.28,3443.12,1141717
2015-04-20,3426.13,3445.31,3413.4,3423.33,1076922
2015-04-21,3458.52,3491.54,3404.4,3462.68,497996
2015-04-22,3506.64,3537.81,3494.14,3523.69,727371
2015-04-23,3442.86,3468.81,3364.29,3449.22,726894
2015-04-24,3417.56,3429.77,3408.65,3410.72,575672
2015-04-27,3427.94,3452.83,3387.66,3425.74,763168
2015-04-28,3408.46,3431.07,3356.76,3427.82,983022
2015-04-29,3407.01,3437.32,3397.73,3399.85,1050592
2015-04-30,3394.47,3404.32,3380.92,3391.33,1052377
2015-05-01,3412.47,3444.23,3362.49,3406.05,392100
2015-05-04,3499.39,3523.26,3471.34,3480.98,943657
2015-05-05,3473.05,3489.87,3458.38,3480.23,479589
2015-05-06,3454.72,3497.02,3383.74,3460.34,645073
2015-05-07,3502.47,3526.37,3482.36,3498.05,1611780
2015-05-08,3509.72,3546.29,3488.58,3523.75,457232
2015-05-11,3554.84,3569.24,3513.19,3542.73,510117
2015-05-12,3479.74,3522.84,3476.2,3478.99,604580
2015-05-13,3471.7,3499.27,3470.58,3470.64,419858
2015-05-14,3416.81,3445.01,3392.11,3437.09,1500982
2015-05-15,3362.65,3405.88,3337.04,3385.7,717615
2015-05-18,3303.09,3318.93,3271.81,3301.42,654411
2015-05-19,3288.45,3367.71,3283.51,3295.21,940509
2015-05-20,3360.74,3362.75,3339.35,3339.98,1313253
2015-05-21,3343.45,3366.8,3271.58,3356.89,790265
2015-05-22,3280.97,3297.03,3277.1,3285.38,378824
2015-05-25,3362.1,3365.47,3349.14,3351.74,443357
2015-05-26,3351.45,3402.43,3338.32,3366.04,878436
2015-05-27,3385.08,3451.98,3359.02,3377.69,506651
2015-05-28,3425.3,3430.98,3395.04,3424.66,442708
2015-05-29,3432.04,3453.74,3367.02,3444.96,339473
2015-06-01,3450.37,3454.77,3396.37,3443.17,573069
2015-06-02,3514.2,3539.57,3504.97,3512.1,972117
2015-06-03,3549.33,3569.52,3501.56,3566.8,809199
2015-06-04,3563.23,3584.36,3529.69,3559.17,736702
2015-06-05,3539.19,3551.81,3515.3,3542.25,824127
2015-06-08,3532.3,3589.31,3507.07,3542.77,578202
2015-06-09,3518.32,3524.21,3491.9,3511.41,588671
2015-06-10,3587.43,3593.83,3530.97,3581.47,851606
2015-06-11,3504.32,3531.61,3492.87,3499.72,372502
2015-06-12,3541.92,3557.32,3513.35,3531.1,666694
2015-06-15,3581.98,3616.3,3578.69,3588.18,485296
2015-06-16,3566.56,3614.58,3539.8,3542.13,892199
2015-06-17,3573.14,3603.75,3560.52,3572.38,622026
2015-06-18,3620.92,3632.63,3596.26,3627.47,389137
