Date,Open,High,Low,Close,Volume
2015-01-01,2003.02,2016.19,1983.56,2000.0,768489
2015-01-02,2009.15,2023.38,1993.73,2001.91,704273
2015-01-05,2002.13,2025.01,1957.27,1989.47,226022
2015-01-06,1973.42,2021.28,1935.89,1986.0,586997
2015-01-07,1987.69,1990.8,1986.13,1987.58,669581
2015-01-08,1995.78,2016.27,1954.66,1986.99,1117608
2015-01-09,1974.06,1994.25,1970.12,1971.91,655363
2015-01-12,2001.85,2051.11,1984.6,1994.48,931973
2015-01-13,2043.06,2085.28,2000.04,2041.06,906028
2015-01-14,2032.22,2041.7,2013.44,2023.78,337246
2015-01-15,2030.5,2043.92,2002.8,2036.77,262822
2015-01-16,2003.46,2021.84,1987.42,2016.08,348276
2015-01-19,2036.95,2045.37,2026.15,2040.65,621551
2015-01-20,2091.53,2106.48,2058.75,2075.27,328949
2015-01-21,2062.25,2105.38,2005.96,2043.94,561873
2015-01-22,2062.65,2084.58,2042.21,2055.26,874650
2015-01-23,2083.68,2109.31,2071.78,2085.13,246724
2015-01-26,2108.22,2123.08,2077.75,2095.26,835466
2015-01-27,2070.28,2094.49,2031.46,2074.01,328877
2015-01-28,2104.42,2137.76,2040.88,2088.56,522499
2015-01-29,2044.0,2058.58,2027.21,2043.98,1134220
2015-01-30,2018.79,2046.72,1996.75,2014.24,646440
2015-02-02,2005.04,2038.74,1957.24,2022.0,759075
2015-02-03,2004.17,2008.13,1972.76,2004.09,469371
2015-02-04,2002.55,2034.85,1982.66,2009.09,361537
2015-02-05,2009.27,2024.66,1998.52,2006.69,579789
2015-02-06,1989.02,2005.23,1967.2,1979.43,1533972
2015-02-09,1989.72,1995.79,1964.92,1977.19,459969
2015-02-10,1972.32,2004.35,1922.2,1979.89,775551
2015-02-11,1926.44,1965.34,1915.75,1938.12,451925
2015-02-12,1891.69,1928.94,1872.0,1913.61,516033
2015-02-13,1920.89,1937.49,1906.32,1932.75,421134
2015-02-16,1963.82,1978.41,1946.68,1961.5,444979
2015-02-17,1937.18,1971.44,1930.03,1946.49,407822
2015-02-18,1924.48,1927.0,1905.03,1922.4,538555
2015-02-19,1914.64,1945.15,1885.8,1916.05,441185
2015-02-20,1879.19,1880.04,1853.78,1869.95,362578
2015-02-23,1915.57,1922.92,1899.49,1903.54,435856
2015-02-24,1891.5,1912.61,1876.12,1908.33,376097
2015-02-25,1860.04,1865.68,1818.19,1860.13,594754
2015-02-26,1864.99,1887.45,1848.76,1879.13,229963
2015-02-27,1828.7,1853.23,1824.29,1836.6,469824
2015-03-02,1826.29,1879.62,1799.68,1823.17,333617
2015-03-03,1839.69,1842.26,1784.03,1821.64,563449
2015-03-04,1822.95,1832.02,1809.7,1816.97,469142
2015-03-05,1782.04,1829.14,1755.57,1803.62,712868
2015-03-06,1856.65,1888.19,1839.62,1841.51,588167
2015-03-09,1872.61,1894.42,1872.16,1872.19,250130
2015-03-10,1878.2,1898.52,1857.47,1865.82,489350
2015-03-11,1846.07,1870.09,1788.65,1850.95,368897
2015-03-12,1832.4,1863.41,1817.46,1824.32,402153
2015-03-13,1852.05,1853.69,1838.5,1846.35,599664
2015-03-16,1902.17,1919.62,1879.43,1898.99,528892
2015-03-17,1869.43,1913.74,1865.36,1881.68,339012
2015-03-18,1905.37,1928.0,1902.77,1908.13,283440
2015-03-19,1906.98,1921.13,1880.71,1910.9,377671
2015-03-20,1888.74,1921.95,1871.84,1893.32,528562
2015-03-23,1906.73,1923.35,1868.0,1908.85,278063
2015-03-24,1934.62,1967.35,1898.39,1941.79,341070
2015-03-25,1997.39,2010.45,1975.3,1996.39,736246
2015-03-26,2027.58,2042.03,2014.56,2035.85,420617
2015-03-27,2029.28,2048.33,2001.99,2031.38,602496
2015-03-30,2019.24,2057.69,1998.43,2035.35,476771
2015-03-31,2009.84,2043.09,1993.49,2016.35,638698
2015-04-01,2005.77,2024.46,1990.94,2014.8,311782
2015-04-02,2027.02,2032.5,2013.83,2020.98,377719
2015-04-03,2014.43,2021.63,2005.99,2013.11,493259
2015-04-06,2031.67,2082.86,1997.05,2025.44,716982
2015-04-07,2041.33,2047.34,2037.27,2043.68,365119
2015-04-08,2046.35,2048.68,2030.06,2045.55,242381
2015-04-09,2031.14,2056.0,1998.46,2029.17,308821
2015-04-10,2046.32,2075.2,2031.81,2053.27,463649
2015-04-13,2034.77,2093.71,2029.24,2041.89,866681
2015-04-14,2061.4,2074.23,2056.93,2059.18,432549
2015-04-15,2112.25,2119.35,2037.2,2084.87,633183
2015-04-16,2085.14,2139.23,2079.18,2084.56,319912
2015-04-17,2086.12,2116.09,2076.77,2101.09,742885
2015-04-20,2081.64,2086.5,2076.27,2080.72,602133
2015-04-21,2067.26,2115.45,2042.5,2059.31,606535
2015-04-22,2045.17,2052.07,2004.27,2048.9,604234
2015-04-23,2060.94,2083.7,2034.12,2048.41,440862
2015-04-24,2085.89,2098.91,2071.95,2072.85,329305
2015-04-27,2018.7,2035.42,2009.92,2013.66,325555
2015-04-28,1990.66,2001.05,1978.91,1995.25,649386
2015-04-29,1971.62,1973.96,1944.89,1965.93,285408
2015-04-30,1952.1,1964.23,1942.81,1951.01,323268
2015-05-01,1950.21,1968.18,1933.9,1954.19,291431
2015-05-04,1960.91,1972.75,1934.68,1963.75,326848
2015-05-05,2001.54,2018.87,1985.78,1986.38,690087
2015-05-06,1985.96,2002.3,1957.78,1974.98,459169
2015-05-07,1979.72,1985.82,1967.28,1981.95,436255
2015-05-08,2032.78,2068.87,2030.86,2030.98,509981
2015-05-11,2039.57,2049.63,2022.97,2040.47,565652
2015-05-12,2033.6,2093.2,2019.6,2046.97,708918
2015-05-13,2028.53,2066.16,1995.23,2049.27,212427
2015-05-14,2076.92,2083.2,2037.56,2077.98,412191
2015-05-15,2017.95,2033.75,1998.27,2028.93,376993
2015-05-18,2053.32,2061.22,2015.56,2043.33,515042
2015-05-19,2024.93,2101.82,1993.3,2033.77,519852
2015-05-20,2099.5,2116.17,2096.05,2096.5,546587
2015-05-21,2144.73,2151.96,2124.11,2133.01,358627
2015-05-22,2117.46,2122.6,2100.89,2118.56,535513
2015-05-25,2119.64,2133.03,2093.86,2109.26,428415
2015-05-26,2065.47,2087.74,2064.88,2083.59,554713
2015-05-27,2083.87,2148.84,2070.75,2071.79,601393
2015-05-28,2059.42,2067.88,2019.23,2064.76,576248
2015-05-29,2058.7,2116.22,2046.33,2076.47,356939
2015-06-01,2093.23,2116.43,2089.61,2107.22,404206
2015-06-02,2103.48,2145.92,2094.99,2101.58,594997
2015-06-03,2072.48,2110.13,2050.64,2092.76,578579
2015-06-04,2079.28,2081.42,2056.96,2078.27,404695
2015-06-05,2073.27,2090.05,2060.54,2073.98,467366
2015-06-08,2064.0,2075.9,2051.55,2064.03,353166
2015-06-09,2056.05,2065.79,2053.73,2062.13,437942
2015-06-10,2140.35,2145.08,2124.88,2129.37,552000
2015-06-11,2116.02,2159.03,2105.01,2124.6,513731
2015-06-12,2121.07,2139.2,2073.72,2132.32,255395
2015-06-15,2175.18,2182.41,2164.94,2177.7,541398
2015-06-16,2156.38,2170.39,2142.73,2147.43,720672
2015-06-17,2143.24,2157.27,2110.19,2155.35,252503
2015-06-18,2144.17,2149.7,2098.12,2148.43,688326
2015-06-19,2167.53,2173.95,2133.17,2166.17,285186
2015-06-22,2158.89,2174.36,2118.58,2148.88,432613
2015-06-23,2165.72,2184.33,2158.62,2167.65,1007189
2015-06-24,2157.26,2171.91,2155.55,2169.98,278715
2015-06-25,2227.14,2237.14,2203.49,2213.25,396158
2015-06-26,2313.47,2319.79,2280.16,2285.24,537146
2015-06-29,2284.72,2284.93,2267.22,2275.17,609799
2015-06-30,2299.08,2313.82,2254.5,2286.14,1100798
2015-07-01,2286.83,2307.49,2248.59,2304.64,538805
2015-07-02,2267.26,2345.96,2248.95,2279.01,727604
2015-07-03,2300.47,2316.43,2288.61,2302.96,445166
2015-07-06,2334.31,2366.09,2323.09,2331.1,539482
2015-07-07,2283.28,2293.39,2279.78,2290.37,384939
2015-07-08,2254.43,2264.78,2241.12,2254.73,715051
2015-07-09,2250.9,2261.65,2201.25,2234.99,482836
2015-07-10,2239.8,2241.21,2209.3,2232.73,497920
2015-07-13,2239.38,2251.2,2226.11,2246.69,763488
2015-07-14,2255.98,2278.96,2243.4,2245.26,335119
2015-07-15,2320.75,2354.0,2260.53,2292.47,705573
2015-07-16,2282.53,2293.08,2266.52,2279.4,1019190
2015-07-17,2304.08,2312.6,2266.18,2308.11,806165
2015-07-20,2277.29,2300.93,2249.71,2293.21,530543
2015-07-21,2246.2,2258.72,2204.31,2251.26,698338
2015-07-22,2199.27,2238.01,2173.8,2218.01,502446
2015-07-23,2195.47,2241.36,2187.02,2220.43,594305
2015-07-24,2220.79,2233.04,2207.94,2225.38,782722
2015-07-27,2203.76,2234.5,2177.69,2195.33,401673
2015-07-28,2156.01,2179.74,2126.61,2161.37,891860
2015-07-29,2185.29,2218.05,2168.43,2193.88,439012
2015-07-30,2250.58,2271.69,2225.86,2255.58,707591
2015-07-31,2252.3,2275.36,2218.87,2259.57,290410
2015-08-03,2284.18,2298.55,2272.38,2291.99,393265
2015-08-04,2281.97,2326.41,2281.25,2283.76,785495
2015-08-05,2263.35,2293.37,2221.33,2270.82,396481
2015-08-06,2264.82,2311.64,2254.41,2259.35,475214
2015-08-07,2309.39,2322.64,2289.83,2292.56,597146
2015-08-10,2251.27,2274.27,2226.81,2260.42,445681
2015-08-11,2243.99,2270.3,2235.51,2237.06,545781
2015-08-12,2239.15,2244.35,2203.16,2243.91,747758
2015-08-13,2276.56,2292.49,2229.73,2265.02,630113
2015-08-14,2261.33,2270.11,2243.85,2257.58,332975
2015-08-17,2192.86,2198.0,2187.95,2189.48,796360
2015-08-18,2239.47,2284.51,2226.65,2244.14,1093033
2015-08-19,2264.58,2289.27,2261.72,2267.03,624394
2015-08-20,2356.37,2359.0,2302.28,2319.09,466919
2015-08-21,2289.6,2308.01,2274.36,2285.94,1659994
2015-08-24,2287.71,2293.37,2238.55,2272.47,360258
2015-08-25,2300.83,2340.81,2258.4,2306.1,670397
2015-08-26,2307.33,2349.64,2286.18,2306.37,593714
2015-08-27,2316.68,2320.75,2295.08,2309.73,1083906
2015-08-28,2306.19,2340.02,2277.68,2307.5,809243
2015-08-31,2296.75,2304.73,2285.28,2292.12,524816
2015-09-01,2271.36,2316.65,2259.86,2262.19,532962
2015-09-02,2246.56,2250.81,2220.62,2241.34,661522
2015-09-03,2262.22,2276.3,2222.82,2269.29,420751
2015-09-04,2276.07,2294.75,2260.5,2268.94,1201895
2015-09-07,2318.94,2336.34,2283.9,2310.86,744120
2015-09-08,2355.02,2368.02,2334.21,2364.78,382012
2015-09-09,2367.52,2394.62,2347.46,2362.3,845354
2015-09-10,2434.46,2439.81,2405.04,2409.68,617674
2015-09-11,2403.27,2471.27,2391.57,2425.24,531222
2015-09-14,2387.48,2413.17,2353.06,2392.04,636488
2015-09-15,2337.21,2351.37,2335.7,2341.5,694340
2015-09-16,2308.98,2340.43,2274.67,2322.39,988321
2015-09-17,2403.47,2454.78,2386.46,2389.68,582652
2015-09-18,2339.62,2358.23,2323.57,2335.08,1432015
2015-09-21,2346.06,2368.14,2282.96,2326.31,533694
2015-09-22,2321.72,2323.0,2295.6,2313.93,620813
2015-09-23,2317.6,2338.76,2266.65,2306.92,417007
2015-09-24,2282.08,2312.29,2261.13,2286.3,376246
2015-09-25,2331.84,2340.08,2308.47,2330.35,940459
2015-09-28,2358.5,2389.55,2325.73,2352.3,567741
2015-09-29,2276.12,2282.75,2275.22,2279.23,614810
2015-09-30,2266.61,2288.4,2239.51,2266.09,406013
2015-10-01,2279.63,2311.96,2248.83,2272.49,875854
2015-10-02,2311.07,2345.68,2294.64,2327.36,508574
2015-10-05,2319.66,2375.39,2301.0,2306.96,604760
2015-10-06,2266.76,2349.49,2243.15,2277.8,826591
2015-10-07,2297.04,2341.95,2271.28,2302.65,584771
2015-10-08,2257.12,2270.44,2256.29,2258.92,1031075
2015-10-09,2289.62,2307.41,2258.47,2276.02,470085
2015-10-12,2265.58,2291.33,2237.22,2262.09,781973
2015-10-13,2263.53,2272.28,2231.76,2271.02,588377
2015-10-14,2291.39,2332.22,2287.75,2290.83,391864
2015-10-15,2272.19,2284.98,2239.22,2259.07,491620
2015-10-16,2319.08,2327.64,2292.42,2295.84,887617
2015-10-19,2295.43,2299.51,2277.81,2297.29,829954
2015-10-20,2315.25,2317.21,2306.74,2312.53,610606
2015-10-21,2317.34,2354.5,2295.64,2327.73,429022
2015-10-22,2448.76,2477.4,2383.43,2433.39,413072
2015-10-23,2461.95,2477.1,2418.55,2454.39,624865
2015-10-26,2481.48,2525.85,2409.53,2453.6,1026112
2015-10-27,2443.04,2478.38,2412.78,2450.31,835990
2015-10-28,2436.17,2465.07,2418.17,2445.84,468286
2015-10-29,2443.35,2461.2,2434.63,2457.08,638799
2015-10-30,2454.9,2478.53,2423.61,2467.29,884856
2015-11-02,2449.59,2483.02,2430.21,2452.84,1206454
2015-11-03,2461.39,2472.83,2427.81,2439.05,558237
2015-11-04,2492.51,2531.63,2461.34,2491.62,1459143
2015-11-05,2474.34,2513.44,2449.42,2484.0,973777
2015-11-06,2447.1,2477.68,2440.44,2470.08,403603
2015-11-09,2441.58,2460.67,2405.15,2448.81,419122
2015-11-10,2464.88,2475.83,2448.33,2464.67,575807
2015-11-11,2409.16,2423.58,2394.67,2411.52,808309
2015-11-12,2339.53,2386.24,2322.01,2352.08,418875
2015-11-13,2362.97,2419.96,2327.04,2372.5,694883
2015-11-16,2390.15,2458.17,2377.35,2389.77,639246
2015-11-17,2366.82,2436.03,2345.17,2382.44,894677
2015-11-18,2430.13,2452.48,2417.6,2425.84,763316
2015-11-19,2463.62,2473.27,2431.69,2446.92,280764
2015-11-20,2487.17,2491.19,2449.32,2460.99,438447
2015-11-23,2483.36,2518.76,2432.5,2476.63,830621
2015-11-24,2490.8,2536.13,2466.46,2501.98,535206
2015-11-25,2521.21,2552.88,2510.62,2515.09,907694
2015-11-26,2598.24,2617.44,2579.66,2614.45,1284750
2015-11-27,2675.77,2681.85,2627.7,2675.5,565952
2015-11-30,2656.54,2675.27,2633.69,2648.3,1069186
2015-12-01,2647.7,2709.96,2594.56,2663.0,888710
2015-12-02,2592.79,2662.55,2540.06,2609.09,1383262
2015-12-03,2627.52,2651.79,2574.72,2620.07,464315
2015-12-04,2632.33,2672.49,2568.8,2649.93,489192
2015-12-07,2654.76,2741.82,2632.33,2662.84,482903
2015-12-08,2674.06,2690.55,2632.63,2661.03,388571
2015-12-09,2717.42,2736.33,2710.93,2732.85,1393534
2015-12-10,2767.39,2775.55,2766.56,2773.35,756947
2015-12-11,2843.49,2859.03,2811.61,2824.67,1111270
2015-12-14,2819.21,2837.71,2788.25,2821.61,588094
2015-12-15,2790.26,2829.21,2782.87,2799.1,818083
2015-12-16,2844.6,2861.22,2818.2,2840.04,761615
2015-12-17,2881.41,2918.44,2847.68,2879.45,1294605
2015-12-18,2868.41,2909.19,2842.69,2846.3,669382
2015-12-21,2875.06,2916.23,2869.09,2883.39,630385
2015-12-22,2899.88,2930.61,2870.06,2915.82,398589
2015-12-23,2926.5,3015.49,2902.01,2930.02,766662
2015-12-24,2978.54,2995.85,2933.42,2954.63,964478
2015-12-25,2950.2,2966.31,2935.06,2948.68,668395
2015-12-28,2999.74,3018.31,2979.18,2995.2,617872
2015-12-29,3007.93,3028.99,2910.36,2976.75,729350
2015-12-30,2950.55,2986.09,2930.65,2968.85,426990
2015-12-31,3012.9,3027.5,2981.97,2998.92,1039236
2016-01-01,3002.21,3073.06,2920.13,3007.65,960227
2016-01-04,3036.48,3085.5,2971.16,3057.21,536640
2016-01-05,3015.64,3075.42,2969.93,3018.64,1116493
2016-01-06,2980.92,3011.88,2940.44,2992.16,480071
2016-01-07,2930.54,2974.57,2866.56,2937.93,491307
2016-01-08,2941.62,2955.51,2879.46,2926.69,630692
2016-01-11,2892.72,2904.83,2878.55,2889.74,340724
