Date,Open,High,Low,Close,Volume
2015-01-01,279.39,281.0,278.84,280.0,553825
2015-01-02,286.08,290.83,282.42,284.11,482158
2015-01-05,275.33,278.05,273.05,274.21,235519
2015-01-06,279.79,283.75,274.96,278.77,1015062
2015-01-07,280.62,283.32,278.71,280.07,939283
2015-01-08,285.13,287.87,283.54,286.31,348141
2015-01-09,285.78,290.3,283.7,287.75,368356
2015-01-12,289.84,290.62,286.24,289.71,673893
2015-01-13,290.3,293.66,288.94,291.83,347421
2015-01-14,290.48,293.74,286.84,289.65,843192
2015-01-15,289.94,290.86,287.63,290.66,568465
2015-01-16,293.16,297.27,289.29,291.09,284840
2015-01-19,287.44,291.36,285.34,287.04,905929
2015-01-20,289.98,290.95,288.17,289.1,1216758
2015-01-21,283.75,284.33,281.34,283.3,502921
2015-01-22,292.49,292.63,290.3,291.12,453531
2015-01-23,290.76,301.81,284.88,288.54,250974
2015-01-26,293.45,296.22,288.94,293.22,515392
2015-01-27,295.87,299.95,291.74,297.66,615466
2015-01-28,300.3,302.06,298.87,300.67,655285
2015-01-29,295.58,297.97,295.44,296.24,504766
2015-01-30,298.92,300.91,296.12,299.0,594039
2015-02-02,303.34,306.78,298.62,303.34,578558
2015-02-03,302.67,304.77,301.71,302.51,322955
2015-02-04,299.25,307.08,296.26,302.4,435008
2015-02-05,303.66,308.11,303.31,303.35,734251
2015-02-06,307.94,309.0,305.62,306.19,676376
2015-02-09,304.36,308.11,301.89,304.78,346115
2015-02-10,300.75,302.53,294.81,302.43,1205512
2015-02-11,306.5,308.47,302.22,303.43,856849
2015-02-12,304.97,310.98,302.29,306.1,743735
2015-02-13,310.8,317.26,305.87,309.46,424486
2015-02-16,316.94,317.55,313.91,316.55,685251
2015-02-17,313.84,319.1,310.12,314.72,568174
2015-02-18,303.91,306.89,302.83,305.27,563430
2015-02-19,301.87,305.27,301.34,301.96,501242
2015-02-20,300.43,307.34,298.91,300.95,274637
2015-02-23,305.25,306.17,300.67,303.65,716692
2015-02-24,294.68,297.24,293.59,294.63,562840
2015-02-25,291.85,293.29,289.92,291.59,601254
2015-02-26,293.85,295.92,292.33,294.94,826986
2015-02-27,298.17,300.8,298.13,299.18,923291
2015-03-02,294.99,296.56,290.78,295.27,813669
2015-03-03,295.89,298.24,293.11,297.23,469454
2015-03-04,295.02,298.18,290.05,297.4,1123427
2015-03-05,299.42,299.74,295.88,298.47,558470
2015-03-06,296.44,300.3,291.9,298.33,513614
2015-03-09,292.06,296.53,287.5,291.48,670869
2015-03-10,300.6,304.6,297.84,299.13,484453
2015-03-11,296.95,298.77,295.01,298.63,1013819
2015-03-12,295.75,297.28,287.64,294.29,286995
2015-03-13,291.97,292.64,289.78,291.12,588621
2015-03-16,280.69,282.98,278.82,280.97,642965
2015-03-17,284.17,288.05,282.25,284.61,749022
2015-03-18,287.29,293.1,279.78,286.46,166448
2015-03-19,290.94,295.5,290.33,291.38,331512
2015-03-20,296.35,297.56,292.86,294.15,359906
