Date,Open,High,Low,Close,Volume
2015-01-01,804.57,808.76,790.5,800.0,666215
2015-01-02,792.11,792.12,784.06,788.65,540674
2015-01-05,775.16,776.55,764.5,774.31,524216
2015-01-06,788.98,808.55,788.07,793.01,692125
2015-01-07,795.72,799.22,788.0,796.66,233346
2015-01-08,801.71,807.77,789.89,800.07,501804
2015-01-09,796.78,808.22,794.2,799.69,614034
2015-01-12,825.5,825.52,810.44,819.41,435692
2015-01-13,819.87,831.13,812.08,823.76,436045
2015-01-14,818.59,823.09,813.04,822.39,431636
2015-01-15,813.31,819.04,811.49,812.59,748975
2015-01-16,816.21,826.34,806.38,812.18,328326
2015-01-19,804.16,823.59,798.35,812.2,467714
2015-01-20,805.45,814.17,784.07,808.13,421635
2015-01-21,772.88,797.17,769.47,781.23,953372
2015-01-22,778.15,789.73,772.77,774.16,521532
2015-01-23,780.05,784.95,776.59,782.63,500318
2015-01-26,768.18,779.19,748.9,763.18,221516
2015-01-27,761.69,775.01,754.49,766.84,281875
2015-01-28,738.79,748.45,732.88,741.9,679553
2015-01-29,742.13,748.05,732.52,743.2,431855
2015-01-30,762.54,766.8,746.37,761.18,650673
2015-02-02,761.26,764.22,754.03,761.11,656314
2015-02-03,765.44,776.55,765.13,767.4,791122
2015-02-04,753.32,770.04,749.91,760.6,310382
2015-02-05,750.51,768.59,743.27,751.34,980395
2015-02-06,751.67,758.59,749.6,752.26,540879
2015-02-09,747.21,760.26,735.28,748.66,565808
2015-02-10,753.73,758.95,743.41,749.78,226966
2015-02-11,749.17,760.33,736.99,749.95,601897
2015-02-12,752.42,756.89,747.58,748.15,336412
2015-02-13,746.95,748.36,732.53,745.47,494128
2015-02-16,751.47,763.79,747.86,749.85,1001473
2015-02-17,755.89,758.73,746.54,753.35,557728
2015-02-18,753.05,757.58,741.85,751.97,514228
2015-02-19,756.18,759.55,753.38,757.35,569175
2015-02-20,744.44,744.75,731.97,743.03,364109
2015-02-23,736.41,736.64,718.15,733.9,255513
2015-02-24,731.15,732.23,728.96,729.68,593465
2015-02-25,712.19,725.83,711.18,716.35,495099
2015-02-26,716.34,724.45,713.31,714.06,758452
2015-02-27,705.17,711.3,695.81,703.11,319110
2015-03-02,713.12,718.02,708.71,710.76,274731
2015-03-03,701.61,704.68,698.83,702.48,603899
2015-03-04,688.41,693.47,686.76,690.42,348737
2015-03-05,677.19,680.27,672.39,677.29,240622
2015-03-06,681.2,690.52,678.48,678.69,338181
2015-03-09,673.32,679.71,655.77,677.16,280661
2015-03-10,676.32,679.49,665.96,676.23,230007
2015-03-11,687.26,696.61,667.68,692.66,550565
2015-03-12,685.25,691.24,684.36,689.07,550207
2015-03-13,676.63,682.31,671.6,673.75,397047
2015-03-16,667.6,674.56,665.58,666.91,898245
2015-03-17,648.48,657.26,641.85,651.35,394135
2015-03-18,655.65,663.72,651.56,654.0,534508
2015-03-19,663.54,665.23,654.25,665.14,236126
2015-03-20,673.49,680.12,667.62,672.38,273757
2015-03-23,668.28,670.71,660.78,667.13,655814
2015-03-24,665.55,669.11,661.99,663.8,675821
2015-03-25,668.7,669.24,663.61,666.33,386459
2015-03-26,655.97,664.95,654.87,656.49,547873
2015-03-27,652.63,654.52,649.75,653.22,470540
2015-03-30,657.84,663.68,650.09,654.38,513096
2015-03-31,638.02,646.52,634.51,640.22,284806
2015-04-01,631.62,643.25,624.28,630.34,1154034
2015-04-02,648.12,652.9,640.87,649.81,1634619
2015-04-03,660.74,661.07,659.3,660.61,338563
2015-04-06,654.61,661.02,643.28,650.07,404060
2015-04-07,646.47,651.08,646.33,649.6,558318
2015-04-08,646.26,660.22,639.16,649.91,596209
2015-04-09,670.65,673.95,663.67,666.94,367690
2015-04-10,675.74,677.28,674.23,675.1,585687
2015-04-13,690.04,693.53,688.44,691.95,435588
2015-04-14,697.27,704.85,694.62,697.62,282593
2015-04-15,697.19,699.3,685.88,697.74,385334
2015-04-16,696.95,698.94,690.65,697.72,492240
2015-04-17,711.36,712.71,702.09,707.58,544159
2015-04-20,718.23,722.87,703.89,720.8,342922
2015-04-21,733.37,737.38,730.02,734.01,433604
2015-04-22,745.24,760.22,739.04,748.39,691945
2015-04-23,740.12,748.77,738.31,740.73,605460
2015-04-24,741.73,743.8,740.05,743.64,468411
2015-04-27,748.9,754.52,738.6,747.97,461829
2015-04-28,762.89,771.13,761.64,763.32,820743
2015-04-29,765.71,767.1,762.35,763.96,768020
2015-04-30,767.3,773.84,746.87,763.26,402760
2015-05-01,757.89,764.08,749.11,761.4,149598
2015-05-04,765.16,767.55,751.36,764.73,248352
2015-05-05,766.38,774.88,764.25,771.17,274206
2015-05-06,780.79,790.06,776.44,780.63,481616
2015-05-07,775.71,776.55,769.64,774.04,628381
2015-05-08,773.7,785.32,769.39,774.7,649325
2015-05-11,782.9,791.49,769.83,781.7,349155
2015-05-12,794.46,799.09,792.62,793.46,411628
2015-05-13,792.25,800.83,783.01,790.44,477190
2015-05-14,777.28,789.31,776.13,780.96,481564
2015-05-15,791.7,796.34,786.62,788.33,416492
2015-05-18,793.1,806.1,792.39,794.1,1410179
2015-05-19,786.7,798.39,780.81,791.83,565903
2015-05-20,797.0,808.8,795.2,799.89,332875
2015-05-21,778.19,789.95,775.92,782.05,520183
2015-05-22,773.44,784.28,768.87,775.08,418356
