Date,Open,High,Low,Close,Volume
2015-01-01,1792.17,1811.78,1790.73,1800.0,414384
2015-01-02,1795.35,1806.2,1785.71,1792.55,287190
2015-01-05,1792.52,1828.1,1753.63,1806.7,600073
2015-01-06,1793.62,1832.71,1734.29,1782.59,660733
2015-01-07,1811.41,1823.48,1794.41,1806.16,515736
2015-01-08,1780.39,1786.33,1748.09,1782.68,438737
2015-01-09,1746.27,1758.01,1718.03,1742.64,341853
2015-01-12,1746.6,1753.46,1742.06,1751.66,519148
2015-01-13,1773.65,1790.73,1751.35,1783.22,331584
2015-01-14,1775.23,1785.63,1773.64,1781.73,1217858
2015-01-15,1807.59,1838.61,1771.32,1818.47,151675
2015-01-16,1848.3,1852.21,1834.44,1843.97,580667
2015-01-19,1832.86,1869.72,1824.68,1843.6,241331
2015-01-20,1796.84,1812.57,1783.95,1801.7,279667
2015-01-21,1799.69,1839.54,1793.3,1801.33,741061
2015-01-22,1772.05,1776.78,1744.92,1774.59,750539
2015-01-23,1779.67,1808.9,1768.92,1774.06,410884
2015-01-26,1819.63,1825.07,1795.52,1798.12,590984
2015-01-27,1857.54,1875.37,1846.48,1851.4,753040
2015-01-28,1819.61,1861.47,1814.16,1819.49,329416
2015-01-29,1794.22,1811.91,1779.53,1787.18,840047
2015-01-30,1822.29,1822.7,1792.48,1805.58,523205
2015-02-02,1805.13,1824.5,1789.28,1816.51,1049005
2015-02-03,1823.14,1848.2,1815.32,1824.33,647886
2015-02-04,1847.1,1852.01,1833.57,1834.05,513674
2015-02-05,1803.09,1825.38,1783.34,1809.03,603014
2015-02-06,1797.48,1816.29,1777.23,1800.8,602821
2015-02-09,1818.67,1840.37,1802.89,1831.15,405395
2015-02-10,1842.1,1869.29,1831.68,1864.69,1201586
2015-02-11,1871.49,1877.31,1855.1,1866.28,543767
2015-02-12,1829.39,1842.01,1800.55,1838.9,481113
2015-02-13,1856.03,1865.05,1818.32,1849.83,305064
2015-02-16,1812.05,1817.01,1785.13,1816.87,364063
2015-02-17,1798.87,1810.21,1779.1,1800.48,543151
2015-02-18,1799.0,1806.77,1768.42,1796.07,1576368
2015-02-19,1818.68,1825.75,1806.58,1812.7,480904
2015-02-20,1800.31,1825.87,1782.76,1789.85,502645
2015-02-23,1778.01,1806.26,1737.58,1787.68,435119
2015-02-24,1730.58,1756.64,1702.75,1739.93,320805
2015-02-25,1729.29,1729.35,1703.86,1710.02,776143
2015-02-26,1720.81,1722.99,1670.87,1708.47,359801
2015-02-27,1718.19,1731.86,1714.25,1719.39,563336
2015-03-02,1695.34,1721.08,1652.82,1706.02,413987
2015-03-03,1680.48,1698.39,1671.17,1687.98,502558
2015-03-04,1665.52,1696.55,1654.29,1662.42,1106338
2015-03-05,1648.54,1658.58,1634.3,1639.91,809533
2015-03-06,1613.08,1634.37,1606.66,1620.62,252519
2015-03-09,1587.35,1628.57,1576.87,1597.75,583925
2015-03-10,1581.18,1608.0,1561.85,1570.14,530111
2015-03-11,1564.52,1596.2,1556.38,1560.65,1299300
2015-03-12,1536.14,1576.44,1532.1,1545.72,572665
2015-03-13,1533.9,1564.88,1512.2,1537.21,318480
2015-03-16,1553.85,1577.55,1518.19,1541.94,961549
