Date,Open,High,Low,Close,Volume
2015-01-01,699.95,705.03,699.08,700.0,325890
2015-01-02,679.86,684.6,679.85,682.1,513009
2015-01-05,690.65,699.51,679.42,686.37,248844
2015-01-06,678.34,693.1,676.44,681.19,407882
2015-01-07,689.67,691.95,688.31,690.71,750236
2015-01-08,708.42,724.71,703.11,704.5,510449
2015-01-09,703.55,709.09,692.24,700.62,396765
2015-01-12,702.68,709.51,694.29,699.81,347878
2015-01-13,700.4,707.26,698.83,704.55,604310
2015-01-14,714.12,723.8,702.27,714.66,848635
2015-01-15,718.08,728.08,710.17,720.66,691748
2015-01-16,728.71,729.13,726.23,727.56,530739
2015-01-19,732.4,735.04,719.73,730.54,517573
2015-01-20,744.17,760.95,729.24,740.83,489805
2015-01-21,727.71,733.95,727.43,727.56,265887
2015-01-22,729.57,736.97,723.7,731.22,406772
2015-01-23,733.1,740.29,731.45,734.93,382582
2015-01-26,719.78,726.99,719.43,719.76,416100
2015-01-27,723.54,726.26,722.3,722.38,667593
2015-01-28,724.03,734.6,712.59,722.15,546033
2015-01-29,716.65,722.19,711.91,715.97,367233
2015-01-30,719.6,724.96,716.38,722.66,771537
2015-02-02,723.62,724.63,723.21,723.24,1060149
2015-02-03,726.53,731.16,724.6,725.6,675261
2015-02-04,712.17,723.25,710.5,718.37,1495309
2015-02-05,719.72,723.87,715.75,719.2,526547
2015-02-06,726.71,731.99,720.05,726.73,1049033
2015-02-09,738.54,740.17,732.57,736.54,731217
2015-02-10,752.24,760.76,748.23,754.34,1128685
2015-02-11,747.8,753.99,742.51,748.04,451789
2015-02-12,741.18,744.42,730.09,742.01,470027
2015-02-13,736.39,741.29,734.45,735.99,693669
2015-02-16,729.57,737.45,727.15,731.92,364025
2015-02-17,736.68,738.68,728.5,734.45,293407
2015-02-18,755.68,766.82,751.44,759.67,274556
2015-02-19,758.52,758.75,756.22,757.3,525651
2015-02-20,752.26,756.1,724.17,745.22,969959
2015-02-23,732.24,737.02,721.15,732.78,671011
2015-02-24,734.26,744.15,726.54,731.13,355218
2015-02-25,724.59,733.04,716.49,725.75,429562
2015-02-26,726.08,730.53,721.27,722.04,494054
2015-02-27,718.46,725.0,711.25,718.94,254093
2015-03-02,714.59,723.39,709.67,714.33,578808
2015-03-03,720.9,729.11,718.33,720.62,500183
2015-03-04,721.4,736.64,719.44,724.62,605332
2015-03-05,715.98,727.59,711.19,714.54,459775
2015-03-06,710.97,716.84,706.75,711.12,425904
2015-03-09,715.11,720.67,710.33,715.54,255332
2015-03-10,705.05,714.73,704.21,710.18,753822
2015-03-11,707.71,711.59,700.66,703.46,527739
2015-03-12,702.31,705.32,695.75,696.52,657201
2015-03-13,693.24,702.71,691.19,699.69,318833
2015-03-16,703.05,711.67,696.74,702.73,715776
2015-03-17,707.37,712.06,700.44,706.99,642087
2015-03-18,718.04,729.06,705.7,713.39,419735
2015-03-19,702.17,708.79,700.94,703.99,877236
2015-03-20,720.14,723.43,715.01,716.4,353557
2015-03-23,713.99,720.8,712.77,716.15,750325
2015-03-24,715.58,719.58,702.26,715.76,615228
2015-03-25,728.77,734.94,715.41,726.01,522352
2015-03-26,743.75,748.59,738.09,742.37,748246
2015-03-27,733.44,733.98,729.36,733.31,785772
2015-03-30,720.49,727.58,715.22,719.69,657041
2015-03-31,714.38,722.51,709.21,711.51,797492
2015-04-01,698.17,699.76,696.7,698.43,254121
2015-04-02,703.35,704.07,702.36,702.44,468327
2015-04-03,715.29,716.56,707.62,711.98,486781
2015-04-06,706.05,713.82,694.06,705.82,362059
2015-04-07,700.83,706.32,690.52,701.98,670058
2015-04-08,680.02,681.8,674.23,678.26,524100
2015-04-09,683.93,684.08,680.0,680.92,400513
2015-04-10,691.6,693.04,682.41,688.59,537179
2015-04-13,689.16,699.84,683.67,687.42,857846
2015-04-14,683.66,696.09,667.47,679.76,1125381
2015-04-15,684.49,694.88,682.8,684.06,853824
2015-04-16,658.87,664.6,658.2,659.98,365742
2015-04-17,668.51,673.34,662.28,671.88,363675
2015-04-20,662.96,675.36,661.83,665.34,467893
2015-04-21,672.94,681.26,668.95,671.8,578235
2015-04-22,673.03,673.66,670.48,671.9,659390
2015-04-23,655.32,662.31,649.47,651.88,550276
2015-04-24,646.18,650.13,643.9,644.63,495107
2015-04-27,634.18,640.83,624.97,633.21,621631
2015-04-28,639.89,643.08,639.69,641.2,376843
2015-04-29,637.6,646.97,634.72,634.86,614066
2015-04-30,636.01,636.62,627.92,630.45,440700
2015-05-01,636.98,640.09,626.8,637.71,649193
2015-05-04,646.98,654.11,646.77,648.71,236838
2015-05-05,645.89,651.07,642.87,647.47,413925
2015-05-06,648.95,651.9,643.42,645.09,485751
2015-05-07,643.49,643.79,640.31,641.72,805459
2015-05-08,646.62,649.34,639.0,646.42,709446
2015-05-11,665.77,671.31,659.97,664.4,419576
2015-05-12,652.76,657.4,643.22,656.58,714508
2015-05-13,663.96,668.42,654.14,659.83,665830
2015-05-14,656.0,656.85,651.55,654.33,600596
2015-05-15,655.41,657.88,647.79,653.4,375752
2015-05-18,659.8,661.64,656.83,660.88,640954
2015-05-19,662.73,677.57,653.83,665.63,709687
2015-05-20,656.69,662.93,653.31,656.22,617699
2015-05-21,640.45,641.74,638.03,639.23,379161
2015-05-22,637.4,643.88,627.67,637.01,594700
2015-05-25,629.03,634.67,625.13,626.94,760308
2015-05-26,620.78,625.52,617.13,622.74,532926
2015-05-27,615.7,618.81,608.94,617.68,631107
2015-05-28,624.11,626.57,621.34,625.91,951241
2015-05-29,630.74,636.77,629.79,633.26,670617
2015-06-01,639.12,644.86,638.4,640.09,352843
2015-06-02,642.48,646.25,641.57,643.27,493123
2015-06-03,648.6,651.59,645.16,648.21,414800
2015-06-04,653.73,655.67,643.85,651.61,506704
2015-06-05,634.66,652.55,617.01,633.81,968805
2015-06-08,626.85,634.6,620.42,630.12,386464
2015-06-09,638.32,640.13,635.11,636.46,282118
2015-06-10,632.62,636.29,629.5,635.17,433679
2015-06-11,621.98,627.79,619.62,626.74,326798
2015-06-12,627.28,636.97,623.34,625.41,423842
2015-06-15,624.69,626.04,609.14,622.4,424835
2015-06-16,624.94,626.32,619.8,621.85,570654
2015-06-17,634.53,635.72,627.6,633.91,328750
2015-06-18,628.77,640.94,621.08,625.41,701814
2015-06-19,626.72,633.16,624.3,630.41,288840
2015-06-22,626.58,629.84,614.75,627.4,288029
2015-06-23,627.18,635.52,622.49,625.11,409432
2015-06-24,602.27,608.01,600.54,602.28,660747
2015-06-25,601.33,609.18,600.2,600.23,204318
