Date,Open,High,Low,Close,Volume
2015-01-01,2726.89,2754.04,2668.0,2700.0,356076
2015-01-02,2681.54,2684.34,2667.92,2677.59,493901
2015-01-05,2672.91,2680.49,2661.83,2675.67,363497
2015-01-06,2683.98,2702.68,2671.48,2690.87,307948
2015-01-07,2704.28,2749.68,2680.21,2700.94,277868
2015-01-08,2654.33,2676.49,2650.72,2664.89,731954
2015-01-09,2711.61,2739.14,2694.81,2717.88,529628
2015-01-12,2754.79,2764.33,2738.19,2759.37,867056
2015-01-13,2719.11,2747.27,2701.34,2736.59,672278
2015-01-14,2756.12,2772.09,2755.22,2757.91,1031385
2015-01-15,2787.08,2796.83,2752.81,2777.84,1037070
2015-01-16,2779.28,2800.27,2763.33,2797.36,442958
2015-01-19,2801.61,2822.01,2763.75,2799.94,593622
2015-01-20,2855.62,2876.32,2831.31,2863.75,1037545
2015-01-21,2789.8,2791.49,2779.05,2790.65,359154
2015-01-22,2773.88,2778.18,2746.5,2755.89,462492
2015-01-23,2755.87,2758.06,2707.78,2727.47,412839
2015-01-26,2691.52,2708.58,2675.66,2686.75,407037
2015-01-27,2657.3,2663.53,2630.74,2646.22,847980
2015-01-28,2636.27,2639.88,2622.09,2639.11,223574
2015-01-29,2623.99,2638.84,2612.17,2622.75,333478
2015-01-30,2596.9,2639.66,2572.33,2625.99,607705
2015-02-02,2640.98,2660.15,2624.49,2626.97,477623
2015-02-03,2575.09,2583.53,2559.21,2580.83,750675
2015-02-04,2561.11,2578.45,2535.66,2550.46,546653
2015-02-05,2562.1,2574.62,2539.34,2566.32,217633
2015-02-06,2569.01,2602.65,2558.89,2575.11,435468
2015-02-09,2569.62,2585.33,2554.92,2581.99,562857
2015-02-10,2546.57,2577.57,2546.01,2551.55,312635
2015-02-11,2556.23,2571.06,2535.27,2554.17,841174
2015-02-12,2549.41,2572.85,2533.47,2551.17,380630
2015-02-13,2502.54,2525.7,2496.46,2500.68,508299
2015-02-16,2554.46,2583.36,2553.03,2562.02,544638
2015-02-17,2560.31,2604.51,2556.57,2572.1,652443
2015-02-18,2558.61,2614.77,2526.57,2566.03,518967
2015-02-19,2575.99,2584.64,2554.73,2579.58,650475
2015-02-20,2549.49,2558.34,2537.4,2538.2,443765
2015-02-23,2541.67,2564.17,2505.69,2540.59,643765
2015-02-24,2540.76,2576.42,2537.02,2537.77,368329
2015-02-25,2505.11,2510.26,2496.03,2504.46,339866
2015-02-26,2563.19,2589.24,2560.23,2567.36,578537
2015-02-27,2606.56,2620.33,2592.23,2618.61,987772
2015-03-02,2631.21,2661.8,2586.28,2632.5,405218
2015-03-03,2628.18,2638.29,2611.96,2635.61,334495
2015-03-04,2631.51,2702.51,2622.93,2633.77,712848
2015-03-05,2629.03,2651.67,2604.12,2639.69,446054
2015-03-06,2579.97,2588.88,2561.55,2569.28,625702
2015-03-09,2575.08,2575.42,2544.09,2571.57,505003
2015-03-10,2595.34,2625.74,2586.81,2611.46,810146
2015-03-11,2604.63,2634.79,2573.66,2609.98,666356
2015-03-12,2600.62,2620.67,2586.35,2587.19,417245
2015-03-13,2576.11,2602.04,2564.38,2578.73,434351
2015-03-16,2609.07,2644.13,2607.8,2612.28,787969
2015-03-17,2588.66,2597.85,2580.47,2596.12,475599
2015-03-18,2632.18,2643.46,2629.17,2638.04,588431
2015-03-19,2625.63,2626.05,2612.14,2624.95,446325
2015-03-20,2625.03,2640.33,2597.64,2631.54,333938
2015-03-23,2638.48,2660.17,2621.71,2643.75,1117099
2015-03-24,2707.08,2730.8,2656.27,2697.24,269589
2015-03-25,2674.73,2709.78,2658.11,2684.75,718681
2015-03-26,2709.09,2727.37,2661.9,2698.67,1005570
2015-03-27,2718.98,2741.26,2712.4,2715.34,535684
2015-03-30,2716.14,2766.75,2709.04,2711.11,659199
2015-03-31,2702.2,2728.3,2690.25,2707.08,788955
2015-04-01,2735.19,2755.96,2693.72,2721.99,493118
2015-04-02,2711.14,2712.13,2702.67,2704.51,268693
2015-04-03,2757.2,2769.23,2718.77,2759.3,917881
2015-04-06,2785.23,2802.43,2770.7,2792.56,523674
2015-04-07,2840.88,2874.41,2823.98,2843.51,330986
2015-04-08,2825.22,2845.37,2794.36,2831.91,738357
2015-04-09,2814.67,2829.19,2796.67,2813.09,573643
2015-04-10,2821.53,2864.34,2809.13,2829.23,310716
2015-04-13,2838.42,2865.23,2808.82,2831.15,438526
2015-04-14,2854.82,2886.81,2836.62,2866.82,377009
2015-04-15,2894.98,2911.45,2868.54,2895.12,646065
2015-04-16,2801.62,2812.73,2799.37,2809.59,344072
2015-04-17,2834.82,2862.51,2800.87,2825.23,326907
2015-04-20,2838.56,2844.49,2814.64,2833.78,676300
2015-04-21,2810.55,2831.83,2777.43,2809.84,499216
2015-04-22,2780.99,2809.78,2748.69,2791.55,771428
2015-04-23,2789.03,2805.71,2776.32,2782.0,1141854
2015-04-24,2791.51,2809.37,2784.12,2796.64,558152
2015-04-27,2814.51,2844.28,2781.35,2804.39,710049
2015-04-28,2865.09,2879.63,2848.09,2864.73,802776
2015-04-29,2852.89,2927.55,2842.19,2853.42,565026
2015-04-30,2804.47,2827.66,2776.8,2813.31,424055
2015-05-01,2788.02,2814.27,2777.83,2797.35,353266
2015-05-04,2845.87,2862.68,2823.72,2837.23,622951
2015-05-05,2790.09,2835.31,2789.85,2798.12,235888
2015-05-06,2818.22,2856.13,2816.48,2817.85,512759
2015-05-07,2824.09,2832.01,2812.8,2820.05,914564
2015-05-08,2802.25,2814.97,2788.58,2805.76,257532
2015-05-11,2836.42,2838.73,2822.97,2836.21,747252
2015-05-12,2795.09,2813.24,2766.43,2796.24,673455
2015-05-13,2822.33,2848.12,2738.59,2810.16,275200
2015-05-14,2822.96,2842.79,2811.34,2821.21,465170
2015-05-15,2809.9,2818.79,2805.25,2815.38,550131
2015-05-18,2803.27,2847.69,2782.8,2813.76,679037
2015-05-19,2804.84,2830.26,2781.25,2819.32,855193
2015-05-20,2841.45,2859.19,2785.55,2836.3,393259
2015-05-21,2830.02,2837.98,2828.55,2834.06,788971
2015-05-22,2845.48,2888.18,2777.88,2853.34,537321
2015-05-25,2809.45,2827.06,2807.75,2820.25,480996
2015-05-26,2804.29,2821.17,2790.09,2798.93,895022
2015-05-27,2745.15,2808.09,2697.47,2723.59,610247
2015-05-28,2756.45,2786.34,2735.95,2747.82,483710
2015-05-29,2780.03,2787.06,2731.77,2768.72,553529
2015-06-01,2761.15,2775.33,2736.1,2743.49,627735
2015-06-02,2745.91,2781.46,2721.66,2761.84,729270
2015-06-03,2796.69,2806.32,2793.89,2793.99,476686
2015-06-04,2798.84,2814.51,2751.27,2812.07,654115
2015-06-05,2777.37,2803.16,2745.05,2759.74,533276
2015-06-08,2774.52,2774.99,2750.71,2771.35,461625
2015-06-09,2808.48,2814.11,2765.78,2806.18,791629
2015-06-10,2838.37,2865.83,2835.79,2838.11,213187
2015-06-11,2841.94,2845.24,2806.05,2836.2,794929
2015-06-12,2838.2,2841.18,2798.45,2835.38,395838
2015-06-15,2849.42,2879.98,2839.3,2854.99,621772
2015-06-16,2836.37,2864.57,2821.98,2830.18,500767
2015-06-17,2845.3,2871.33,2807.92,2857.29,450243
2015-06-18,2846.02,2875.86,2840.04,2849.42,417419
2015-06-19,2931.13,2934.57,2898.56,2917.83,802350
2015-06-22,2913.41,2940.34,2892.91,2915.29,590817
2015-06-23,2954.02,2963.01,2924.49,2962.36,929065
2015-06-24,2911.07,2931.31,2874.26,2892.93,448169
2015-06-25,2945.36,2948.42,2910.09,2932.52,683145
2015-06-26,3006.84,3018.95,2971.47,2999.08,446140
2015-06-29,2987.84,3020.17,2980.85,2992.3,367961
2015-06-30,2980.84,3006.34,2979.72,2985.21,404587
2015-07-01,2930.24,2954.31,2892.15,2927.29,424265
2015-07-02,2945.25,2974.79,2920.72,2940.92,624280
2015-07-03,2954.3,2976.29,2942.46,2947.6,265901
2015-07-06,2921.13,2967.0,2894.09,2912.91,686384
2015-07-07,2888.28,2903.12,2872.12,2873.38,515908
2015-07-08,2818.84,2879.03,2814.93,2846.53,566458
2015-07-09,2854.18,2859.48,2813.12,2847.94,921453
2015-07-10,2859.2,2885.6,2851.75,2878.39,437352
2015-07-13,2856.16,2862.03,2852.32,2854.8,753080
2015-07-14,2891.27,2919.25,2868.87,2892.65,810899
2015-07-15,2900.12,2932.44,2835.07,2896.03,523455
2015-07-16,2832.74,2838.65,2770.31,2825.94,583676
2015-07-17,2861.29,2869.01,2829.55,2854.66,542013
2015-07-20,2861.15,2888.05,2847.39,2863.3,478110
2015-07-21,2870.59,2876.54,2818.29,2857.31,343092
2015-07-22,2863.91,2873.64,2820.28,2843.17,2350496
2015-07-23,2861.51,2906.63,2827.05,2868.14,367804
2015-07-24,2906.4,2914.84,2868.03,2893.92,584618
2015-07-27,2897.81,2909.22,2859.16,2893.95,682988
2015-07-28,2889.25,2894.88,2881.17,2892.0,558592
2015-07-29,2902.23,2964.09,2856.7,2901.96,464365
2015-07-30,2911.08,2941.62,2892.02,2924.71,596911
2015-07-31,2950.08,2964.52,2921.23,2936.38,639453
2015-08-03,2949.09,2961.94,2920.94,2951.16,857105
2015-08-04,2951.07,2988.83,2942.58,2957.63,780352
2015-08-05,2957.81,2968.41,2940.75,2956.47,692659
2015-08-06,2956.19,2958.38,2946.26,2955.31,656914
2015-08-07,2977.43,3032.37,2966.22,2983.25,729769
