Date,Open,High,Low,Close,Volume
2015-01-01,650.27,655.37,647.07,650.0,470541
2015-01-02,653.11,653.52,651.77,653.5,625936
2015-01-05,653.94,655.82,650.54,655.05,470258
2015-01-06,663.37,667.11,657.41,661.95,630145
2015-01-07,664.97,667.74,660.14,663.95,968590
2015-01-08,665.66,670.04,660.25,666.04,304394
2015-01-09,668.71,673.39,665.46,669.59,605665
2015-01-12,672.1,675.52,664.91,673.66,989101
2015-01-13,676.86,685.67,675.37,676.81,345856
2015-01-14,672.78,679.06,671.34,674.66,501210
2015-01-15,675.53,680.34,674.79,676.2,665105
2015-01-16,675.25,682.95,672.05,678.63,539088
2015-01-19,671.27,675.81,666.21,671.54,438126
2015-01-20,667.11,673.74,665.95,668.64,745538
2015-01-21,656.0,663.7,652.66,659.85,419432
2015-01-22,654.71,660.03,649.07,657.05,504366
2015-01-23,648.1,650.89,638.81,647.88,591457
2015-01-26,635.9,645.67,630.84,637.57,536162
2015-01-27,643.79,644.68,638.86,643.88,397125
2015-01-28,638.79,640.93,630.08,638.44,363994
2015-01-29,622.2,627.4,619.54,626.19,575348
2015-01-30,633.47,637.46,627.56,634.29,680907
2015-02-02,626.04,628.93,621.15,626.82,324892
2015-02-03,626.53,634.02,622.16,629.55,926110
2015-02-04,617.27,617.49,604.66,615.46,619674
2015-02-05,610.35,619.37,610.01,611.43,1015084
2015-02-06,609.91,611.89,607.97,609.31,964789
2015-02-09,618.28,621.33,613.06,617.02,774714
2015-02-10,612.58,615.35,609.81,614.09,684767
2015-02-11,610.43,610.83,607.35,608.74,438980
2015-02-12,615.41,618.19,608.81,612.69,448457
2015-02-13,613.02,613.33,606.76,610.55,509791
2015-02-16,623.23,624.99,618.36,623.75,383282
2015-02-17,616.01,620.59,615.72,617.87,343151
2015-02-18,608.17,612.04,603.78,608.7,226355
2015-02-19,613.08,613.64,609.73,610.56,884075
2015-02-20,606.89,609.44,600.33,608.21,365523
2015-02-23,607.34,615.37,606.26,609.53,432054
2015-02-24,605.34,607.01,600.22,605.9,357203
2015-02-25,602.51,604.92,599.42,603.42,740787
2015-02-26,604.1,605.97,603.78,604.6,644586
2015-02-27,603.19,604.6,594.52,599.74,351148
2015-03-02,602.11,604.96,599.68,604.63,239142
2015-03-03,592.87,598.72,591.61,594.22,341276
2015-03-04,590.32,593.46,590.25,591.71,392255
2015-03-05,580.67,589.03,572.74,580.19,572265
2015-03-06,573.09,576.44,570.81,572.6,448000
2015-03-09,571.55,578.28,568.32,570.58,925804
2015-03-10,577.46,579.28,576.47,577.14,233003
2015-03-11,586.79,588.87,585.89,586.78,709748
2015-03-12,578.52,587.2,573.96,578.21,521413
2015-03-13,580.6,581.79,577.27,580.66,790008
2015-03-16,580.11,581.47,574.7,580.74,150520
2015-03-17,578.77,580.7,571.85,579.03,476983
2015-03-18,588.01,588.71,578.3,587.71,584472
2015-03-19,592.79,604.84,589.58,590.57,489914
