Date,Open,High,Low,Close,Volume
2015-01-01,219.96,220.37,217.68,220.0,284550
2015-01-02,220.66,223.07,215.39,217.85,331185
2015-01-05,217.78,218.55,214.17,217.34,309359
2015-01-06,216.91,218.36,214.53,214.67,308838
2015-01-07,219.59,221.85,218.08,218.41,832383
2015-01-08,214.75,216.19,211.94,215.14,297226
2015-01-09,216.23,220.64,213.59,215.97,349009
2015-01-12,216.47,218.09,213.48,216.45,474564
2015-01-13,224.75,226.16,222.94,224.72,415812
2015-01-14,226.11,228.56,224.61,225.71,769755
2015-01-15,232.43,233.25,225.66,228.64,600842
2015-01-16,228.44,231.45,224.51,227.55,448487
2015-01-19,230.25,232.29,228.56,230.53,857145
2015-01-20,231.17,231.66,225.88,231.42,722533
2015-01-21,226.96,229.68,226.58,226.96,934462
2015-01-22,226.59,226.79,223.59,226.73,249782
2015-01-23,225.9,227.15,225.24,226.33,506726
2015-01-26,221.57,222.83,215.23,220.5,472291
2015-01-27,218.53,220.71,217.1,218.96,487648
2015-01-28,220.32,224.69,218.12,222.21,585183
2015-01-29,218.56,222.28,217.95,219.17,575025
2015-01-30,224.45,226.55,223.52,223.6,632198
2015-02-02,219.05,221.03,214.0,219.39,471974
2015-02-03,223.08,224.09,220.87,222.52,458438
2015-02-04,214.64,219.31,213.36,216.04,560969
2015-02-05,209.39,213.12,207.0,210.91,349916
2015-02-06,206.46,208.83,203.02,207.22,596246
2015-02-09,207.16,209.0,202.55,206.83,796910
2015-02-10,207.19,209.42,205.68,207.75,822353
2015-02-11,204.06,205.6,203.87,204.4,380732
2015-02-12,198.7,200.89,194.37,198.86,361539
2015-02-13,200.03,203.92,198.98,201.03,508727
2015-02-16,204.6,207.5,202.13,203.33,847755
2015-02-17,206.55,207.97,202.61,204.96,344591
2015-02-18,205.91,206.84,203.91,205.18,481491
2015-02-19,203.68,206.03,201.1,202.51,303135
2015-02-20,199.92,199.93,197.91,199.72,1390524
2015-02-23,198.45,198.63,197.34,198.3,492507
2015-02-24,193.8,194.19,193.07,193.4,1003139
2015-02-25,189.16,190.55,187.51,189.08,396140
2015-02-26,190.58,191.98,186.42,189.85,683359
2015-02-27,192.02,194.74,191.44,192.73,356802
2015-03-02,193.07,193.59,191.0,192.29,558068
2015-03-03,195.53,199.19,193.57,194.06,401147
2015-03-04,197.14,200.27,194.97,197.38,383802
2015-03-05,197.03,198.62,194.4,197.86,537066
2015-03-06,201.71,204.83,200.38,200.61,469129
2015-03-09,197.47,198.24,192.11,196.99,273074
2015-03-10,198.34,200.39,195.8,198.05,407259
2015-03-11,194.11,195.75,188.31,194.51,254058
2015-03-12,191.77,192.15,187.2,191.37,355798
2015-03-13,186.32,188.97,185.48,186.25,373365
2015-03-16,187.53,187.59,186.05,187.34,455787
2015-03-17,188.99,189.0,187.84,188.58,392645
2015-03-18,185.86,188.12,183.4,186.2,610621
2015-03-19,187.25,188.2,186.14,187.84,645825
2015-03-20,190.58,192.09,190.48,191.62,535403
2015-03-23,191.15,193.55,186.17,191.55,624451
2015-03-24,187.92,189.42,185.32,188.15,321231
2015-03-25,189.19,189.23,188.2,188.57,800843
2015-03-26,193.1,198.75,191.28,192.32,271184
2015-03-27,185.44,189.57,183.86,187.75,284096
2015-03-30,185.83,187.73,182.18,185.82,544464
2015-03-31,185.76,185.89,180.63,185.41,840440
2015-04-01,185.14,189.31,184.86,185.33,432094
2015-04-02,186.74,189.53,184.58,186.76,818303
2015-04-03,188.32,189.66,187.08,188.18,390524
2015-04-06,186.19,187.59,184.89,186.4,371903
2015-04-07,186.37,186.99,183.79,186.18,518074
2015-04-08,180.34,182.52,177.5,181.57,537923
2015-04-09,180.54,184.79,177.83,181.15,992303
2015-04-10,183.94,185.2,180.33,184.14,400956
2015-04-13,187.26,190.09,186.59,187.71,308490
2015-04-14,188.66,190.03,187.03,189.36,456101
2015-04-15,189.12,190.08,187.05,188.58,504162
2015-04-16,185.64,187.48,185.21,186.31,648297
2015-04-17,186.47,186.71,183.1,185.04,396020
2015-04-20,185.0,186.18,178.44,185.58,226137
2015-04-21,182.7,184.73,182.13,182.96,567556
2015-04-22,177.66,181.31,172.89,178.38,347061
2015-04-23,171.32,173.68,170.46,172.14,651847
2015-04-24,174.4,174.47,173.38,174.09,542369
2015-04-27,176.08,179.06,173.96,176.88,356479
2015-04-28,178.57,178.83,177.72,178.48,321543
2015-04-29,175.76,178.68,172.53,175.1,323986
2015-04-30,171.21,172.69,170.57,172.04,454835
2015-05-01,168.8,171.17,166.34,170.02,472407
2015-05-04,175.59,177.25,172.42,174.46,409622
2015-05-05,172.66,176.01,171.31,173.74,427315
2015-05-06,173.71,174.02,173.24,173.33,826125
2015-05-07,174.87,178.12,171.52,175.92,840208
2015-05-08,175.08,176.01,174.5,174.85,305902
2015-05-11,176.51,176.54,173.91,175.97,648195
2015-05-12,176.45,180.06,174.72,176.9,409767
2015-05-13,176.82,178.69,175.57,177.99,302888
2015-05-14,178.76,181.0,174.16,179.37,623572
2015-05-15,177.73,180.96,174.47,178.28,321638
2015-05-18,177.03,178.21,175.72,177.6,317877
2015-05-19,176.45,179.89,174.39,179.02,225495
2015-05-20,178.68,183.12,177.73,179.74,397506
2015-05-21,177.05,181.97,175.8,177.65,306014
2015-05-22,173.58,174.08,171.88,173.67,760202
2015-05-25,171.84,174.37,169.62,172.47,385358
2015-05-26,173.64,175.68,171.04,173.35,405258
2015-05-27,172.17,174.89,171.16,172.71,326048
2015-05-28,176.41,177.96,174.08,176.01,309357
2015-05-29,177.32,178.08,173.08,176.39,273503
2015-06-01,177.14,177.18,172.31,176.91,1080555
2015-06-02,177.39,177.62,176.18,176.89,389979
2015-06-03,179.17,181.57,178.0,179.76,330673
2015-06-04,182.58,186.81,178.22,181.92,447638
2015-06-05,176.37,181.96,173.94,177.34,508720
2015-06-08,177.97,178.81,177.0,178.12,264620
2015-06-09,179.66,179.76,173.72,179.32,312277
2015-06-10,176.36,177.23,175.65,176.52,508203
2015-06-11,182.06,182.76,181.58,181.92,360023
2015-06-12,177.15,178.0,176.92,177.97,260138
2015-06-15,174.76,175.03,172.55,174.17,336990
2015-06-16,169.94,173.0,167.16,170.8,276717
2015-06-17,170.83,172.27,169.02,171.71,676326
2015-06-18,169.08,169.44,166.03,168.35,484521
2015-06-19,169.74,170.05,166.77,168.78,138111
2015-06-22,162.48,163.97,160.7,162.27,349100
2015-06-23,162.24,164.29,161.87,162.45,533649
2015-06-24,160.45,162.83,158.53,161.25,478670
2015-06-25,163.38,164.6,163.05,164.18,316857
2015-06-26,162.44,163.94,162.15,162.77,556010
2015-06-29,158.06,158.73,155.8,158.38,319127
2015-06-30,156.12,159.42,154.71,157.76,269211
2015-07-01,160.68,161.02,159.12,160.41,292895
2015-07-02,161.24,162.56,160.1,162.53,641792
2015-07-03,160.86,164.57,160.46,161.89,372364
2015-07-06,159.45,161.21,158.84,159.85,302111
2015-07-07,157.36,159.81,155.53,157.18,260922
2015-07-08,154.65,155.71,154.06,154.57,324284
2015-07-09,156.37,156.98,156.26,156.4,299910
2015-07-10,157.25,158.27,156.2,158.04,254607
2015-07-13,160.36,162.11,158.46,160.4,330722
2015-07-14,159.18,160.84,154.64,158.28,425716
2015-07-15,156.63,157.92,156.25,156.62,1338141
2015-07-16,158.39,161.8,155.7,157.92,313906
2015-07-17,155.61,157.55,155.26,157.12,379593
2015-07-20,157.56,158.59,154.73,157.48,250736
2015-07-21,159.88,161.56,156.32,159.28,818177
2015-07-22,160.81,162.0,158.51,160.46,391869
2015-07-23,163.69,164.21,162.7,163.36,475046
2015-07-24,164.38,165.45,158.13,164.99,458219
2015-07-27,165.43,167.1,163.64,165.28,1138480
2015-07-28,167.65,169.97,166.49,166.87,549528
2015-07-29,165.25,168.23,164.11,165.37,426900
2015-07-30,168.6,170.88,165.36,167.27,404745
2015-07-31,170.58,172.52,170.45,171.46,436096
2015-08-03,170.57,171.65,169.7,170.32,290198
2015-08-04,167.32,167.95,166.3,167.5,350528
2015-08-05,170.75,172.45,169.39,171.98,664286
2015-08-06,171.38,173.22,169.87,171.25,297455
2015-08-07,171.11,174.04,170.78,171.2,333893
2015-08-10,169.25,172.49,168.46,170.13,349177
2015-08-11,170.61,173.31,168.95,171.87,295115
2015-08-12,169.77,171.51,167.79,169.62,428355
2015-08-13,171.55,174.18,168.23,171.54,397341
2015-08-14,170.3,170.99,169.91,170.24,256964
2015-08-17,174.32,176.19,173.37,173.51,317772
2015-08-18,177.28,177.95,174.41,177.12,395308
2015-08-19,176.49,178.78,176.39,177.07,278858
2015-08-20,178.72,180.36,172.28,176.65,235263
2015-08-21,174.7,174.87,172.4,173.27,273648
2015-08-24,173.54,175.1,171.26,173.7,369665
2015-08-25,177.45,180.52,172.96,177.32,334763
2015-08-26,175.8,179.52,175.19,177.54,476393
