Date,Open,High,Low,Close,Volume
2015-01-01,280.25,284.49,277.03,280.0,871154
2015-01-02,288.17,289.08,283.63,287.74,703125
2015-01-05,289.15,293.67,287.24,290.41,531081
2015-01-06,293.98,297.87,292.25,293.82,544874
2015-01-07,301.19,305.98,299.46,302.41,566009
2015-01-08,300.86,302.3,299.65,300.03,269891
2015-01-09,295.49,299.51,294.52,296.42,376437
2015-01-12,300.38,308.25,300.27,300.55,330935
2015-01-13,300.61,303.82,297.43,299.63,338835
2015-01-14,294.04,295.62,293.55,295.35,571959
2015-01-15,302.68,303.35,301.27,302.52,422737
2015-01-16,298.34,300.57,295.09,299.24,589556
2015-01-19,297.04,298.36,294.99,297.27,544978
2015-01-20,296.0,297.42,290.83,295.83,530965
2015-01-21,288.02,295.0,284.87,288.69,749471
2015-01-22,283.42,284.07,279.33,283.76,579431
2015-01-23,280.61,282.13,275.46,279.85,506439
2015-01-26,280.04,285.96,278.27,281.12,503864
2015-01-27,287.29,288.89,286.42,288.09,370071
2015-01-28,281.01,285.42,279.68,282.39,374366
2015-01-29,277.94,282.66,274.5,277.29,327685
2015-01-30,280.52,285.15,274.55,280.25,712150
2015-02-02,281.42,287.07,279.31,282.33,528989
2015-02-03,281.27,282.95,278.66,280.92,416508
2015-02-04,276.48,278.78,275.23,276.94,560491
2015-02-05,282.37,283.08,281.35,282.47,836156
2015-02-06,279.71,281.62,277.87,281.42,410695
2015-02-09,280.5,283.25,277.63,278.26,794709
2015-02-10,276.07,277.61,272.55,276.95,535260
2015-02-11,274.28,276.23,267.34,272.93,882811
2015-02-12,274.35,275.71,272.32,273.14,718548
2015-02-13,273.99,275.01,272.77,274.25,367234
2015-02-16,283.28,285.93,281.14,282.49,493657
2015-02-17,285.04,291.35,284.94,286.54,623632
2015-02-18,289.51,291.95,281.46,287.65,714473
2015-02-19,294.1,296.91,292.11,295.82,322191
2015-02-20,295.21,301.56,294.38,296.26,508032
2015-02-23,300.59,304.93,295.12,301.35,455101
2015-02-24,301.27,306.98,298.74,299.72,877861
2015-02-25,300.84,309.67,298.35,300.2,720429
2015-02-26,298.67,301.1,297.95,300.8,382247
2015-02-27,300.81,306.51,296.41,301.61,739903
2015-03-02,299.38,304.87,296.48,301.99,561638
2015-03-03,306.25,308.73,299.57,303.9,467666
2015-03-04,303.1,306.06,297.57,303.48,339286
2015-03-05,294.86,296.92,290.45,296.79,564880
2015-03-06,298.17,300.94,293.26,299.42,436112
2015-03-09,301.48,303.21,300.52,301.48,503916
2015-03-10,304.85,307.06,302.93,303.98,358247
2015-03-11,308.78,313.14,308.71,308.83,494266
2015-03-12,302.75,306.46,301.49,302.86,813866
2015-03-13,300.39,301.98,299.56,299.73,610387
2015-03-16,294.77,299.78,293.57,295.98,698508
2015-03-17,297.73,303.06,294.36,296.08,459759
2015-03-18,293.05,294.66,291.39,293.17,432274
2015-03-19,296.86,297.93,295.18,297.32,947271
2015-03-20,299.46,302.66,299.0,300.68,407837
2015-03-23,297.66,297.83,295.68,296.44,402394
2015-03-24,294.99,298.98,289.04,294.4,294902
2015-03-25,293.96,296.76,291.35,293.99,223584
2015-03-26,300.07,302.46,298.33,300.87,809682
2015-03-27,293.32,294.07,292.63,293.94,688713
2015-03-30,291.81,293.73,291.07,292.52,464930
2015-03-31,292.45,296.54,284.32,291.69,475477
2015-04-01,281.07,284.83,278.55,283.19,375645
2015-04-02,284.49,287.0,283.81,284.44,366973
2015-04-03,292.71,295.65,291.03,291.08,646591
2015-04-06,293.22,298.59,284.26,292.16,501667
2015-04-07,291.67,294.0,290.17,290.42,805331
2015-04-08,289.72,291.82,288.97,290.3,779682
2015-04-09,288.53,289.21,286.2,287.73,507798
2015-04-10,288.7,289.88,284.78,288.62,718989
2015-04-13,289.35,289.67,286.78,288.51,432697
2015-04-14,290.02,291.99,289.45,289.63,555586
2015-04-15,295.28,302.89,290.66,297.82,877442
2015-04-16,298.74,299.76,297.11,298.54,475418
2015-04-17,295.73,300.93,289.69,296.04,759847
2015-04-20,302.3,308.36,298.0,303.85,840140
2015-04-21,297.69,299.52,295.23,299.12,555130
2015-04-22,301.43,302.58,295.15,300.66,306616
2015-04-23,293.62,294.8,288.19,294.4,1292043
2015-04-24,295.21,298.87,294.02,297.37,895319
2015-04-27,294.43,295.84,291.19,295.4,408157
2015-04-28,302.47,304.41,299.2,301.12,715859
2015-04-29,296.73,300.03,294.99,296.4,749269
2015-04-30,297.93,298.77,294.98,295.43,259057
2015-05-01,303.39,308.81,300.12,302.51,1179131
2015-05-04,301.78,306.54,300.12,303.22,631053
2015-05-05,299.76,304.92,295.69,300.16,602241
2015-05-06,300.66,304.49,291.32,297.84,733737
2015-05-07,302.7,303.08,298.95,301.03,841882
2015-05-08,311.83,314.51,311.36,313.35,496338
2015-05-11,320.36,324.33,318.57,318.72,462873
2015-05-12,315.46,319.21,315.28,315.72,346135
2015-05-13,312.48,313.31,311.44,311.76,382044
2015-05-14,315.74,316.05,310.46,313.9,401370
2015-05-15,309.09,314.29,305.12,306.89,423298
2015-05-18,304.83,306.39,304.55,304.61,759712
2015-05-19,306.58,312.98,303.56,306.41,553942
2015-05-20,309.14,310.68,306.35,308.17,802850
2015-05-21,307.32,310.97,303.76,307.51,626939
2015-05-22,306.93,307.67,305.6,306.76,890310
2015-05-25,302.43,305.87,296.23,303.44,975566
2015-05-26,303.61,307.6,300.5,304.23,867298
2015-05-27,297.44,297.74,292.38,297.28,1006166
2015-05-28,297.36,297.45,296.29,296.62,310616
2015-05-29,292.96,294.06,292.55,293.42,498273
2015-06-01,296.24,302.3,295.27,295.62,515240
2015-06-02,295.42,299.42,291.73,295.86,450091
2015-06-03,290.11,295.93,288.12,291.67,1212950
2015-06-04,296.23,297.35,296.13,296.89,655996
2015-06-05,295.03,298.54,293.87,294.41,344190
2015-06-08,295.68,297.17,292.88,297.02,1643693
2015-06-09,298.99,302.3,296.99,298.71,383685
2015-06-10,311.68,313.28,307.32,311.83,709604
2015-06-11,313.34,315.04,301.22,310.83,533317
2015-06-12,312.59,317.01,309.23,313.41,702849
2015-06-15,315.04,316.61,313.64,316.34,1075405
2015-06-16,304.19,311.03,303.56,305.73,719737
2015-06-17,307.15,309.19,304.57,308.42,708585
2015-06-18,309.85,311.96,305.17,308.64,1432361
2015-06-19,306.04,312.31,303.44,307.73,709275
2015-06-22,316.53,320.2,307.11,316.16,811815
2015-06-23,317.85,319.76,315.99,318.75,434897
2015-06-24,315.34,316.93,308.74,314.01,306213
2015-06-25,319.24,320.5,318.05,319.34,793211
2015-06-26,329.75,331.89,328.18,328.44,225805
2015-06-29,326.3,329.68,325.8,327.15,328777
2015-06-30,320.9,327.03,308.57,319.77,311306
2015-07-01,323.42,324.29,319.22,321.9,434645
2015-07-02,327.95,328.18,322.24,324.73,680244
2015-07-03,318.87,322.3,315.28,320.08,411860
2015-07-06,319.4,321.3,313.06,317.24,1026943
2015-07-07,315.45,317.8,312.54,314.88,517492
2015-07-08,319.52,326.39,315.64,320.19,769391
2015-07-09,323.77,324.64,319.94,322.78,333452
2015-07-10,329.36,334.98,325.95,331.42,464328
2015-07-13,334.14,336.04,333.24,333.63,407438
2015-07-14,331.89,334.66,327.79,331.11,595513
2015-07-15,335.77,340.22,331.92,334.08,782528
2015-07-16,333.21,334.78,326.97,331.22,507895
2015-07-17,336.81,341.57,335.63,337.36,364603
2015-07-20,338.63,342.13,338.62,340.19,892168
2015-07-21,342.9,344.96,339.73,341.06,657312
2015-07-22,340.84,343.6,337.77,339.98,575288
2015-07-23,342.87,345.13,339.87,342.66,664895
2015-07-24,352.55,355.02,350.14,350.35,614118
2015-07-27,349.69,351.66,347.91,351.44,618973
2015-07-28,345.03,350.31,341.22,346.15,331878
2015-07-29,346.27,349.89,344.22,344.51,456711
2015-07-30,339.7,344.36,338.61,340.77,430513
2015-07-31,346.71,349.63,344.91,346.63,688846
2015-08-03,342.11,342.83,340.13,342.27,674644
2015-08-04,345.85,352.09,339.64,345.21,466390
2015-08-05,346.54,353.84,344.94,347.88,297175
2015-08-06,346.3,347.67,344.74,345.48,723759
2015-08-07,346.87,351.18,340.73,345.44,732732
2015-08-10,352.33,354.53,348.09,351.54,581146
2015-08-11,353.45,355.04,350.8,352.04,632552
2015-08-12,353.89,359.15,351.05,356.69,504432
2015-08-13,355.26,359.88,353.52,356.08,936221
2015-08-14,353.47,357.68,351.61,352.04,379441
2015-08-17,352.15,357.03,347.5,351.03,763624
2015-08-18,354.37,358.22,351.46,352.92,580734
2015-08-19,352.55,356.28,347.82,351.09,532170
2015-08-20,352.3,358.22,348.2,352.91,528869
2015-08-21,355.32,358.54,352.59,353.54,556693
2015-08-24,353.1,356.71,344.99,353.88,823960
2015-08-25,362.8,365.65,361.73,362.22,1141925
2015-08-26,359.98,363.05,357.03,362.29,363189
2015-08-27,357.94,361.14,355.1,357.83,1007176
2015-08-28,360.5,363.0,354.04,358.99,395006
2015-08-31,356.8,362.62,351.2,353.93,510832
2015-09-01,354.27,360.94,350.19,354.54,824287
2015-09-02,351.75,352.6,344.02,351.59,1031804
2015-09-03,357.19,365.5,352.71,357.59,646664
2015-09-04,356.62,357.86,350.28,357.76,576648
2015-09-07,359.22,362.6,358.35,361.6,333653
2015-09-08,365.56,373.92,362.79,366.5,398411
2015-09-09,368.46,370.62,364.12,369.6,474876
2015-09-10,382.15,389.53,378.04,379.33,598457
2015-09-11,385.54,386.93,379.65,383.47,613821
2015-09-14,375.69,383.49,374.98,379.23,919233
2015-09-15,374.02,378.25,373.53,374.84,450545
2015-09-16,379.78,379.84,373.34,377.5,851668
2015-09-17,378.27,382.05,374.73,375.6,573481
2015-09-18,377.0,378.11,371.14,377.06,610191
2015-09-21,379.23,380.77,376.73,378.77,483925
2015-09-22,374.24,376.24,372.45,374.26,554814
2015-09-23,372.19,375.12,371.67,373.04,769023
2015-09-24,361.75,371.03,360.63,363.01,923780
2015-09-25,362.52,368.77,362.45,363.57,585888
2015-09-28,363.17,365.19,359.21,361.1,1352471
2015-09-29,358.16,359.16,357.88,358.79,533485
2015-09-30,353.64,355.33,353.17,354.1,540517
2015-10-01,354.64,354.99,352.56,353.98,394038
2015-10-02,364.96,367.02,363.35,364.19,1343547
2015-10-05,357.56,359.38,353.85,357.07,746535
2015-10-06,348.67,349.37,347.48,348.86,463556
2015-10-07,348.49,351.34,344.16,348.29,1121305
2015-10-08,345.85,347.59,339.66,347.31,678365
2015-10-09,349.14,353.36,346.0,348.37,797356
2015-10-12,343.86,345.2,341.19,344.28,975723
2015-10-13,352.4,355.18,345.02,350.29,942117
2015-10-14,349.1,349.78,347.77,348.92,820752
2015-10-15,340.02,346.22,339.7,341.02,776705
2015-10-16,335.6,338.49,335.14,335.7,757718
2015-10-19,332.97,338.56,331.89,334.96,989638
2015-10-20,336.31,340.96,333.66,336.9,642574
2015-10-21,339.49,340.27,338.16,338.62,496428
2015-10-22,344.58,345.3,334.34,341.93,516327
2015-10-23,346.7,348.99,343.83,346.8,504052
2015-10-26,349.9,353.89,347.07,349.96,709572
2015-10-27,349.33,354.93,347.86,349.98,1060498
2015-10-28,359.98,361.61,357.55,358.37,675866
2015-10-29,348.31,349.68,340.4,347.15,477284
2015-10-30,348.66,350.84,348.24,349.64,405213
2015-11-02,344.92,349.2,342.45,345.66,522675
2015-11-03,340.68,343.99,338.89,341.31,453100
2015-11-04,344.29,346.37,344.02,344.55,636616
2015-11-05,341.96,344.9,340.82,342.02,374690
2015-11-06,348.76,349.1,345.09,346.24,546965
2015-11-09,343.76,350.36,342.61,344.39,588196
2015-11-10,343.38,345.02,337.33,343.07,654806
2015-11-11,338.66,340.78,336.7,337.97,595053
2015-11-12,339.98,341.92,336.8,339.43,690159
2015-11-13,356.77,362.75,351.1,354.29,212482
2015-11-16,361.49,363.93,359.36,359.81,593375
2015-11-17,357.92,360.36,355.74,358.5,700579
2015-11-18,356.87,360.62,349.05,356.93,358478
2015-11-19,358.05,361.34,351.97,358.65,1513044
2015-11-20,351.76,354.28,350.49,350.6,491568
2015-11-23,351.12,354.27,350.34,350.98,654481
2015-11-24,352.25,355.54,349.07,352.75,644729
2015-11-25,356.63,361.69,353.09,357.24,524444
2015-11-26,355.36,360.56,351.66,358.17,1229688
2015-11-27,360.74,363.37,358.74,360.04,578046
2015-11-30,355.41,359.23,352.46,355.6,573957
2015-12-01,349.71,354.94,349.45,352.78,489603
2015-12-02,345.2,350.38,339.0,345.93,535844
2015-12-03,351.19,353.78,341.16,347.83,501538
2015-12-04,351.47,354.61,345.65,348.67,486412
2015-12-07,349.54,354.56,345.02,350.53,491463
2015-12-08,347.99,349.34,347.06,349.29,292418
2015-12-09,351.13,353.23,348.5,353.14,622325
2015-12-10,349.67,352.69,346.31,349.39,422202
2015-12-11,350.55,351.1,345.95,349.01,579235
2015-12-14,347.73,349.95,344.34,349.04,610401
2015-12-15,342.81,347.13,339.81,343.02,532810
2015-12-16,348.23,352.31,346.57,352.08,672248
2015-12-17,351.37,352.59,349.63,352.09,1366993
2015-12-18,350.55,353.32,348.84,351.78,507826
2015-12-21,356.94,363.6,356.62,358.07,680000
2015-12-22,360.46,364.94,359.16,361.99,380922
2015-12-23,361.6,366.94,357.91,359.87,587056
2015-12-24,364.91,371.22,363.91,365.51,783189
2015-12-25,361.25,363.28,359.38,361.01,351535
2015-12-28,363.03,364.36,359.07,361.96,771329
2015-12-29,352.45,354.15,350.42,352.84,297680
2015-12-30,356.67,358.74,347.39,356.81,681106
2015-12-31,360.2,362.55,351.07,357.99,482778
2016-01-01,350.3,355.08,348.55,352.14,552703
2016-01-04,353.56,356.64,352.12,355.32,709603
