Date,Open,High,Low,Close,Volume
2015-01-01,548.62,555.71,535.93,550.0,347857
2015-01-02,561.28,568.68,557.27,559.07,330265
2015-01-05,568.76,572.5,568.13,568.35,670367
2015-01-06,576.39,584.52,573.64,574.6,930448
2015-01-07,582.14,589.44,577.55,585.64,935440
2015-01-08,574.0,576.07,567.09,573.86,641334
2015-01-09,582.74,587.04,578.29,581.68,779856
2015-01-12,577.42,582.25,574.9,576.91,370659
2015-01-13,589.69,609.63,587.61,593.87,1280003
2015-01-14,598.91,615.05,595.28,602.94,792962
2015-01-15,614.9,623.65,609.24,611.68,794376
2015-01-16,621.21,626.44,620.53,620.54,519544
2015-01-19,603.64,610.11,602.9,603.78,625133
2015-01-20,601.21,613.25,589.22,599.75,959153
2015-01-21,588.7,600.89,580.53,591.29,361432
2015-01-22,590.9,600.42,587.25,594.99,631508
2015-01-23,581.86,589.5,572.7,582.39,294177
2015-01-26,576.71,590.41,571.94,573.69,449135
2015-01-27,563.43,571.0,561.65,562.46,636329
2015-01-28,539.86,544.39,538.09,543.45,618869
2015-01-29,534.32,544.49,527.5,536.85,648429
2015-01-30,543.49,545.59,537.07,541.35,395507
2015-02-02,550.23,555.01,542.95,550.09,634164
2015-02-03,552.05,557.61,539.29,553.57,479810
2015-02-04,556.73,570.91,548.75,549.86,745498
2015-02-05,544.96,546.34,539.35,544.15,696804
2015-02-06,536.78,552.99,534.8,540.41,385391
2015-02-09,540.63,553.97,531.86,539.12,559712
2015-02-10,537.3,539.54,527.07,537.48,420803
2015-02-11,537.21,537.75,528.81,531.74,334155
2015-02-12,531.48,546.19,528.31,532.14,853119
2015-02-13,535.98,545.58,523.25,537.93,583423
2015-02-16,550.4,557.62,544.28,546.84,601807
2015-02-17,547.81,554.21,530.65,544.64,402291
2015-02-18,558.68,563.08,556.17,556.84,428387
2015-02-19,561.07,571.22,552.25,554.95,426501
2015-02-20,550.21,553.25,539.84,545.33,512260
2015-02-23,551.83,557.28,538.81,553.46,1324376
2015-02-24,556.48,556.69,551.14,555.43,404520
2015-02-25,539.55,542.18,537.86,540.61,620073
2015-02-26,538.82,550.84,538.51,541.33,181932
2015-02-27,543.59,545.8,535.97,543.48,446251
2015-03-02,541.31,542.54,533.27,539.71,395922
2015-03-03,542.59,549.68,535.4,539.81,465699
2015-03-04,543.04,549.87,541.67,544.1,638717
2015-03-05,522.91,529.09,522.04,524.55,762044
2015-03-06,525.95,529.8,521.67,526.38,792313
2015-03-09,518.66,526.23,516.52,521.65,1216870
2015-03-10,517.88,527.18,514.66,517.07,297394
2015-03-11,510.34,511.63,510.23,510.37,391499
2015-03-12,496.46,503.6,495.14,498.86,499755
2015-03-13,502.42,503.87,492.95,500.77,461448
2015-03-16,496.02,500.03,493.97,497.64,674284
2015-03-17,492.16,492.66,481.34,491.59,505095
2015-03-18,484.6,492.06,480.41,485.35,284964
2015-03-19,485.2,492.99,480.64,482.76,308171
2015-03-20,493.61,499.0,489.49,491.77,389027
2015-03-23,482.87,489.5,477.32,483.82,896814
2015-03-24,475.4,482.6,475.27,478.29,501597
2015-03-25,481.46,487.82,479.82,481.83,412983
2015-03-26,475.32,484.43,468.45,477.75,296701
2015-03-27,473.02,476.66,466.9,475.77,975322
2015-03-30,477.36,482.18,472.99,476.32,437475
2015-03-31,473.52,485.11,469.15,472.05,703188
2015-04-01,461.23,469.38,459.24,460.95,286338
2015-04-02,453.3,456.43,443.86,454.2,931631
2015-04-03,454.69,462.61,450.41,457.07,247892
2015-04-06,450.87,457.81,443.69,451.33,696245
2015-04-07,437.06,440.73,433.79,438.0,468048
2015-04-08,446.96,452.35,438.63,445.65,476065
