Date,Open,High,Low,Close,Volume
2015-01-01,753.98,756.13,748.06,750.0,365717
2015-01-02,751.48,752.19,742.45,747.94,593737
2015-01-05,739.21,744.21,734.18,743.07,728217
2015-01-06,752.89,753.97,749.9,751.56,350680
2015-01-07,765.32,770.59,756.19,766.91,247705
2015-01-08,782.15,784.64,771.02,776.7,1093158
2015-01-09,762.49,768.98,759.01,765.3,604279
2015-01-12,777.22,781.52,771.47,776.95,451082
2015-01-13,782.18,783.06,781.07,781.63,435816
2015-01-14,781.96,784.11,781.66,782.12,553970
2015-01-15,800.0,809.27,785.85,793.53,837395
2015-01-16,805.09,810.49,794.43,799.96,298619
2015-01-19,794.99,808.32,785.57,799.93,454313
2015-01-20,816.29,829.96,811.78,814.79,1111295
2015-01-21,815.15,819.69,811.15,815.18,756903
2015-01-22,815.97,821.46,810.37,813.4,733629
2015-01-23,806.73,812.45,804.55,806.08,649660
2015-01-26,805.94,810.38,802.14,808.42,615534
2015-01-27,821.45,831.64,809.33,824.68,483403
2015-01-28,812.64,814.55,811.78,813.87,451067
2015-01-29,810.01,815.51,804.5,810.38,755438
2015-01-30,833.59,844.74,821.65,832.98,484950
2015-02-02,835.62,837.44,826.46,837.42,635417
2015-02-03,842.87,848.51,836.07,837.45,593303
2015-02-04,844.55,852.75,841.0,842.84,1376340
2015-02-05,840.25,847.08,837.01,837.48,533614
2015-02-06,823.76,824.83,817.79,824.19,918569
2015-02-09,810.24,821.59,807.1,813.42,747815
2015-02-10,828.99,832.02,821.02,826.22,550399
2015-02-11,824.48,830.05,814.27,827.58,337089
2015-02-12,818.62,832.97,810.27,824.9,543627
2015-02-13,835.2,842.34,830.7,833.42,820790
2015-02-16,843.58,847.77,835.01,845.99,361176
2015-02-17,841.9,848.15,837.85,842.96,793469
2015-02-18,847.18,848.3,842.88,844.96,970753
2015-02-19,842.68,865.92,833.73,845.65,587267
2015-02-20,836.99,853.2,833.97,842.08,819325
2015-02-23,839.04,848.61,819.6,835.18,603389
2015-02-24,814.2,815.73,813.68,814.38,733298
2015-02-25,803.8,809.17,798.81,799.99,1020681
2015-02-26,802.15,808.69,797.36,800.25,286813
2015-02-27,798.37,800.54,781.4,796.39,396590
2015-03-02,795.95,807.38,786.3,795.46,877624
2015-03-03,796.53,798.19,785.07,796.04,944287
2015-03-04,796.78,810.07,777.55,793.37,304201
2015-03-05,776.14,779.04,770.12,773.76,1035091
2015-03-06,748.67,753.57,747.76,750.34,195021
2015-03-09,755.18,756.08,750.08,753.77,654253
2015-03-10,757.57,767.83,750.7,759.34,564768
2015-03-11,750.81,757.51,749.41,751.69,385053
2015-03-12,748.47,759.95,744.69,746.87,387954
2015-03-13,748.86,751.02,746.31,750.66,394146
2015-03-16,748.39,770.79,741.19,747.97,464481
2015-03-17,764.63,765.37,761.62,763.53,1196862
2015-03-18,780.67,784.77,779.93,781.67,775911
2015-03-19,784.22,785.83,779.67,782.09,926938
2015-03-20,783.7,793.53,776.71,785.0,465206
2015-03-23,771.2,779.33,759.25,768.45,597247
2015-03-24,779.54,784.1,779.05,779.16,352495
2015-03-25,781.84,788.38,778.54,781.33,469883
2015-03-26,789.3,794.48,775.1,791.99,440620
2015-03-27,770.05,771.89,751.27,770.73,675032
2015-03-30,777.76,783.26,770.82,777.19,400329
2015-03-31,770.16,782.6,766.14,767.19,380085
2015-04-01,767.02,773.3,762.89,767.96,601734
2015-04-02,781.43,788.94,778.12,778.42,528714
2015-04-03,784.11,800.35,774.61,786.35,408235
2015-04-06,783.97,796.89,779.88,782.98,376821
2015-04-07,791.09,799.11,780.46,792.6,413942
2015-04-08,790.51,796.17,775.02,785.91,744151
2015-04-09,798.64,804.81,792.92,794.53,646571
2015-04-10,790.58,793.98,785.19,789.72,396285
2015-04-13,797.92,802.46,788.06,799.53,415289
2015-04-14,791.24,801.06,786.23,795.79,339978
2015-04-15,807.47,813.45,789.47,806.32,477539
2015-04-16,783.29,789.38,779.49,782.67,596302
2015-04-17,781.49,786.37,778.65,778.96,370571
2015-04-20,797.54,807.3,796.46,801.98,1396126
2015-04-21,808.77,815.04,799.93,808.34,708067
2015-04-22,814.17,819.04,803.69,812.85,543940
2015-04-23,806.44,812.71,800.22,809.19,565678
2015-04-24,812.87,821.34,810.14,812.51,314293
2015-04-27,812.35,817.54,810.23,814.58,338740
2015-04-28,826.75,834.73,822.45,829.33,989498
2015-04-29,817.66,836.99,811.91,819.31,1088608
2015-04-30,830.81,845.87,823.56,831.64,238880
2015-05-01,835.56,839.26,824.96,831.66,669260
