Date,Open,High,Low,Close,Volume
2015-01-01,200.11,201.81,199.82,200.0,679218
2015-01-02,198.2,198.9,196.99,197.79,619714
2015-01-05,195.7,196.73,194.97,195.71,213119
2015-01-06,194.97,197.41,194.62,196.21,542201
2015-01-07,203.12,204.29,201.47,203.16,568340
2015-01-08,201.9,203.58,200.81,201.57,418432
2015-01-09,202.85,205.7,200.46,200.91,737655
2015-01-12,198.37,198.93,196.39,198.08,270088
2015-01-13,197.38,199.89,195.56,199.03,503477
2015-01-14,197.65,200.54,196.7,197.94,368087
2015-01-15,197.82,200.14,197.19,198.31,408947
2015-01-16,201.28,202.15,199.77,200.81,408375
2015-01-19,202.75,204.4,200.48,201.93,431297
2015-01-20,203.17,204.6,201.84,203.32,402929
2015-01-21,200.94,202.24,199.82,201.79,421177
2015-01-22,202.01,203.58,199.34,201.02,1191859
2015-01-23,200.62,201.89,200.28,200.51,462739
2015-01-26,199.24,199.99,196.77,199.65,293453
2015-01-27,200.44,201.37,198.1,200.32,786381
2015-01-28,200.3,200.62,198.43,199.51,759955
2015-01-29,201.62,202.45,200.16,200.3,790150
2015-01-30,204.68,205.95,204.61,204.8,412696
2015-02-02,204.96,206.05,203.97,205.33,292833
2015-02-03,204.03,206.04,203.43,203.59,576334
2015-02-04,202.15,204.94,201.57,202.5,1378901
2015-02-05,199.55,200.86,198.96,199.76,688971
2015-02-06,201.41,203.15,200.18,201.05,729684
2015-02-09,199.62,201.46,197.5,200.01,870217
2015-02-10,196.78,201.73,195.28,197.65,563148
2015-02-11,193.22,194.36,192.74,193.49,697063
2015-02-12,194.07,197.29,189.89,194.74,570730
2015-02-13,193.65,194.48,192.22,194.13,426109
2015-02-16,196.6,197.57,195.54,195.86,564781
2015-02-17,193.12,194.01,190.75,193.25,529579
2015-02-18,195.72,196.01,194.9,195.55,212112
2015-02-19,197.11,199.81,195.15,198.48,542730
2015-02-20,198.77,198.94,196.31,198.32,598883
2015-02-23,198.03,199.32,197.85,198.35,446187
2015-02-24,200.4,200.89,198.23,199.95,534665
2015-02-25,197.75,198.95,197.19,198.09,754049
2015-02-26,200.25,200.41,198.9,199.98,690688
2015-02-27,200.35,200.94,198.47,200.86,398196
2015-03-02,203.12,204.48,201.43,201.92,353445
2015-03-03,200.83,200.93,200.32,200.7,1149948
2015-03-04,199.32,201.36,198.68,199.09,447092
2015-03-05,196.87,197.98,195.86,197.35,756932
2015-03-06,199.56,200.62,199.08,200.61,322514
2015-03-09,197.56,199.8,197.23,198.18,649291
2015-03-10,196.81,199.11,193.9,197.51,476165
2015-03-11,200.56,201.97,195.89,199.9,664039
2015-03-12,198.81,199.64,196.19,198.92,621410
2015-03-13,198.0,199.54,197.8,198.02,566882
2015-03-16,196.84,198.62,196.42,197.41,429926
2015-03-17,194.51,195.85,193.72,194.8,441854
2015-03-18,195.09,196.58,194.0,195.79,343413
2015-03-19,194.41,194.6,190.7,193.35,570726
2015-03-20,193.68,196.06,192.72,194.27,550403
2015-03-23,192.91,193.8,192.53,193.09,371175
2015-03-24,194.37,195.95,193.89,195.59,482664
2015-03-25,196.37,197.54,194.68,195.52,685230
2015-03-26,198.12,200.52,197.76,198.02,730351
2015-03-27,194.4,196.62,191.02,195.12,333347
2015-03-30,194.02,197.14,192.73,194.82,362174
2015-03-31,194.08,196.3,193.99,194.31,817208
2015-04-01,194.38,197.2,191.89,195.66,277272
2015-04-02,194.0,195.51,192.05,195.26,557274
2015-04-03,197.22,198.01,196.77,197.32,407145
2015-04-06,197.33,197.83,196.59,196.84,555893
2015-04-07,194.5,198.48,191.86,195.69,578008
2015-04-08,195.51,196.19,193.25,195.17,221486
2015-04-09,196.59,199.95,195.46,195.78,1155983
2015-04-10,195.46,196.02,194.53,194.88,601170
2015-04-13,194.69,195.67,194.15,194.35,237663
2015-04-14,192.85,193.79,191.63,192.47,593445
2015-04-15,199.34,200.02,198.39,198.56,656812
2015-04-16,197.21,199.74,196.05,196.96,419688
2015-04-17,197.05,198.19,196.45,197.25,1116875
2015-04-20,195.98,197.22,191.08,196.45,376533
2015-04-21,198.53,198.79,197.1,198.46,392972
2015-04-22,197.44,199.51,197.11,198.46,309221
2015-04-23,196.64,199.33,196.39,197.23,679467
2015-04-24,196.1,197.62,195.62,196.47,604310
2015-04-27,197.09,199.5,196.45,197.73,573489
2015-04-28,204.6,204.82,200.06,203.48,1327607
2015-04-29,202.06,203.7,200.15,202.55,614443
2015-04-30,199.6,201.77,197.2,200.19,737861
2015-05-01,200.15,204.08,198.51,200.43,216208
2015-05-04,201.53,202.24,200.02,201.77,338690
2015-05-05,203.15,204.43,202.03,203.5,701558
2015-05-06,205.26,205.56,204.47,205.33,271887
2015-05-07,202.77,206.28,201.26,202.91,1207337
2015-05-08,200.56,203.96,199.34,200.54,513622
2015-05-11,202.1,203.19,201.02,202.8,323947
2015-05-12,204.42,205.2,202.65,204.09,369818
2015-05-13,206.23,206.77,204.37,205.68,451019
2015-05-14,205.8,207.28,205.39,205.73,433901
2015-05-15,204.25,206.05,202.3,204.45,525232
2015-05-18,205.7,209.23,204.26,205.27,685068
2015-05-19,207.13,208.53,206.33,207.45,716386
2015-05-20,206.76,209.04,206.15,207.61,731546
2015-05-21,205.37,208.74,204.84,205.93,344894
2015-05-22,203.56,206.55,202.63,204.83,231119
2015-05-25,201.3,204.09,199.01,201.33,364797
2015-05-26,200.82,204.64,198.9,202.11,365205
2015-05-27,204.31,204.61,200.33,202.55,329950
2015-05-28,203.85,205.01,202.64,203.87,445690
2015-05-29,203.71,206.55,203.19,204.71,361950
2015-06-01,209.66,212.05,206.3,210.46,287096
2015-06-02,209.87,210.39,208.29,210.28,857918
2015-06-03,212.51,216.62,210.74,212.34,855880
2015-06-04,212.21,213.38,211.97,212.32,604588
2015-06-05,206.81,208.18,204.96,206.54,283158
2015-06-08,207.64,207.94,206.2,206.64,856479
2015-06-09,209.3,210.76,208.48,208.63,912391
2015-06-10,210.95,212.27,210.37,211.63,341206
2015-06-11,212.11,212.6,210.31,211.61,745636
2015-06-12,213.91,215.34,211.43,214.08,1410459
2015-06-15,214.22,216.09,213.28,214.1,383094
2015-06-16,217.57,217.81,215.01,216.54,438735
2015-06-17,218.79,220.21,217.45,219.9,602524
2015-06-18,221.27,222.24,220.81,220.93,526928
2015-06-19,222.98,225.56,220.64,223.39,681906
2015-06-22,221.68,222.08,220.05,221.73,316967
2015-06-23,224.83,227.76,224.09,224.75,555183
2015-06-24,223.34,225.31,221.4,224.43,239502
2015-06-25,224.0,225.21,221.66,224.83,655716
2015-06-26,227.26,228.12,225.97,227.21,507450
2015-06-29,227.1,228.42,226.98,227.12,913450
2015-06-30,224.78,227.66,221.97,224.71,566178
2015-07-01,226.74,227.09,225.91,226.6,1214374
2015-07-02,229.14,231.41,227.01,228.9,697224
2015-07-03,227.22,229.59,224.55,226.78,609676
2015-07-06,225.07,226.24,224.37,225.85,366924
2015-07-07,225.8,226.62,221.86,224.2,481172
2015-07-08,225.72,226.5,222.66,225.16,521089
2015-07-09,225.87,228.23,223.93,225.14,944579
2015-07-10,231.31,231.59,230.17,230.66,562073
2015-07-13,232.51,233.93,232.48,232.85,533539
2015-07-14,235.4,237.39,234.2,235.23,788687
2015-07-15,237.62,239.1,236.77,238.0,730072
2015-07-16,237.14,242.25,236.53,236.58,747089
2015-07-17,236.26,237.26,234.16,235.45,357867
2015-07-20,238.18,240.2,237.51,239.12,1203856
2015-07-21,238.74,241.13,237.47,239.36,1107282
2015-07-22,238.47,240.58,237.51,238.74,471788
2015-07-23,239.08,240.06,237.52,238.31,801932
2015-07-24,238.13,240.82,236.75,240.08,454015
2015-07-27,237.98,240.93,237.78,238.5,823185
2015-07-28,230.98,232.07,229.81,231.7,362575
2015-07-29,234.22,236.11,231.34,234.72,594521
2015-07-30,239.58,240.34,238.46,239.06,579057
2015-07-31,238.38,238.49,237.82,238.0,532605
2015-08-03,238.04,238.87,234.89,237.63,425982
2015-08-04,234.52,237.2,234.05,236.06,808143
