Date,Open,High,Low,Close,Volume
2015-01-01,119.89,121.29,117.07,120.0,472573
2015-01-02,122.08,123.87,119.61,121.72,410994
2015-01-05,118.6,118.65,114.4,117.36,737855
2015-01-06,118.9,121.18,116.2,117.69,413183
2015-01-07,120.88,121.51,117.34,119.83,680268
2015-01-08,120.99,122.95,120.12,120.54,945809
2015-01-09,120.46,122.61,119.31,120.77,785488
2015-01-12,120.92,123.01,119.41,122.21,491877
2015-01-13,126.81,129.07,126.25,126.4,906696
2015-01-14,126.04,127.52,124.11,126.33,793031
2015-01-15,124.56,125.66,123.47,124.88,786595
2015-01-16,124.02,124.72,122.99,124.12,983819
2015-01-19,125.81,126.01,125.25,125.64,555904
2015-01-20,125.39,126.7,124.27,125.93,433059
2015-01-21,125.42,127.77,121.65,126.35,996962
2015-01-22,124.11,126.1,123.33,124.68,339387
2015-01-23,120.97,122.48,117.21,119.65,412825
2015-01-26,120.1,120.31,119.52,120.1,622303
2015-01-27,116.75,117.33,116.48,116.7,973718
2015-01-28,116.33,116.42,115.68,116.33,413060
2015-01-29,113.83,118.22,113.67,114.9,426303
2015-01-30,118.61,119.67,117.87,118.33,1045328
2015-02-02,119.81,120.05,118.24,119.92,726523
2015-02-03,118.85,118.94,117.87,118.59,519952
2015-02-04,117.8,118.03,113.61,117.53,508186
2015-02-05,118.3,119.06,116.96,118.85,338713
2015-02-06,120.58,122.06,119.09,120.28,682992
2015-02-09,116.92,117.33,116.75,117.14,479333
2015-02-10,117.65,121.13,114.99,117.91,518205
2015-02-11,119.99,121.05,118.74,119.11,555629
2015-02-12,121.09,123.79,119.78,122.17,449210
2015-02-13,123.45,124.41,121.64,123.94,464877
2015-02-16,126.06,126.16,124.63,125.76,204585
2015-02-17,124.86,126.67,123.1,125.7,448040
2015-02-18,128.02,128.87,126.42,127.76,530416
2015-02-19,129.02,131.2,128.71,128.9,493096
2015-02-20,129.05,130.74,127.1,128.6,578028
2015-02-23,131.8,133.33,131.69,132.68,709500
2015-02-24,128.61,130.67,127.45,128.43,689940
2015-02-25,129.41,132.16,127.92,129.03,494956
2015-02-26,133.4,138.01,130.91,133.18,291617
2015-02-27,134.88,137.04,134.64,134.67,652395
2015-03-02,136.57,138.48,136.09,136.11,534872
2015-03-03,136.44,139.75,136.41,137.02,731476
2015-03-04,134.98,137.95,133.93,136.03,403486
2015-03-05,133.18,134.45,130.36,133.89,393421
2015-03-06,132.79,133.11,130.48,132.1,1067673
2015-03-09,130.01,132.9,126.97,131.16,364025
2015-03-10,133.14,133.93,131.29,133.45,617954
2015-03-11,129.62,131.59,129.53,130.73,427503
2015-03-12,129.7,131.7,129.35,130.18,1671637
2015-03-13,132.06,133.46,131.93,132.71,958283
2015-03-16,130.73,134.71,130.01,130.76,499341
2015-03-17,130.5,132.47,127.7,130.02,425822
2015-03-18,133.35,134.9,132.95,133.02,697919
2015-03-19,132.5,137.05,130.98,132.93,661421
2015-03-20,132.0,132.15,130.88,132.03,494321
2015-03-23,134.32,136.04,133.44,135.38,1152525
2015-03-24,133.19,134.27,132.12,132.99,677358
2015-03-25,134.16,136.06,132.13,133.03,712841
2015-03-26,134.17,134.99,132.67,133.52,606645
2015-03-27,135.36,136.51,132.4,133.68,353393
2015-03-30,132.13,133.54,131.72,131.94,597584
2015-03-31,130.71,132.01,126.99,130.98,360543
2015-04-01,126.79,128.94,125.43,126.18,673034
2015-04-02,124.82,127.18,122.17,124.66,325177
2015-04-03,126.61,129.52,125.81,126.47,456426
2015-04-06,127.33,131.85,125.76,128.66,318392
2015-04-07,128.88,131.85,128.03,129.28,517752
2015-04-08,131.71,133.04,130.78,132.1,904700
2015-04-09,134.01,135.59,132.36,133.3,461479
2015-04-10,133.49,135.55,131.84,134.23,799140
2015-04-13,137.78,138.72,137.38,137.99,542395
2015-04-14,143.98,144.39,142.15,143.7,904700
2015-04-15,143.97,147.58,143.1,146.46,717355
2015-04-16,145.28,145.72,142.83,144.93,358928
2015-04-17,140.01,142.76,138.33,140.2,441694
2015-04-20,143.13,144.4,142.1,142.73,624055
2015-04-21,142.21,143.14,140.52,142.05,444886
2015-04-22,140.28,142.13,136.96,141.72,693404
2015-04-23,141.78,143.31,138.25,141.04,674797
