Date,Open,High,Low,Close,Volume
2015-01-01,683.91,684.39,678.94,680.0,378064
2015-01-02,696.21,700.17,688.06,691.39,398785
2015-01-05,689.77,699.13,687.08,687.92,502909
2015-01-06,675.16,682.39,668.94,677.16,446601
2015-01-07,676.31,682.04,666.7,678.92,501495
2015-01-08,684.61,699.49,677.96,687.08,382818
2015-01-09,685.36,695.36,668.33,683.67,462692
2015-01-12,689.16,693.38,685.29,690.05,287850
2015-01-13,700.77,706.04,689.07,695.94,517534
2015-01-14,691.76,695.36,688.1,692.03,455379
2015-01-15,691.47,695.44,682.55,688.92,911493
2015-01-16,684.11,689.18,683.73,684.66,595555
2015-01-19,683.74,689.98,672.93,679.55,586888
2015-01-20,678.24,682.57,673.54,680.46,491810
2015-01-21,690.08,696.8,685.49,689.46,393211
2015-01-22,677.36,679.26,677.02,677.22,669008
2015-01-23,692.97,694.1,683.14,688.54,400905
2015-01-26,674.8,679.51,667.89,676.26,559221
2015-01-27,677.01,684.74,674.95,675.17,185434
2015-01-28,669.03,674.81,660.01,666.12,557642
2015-01-29,651.24,654.4,642.25,653.94,467504
2015-01-30,670.73,672.89,666.96,669.71,295853
2015-02-02,663.82,678.43,662.64,668.36,436205
2015-02-03,658.02,664.29,650.54,656.34,576414
2015-02-04,646.83,649.38,642.87,647.36,269473
2015-02-05,631.59,634.12,622.46,628.88,752055
2015-02-06,631.16,634.33,625.51,629.08,500431
2015-02-09,622.36,630.48,614.52,624.89,500423
2015-02-10,627.4,628.99,622.17,623.28,656668
2015-02-11,627.95,629.15,625.33,628.83,518448
2015-02-12,616.91,626.29,615.82,619.85,322881
2015-02-13,616.26,621.08,607.56,618.59,267307
2015-02-16,618.64,621.2,612.44,617.36,425212
2015-02-17,630.58,633.66,620.46,625.82,376120
2015-02-18,612.5,614.83,606.86,613.44,387959
2015-02-19,614.47,617.33,605.25,613.12,593443
2015-02-20,622.48,629.6,619.85,620.58,628435
2015-02-23,619.37,621.42,611.85,617.3,786768
2015-02-24,598.17,602.46,593.61,600.14,462645
2015-02-25,599.9,602.95,594.78,596.12,286800
2015-02-26,609.51,616.21,604.04,607.73,412575
2015-02-27,614.22,616.91,612.6,614.71,399223
2015-03-02,613.7,620.09,604.92,616.3,614950
2015-03-03,606.31,617.56,605.72,610.01,370510
2015-03-04,614.22,619.74,609.51,614.61,547379
2015-03-05,609.84,614.88,603.31,607.43,532338
2015-03-06,600.17,607.0,595.41,603.17,620848
2015-03-09,589.56,598.41,586.5,590.05,306209
2015-03-10,592.9,598.2,587.55,594.45,288912
2015-03-11,583.37,593.56,581.07,586.63,603109
2015-03-12,575.47,579.15,570.33,575.31,409515
2015-03-13,578.09,579.38,572.73,575.65,351998
2015-03-16,581.73,584.02,576.55,581.54,673306
2015-03-17,566.85,569.52,564.13,569.02,401654
2015-03-18,572.85,575.65,562.86,570.17,389096
2015-03-19,574.07,580.14,573.11,576.72,548040
2015-03-20,578.0,587.24,574.19,576.96,611018
2015-03-23,567.96,572.97,562.27,569.84,674327
2015-03-24,578.73,579.87,575.75,578.34,669257
2015-03-25,577.43,587.24,568.56,573.53,410188
2015-03-26,586.52,603.36,583.1,589.61,506302
2015-03-27,587.37,600.67,586.08,589.54,456813
2015-03-30,600.54,606.07,590.0,601.3,318297
2015-03-31,601.01,608.17,599.08,601.81,452740
2015-04-01,583.33,591.54,578.42,584.85,380704
2015-04-02,594.08,596.99,586.58,593.39,314563
2015-04-03,591.94,595.92,585.29,590.57,498231
2015-04-06,591.45,598.48,585.84,590.09,393253
2015-04-07,599.95,600.53,591.96,597.93,322051
2015-04-08,600.03,603.55,591.97,600.25,450835
2015-04-09,602.5,604.06,599.16,599.41,191445
2015-04-10,603.57,604.78,599.56,603.34,664842
2015-04-13,619.37,625.75,617.27,623.3,370214
2015-04-14,629.92,632.33,628.7,630.89,561636
2015-04-15,619.63,624.23,607.15,620.41,761179
2015-04-16,615.63,626.58,609.44,618.74,456791
2015-04-17,624.58,624.65,618.85,622.76,340893
2015-04-20,623.19,628.72,620.33,623.43,716758
2015-04-21,620.45,640.04,617.84,625.76,482386
2015-04-22,628.39,647.76,615.76,633.58,663023
2015-04-23,611.22,618.49,601.36,615.49,552023
2015-04-24,613.07,615.79,612.36,612.99,754402
2015-04-27,621.2,623.48,618.66,619.72,545227
2015-04-28,632.79,645.11,629.06,632.1,597660
2015-04-29,645.53,649.9,643.31,645.13,594812
2015-04-30,642.2,653.46,631.53,644.82,587736
2015-05-01,638.99,644.58,630.78,642.97,597465
2015-05-04,643.9,644.45,635.63,639.32,439666
2015-05-05,636.04,638.08,635.04,635.96,402099
2015-05-06,628.84,629.27,624.79,628.6,510939
2015-05-07,633.6,636.88,630.32,631.63,473841
2015-05-08,627.45,628.52,621.28,626.71,161533
2015-05-11,624.78,625.19,618.1,624.4,855409
2015-05-12,622.37,628.67,619.29,620.92,383251
2015-05-13,620.16,634.68,616.92,618.4,400150
2015-05-14,602.04,603.9,598.35,600.68,321895
2015-05-15,588.83,596.81,585.76,591.69,279898
2015-05-18,594.32,598.85,591.8,593.15,470964
2015-05-19,591.51,593.9,580.6,590.6,193475
2015-05-20,588.37,589.97,582.19,587.16,818126
2015-05-21,595.72,604.12,586.62,597.44,478536
2015-05-22,586.17,591.99,583.87,588.13,676598
2015-05-25,581.84,587.92,580.17,584.76,540396
2015-05-26,590.84,598.59,586.59,590.55,880136
2015-05-27,583.92,590.92,579.11,584.92,509577
