Date,Open,High,Low,Close,Volume
2015-01-01,998.39,1008.15,992.96,1000.0,336747
2015-01-02,968.52,980.65,946.22,972.73,496843
2015-01-05,970.31,975.26,950.05,960.66,317871
2015-01-06,972.98,991.59,970.43,971.91,556919
2015-01-07,974.16,983.22,950.98,977.49,544131
2015-01-08,954.05,958.3,952.04,956.98,317177
2015-01-09,963.66,968.57,951.35,958.76,270048
2015-01-12,953.61,961.42,949.95,951.37,750876
2015-01-13,972.6,979.24,970.5,975.81,749993
2015-01-14,969.28,978.39,961.32,968.88,493419
2015-01-15,985.81,986.62,981.98,984.61,180527
2015-01-16,971.27,975.14,966.63,971.79,668899
2015-01-19,960.07,979.57,946.75,951.16,465192
2015-01-20,950.02,955.85,936.92,945.16,479564
2015-01-21,947.61,957.35,942.22,942.72,696621
2015-01-22,943.65,956.38,927.06,939.14,447594
2015-01-23,944.4,960.25,935.04,944.71,362782
2015-01-26,936.51,936.83,923.63,934.46,339303
2015-01-27,949.09,950.31,927.62,947.74,378182
2015-01-28,941.55,942.43,935.48,940.92,3039897
2015-01-29,931.71,946.07,912.13,936.19,261353
2015-01-30,940.53,944.91,925.02,939.77,739107
2015-02-02,942.86,956.64,926.59,945.81,910852
2015-02-03,932.16,945.58,924.5,937.77,287832
2015-02-04,930.45,930.63,917.19,928.69,673033
2015-02-05,922.36,927.72,909.45,920.28,577806
2015-02-06,918.13,919.58,903.05,908.66,247581
2015-02-09,910.04,914.15,904.45,907.19,948435
2015-02-10,891.91,901.71,889.49,896.26,367533
2015-02-11,882.95,889.54,865.28,882.25,402588
2015-02-12,889.11,892.38,880.15,886.96,302753
2015-02-13,884.38,896.14,880.09,886.72,472879
2015-02-16,925.59,943.92,916.42,922.22,397948
2015-02-17,950.69,951.35,937.47,945.75,740351
2015-02-18,939.54,949.07,937.44,940.92,246344
2015-02-19,949.2,955.76,946.51,953.21,1062700
2015-02-20,950.44,950.65,944.94,950.01,546803
2015-02-23,939.79,941.78,934.42,939.44,584114
2015-02-24,935.52,937.19,929.65,935.82,1004082
