Date,Open,High,Low,Close,Volume
2015-01-01,3810.62,3872.42,3757.84,3800.0,516356
2015-01-02,3825.69,3861.76,3815.57,3846.52,930622
2015-01-05,3850.79,3880.28,3810.18,3849.4,558140
2015-01-06,3868.48,3938.02,3776.4,3883.14,317828
2015-01-07,3958.06,3982.19,3951.41,3975.53,391751
2015-01-08,3989.21,4011.15,3949.52,3988.98,396825
2015-01-09,3937.45,3964.18,3886.55,3942.43,923493
2015-01-12,3986.93,4045.45,3966.26,4014.41,408061
2015-01-13,4039.39,4042.01,4033.08,4040.22,470684
2015-01-14,4025.93,4094.47,4013.34,4021.21,386647
2015-01-15,4018.02,4056.92,3939.7,4009.37,323696
2015-01-16,4127.5,4128.37,4099.21,4117.48,826214
2015-01-19,4097.16,4157.25,4080.41,4085.39,306406
2015-01-20,4220.36,4233.59,4171.91,4230.97,1239123
2015-01-21,4271.0,4325.51,4241.97,4273.28,425487
2015-01-22,4187.97,4211.6,4160.92,4183.56,433821
2015-01-23,4161.86,4200.98,4152.19,4156.06,787599
2015-01-26,4099.45,4147.64,4086.63,4089.71,562441
2015-01-27,4200.82,4214.33,4176.14,4194.99,461563
2015-01-28,4216.39,4261.18,4191.29,4227.61,686323
2015-01-29,4199.58,4202.83,4126.14,4183.44,627375
2015-01-30,4281.62,4294.62,4217.4,4275.92,987344
2015-02-02,4244.06,4244.24,4219.25,4220.72,449287
2015-02-03,4219.64,4267.07,4142.8,4214.29,379029
2015-02-04,4236.88,4252.53,4093.06,4189.57,547055
2015-02-05,4240.34,4241.61,4194.18,4236.79,730879
2015-02-06,4265.63,4266.83,4174.03,4240.02,762282
2015-02-09,4048.69,4143.87,4038.92,4080.29,325314
2015-02-10,4079.93,4097.96,4051.82,4068.93,737727
2015-02-11,4030.73,4107.37,3984.46,4061.95,542890
2015-02-12,4114.5,4134.97,4070.92,4094.7,686846
2015-02-13,4098.45,4155.77,4058.7,4118.25,630895
2015-02-16,4153.42,4159.59,4073.47,4141.79,597217
2015-02-17,4117.21,4128.33,4081.01,4117.32,318632
2015-02-18,4106.48,4122.58,4097.59,4103.69,449742
2015-02-19,4090.27,4124.14,4016.92,4111.49,454422
2015-02-20,4098.05,4102.27,4051.29,4082.77,367075
2015-02-23,4113.98,4142.3,4055.2,4097.99,770561
2015-02-24,4005.5,4049.03,3976.69,3989.76,301468
2015-02-25,4013.48,4091.75,3983.73,4018.45,403749
2015-02-26,4005.61,4034.05,3976.65,4018.75,548971
2015-02-27,4087.47,4096.61,3992.59,4040.78,572546
2015-03-02,4102.42,4153.72,4008.77,4072.49,599557
2015-03-03,4110.51,4140.41,4068.07,4113.05,676068
2015-03-04,4099.35,4119.46,4058.81,4094.05,632325
2015-03-05,4039.17,4043.08,3972.69,4013.23,484275
2015-03-06,3919.71,3965.59,3852.65,3925.04,688199
2015-03-09,3918.66,3951.2,3875.66,3905.17,314489
2015-03-10,4032.52,4077.09,4004.15,4017.32,394095
2015-03-11,4061.17,4121.16,4001.12,4049.82,410669
2015-03-12,3986.72,4028.81,3979.12,3979.91,642701
2015-03-13,4029.44,4046.96,4008.2,4023.02,433999
2015-03-16,4008.22,4052.28,3974.21,3992.88,713436
2015-03-17,4000.43,4049.3,3928.96,3987.31,616492
2015-03-18,4063.4,4084.76,4019.54,4042.75,279000
2015-03-19,4072.8,4080.37,4044.27,4059.92,770143
2015-03-20,4125.92,4163.67,4100.94,4115.79,507545
2015-03-23,3975.93,3978.89,3959.14,3971.75,779985
2015-03-24,3989.84,3992.93,3902.67,3969.14,432145
2015-03-25,3956.67,3967.57,3956.24,3956.53,442229
2015-03-26,3979.42,4022.59,3941.77,3948.01,357917
2015-03-27,3932.0,3999.73,3850.61,3949.29,362988
2015-03-30,3841.91,3862.85,3820.65,3850.02,400564
2015-03-31,3941.95,3964.15,3903.63,3921.45,883852
2015-04-01,3845.67,3864.48,3814.9,3858.42,989766
2015-04-02,3963.81,3988.56,3947.04,3970.66,381037
2015-04-03,4062.57,4085.75,4029.79,4042.38,308199
2015-04-06,4007.31,4026.19,3940.71,4011.07,1151307
2015-04-07,4063.92,4159.66,4017.88,4052.08,441664
2015-04-08,3986.04,4021.29,3923.72,3999.84,860279
2015-04-09,3929.21,3939.86,3916.8,3938.65,394151
2015-04-10,3888.97,3917.84,3875.48,3884.41,1070002
2015-04-13,3865.64,3929.45,3843.57,3852.05,339778
2015-04-14,3829.48,3909.35,3754.67,3849.0,573223
2015-04-15,3947.71,3976.34,3921.6,3957.21,347506
2015-04-16,3943.35,4002.72,3931.13,3948.03,542654
2015-04-17,3950.59,4015.86,3919.55,3962.36,690665
2015-04-20,3890.08,3919.19,3837.5,3900.51,474548
2015-04-21,3983.06,4009.61,3974.76,3990.3,611746
