Date,Open,High,Low,Close,Volume
2015-01-01,451.61,451.92,449.08,450.0,327216
2015-01-02,452.31,463.77,446.83,449.81,717094
2015-01-05,464.33,471.46,461.14,463.11,631991
2015-01-06,488.34,491.98,474.7,485.25,516457
2015-01-07,503.03,507.87,495.91,501.46,649924
2015-01-08,506.7,531.84,497.02,507.66,417126
2015-01-09,504.22,504.69,502.0,503.96,409256
2015-01-12,499.65,503.2,498.86,499.36,1022692
2015-01-13,512.88,515.38,504.86,510.12,1175568
2015-01-14,505.56,511.27,502.0,505.36,485628
2015-01-15,505.59,511.56,504.86,508.1,576380
2015-01-16,507.46,519.07,501.27,510.54,485591
2015-01-19,514.01,521.81,513.46,514.44,918808
2015-01-20,520.02,520.14,508.83,519.88,1297774
2015-01-21,506.36,512.32,504.83,509.43,473695
2015-01-22,504.94,510.11,499.82,502.38,353934
2015-01-23,498.32,499.49,492.51,498.76,813757
2015-01-26,505.53,507.35,500.71,503.48,763020
2015-01-27,502.77,506.14,493.88,504.71,943414
2015-01-28,501.31,503.42,486.27,499.21,624379
2015-01-29,494.74,503.41,492.19,497.03,245201
2015-01-30,499.01,502.78,498.27,500.26,352358
2015-02-02,499.82,510.88,491.99,500.77,1157290
2015-02-03,493.72,501.96,483.73,494.33,557574
2015-02-04,484.76,489.8,477.89,482.38,405755
2015-02-05,479.0,488.74,476.96,478.19,254797
2015-02-06,479.49,484.0,475.66,481.64,662486
2015-02-09,471.62,482.96,464.02,473.93,566409
2015-02-10,477.45,480.9,474.58,477.11,330396
2015-02-11,480.83,485.77,472.34,481.35,377680
2015-02-12,470.62,472.36,462.83,470.18,406268
2015-02-13,460.25,467.22,457.24,463.7,642547
2015-02-16,466.17,474.03,460.39,461.48,1024898
2015-02-17,449.05,455.32,447.23,452.54,462628
2015-02-18,435.65,436.92,431.15,436.07,1033396
2015-02-19,437.93,448.93,434.27,439.4,496499
2015-02-20,427.71,432.8,422.1,430.11,366086
2015-02-23,432.75,437.05,423.82,431.52,842203
2015-02-24,430.75,433.4,428.5,431.15,581149
2015-02-25,420.02,428.82,417.21,422.22,853023
2015-02-26,426.0,433.36,421.0,426.88,569744
2015-02-27,435.7,438.77,434.11,434.39,1340766
2015-03-02,435.0,436.38,431.15,433.07,542036
2015-03-03,426.01,426.04,418.92,422.97,617771
2015-03-04,415.87,416.94,407.63,415.25,364919
2015-03-05,424.62,426.15,424.57,425.6,744940
2015-03-06,421.79,426.2,421.13,423.0,453524
2015-03-09,429.85,431.2,427.91,428.86,657258
2015-03-10,434.12,439.03,424.61,431.53,870734
2015-03-11,420.02,425.89,412.51,423.8,508812
2015-03-12,421.89,422.61,416.12,421.93,627265
2015-03-13,416.26,421.83,410.09,418.66,837233
2015-03-16,429.79,432.45,424.96,429.64,346863
2015-03-17,428.41,434.59,422.89,425.07,516163
2015-03-18,435.43,445.18,431.7,438.95,279454
2015-03-19,447.74,456.31,444.92,451.12,512856
2015-03-20,449.25,450.55,435.64,446.16,745800
2015-03-23,448.64,450.66,446.43,447.97,241731
2015-03-24,446.04,450.91,445.51,446.07,356897
2015-03-25,454.96,455.25,452.28,453.09,318395
2015-03-26,461.29,465.99,453.97,457.63,734934
2015-03-27,457.71,463.21,456.02,457.14,622304
2015-03-30,454.51,458.43,449.24,454.53,818712
2015-03-31,450.92,462.5,445.75,454.79,741135
2015-04-01,442.23,444.54,439.55,444.02,426292
2015-04-02,449.39,457.77,430.12,453.19,504124
2015-04-03,463.16,463.42,456.53,463.09,471491
2015-04-06,470.91,476.38,464.93,467.89,955487
2015-04-07,464.91,471.77,464.38,465.79,650520
2015-04-08,461.22,470.81,457.54,460.26,781634
2015-04-09,457.85,458.24,455.6,456.03,698243
2015-04-10,452.33,457.65,448.78,451.52,423934
2015-04-13,458.73,461.31,455.25,458.91,371755
2015-04-14,454.67,458.4,452.34,457.48,626022
2015-04-15,461.95,467.45,451.19,460.46,940787
2015-04-16,451.79,455.7,445.69,449.35,611224
2015-04-17,444.45,446.68,440.0,444.39,317344
2015-04-20,442.3,448.75,439.46,442.98,622901
2015-04-21,450.59,461.46,446.48,448.93,421437
2015-04-22,455.37,455.47,440.81,454.66,260284
2015-04-23,456.36,462.93,448.46,453.03,970015
