Date,Open,High,Low,Close,Volume
2015-01-01,5488.08,5582.05,5478.95,5500.0,464375
2015-01-02,5633.57,5660.33,5569.35,5602.61,694530
2015-01-05,5617.48,5652.71,5552.76,5591.46,704423
2015-01-06,5652.42,5678.14,5608.02,5630.79,411879
2015-01-07,5666.82,5667.3,5640.58,5658.04,883345
2015-01-08,5692.27,5754.73,5654.28,5704.36,448098
2015-01-09,5695.69,5700.76,5680.09,5694.31,518847
2015-01-12,5669.73,5730.29,5657.53,5658.61,441422
2015-01-13,5680.48,5716.96,5599.69,5680.3,622873
2015-01-14,5670.37,5715.63,5631.82,5677.35,877226
2015-01-15,5733.52,5776.7,5702.47,5725.39,513578
2015-01-16,5792.38,5807.6,5777.87,5784.54,632356
2015-01-19,5780.83,5833.56,5738.14,5780.32,643528
2015-01-20,5710.29,5740.79,5698.39,5716.59,551283
2015-01-21,5620.36,5635.37,5608.29,5621.79,672209
2015-01-22,5594.8,5641.26,5544.79,5594.44,922311
2015-01-23,5625.29,5669.41,5565.93,5593.53,320558
2015-01-26,5512.34,5536.2,5402.96,5495.08,922524
2015-01-27,5562.92,5576.73,5550.04,5576.39,640571
2015-01-28,5593.37,5610.15,5545.97,5585.33,285984
2015-01-29,5609.48,5652.3,5550.36,5600.32,411372
2015-01-30,5682.29,5709.98,5636.43,5682.77,353590
2015-02-02,5639.82,5689.41,5581.0,5667.94,823407
2015-02-03,5649.92,5662.77,5597.76,5630.24,602654
2015-02-04,5564.81,5618.17,5503.97,5591.33,536269
2015-02-05,5591.7,5633.25,5550.36,5577.73,442505
2015-02-06,5580.39,5612.55,5505.05,5563.33,579111
2015-02-09,5598.42,5668.01,5572.35,5601.11,418693
2015-02-10,5554.27,5589.51,5494.56,5565.73,891984
2015-02-11,5514.54,5550.23,5492.31,5531.6,660901
2015-02-12,5534.88,5550.65,5486.82,5505.1,1171585
2015-02-13,5609.35,5635.8,5576.66,5598.36,756946
2015-02-16,5727.07,5757.79,5699.05,5719.76,348403
2015-02-17,5725.22,5756.49,5716.46,5724.84,464411
2015-02-18,5685.46,5724.13,5656.18,5683.93,355435
2015-02-19,5701.46,5702.21,5619.15,5694.57,350644
2015-02-20,5663.4,5720.1,5655.08,5661.26,313733
2015-02-23,5702.97,5756.3,5688.12,5692.54,503656
2015-02-24,5625.96,5681.82,5569.5,5639.57,609219
2015-02-25,5591.29,5632.75,5573.71,5579.71,474057
2015-02-26,5566.75,5608.39,5537.63,5575.05,236633
2015-02-27,5610.36,5658.38,5583.95,5634.66,367979
2015-03-02,5742.76,5781.74,5666.23,5713.78,763925
2015-03-03,5738.47,5741.26,5724.68,5739.66,1067678
2015-03-04,5682.4,5730.39,5649.78,5707.89,670007
2015-03-05,5653.72,5659.4,5646.03,5649.31,400291
2015-03-06,5575.99,5595.23,5569.27,5574.52,811938
2015-03-09,5592.03,5672.79,5573.69,5614.32,333346
2015-03-10,5646.69,5653.15,5530.82,5640.7,457138
2015-03-11,5587.61,5641.64,5585.26,5623.9,504672
2015-03-12,5476.47,5495.27,5471.65,5491.64,397932
2015-03-13,5549.75,5602.8,5531.98,5547.66,318207
2015-03-16,5579.42,5615.61,5561.91,5577.87,1150453
2015-03-17,5480.94,5575.91,5414.95,5514.67,409725
2015-03-18,5508.52,5563.53,5476.56,5503.54,404956
2015-03-19,5532.02,5546.74,5524.74,5535.52,730563
2015-03-20,5550.15,5595.34,5537.94,5558.06,426426
2015-03-23,5501.94,5509.36,5485.48,5498.3,905831
2015-03-24,5492.24,5503.17,5462.5,5484.23,485560
2015-03-25,5539.85,5555.58,5518.64,5523.09,470112
2015-03-26,5545.53,5579.03,5472.74,5518.64,658002
2015-03-27,5476.42,5523.82,5444.04,5502.17,599079
2015-03-30,5518.81,5528.48,5486.44,5527.57,825111
2015-03-31,5546.51,5575.96,5477.11,5516.91,940351
2015-04-01,5458.91,5466.29,5387.53,5454.07,704257
2015-04-02,5460.21,5476.05,5433.13,5457.27,481393
2015-04-03,5571.91,5614.01,5548.41,5582.33,337759
2015-04-06,5575.6,5612.53,5503.58,5565.5,375193
2015-04-07,5632.61,5677.03,5626.59,5629.4,558669
2015-04-08,5630.96,5645.13,5613.48,5621.57,411192
2015-04-09,5633.69,5635.23,5618.2,5620.35,270550
2015-04-10,5567.87,5581.14,5558.54,5576.26,776227
2015-04-13,5635.14,5637.8,5627.82,5630.74,393478
2015-04-14,5615.67,5647.88,5584.55,5616.48,1065193
2015-04-15,5673.1,5708.67,5666.71,5691.46,358145
2015-04-16,5596.92,5629.23,5550.83,5595.24,457357
2015-04-17,5660.43,5719.03,5611.42,5632.38,429457
2015-04-20,5684.87,5718.47,5642.73,5662.66,549519
2015-04-21,5676.77,5711.45,5643.85,5653.89,290974
2015-04-22,5731.81,5779.26,5633.26,5714.53,297661
2015-04-23,5627.42,5692.87,5574.09,5616.56,823676
2015-04-24,5555.15,5559.52,5486.62,5542.71,520286
2015-04-27,5589.7,5616.26,5554.58,5595.01,585634
2015-04-28,5688.58,5720.56,5660.02,5694.29,602027
2015-04-29,5706.09,5757.16,5647.49,5674.84,637199
2015-04-30,5609.86,5636.35,5582.8,5617.05,1130632
2015-05-01,5601.65,5642.65,5576.59,5595.94,482343
2015-05-04,5647.2,5687.76,5606.63,5662.98,828091
2015-05-05,5694.65,5700.1,5680.78,5686.57,840767
2015-05-06,5724.34,5766.22,5621.51,5736.71,472592
2015-05-07,5732.17,5800.1,5696.74,5720.34,769061
2015-05-08,5689.28,5728.17,5650.83,5682.33,323889
2015-05-11,5752.58,5772.99,5719.72,5769.05,346681
2015-05-12,5682.01,5738.65,5669.44,5687.92,673999
2015-05-13,5617.58,5695.06,5607.92,5650.52,747064
2015-05-14,5646.72,5678.88,5639.17,5645.36,822590
2015-05-15,5589.44,5596.35,5580.68,5584.14,504317
2015-05-18,5560.43,5566.31,5519.93,5538.01,1279791
2015-05-19,5571.87,5583.89,5555.68,5580.37,659122
2015-05-20,5577.69,5595.14,5551.21,5565.55,367886
2015-05-21,5602.47,5627.99,5550.97,5598.85,376225
2015-05-22,5486.85,5540.81,5469.63,5489.14,465597
2015-05-25,5574.97,5581.8,5539.11,5555.25,733221
2015-05-26,5602.53,5668.15,5533.49,5572.15,613338
2015-05-27,5484.83,5518.37,5434.55,5486.91,711880
2015-05-28,5470.43,5505.29,5402.46,5464.44,523975
2015-05-29,5413.26,5469.1,5380.72,5423.77,291820
2015-06-01,5517.54,5551.57,5491.73,5501.04,952614
2015-06-02,5472.27,5516.77,5457.21,5491.42,417833
2015-06-03,5552.15,5554.23,5530.73,5537.0,418506
2015-06-04,5548.36,5573.77,5526.02,5542.37,606842
2015-06-05,5524.3,5530.61,5488.54,5524.4,647548
2015-06-08,5526.51,5589.19,5470.59,5494.26,1072959
2015-06-09,5533.28,5558.86,5514.06,5540.68,270422
2015-06-10,5716.53,5729.65,5643.45,5701.8,509458
2015-06-11,5647.47,5668.22,5572.37,5653.83,778286
2015-06-12,5620.83,5633.63,5561.66,5608.19,692998
2015-06-15,5583.7,5617.55,5562.72,5597.1,628702
2015-06-16,5592.33,5649.17,5560.64,5593.58,616038
2015-06-17,5611.96,5631.53,5547.75,5617.33,505441
2015-06-18,5706.8,5746.16,5621.57,5675.3,545882
2015-06-19,5737.6,5785.88,5726.89,5734.0,692152
2015-06-22,5751.25,5780.04,5697.56,5733.48,634377
2015-06-23,5830.77,5862.24,5747.7,5841.97,654511
2015-06-24,5786.11,5787.33,5748.62,5787.15,800683
2015-06-25,5805.07,5820.34,5751.04,5816.49,1275024
