Date,Open,High,Low,Close,Volume
2015-01-01,129.67,130.35,128.37,130.0,225340
2015-01-02,130.53,131.42,130.06,130.3,566547
2015-01-05,130.76,131.69,128.18,130.44,505891
2015-01-06,132.35,133.16,127.14,131.28,492042
2015-01-07,134.25,134.3,133.48,133.74,315651
2015-01-08,131.51,133.77,131.14,131.72,469570
2015-01-09,131.83,132.26,131.6,131.98,424136
2015-01-12,130.6,131.57,130.24,131.29,577452
2015-01-13,133.83,134.04,132.67,133.45,986979
2015-01-14,133.95,134.95,132.61,134.15,401632
2015-01-15,134.0,134.27,133.59,133.61,390126
2015-01-16,134.78,135.88,134.57,134.92,321041
2015-01-19,136.39,137.36,135.76,136.2,449142
2015-01-20,136.79,138.14,135.77,136.78,401083
2015-01-21,134.48,135.95,134.35,134.63,263071
2015-01-22,135.5,136.2,134.73,134.94,499124
2015-01-23,134.08,134.74,133.71,134.06,387631
2015-01-26,133.89,135.28,132.1,133.71,658118
2015-01-27,135.51,135.97,134.22,135.33,336530
2015-01-28,133.4,134.33,132.82,133.39,389337
2015-01-29,132.29,134.06,131.5,132.03,402431
2015-01-30,130.76,132.0,130.72,131.55,728735
2015-02-02,129.87,130.82,129.5,129.87,492325
2015-02-03,127.85,129.06,126.21,127.74,336578
2015-02-04,126.17,127.07,126.01,126.41,844611
2015-02-05,124.02,125.21,123.19,123.46,668303
2015-02-06,124.86,125.05,123.54,124.58,1010042
2015-02-09,123.09,125.15,122.99,123.43,470471
2015-02-10,125.53,126.66,125.27,125.38,632515
2015-02-11,123.32,125.45,122.95,123.36,224075
2015-02-12,123.16,123.41,121.5,122.64,442158
2015-02-13,120.93,121.77,120.62,121.06,441363
2015-02-16,122.04,122.31,120.96,122.01,336993
2015-02-17,120.98,121.1,120.41,120.84,857911
2015-02-18,120.39,120.47,120.01,120.34,450853
2015-02-19,120.92,121.46,119.61,120.4,439222
2015-02-20,119.69,119.85,119.49,119.7,482267
2015-02-23,118.75,119.7,117.32,118.5,417146
2015-02-24,118.05,119.52,117.11,118.41,538300
2015-02-25,119.21,120.12,117.72,118.76,595577
2015-02-26,117.98,118.83,117.8,117.97,568092
2015-02-27,116.15,117.04,113.42,116.53,207686
2015-03-02,116.57,117.24,116.54,116.58,562151
2015-03-03,116.38,116.51,115.53,116.39,193462
2015-03-04,115.94,116.82,115.35,116.37,248032
2015-03-05,116.21,116.38,115.33,116.21,558791
2015-03-06,116.16,116.29,115.08,115.85,453288
2015-03-09,115.08,116.55,113.82,115.07,356536
2015-03-10,117.85,119.18,116.44,117.43,581981
2015-03-11,115.98,117.71,114.92,115.48,402433
2015-03-12,116.6,118.1,115.33,116.92,467140
2015-03-13,119.2,120.92,118.25,119.02,297535
2015-03-16,117.0,117.29,116.82,116.92,332285
2015-03-17,117.44,118.46,115.5,117.9,782587
2015-03-18,121.09,122.91,119.75,120.84,777770
2015-03-19,123.67,124.2,120.79,123.29,364852
2015-03-20,122.34,123.79,121.49,122.73,306047
2015-03-23,122.0,122.37,121.68,122.12,450821
2015-03-24,121.83,122.13,121.42,122.11,716657
2015-03-25,122.13,123.55,120.81,122.86,259122
2015-03-26,122.88,123.49,121.3,123.18,474522
2015-03-27,121.45,121.74,120.57,120.67,832051
2015-03-30,122.03,122.61,121.31,121.93,307228
2015-03-31,120.91,121.74,120.65,120.98,226331
2015-04-01,121.85,122.77,121.01,122.34,449228
2015-04-02,123.0,123.04,121.99,122.88,266702
2015-04-03,124.45,125.63,123.93,124.69,478919
2015-04-06,123.93,124.71,123.19,124.25,477229
2015-04-07,123.78,124.2,123.61,123.7,279420
2015-04-08,125.15,125.84,123.95,125.01,455588
2015-04-09,123.44,125.17,122.83,123.58,597994
2015-04-10,122.17,124.47,122.1,122.59,482270
2015-04-13,122.39,122.62,122.29,122.48,686343
2015-04-14,122.96,125.14,121.69,123.06,896925
2015-04-15,122.56,122.92,121.42,122.59,578967
2015-04-16,120.08,122.86,119.49,120.94,256975
2015-04-17,118.92,120.33,118.33,118.67,366487
2015-04-20,118.05,120.78,117.75,118.04,529214
2015-04-21,117.89,118.74,117.89,118.45,286255
2015-04-22,118.83,118.86,117.78,118.63,504566
2015-04-23,118.14,119.48,117.23,117.83,302676
2015-04-24,120.23,121.34,119.51,119.91,363384
2015-04-27,121.63,123.06,120.22,121.91,498550
2015-04-28,123.5,125.2,122.25,123.46,655441
2015-04-29,122.72,124.19,120.16,122.4,649186
2015-04-30,120.92,121.71,119.55,120.68,545611
2015-05-01,121.93,122.79,121.6,122.25,457703
2015-05-04,124.4,124.57,122.65,124.44,421532
2015-05-05,123.04,124.12,122.55,122.8,659202
2015-05-06,121.54,121.84,121.12,121.68,507472
2015-05-07,123.15,123.93,122.59,123.46,665851
