Date,Open,High,Low,Close,Volume
2015-01-01,237.76,240.46,233.99,240.0,608489
2015-01-02,238.15,240.71,236.07,238.74,631977
2015-01-05,238.17,243.01,236.23,240.62,532208
2015-01-06,242.89,246.68,242.5,242.84,305603
2015-01-07,243.96,248.73,242.69,245.14,813994
2015-01-08,244.56,245.89,242.99,243.51,601520
2015-01-09,238.39,238.95,234.67,238.06,487684
2015-01-12,236.03,240.61,234.88,237.56,539036
2015-01-13,233.71,236.11,230.99,233.14,559665
2015-01-14,237.82,242.81,234.81,237.01,326031
2015-01-15,238.83,244.39,232.81,236.05,471406
2015-01-16,231.77,233.96,230.02,232.67,401120
2015-01-19,234.77,237.29,232.17,234.51,292654
2015-01-20,234.78,237.79,231.27,234.67,371960
2015-01-21,229.84,231.46,229.22,230.84,394617
2015-01-22,224.49,226.04,222.19,223.41,357485
2015-01-23,224.87,226.47,223.15,223.72,1000762
2015-01-26,223.09,224.56,221.04,223.25,655725
2015-01-27,224.37,224.92,219.55,222.71,524118
2015-01-28,222.19,222.26,218.52,221.76,621798
2015-01-29,211.05,213.86,208.8,212.28,564863
2015-01-30,211.75,212.53,210.12,211.53,393513
2015-02-02,214.47,216.04,211.31,213.33,330774
2015-02-03,212.64,212.96,210.88,211.51,378460
2015-02-04,203.41,207.06,196.84,204.04,346304
2015-02-05,203.11,205.82,201.87,202.64,581020
2015-02-06,202.47,205.54,200.72,203.69,379895
2015-02-09,201.63,204.11,200.89,201.62,550670
2015-02-10,199.74,200.5,196.14,198.9,310952
2015-02-11,195.73,198.54,193.4,196.49,279421
2015-02-12,197.63,202.14,194.45,198.27,337368
2015-02-13,197.22,200.13,195.68,197.42,1296564
2015-02-16,195.75,195.93,193.5,195.47,241056
2015-02-17,195.88,198.94,193.6,195.49,246558
2015-02-18,191.98,192.4,188.99,191.15,255081
2015-02-19,190.16,192.9,189.98,191.08,321501
2015-02-20,187.29,190.76,183.26,186.63,421302
2015-02-23,187.95,190.22,185.09,186.81,176394
2015-02-24,184.74,185.93,182.92,184.54,489395
2015-02-25,183.44,186.49,182.85,183.63,208143
2015-02-26,185.64,188.18,183.58,186.13,401853
2015-02-27,188.88,190.68,186.89,188.02,339691
2015-03-02,189.35,191.34,185.99,190.61,433449
2015-03-03,191.98,192.76,189.91,191.44,175907
2015-03-04,188.81,191.92,184.85,187.81,477335
2015-03-05,191.85,194.08,191.41,191.43,341860
2015-03-06,188.41,190.6,187.93,188.7,303583
2015-03-09,191.0,191.85,189.41,190.2,325146
2015-03-10,191.82,192.44,191.37,191.42,380124
2015-03-11,189.89,192.44,188.87,190.11,363799
2015-03-12,187.72,189.73,184.72,188.66,421949
2015-03-13,188.28,188.42,185.53,186.55,674445
2015-03-16,181.81,183.46,181.03,182.64,302898
2015-03-17,180.64,180.83,179.03,179.68,453260
2015-03-18,179.86,182.63,178.24,179.96,548930
2015-03-19,180.31,183.46,178.79,181.14,336416
2015-03-20,180.97,181.89,179.93,181.15,328177
2015-03-23,183.4,186.43,178.47,181.91,289813
2015-03-24,185.29,189.01,185.04,185.24,339773
2015-03-25,185.45,188.82,184.14,185.41,862870
2015-03-26,188.96,193.28,186.6,187.89,325461
2015-03-27,189.93,196.33,186.74,191.2,360907
2015-03-30,192.75,193.68,191.36,192.29,408918
2015-03-31,187.82,191.87,186.95,187.22,386939
2015-04-01,189.44,190.42,187.51,189.44,327328
2015-04-02,192.65,193.97,189.14,191.12,614752
2015-04-03,194.89,195.45,193.17,193.83,468655
2015-04-06,200.31,202.28,198.91,199.02,815278
2015-04-07,202.95,203.26,201.41,201.84,303915
2015-04-08,199.91,204.26,195.39,200.98,457652
2015-04-09,201.37,201.69,200.06,200.89,578457
2015-04-10,203.06,205.49,202.6,202.64,293119
2015-04-13,205.81,206.21,202.86,205.14,529257
2015-04-14,204.6,206.17,202.12,205.8,378181
2015-04-15,207.78,209.48,206.91,207.64,857776
2015-04-16,206.95,207.23,206.43,206.86,477683
2015-04-17,205.29,208.09,204.47,205.02,632193
2015-04-20,208.22,209.32,203.09,207.92,378227
2015-04-21,207.85,211.83,207.57,207.98,560552
2015-04-22,207.09,209.57,206.95,207.57,240880
2015-04-23,207.08,207.74,205.07,205.45,555743
2015-04-24,207.11,208.09,204.42,207.03,369210
2015-04-27,206.78,207.08,201.16,204.73,359391
2015-04-28,202.66,205.39,201.41,203.63,545044
2015-04-29,198.24,198.67,197.38,198.43,304256
2015-04-30,196.2,197.61,194.59,196.53,443860
2015-05-01,194.64,196.56,193.95,194.96,533140
2015-05-04,196.61,197.91,193.44,195.58,368587
2015-05-05,197.55,198.78,194.66,196.35,568714
2015-05-06,193.48,197.61,192.38,195.18,489036
2015-05-07,192.57,192.63,188.45,191.69,190718
2015-05-08,194.26,194.64,186.86,192.42,982684
2015-05-11,194.04,196.62,191.84,194.92,409254
2015-05-12,193.37,195.11,190.83,194.26,528908
2015-05-13,199.62,202.11,198.52,199.58,457140
2015-05-14,201.56,203.67,199.59,201.37,330060
2015-05-15,197.97,201.87,197.41,197.7,396406
2015-05-18,197.13,202.2,193.51,196.51,361350
2015-05-19,194.98,196.83,193.21,195.87,395281
2015-05-20,194.29,194.73,192.2,194.44,558180
