Date,Open,High,Low,Close,Volume
2015-01-01,548.23,550.03,546.53,550.0,605285
2015-01-02,561.25,561.56,549.76,556.95,686433
2015-01-05,559.8,566.4,559.25,560.76,627386
2015-01-06,563.27,572.95,553.32,563.86,577610
2015-01-07,572.26,577.79,565.65,568.28,520263
2015-01-08,560.22,569.9,559.08,562.6,493116
2015-01-09,545.96,554.37,544.16,549.08,479852
2015-01-12,555.23,562.2,547.65,557.83,280763
2015-01-13,558.84,565.91,554.93,555.85,569798
2015-01-14,557.12,559.23,554.33,558.69,401766
2015-01-15,561.52,567.99,558.55,562.45,864098
2015-01-16,556.74,559.14,548.57,554.87,641210
2015-01-19,554.31,556.88,550.27,554.33,328678
2015-01-20,559.9,565.48,555.91,558.4,780793
2015-01-21,547.08,551.04,536.83,547.59,349665
2015-01-22,538.57,542.78,537.96,540.13,358108
2015-01-23,534.66,536.99,531.08,536.19,870961
2015-01-26,539.0,546.06,532.52,538.33,535732
2015-01-27,540.59,543.59,533.45,540.59,497443
2015-01-28,538.91,540.19,536.14,539.07,815687
2015-01-29,536.21,543.69,533.33,537.05,612852
2015-01-30,546.75,548.54,542.8,547.31,744632
2015-02-02,547.77,549.78,546.57,548.3,288517
2015-02-03,556.62,561.35,552.3,556.39,838835
2015-02-04,554.08,559.37,552.15,553.21,634948
2015-02-05,548.36,552.95,547.73,548.08,419764
2015-02-06,541.01,544.48,538.82,539.88,1215198
2015-02-09,538.53,541.37,528.19,538.6,867685
2015-02-10,557.59,558.96,549.11,552.82,861246
2015-02-11,555.23,558.61,547.2,553.13,545434
2015-02-12,558.96,567.27,551.83,561.39,854985
2015-02-13,568.86,571.87,559.06,562.93,412568
2015-02-16,577.86,580.91,572.38,577.03,309757
2015-02-17,576.07,577.16,573.26,574.62,860497
2015-02-18,573.42,580.46,571.25,573.41,245868
2015-02-19,572.81,573.22,565.54,572.35,509959
2015-02-20,562.49,563.74,559.65,562.68,334033
2015-02-23,566.67,572.68,558.88,567.48,737623
2015-02-24,563.33,565.91,562.51,563.23,692095
2015-02-25,563.84,570.46,558.62,562.96,582137
2015-02-26,558.78,558.83,555.87,556.75,405192
2015-02-27,549.29,557.59,545.07,553.47,427610
2015-03-02,551.11,554.76,548.65,553.01,699660
2015-03-03,542.72,544.48,536.48,540.29,536732
2015-03-04,536.11,540.12,534.87,537.47,314788
2015-03-05,535.19,545.22,531.63,534.63,461763
2015-03-06,529.55,532.15,526.66,531.2,455450
2015-03-09,528.1,531.55,525.33,528.34,701478
2015-03-10,534.2,536.41,532.07,533.34,630424
2015-03-11,526.11,531.53,522.41,527.82,263642
2015-03-12,523.07,527.52,519.89,520.69,394271
2015-03-13,521.48,525.33,516.95,521.81,491197
2015-03-16,522.05,528.47,519.42,522.15,476804
2015-03-17,525.82,526.69,517.61,523.56,487663
2015-03-18,520.88,531.38,517.67,519.35,366877
2015-03-19,518.43,524.55,518.21,523.39,641234
2015-03-20,526.84,537.5,522.38,525.63,259250
2015-03-23,518.99,522.69,515.74,519.54,381485
2015-03-24,516.43,525.14,513.17,518.66,425990
2015-03-25,509.54,511.41,506.03,509.09,792120
2015-03-26,512.24,513.15,504.43,510.25,336870
2015-03-27,512.26,515.97,506.29,512.89,385636
2015-03-30,516.32,522.22,510.93,515.55,428681
2015-03-31,512.52,516.0,512.48,515.58,626379
2015-04-01,515.49,516.96,510.23,515.2,321375
2015-04-02,521.6,524.62,517.67,522.24,891874
2015-04-03,527.35,527.69,524.64,526.06,619001
2015-04-06,526.57,538.4,523.78,529.24,534638
2015-04-07,531.32,537.88,528.02,528.04,403925
2015-04-08,534.37,535.86,529.64,534.7,630582
2015-04-09,531.55,534.32,529.22,530.95,365423
2015-04-10,526.58,530.21,526.23,526.45,468549
2015-04-13,528.75,540.21,525.27,529.37,508321
2015-04-14,529.48,530.84,526.89,528.08,688706
2015-04-15,530.17,533.51,526.77,527.26,514092
2015-04-16,529.37,530.99,523.55,528.37,456821
2015-04-17,534.71,537.31,529.25,531.92,369732
2015-04-20,526.57,532.26,522.46,527.69,393814
2015-04-21,530.5,537.62,519.3,530.32,660721
2015-04-22,540.3,545.72,535.84,538.9,441400
2015-04-23,545.02,547.17,543.14,544.92,394477
2015-04-24,540.64,542.47,538.7,540.61,370953
2015-04-27,543.34,544.86,537.42,544.41,275887
2015-04-28,552.6,553.44,548.87,551.58,895207
2015-04-29,555.89,559.84,554.01,554.74,233475
2015-04-30,564.79,570.43,558.35,564.84,1261417
2015-05-01,560.02,562.06,559.04,560.36,461199
2015-05-04,553.79,564.38,553.5,555.57,643143
2015-05-05,551.99,554.06,542.62,550.34,281526
2015-05-06,544.08,555.25,543.26,547.13,506778
2015-05-07,547.49,554.07,543.17,547.81,298695
2015-05-08,545.6,552.48,538.36,546.25,479285
2015-05-11,551.97,553.85,542.68,550.14,969645
2015-05-12,554.91,562.7,552.19,559.0,600414
2015-05-13,556.71,563.69,548.78,558.35,405948
2015-05-14,556.89,557.75,549.77,556.62,423306
2015-05-15,559.31,563.06,558.83,560.44,752893
2015-05-18,550.13,557.95,541.94,548.88,562626
2015-05-19,549.41,565.09,547.48,550.9,724496
2015-05-20,549.86,553.69,547.14,547.61,334245
2015-05-21,545.48,550.49,543.1,545.8,382020
2015-05-22,542.93,548.32,542.83,544.56,388187
2015-05-25,550.87,552.98,549.27,550.77,573175
2015-05-26,550.6,552.19,540.08,548.48,490110
2015-05-27,549.07,552.1,542.18,549.42,348195
2015-05-28,558.33,564.86,556.11,559.66,520826
2015-05-29,570.65,576.04,562.26,572.09,530813
2015-06-01,582.1,582.84,577.51,581.66,443348
2015-06-02,575.19,576.3,570.76,573.89,495271
2015-06-03,571.77,580.83,569.36,570.37,347397
2015-06-04,575.55,578.55,562.33,578.01,433267
2015-06-05,577.35,579.94,573.71,577.67,455185
2015-06-08,595.6,598.08,588.87,592.29,567738
2015-06-09,591.27,595.12,579.23,589.72,600433
2015-06-10,602.65,613.83,600.41,603.8,432108
2015-06-11,595.53,597.13,588.2,595.03,1198112
2015-06-12,608.33,615.05,605.87,608.28,1862475
2015-06-15,612.26,618.36,603.35,610.94,982810
2015-06-16,604.32,611.47,600.6,605.01,503924
2015-06-17,612.93,614.04,604.94,611.82,613076
2015-06-18,613.65,618.87,607.31,611.65,577852
2015-06-19,607.06,613.39,602.07,606.49,434950
2015-06-22,591.56,597.68,589.66,591.87,422345
2015-06-23,584.62,591.46,582.9,586.48,701395
2015-06-24,577.2,584.18,570.51,579.91,397761
2015-06-25,580.43,585.04,580.02,581.52,387017
2015-06-26,588.11,588.93,586.44,588.12,504978
2015-06-29,596.52,607.4,596.49,597.81,474168
2015-06-30,601.35,602.52,599.65,600.66,599874
2015-07-01,604.83,606.47,595.61,602.59,726938
2015-07-02,609.79,619.97,602.52,607.56,597054
2015-07-03,598.57,605.73,596.82,597.99,388229
2015-07-06,595.87,599.28,591.75,597.15,596335
2015-07-07,609.27,613.58,604.95,611.61,379431
2015-07-08,622.75,624.66,617.87,620.66,549504
2015-07-09,613.95,619.01,612.53,614.94,316087
2015-07-10,608.15,613.52,607.2,610.41,432819
2015-07-13,609.34,614.24,608.88,609.88,1052540
2015-07-14,613.07,616.14,610.94,615.61,337068
2015-07-15,619.04,626.28,619.02,623.34,376451
2015-07-16,612.72,620.57,607.28,614.86,583813
2015-07-17,619.11,620.73,614.27,619.46,510510
2015-07-20,627.18,640.38,614.56,630.88,1077932
2015-07-21,621.77,630.18,611.86,622.51,653976
2015-07-22,618.13,627.37,612.95,623.52,1266117
2015-07-23,618.88,621.32,616.14,620.14,771736
2015-07-24,622.11,629.58,609.34,623.67,689056
2015-07-27,629.03,629.62,621.94,623.96,600116
2015-07-28,628.03,631.63,623.53,626.76,795440
2015-07-29,637.65,638.75,630.68,635.6,265492
2015-07-30,643.19,654.35,643.09,643.4,977443
2015-07-31,645.84,647.18,641.38,646.92,947970
2015-08-03,649.87,656.21,648.43,650.85,781820
2015-08-04,635.55,643.6,629.77,640.09,986077
2015-08-05,654.2,660.14,650.16,652.94,497122
2015-08-06,655.1,660.4,650.13,656.4,392440
2015-08-07,648.66,654.25,640.47,653.22,507887
2015-08-10,672.14,672.31,667.05,670.53,1249001
2015-08-11,667.55,676.02,663.86,667.46,321277
2015-08-12,670.88,683.62,668.22,671.45,706610
2015-08-13,688.36,693.23,679.81,689.87,1042806
2015-08-14,697.05,702.12,688.95,691.85,716789
2015-08-17,688.78,694.98,686.45,691.31,420528
2015-08-18,692.29,697.08,688.76,696.33,360880
2015-08-19,685.7,690.41,681.08,687.39,822432
2015-08-20,693.73,694.82,684.64,692.92,884185
2015-08-21,702.82,718.64,693.27,702.91,771755
2015-08-24,706.41,715.16,702.59,706.54,476423
2015-08-25,728.4,728.75,712.94,724.74,722760
2015-08-26,734.04,739.59,730.19,736.11,809991
2015-08-27,736.14,737.54,735.33,735.91,519941
2015-08-28,722.69,732.21,712.12,724.59,771977
2015-08-31,718.65,724.32,712.33,718.89,762145
2015-09-01,719.68,720.76,710.68,716.76,831483
2015-09-02,720.2,728.31,716.81,722.66,675704
2015-09-03,725.79,729.25,713.19,724.55,651506
2015-09-04,722.6,731.19,718.49,722.25,494156
2015-09-07,723.21,729.11,715.54,722.69,510256
2015-09-08,721.19,735.43,713.57,722.35,670100
2015-09-09,720.94,727.68,717.19,720.67,603192
2015-09-10,744.05,744.09,736.83,739.99,1265833
2015-09-11,740.17,751.04,736.73,741.74,431743
2015-09-14,743.45,746.02,740.27,743.7,514810
2015-09-15,737.43,752.5,727.92,734.97,597009
2015-09-16,742.46,743.75,720.86,736.87,334276
2015-09-17,740.24,742.02,727.63,741.14,584158
2015-09-18,743.14,747.94,735.24,743.47,760949
2015-09-21,739.14,744.07,735.4,739.37,318046
2015-09-22,749.29,752.99,747.78,749.42,892925
2015-09-23,738.06,738.28,735.62,736.74,585781
2015-09-24,730.8,739.04,724.84,730.5,854029
2015-09-25,740.41,747.48,739.67,742.22,384750
2015-09-28,754.82,757.94,754.07,755.43,546530
2015-09-29,770.61,780.17,763.91,770.73,1269940
2015-09-30,779.13,786.65,778.55,781.49,870791
2015-10-01,776.94,778.09,770.47,776.52,564515
2015-10-02,772.19,779.19,765.4,773.74,593016
2015-10-05,769.15,770.84,762.81,767.9,409285
2015-10-06,755.87,766.94,753.19,756.09,481896
2015-10-07,745.15,747.7,730.62,746.5,839073
2015-10-08,738.48,747.69,729.25,739.44,1067904
2015-10-09,742.33,748.79,729.45,743.13,398488
2015-10-12,740.85,745.79,739.23,743.1,470894
2015-10-13,737.85,739.25,723.94,736.2,638204
2015-10-14,749.31,756.53,747.08,748.09,1177876
2015-10-15,747.48,750.67,735.44,743.66,450568
2015-10-16,742.67,747.0,728.74,745.09,552720
2015-10-19,744.11,746.99,732.82,744.04,986748
2015-10-20,734.11,738.1,729.51,732.08,414072
2015-10-21,723.25,736.02,719.5,721.81,1279655
2015-10-22,748.7,749.61,743.27,747.49,739691
2015-10-23,732.32,746.82,720.0,739.04,411859
2015-10-26,737.03,742.66,735.14,737.3,769823
2015-10-27,732.0,734.15,718.64,733.26,898206
2015-10-28,756.87,758.84,751.03,754.28,993105
2015-10-29,760.04,772.7,752.35,762.43,966617
2015-10-30,755.54,758.84,750.07,757.48,674031
2015-11-02,759.97,767.47,753.43,759.04,486776
2015-11-03,747.62,762.8,734.54,746.37,871106
2015-11-04,750.01,754.47,748.35,748.83,496174
2015-11-05,753.08,770.03,740.4,755.76,1047387
2015-11-06,773.51,775.69,756.47,774.88,990436
2015-11-09,757.36,761.32,756.71,759.3,822123
2015-11-10,764.51,770.39,757.06,766.78,1098034
2015-11-11,773.53,775.87,759.42,771.81,829682
2015-11-12,770.99,779.36,763.38,775.71,532013
2015-11-13,785.57,791.96,782.58,789.37,1123209
2015-11-16,798.8,806.78,798.36,800.59,1621323
2015-11-17,790.74,792.29,789.27,791.63,357433
2015-11-18,779.85,782.05,775.15,780.27,548092
2015-11-19,798.37,803.16,793.51,800.13,859253
2015-11-20,794.87,798.23,788.76,795.88,679540
2015-11-23,794.24,795.85,781.67,794.92,1173389
2015-11-24,798.54,802.32,791.68,799.55,689885
2015-11-25,808.12,808.43,801.74,803.62,635834
2015-11-26,814.11,821.82,800.01,817.96,704544
2015-11-27,831.93,840.51,826.97,833.43,860963
2015-11-30,823.18,825.54,810.34,821.83,1352183
2015-12-01,808.96,813.31,804.88,808.87,318294
2015-12-02,796.13,799.15,792.47,796.38,862857
2015-12-03,806.46,813.25,795.58,805.07,418400
2015-12-04,795.96,807.33,794.46,796.66,1288924
2015-12-07,804.32,806.02,796.23,803.6,968987
2015-12-08,812.73,818.04,808.21,814.31,1527055
2015-12-09,817.06,822.51,813.25,817.57,1603037
2015-12-10,802.93,805.74,801.95,802.38,1059241
2015-12-11,803.32,808.71,800.07,801.75,1171681
2015-12-14,800.26,803.16,785.03,802.64,1426759
2015-12-15,800.27,800.9,791.84,796.87,506297
2015-12-16,799.01,814.18,798.72,800.18,896219
2015-12-17,806.49,820.57,803.41,807.32,948737
2015-12-18,809.85,812.66,802.13,806.3,938968
2015-12-21,817.43,821.63,807.85,813.86,413826
2015-12-22,836.24,841.17,815.16,833.47,775818
2015-12-23,835.34,845.22,835.32,837.85,1521601
2015-12-24,832.57,840.06,820.3,826.84,773040
2015-12-25,827.11,842.38,826.64,829.83,408556
2015-12-28,825.63,838.58,825.08,826.88,760018
2015-12-29,807.34,816.39,806.51,809.15,1013028
2015-12-30,814.55,821.41,808.67,810.37,628682
2015-12-31,809.82,812.34,802.62,808.18,824764
2016-01-01,796.23,801.91,781.1,797.66,735278
2016-01-04,804.83,805.3,792.1,803.19,576951
2016-01-05,792.4,798.87,790.46,793.83,417427
2016-01-06,777.88,781.99,770.97,779.3,630000
