Date,Open,High,Low,Close,Volume
2015-01-01,119.28,120.07,116.82,120.0,674906
2015-01-02,120.44,120.7,119.02,120.19,603515
2015-01-05,120.89,121.82,119.97,120.93,437766
2015-01-06,120.72,121.57,119.06,120.76,654985
2015-01-07,122.11,123.02,120.88,122.34,383756
2015-01-08,120.79,121.88,119.46,120.45,494332
2015-01-09,119.0,120.32,118.53,119.8,1234940
2015-01-12,119.57,119.62,117.87,119.52,453761
2015-01-13,119.86,121.14,118.82,119.66,528414
2015-01-14,120.5,121.41,119.88,120.62,494485
2015-01-15,122.59,123.87,121.69,121.78,487485
2015-01-16,122.29,122.36,121.44,122.12,829878
2015-01-19,123.8,123.85,121.85,123.54,286605
2015-01-20,124.72,126.14,124.57,124.93,275073
2015-01-21,123.54,124.8,122.46,124.11,816962
2015-01-22,121.8,122.21,120.81,122.07,518788
2015-01-23,122.86,123.39,122.6,123.15,299899
2015-01-26,122.67,123.79,121.01,122.2,419577
2015-01-27,123.76,125.41,121.67,124.72,284967
2015-01-28,125.6,127.14,124.61,125.1,332132
2015-01-29,124.12,125.2,123.99,124.57,730530
2015-01-30,125.45,126.24,123.27,125.05,752794
2015-02-02,124.17,125.34,122.66,124.02,615567
2015-02-03,124.13,124.85,122.21,123.68,571106
2015-02-04,123.35,123.36,121.52,123.32,483206
2015-02-05,122.87,123.52,121.71,122.82,391825
2015-02-06,124.47,124.51,123.42,124.03,733109
2015-02-09,123.9,123.96,123.55,123.89,785846
2015-02-10,125.84,126.35,125.23,125.31,721693
2015-02-11,126.31,127.71,126.13,126.3,277922
2015-02-12,124.51,124.99,124.32,124.88,693021
2015-02-13,125.57,125.78,125.12,125.12,445369
2015-02-16,126.58,127.11,126.37,126.51,571923
2015-02-17,125.12,126.33,124.34,124.36,383729
2015-02-18,122.92,123.45,122.74,122.9,398736
2015-02-19,122.32,122.87,121.68,122.51,729389
2015-02-20,121.67,122.33,121.47,121.61,438878
2015-02-23,122.71,122.86,121.84,122.52,552920
2015-02-24,120.0,120.38,119.6,119.64,631236
2015-02-25,117.74,118.55,116.16,117.97,933238
2015-02-26,117.16,117.55,116.56,117.25,690185
2015-02-27,118.72,119.24,117.17,118.39,467731
2015-03-02,118.59,119.4,117.73,118.63,758832
