Date,Open,High,Low,Close,Volume
2015-01-01,854.27,857.35,842.04,850.0,729255
2015-01-02,849.54,855.91,845.22,851.13,470753
2015-01-05,861.05,863.01,848.52,860.19,656544
2015-01-06,858.07,866.52,851.03,860.15,659790
2015-01-07,890.4,892.39,877.48,892.22,1045629
2015-01-08,901.18,904.39,894.06,899.7,622713
2015-01-09,913.34,919.92,896.19,910.95,948333
2015-01-12,945.92,948.18,927.08,944.57,782819
2015-01-13,940.98,943.44,940.41,942.31,670386
2015-01-14,934.69,953.81,910.35,939.45,401983
2015-01-15,945.71,956.81,940.49,940.76,999279
2015-01-16,947.29,959.56,936.58,941.83,317358
2015-01-19,929.57,929.98,923.8,928.65,709044
2015-01-20,941.19,946.75,925.65,940.47,200745
2015-01-21,940.55,942.25,928.46,937.18,743575
2015-01-22,933.61,951.67,925.25,933.33,756895
2015-01-23,950.83,954.36,948.91,949.51,1029512
2015-01-26,953.93,972.4,946.97,948.31,557629
2015-01-27,942.68,950.17,939.0,947.57,751175
2015-01-28,931.34,934.73,928.69,932.0,649371
2015-01-29,936.46,936.75,930.05,935.2,585174
2015-01-30,945.89,954.35,941.99,948.65,460655
2015-02-02,950.78,957.26,946.96,947.51,455354
2015-02-03,939.17,949.02,937.44,943.71,771745
2015-02-04,935.32,946.35,918.02,935.05,798429
2015-02-05,941.21,954.48,932.97,935.01,505923
2015-02-06,948.39,962.92,938.94,949.39,895637
2015-02-09,961.41,967.77,960.86,963.55,1004743
2015-02-10,974.89,977.32,965.64,969.56,755157
2015-02-11,969.9,975.57,957.48,974.2,519002
2015-02-12,976.75,984.11,951.54,968.91,382118
2015-02-13,964.87,975.3,954.7,964.37,250756
2015-02-16,961.44,971.48,939.3,964.81,1118750
2015-02-17,962.69,983.3,959.21,961.97,531044
2015-02-18,945.0,966.57,936.41,951.11,243050
2015-02-19,949.32,951.75,943.59,946.65,923832
2015-02-20,946.45,959.36,943.7,947.85,968984
2015-02-23,983.61,988.91,970.44,976.83,719784
2015-02-24,956.47,962.21,941.87,961.77,612843
2015-02-25,967.56,968.34,948.83,964.52,670769
2015-02-26,966.7,971.78,952.63,961.29,704328
2015-02-27,980.78,993.3,973.22,981.52,755107
2015-03-02,972.34,986.78,962.35,974.59,539090
2015-03-03,996.28,1006.96,974.27,986.43,748251
2015-03-04,977.6,988.51,976.06,982.94,441381
2015-03-05,974.67,984.51,971.45,977.82,508805
2015-03-06,975.71,980.68,966.45,969.38,538880
2015-03-09,979.81,989.01,972.81,972.82,342232
2015-03-10,983.35,983.84,979.94,983.63,792178
2015-03-11,983.71,995.01,971.24,984.91,402602
2015-03-12,981.32,992.59,963.6,977.59,502489
2015-03-13,966.12,974.27,959.39,967.47,551191
2015-03-16,981.63,995.48,969.18,982.3,496738
2015-03-17,979.6,985.23,966.63,976.52,999921
2015-03-18,960.62,981.47,959.71,967.07,1040999
2015-03-19,991.3,997.17,976.65,980.38,376779
2015-03-20,976.78,988.81,958.48,980.83,458782
2015-03-23,967.74,978.35,967.12,971.07,537846
2015-03-24,985.9,990.79,967.92,982.63,387805
2015-03-25,1020.31,1022.06,1006.78,1012.44,774140
2015-03-26,1029.91,1044.24,1026.94,1034.65,975108
2015-03-27,1061.88,1063.2,1054.28,1059.97,501835
2015-03-30,1056.52,1071.52,1044.86,1049.13,457177
2015-03-31,1050.54,1053.0,1041.44,1046.92,616616
2015-04-01,1031.31,1039.41,1027.76,1033.53,532924
2015-04-02,1054.94,1070.75,1043.79,1057.43,562809
2015-04-03,1093.12,1099.64,1074.72,1081.84,519705
2015-04-06,1067.96,1071.15,1063.3,1064.84,1920693
2015-04-07,1072.36,1076.83,1066.36,1068.07,580062
2015-04-08,1066.77,1073.18,1062.74,1064.31,318710
2015-04-09,1063.85,1081.74,1061.31,1066.33,438195
2015-04-10,1078.29,1091.5,1075.28,1081.91,371125
2015-04-13,1100.87,1108.95,1059.08,1103.86,512311
2015-04-14,1095.06,1123.74,1090.99,1105.28,558680
2015-04-15,1149.26,1169.15,1130.15,1154.2,357941
2015-04-16,1135.34,1141.78,1123.21,1132.86,228611
2015-04-17,1133.78,1143.77,1128.2,1131.12,746883
2015-04-20,1151.65,1172.82,1144.33,1156.51,496680
2015-04-21,1160.32,1173.78,1144.27,1155.55,577699
2015-04-22,1163.65,1187.13,1158.82,1170.58,559588
2015-04-23,1150.77,1157.74,1135.25,1150.64,866339
2015-04-24,1155.81,1169.23,1128.0,1148.01,463980
2015-04-27,1161.39,1188.87,1149.24,1155.33,1153161
2015-04-28,1149.23,1153.46,1131.94,1149.47,1167564
2015-04-29,1157.49,1170.1,1154.31,1155.22,459691
2015-04-30,1146.53,1162.82,1140.33,1155.09,530663
2015-05-01,1142.85,1158.67,1123.05,1138.12,598563
2015-05-04,1121.14,1135.61,1116.74,1124.98,901856
2015-05-05,1107.55,1121.13,1101.94,1105.84,271155
2015-05-06,1103.54,1111.08,1089.24,1103.55,817184
2015-05-07,1112.55,1116.03,1087.28,1108.24,1030687
2015-05-08,1126.88,1133.35,1109.58,1121.45,656230
2015-05-11,1120.27,1127.81,1116.54,1127.18,858800
2015-05-12,1120.29,1138.77,1113.75,1119.43,1348192
2015-05-13,1110.73,1130.09,1106.31,1110.11,687538
2015-05-14,1097.6,1113.02,1081.88,1097.83,491419
2015-05-15,1098.9,1110.53,1080.59,1094.99,545159
2015-05-18,1085.76,1091.61,1068.98,1089.07,448397
2015-05-19,1079.09,1088.03,1076.28,1085.61,1473150
2015-05-20,1090.31,1100.68,1076.8,1090.05,498055
2015-05-21,1077.22,1081.39,1070.49,1071.53,659627
2015-05-22,1084.25,1103.32,1078.7,1082.92,544890
2015-05-25,1052.3,1073.12,1051.92,1063.83,1044556
2015-05-26,1071.5,1074.86,1048.11,1073.97,1080533
2015-05-27,1070.24,1073.91,1062.75,1064.87,738239
2015-05-28,1088.41,1092.51,1080.83,1084.14,1758255
2015-05-29,1082.13,1100.24,1075.06,1082.45,609867
2015-06-01,1079.62,1087.28,1076.08,1084.95,396249
