Date,Open,High,Low,Close,Volume
2015-01-01,447.19,450.02,445.88,450.0,390536
2015-01-02,453.53,456.55,451.77,455.67,372160
2015-01-05,451.35,454.11,441.66,452.16,1005817
2015-01-06,457.71,463.63,454.4,455.23,244001
2015-01-07,460.09,461.04,459.72,460.02,766031
2015-01-08,460.16,464.94,457.94,460.89,464169
2015-01-09,467.22,470.15,464.59,470.03,994867
2015-01-12,474.08,475.91,473.25,473.63,430041
2015-01-13,480.61,484.92,475.56,479.38,461921
2015-01-14,469.9,470.25,469.05,469.49,940846
2015-01-15,482.71,485.17,475.78,482.85,506243
2015-01-16,484.65,486.01,482.8,485.9,748031
2015-01-19,483.92,487.36,474.3,482.03,1010373
2015-01-20,481.54,489.66,478.85,484.44,673156
2015-01-21,479.46,490.16,478.34,482.14,937038
2015-01-22,475.3,477.03,472.06,475.39,526444
2015-01-23,479.09,479.77,475.88,478.11,517892
2015-01-26,472.5,477.37,471.09,472.81,436606
2015-01-27,468.61,473.37,465.29,468.33,576858
2015-01-28,476.59,479.91,474.02,477.76,581000
2015-01-29,483.15,487.9,481.42,483.4,593334
2015-01-30,499.02,501.65,495.74,498.35,739994
2015-02-02,490.05,493.45,487.64,491.67,497280
2015-02-03,492.7,497.04,488.71,492.73,339063
2015-02-04,492.39,505.42,485.6,492.63,430708
2015-02-05,481.78,489.92,480.17,484.89,837082
2015-02-06,484.42,487.54,477.6,482.12,624748
2015-02-09,472.69,477.25,468.88,475.09,1080771
2015-02-10,475.37,481.57,472.3,475.84,1140869
2015-02-11,474.32,481.76,464.27,469.87,256035
2015-02-12,460.11,465.77,455.7,457.0,414087
2015-02-13,461.3,468.36,453.43,461.25,634834
2015-02-16,461.86,466.75,461.5,462.92,639588
2015-02-17,470.37,474.14,467.0,469.73,400171
2015-02-18,459.76,461.41,458.82,460.85,421725
2015-02-19,479.05,485.43,467.48,474.3,612090
2015-02-20,476.73,476.79,471.36,476.31,575915
2015-02-23,469.62,475.99,467.64,471.37,855026
2015-02-24,458.87,460.57,457.61,457.99,586238
2015-02-25,449.29,452.26,445.12,452.23,499898
2015-02-26,453.56,458.84,449.36,453.39,566205
2015-02-27,466.86,467.12,461.53,464.99,567254
2015-03-02,462.98,473.02,461.62,464.22,466873
2015-03-03,465.37,467.82,465.32,467.03,240480
2015-03-04,462.12,464.93,460.73,463.9,596761
2015-03-05,458.82,470.54,456.0,460.09,451331
2015-03-06,451.76,469.15,450.3,455.29,438244
2015-03-09,456.9,460.48,451.32,454.56,341294
2015-03-10,454.23,465.39,453.4,455.57,798100
2015-03-11,456.74,460.83,452.3,459.2,318256
2015-03-12,452.19,458.38,439.97,449.26,666191
2015-03-13,450.42,451.43,444.83,450.45,305378
2015-03-16,452.37,463.62,450.76,451.24,253435
2015-03-17,461.48,461.86,461.01,461.36,516434
2015-03-18,466.0,467.33,460.32,464.57,579307
2015-03-19,475.45,479.52,470.97,473.81,378492
2015-03-20,482.35,487.63,479.58,482.56,233174
2015-03-23,488.88,490.13,480.58,487.68,702206
2015-03-24,486.24,489.83,483.26,484.92,399746
2015-03-25,490.36,492.61,483.4,486.1,656345
2015-03-26,485.94,500.5,485.19,490.33,420498
2015-03-27,500.78,501.73,496.0,498.71,623935
2015-03-30,501.85,508.69,497.49,503.16,954790
2015-03-31,490.19,498.42,487.28,492.71,259502
2015-04-01,482.37,495.35,477.98,484.93,452307
2015-04-02,487.56,492.06,485.3,485.34,630713
2015-04-03,492.84,497.4,485.68,488.72,605366
2015-04-06,497.63,501.57,496.39,498.18,1240564
2015-04-07,502.44,505.85,499.62,500.48,527882
2015-04-08,504.59,507.53,498.34,499.97,996997
2015-04-09,503.47,508.69,497.02,504.63,633282
2015-04-10,497.43,499.71,492.42,498.96,501486
2015-04-13,506.77,508.49,500.01,505.59,500373
2015-04-14,498.11,500.87,492.85,497.46,770887
2015-04-15,500.94,508.48,494.89,502.97,431291
2015-04-16,494.37,496.08,491.67,492.07,564195
2015-04-17,486.92,490.65,483.67,489.79,550178
2015-04-20,486.75,487.57,481.06,487.21,405822
2015-04-21,478.92,483.4,477.98,481.05,491581
2015-04-22,481.51,486.89,479.58,483.2,703662
2015-04-23,473.74,480.98,471.37,477.13,429358
2015-04-24,481.02,482.46,480.3,480.76,454983
2015-04-27,482.79,485.42,476.45,483.95,465034
2015-04-28,490.48,493.27,481.55,490.55,741459
2015-04-29,478.31,483.72,475.39,478.27,540105
2015-04-30,479.97,480.83,473.96,480.59,614654
2015-05-01,483.16,488.13,481.31,483.25,507005
2015-05-04,483.51,490.04,480.52,487.79,1505574
2015-05-05,500.52,504.77,497.57,500.64,667650
2015-05-06,503.16,505.47,496.05,500.46,372526
2015-05-07,507.95,508.23,495.03,506.93,689920
2015-05-08,511.94,525.41,503.9,516.37,532812
2015-05-11,529.43,530.07,523.24,525.89,799535
2015-05-12,510.19,519.8,502.45,516.23,498093
2015-05-13,519.73,521.28,511.53,516.76,543065
2015-05-14,521.72,530.83,520.05,523.04,569464
2015-05-15,509.79,515.13,502.36,513.48,497375
2015-05-18,509.63,514.96,508.91,511.16,472499
2015-05-19,513.6,514.83,509.42,512.37,441719
2015-05-20,514.53,521.55,511.51,514.9,458735
2015-05-21,513.69,525.68,511.78,514.33,615624
2015-05-22,500.17,503.35,495.81,499.43,311968
2015-05-25,491.35,494.03,491.18,492.04,813972
2015-05-26,490.02,496.63,488.14,491.82,251259
