Date,Open,High,Low,Close,Volume
2015-01-01,200.25,202.01,199.09,200.0,158475
2015-01-02,201.03,205.17,200.49,201.68,480004
2015-01-05,198.65,198.89,195.39,197.97,319041
2015-01-06,195.32,196.51,194.67,195.44,501291
2015-01-07,197.78,198.49,197.59,198.38,452867
2015-01-08,195.27,197.04,192.14,196.2,501995
2015-01-09,197.38,197.61,193.29,197.3,542949
2015-01-12,192.72,195.72,191.38,193.68,696480
2015-01-13,190.81,195.56,188.38,190.68,491960
2015-01-14,188.62,192.3,187.55,190.26,818770
2015-01-15,185.51,189.78,182.11,186.94,674368
2015-01-16,186.47,191.66,182.65,185.4,657842
2015-01-19,183.94,186.13,182.08,185.02,455594
2015-01-20,186.98,187.45,181.68,186.23,501862
2015-01-21,183.8,185.16,182.93,184.23,378503
2015-01-22,183.47,184.41,180.75,182.03,659266
2015-01-23,184.03,184.37,180.32,183.2,446142
2015-01-26,176.83,183.68,174.29,177.64,377486
2015-01-27,181.46,184.72,180.74,181.09,375631
2015-01-28,182.11,184.14,180.88,182.28,335701
2015-01-29,179.46,181.08,174.09,179.38,447767
2015-01-30,183.49,183.66,179.05,183.53,469629
2015-02-02,186.15,189.03,181.85,184.5,331922
2015-02-03,188.7,190.83,183.41,189.29,915928
2015-02-04,191.79,196.56,187.79,191.39,321613
2015-02-05,189.85,191.5,185.19,190.35,347807
2015-02-06,188.19,190.89,187.57,188.14,453106
2015-02-09,191.14,192.78,186.87,190.26,387428
2015-02-10,190.01,191.97,187.76,190.57,452151
2015-02-11,189.71,193.99,184.49,189.16,433302
2015-02-12,186.59,192.6,184.82,186.4,744770
2015-02-13,190.92,195.56,186.66,190.86,322789
2015-02-16,189.85,194.53,187.97,189.51,465414
2015-02-17,193.39,195.62,191.59,191.87,1011980
2015-02-18,194.44,200.53,192.3,196.1,738651
2015-02-19,197.89,199.32,194.71,196.28,354796
2015-02-20,196.09,198.06,191.52,194.62,784429
2015-02-23,188.75,190.04,186.55,189.32,739969
2015-02-24,182.92,184.8,181.51,183.6,492394
2015-02-25,187.8,188.02,183.66,186.86,668244
2015-02-26,185.66,188.7,179.96,183.48,488483
2015-02-27,184.73,187.77,182.88,184.76,512939
2015-03-02,185.55,191.04,181.52,186.27,1025091
2015-03-03,185.02,186.59,183.9,184.42,671370
2015-03-04,181.1,186.13,172.9,183.25,553003
2015-03-05,185.1,187.39,182.53,185.31,537603
2015-03-06,184.42,186.94,180.93,183.02,231450
2015-03-09,180.11,186.44,179.11,181.68,376108
2015-03-10,183.07,184.55,180.84,181.72,244608
2015-03-11,179.87,183.94,177.85,180.5,555323
2015-03-12,184.56,185.9,183.88,184.33,796679
2015-03-13,181.73,183.43,180.67,181.44,627739
2015-03-16,186.38,189.64,183.93,187.25,795616
2015-03-17,185.04,185.14,179.19,183.57,438725
2015-03-18,181.23,188.15,175.36,180.06,388060
2015-03-19,180.53,183.84,178.67,180.41,1162034
2015-03-20,178.43,179.96,178.23,178.86,265070
2015-03-23,179.41,180.3,178.64,179.97,412377
2015-03-24,183.81,188.22,177.49,181.83,369367
2015-03-25,180.68,181.7,178.44,179.71,293412
2015-03-26,178.5,182.34,176.89,178.51,480606
2015-03-27,177.27,179.85,175.39,179.1,134336
2015-03-30,178.92,183.41,176.25,178.64,311031
2015-03-31,174.64,177.14,172.02,175.65,602615
2015-04-01,172.74,175.61,171.45,173.61,504843
2015-04-02,175.98,181.47,173.39,175.96,332998
2015-04-03,178.71,181.83,178.26,178.88,413706
2015-04-06,178.25,179.52,175.9,177.51,933211
2015-04-07,178.2,180.29,177.02,179.69,873472
2015-04-08,182.59,182.6,180.2,180.44,615721
2015-04-09,179.25,179.55,176.25,178.66,339235
2015-04-10,181.25,183.88,179.69,180.31,603266
2015-04-13,183.41,183.57,178.56,181.52,629604
2015-04-14,179.13,182.04,177.43,178.66,384435
2015-04-15,188.33,194.1,185.44,188.59,847481
2015-04-16,187.56,189.3,187.04,188.46,348320
2015-04-17,191.29,193.71,190.52,191.31,662493
2015-04-20,197.03,197.22,195.45,196.35,521525
2015-04-21,195.78,195.93,191.66,195.33,584167
2015-04-22,194.75,198.17,190.87,195.07,643880
2015-04-23,190.87,193.77,189.73,191.02,515622
2015-04-24,195.32,198.76,192.94,193.96,860732
2015-04-27,194.72,199.07,191.33,195.33,1466528
2015-04-28,198.99,201.24,194.88,197.68,707406
2015-04-29,195.76,197.95,193.75,194.77,359041
2015-04-30,190.93,195.85,186.89,191.7,316472
2015-05-01,191.16,192.96,188.61,189.64,223777
2015-05-04,193.52,198.22,192.09,192.18,635563
2015-05-05,193.47,193.69,191.48,193.44,562591
2015-05-06,197.01,198.24,194.27,194.91,958710
2015-05-07,194.31,197.55,193.84,195.76,251303
2015-05-08,192.95,195.09,190.72,192.65,365606
2015-05-11,194.01,197.74,193.49,194.82,356742
2015-05-12,193.64,197.94,189.28,194.96,889770
2015-05-13,196.32,199.39,194.58,195.84,573639
2015-05-14,191.47,194.58,190.23,192.86,221432
2015-05-15,191.94,197.3,188.84,192.42,369709
2015-05-18,192.5,193.77,192.26,192.75,379594
2015-05-19,193.26,194.98,187.57,192.52,966406
2015-05-20,191.9,195.18,187.67,193.46,707339
2015-05-21,196.04,197.95,194.75,197.47,508042
2015-05-22,200.03,202.8,198.11,198.58,576784
2015-05-25,192.6,192.93,187.7,191.48,311093
2015-05-26,191.11,199.25,189.52,192.66,525184
2015-05-27,196.35,196.76,194.54,196.31,486723
2015-05-28,205.0,206.28,200.9,202.88,1125269
