Date,Open,High,Low,Close,Volume
2015-01-01,903.61,914.13,894.48,900.0,595139
2015-01-02,909.27,911.79,906.31,911.03,1161138
2015-01-05,906.39,919.2,882.56,914.49,258863
2015-01-06,907.57,910.85,905.89,910.62,319720
2015-01-07,918.96,922.86,918.95,922.53,425292
2015-01-08,932.32,938.61,927.44,936.06,1394734
2015-01-09,929.83,944.8,924.88,936.58,683147
2015-01-12,943.02,950.12,932.4,939.52,346829
2015-01-13,955.17,957.18,952.47,952.68,579660
2015-01-14,951.79,961.3,934.7,944.5,545462
2015-01-15,932.3,952.53,932.27,932.56,622510
2015-01-16,918.62,920.7,915.0,919.11,458879
2015-01-19,906.3,921.61,901.36,910.09,651374
2015-01-20,913.98,916.57,906.16,910.52,783629
2015-01-21,909.21,916.24,904.46,912.82,425672
2015-01-22,888.6,890.78,878.45,885.33,469350
2015-01-23,902.29,903.11,895.16,899.25,378891
2015-01-26,888.76,893.03,878.39,878.65,162740
2015-01-27,880.32,898.74,875.32,878.94,476374
2015-01-28,868.95,878.68,857.21,873.66,510315
2015-01-29,871.41,874.29,865.67,867.6,410699
2015-01-30,863.92,877.68,860.42,862.13,333276
2015-02-02,839.89,846.82,834.69,842.84,379182
2015-02-03,849.29,850.92,846.92,847.86,443925
2015-02-04,843.08,850.41,837.36,843.69,457825
2015-02-05,857.83,863.83,852.03,856.1,201648
2015-02-06,857.02,859.51,841.46,851.51,733381
2015-02-09,861.85,862.38,855.9,861.42,712847
2015-02-10,858.24,864.73,851.04,861.28,511678
2015-02-11,864.63,874.09,857.74,863.71,384166
2015-02-12,871.25,878.23,853.83,870.38,483398
2015-02-13,866.73,867.44,852.92,861.92,739952
2015-02-16,853.32,866.99,849.68,859.99,405706
2015-02-17,869.5,880.97,858.25,875.25,385004
2015-02-18,870.03,875.68,865.9,869.33,274593
2015-02-19,871.37,872.21,853.19,867.51,351284
2015-02-20,855.75,860.04,839.44,856.02,359820
2015-02-23,875.76,884.79,869.65,871.59,665129
2015-02-24,855.61,867.12,855.01,858.95,323768
2015-02-25,846.02,855.48,837.65,846.49,406053
2015-02-26,850.73,858.48,829.43,856.17,650046
2015-02-27,852.83,862.51,852.0,860.36,1617007
2015-03-02,878.95,884.05,871.7,882.99,393573
2015-03-03,875.31,884.43,872.27,880.38,403377
2015-03-04,882.9,894.31,866.07,882.3,536679
2015-03-05,872.94,879.02,868.51,872.06,421881
2015-03-06,846.42,851.95,832.29,848.08,265554
2015-03-09,833.95,838.8,832.49,832.98,275969
2015-03-10,827.19,832.29,823.67,827.9,327636
2015-03-11,823.75,830.94,815.99,821.2,315237
2015-03-12,822.05,833.95,817.46,819.65,504249
2015-03-13,815.36,826.46,807.67,819.58,600049
2015-03-16,826.23,834.45,823.84,830.23,763670
2015-03-17,847.9,859.08,832.59,846.62,818535
2015-03-18,848.1,860.45,827.79,841.5,787933
2015-03-19,855.81,874.16,839.94,853.62,501873
2015-03-20,856.78,862.64,850.14,857.92,558248
2015-03-23,858.57,861.14,846.83,857.84,386198
2015-03-24,858.43,866.49,856.87,862.54,261567
2015-03-25,851.53,869.36,829.93,851.3,460926
2015-03-26,848.99,850.65,848.08,850.52,798645
2015-03-27,845.91,850.85,817.74,847.22,517649
2015-03-30,864.98,878.35,856.77,867.14,1150442
2015-03-31,876.56,883.51,864.44,878.91,254087
2015-04-01,849.32,874.71,836.67,852.88,426573
2015-04-02,867.9,876.07,858.16,868.76,506919
2015-04-03,881.84,889.61,872.32,880.55,464352
2015-04-06,876.76,885.36,872.95,875.66,296191
2015-04-07,882.53,888.57,872.13,885.0,433961
2015-04-08,890.01,903.8,886.13,891.28,1314186
2015-04-09,896.12,896.48,889.53,891.99,891551
2015-04-10,891.94,911.98,866.8,896.12,574141
2015-04-13,912.55,924.62,908.57,912.7,630144
2015-04-14,913.68,927.94,906.93,915.2,555102
2015-04-15,929.93,947.38,922.86,927.47,370848
2015-04-16,876.89,883.41,873.98,882.77,569138
2015-04-17,890.27,903.49,887.6,887.83,865725
2015-04-20,897.46,914.29,890.17,901.07,349851
2015-04-21,904.27,911.71,887.96,903.67,421860
2015-04-22,934.31,936.53,929.17,930.1,801993
2015-04-23,912.26,927.82,902.06,913.46,786901
2015-04-24,900.49,906.53,896.41,897.62,920408
2015-04-27,894.88,925.54,882.58,895.54,429723
2015-04-28,911.49,915.89,904.2,909.42,167898
2015-04-29,918.22,922.17,918.07,918.12,255857
2015-04-30,916.71,920.31,901.12,917.31,777886
2015-05-01,928.76,930.79,926.33,927.97,747724
2015-05-04,921.72,925.54,919.58,922.42,379709
2015-05-05,914.22,939.45,909.72,919.52,575469
2015-05-06,932.7,935.29,926.67,933.51,405457
2015-05-07,938.66,945.87,926.63,942.06,379685
2015-05-08,948.17,959.86,942.0,949.89,292096
2015-05-11,957.11,962.22,938.64,956.2,339193
2015-05-12,950.1,961.44,949.65,951.42,706032
2015-05-13,961.01,965.13,959.84,961.66,539706
2015-05-14,952.57,960.62,923.89,947.87,881584
2015-05-15,926.62,931.05,918.57,922.87,461299
2015-05-18,914.2,932.95,905.67,913.23,387400
2015-05-19,927.21,947.14,908.9,929.9,624129
2015-05-20,936.24,944.64,926.34,934.97,623979
2015-05-21,933.42,943.45,928.86,935.24,268881
2015-05-22,943.6,954.51,939.62,942.97,387723
2015-05-25,955.54,963.76,953.59,954.65,612731
2015-05-26,955.26,963.85,940.77,959.2,252822
2015-05-27,934.54,938.88,929.29,937.47,459302
2015-05-28,925.0,929.37,910.01,928.35,842657
2015-05-29,909.29,919.83,893.95,913.41,300208
2015-06-01,923.23,933.21,912.29,926.07,679680
2015-06-02,919.25,926.98,899.6,918.24,753902
2015-06-03,901.5,908.23,896.82,900.49,307819
2015-06-04,895.8,897.39,873.2,894.37,557159
2015-06-05,880.03,882.09,877.07,879.44,419398
2015-06-08,878.73,881.15,854.52,875.7,290132
2015-06-09,884.78,891.67,877.05,889.19,276221
2015-06-10,903.52,916.1,888.5,908.15,511716
2015-06-11,935.21,945.25,928.34,934.44,393114
2015-06-12,941.32,951.16,934.43,941.53,422385
2015-06-15,951.38,964.51,947.95,954.82,587002
2015-06-16,947.99,957.01,946.58,951.76,480114
2015-06-17,954.42,956.28,947.14,952.46,570174
2015-06-18,963.19,967.97,950.6,955.27,580055
2015-06-19,950.73,966.98,944.43,956.72,664497
