Date,Open,High,Low,Close,Volume
2015-01-01,599.21,604.15,599.14,600.0,505839
2015-01-02,597.84,599.3,593.72,597.82,853117
2015-01-05,608.29,612.49,601.85,608.29,952798
2015-01-06,605.48,611.75,599.49,606.56,396376
2015-01-07,618.44,628.28,616.94,621.87,776699
2015-01-08,628.61,631.81,621.31,628.9,528859
2015-01-09,626.84,628.48,623.0,627.75,551675
2015-01-12,629.41,640.96,623.7,632.52,440926
2015-01-13,632.93,638.26,631.44,635.36,253459
2015-01-14,648.06,651.09,641.64,643.47,388653
2015-01-15,648.47,654.09,639.12,649.6,708610
2015-01-16,633.62,634.0,627.18,633.79,313828
2015-01-19,630.14,633.9,628.71,631.54,734276
2015-01-20,633.94,636.31,627.77,632.95,455280
2015-01-21,623.37,627.15,615.66,623.05,711530
2015-01-22,608.88,615.82,602.64,613.66,136074
2015-01-23,604.57,611.82,602.46,606.96,601515
2015-01-26,602.95,606.12,597.61,603.37,1158390
2015-01-27,603.85,606.5,597.48,605.48,611961
2015-01-28,598.85,609.53,598.22,600.67,901780
2015-01-29,606.92,608.46,594.72,601.54,340071
2015-01-30,615.55,617.24,595.93,611.98,836738
2015-02-02,610.68,619.4,606.58,607.14,397618
2015-02-03,616.01,619.01,611.8,614.99,464769
2015-02-04,611.0,625.27,609.18,611.11,436234
2015-02-05,602.04,610.28,601.65,603.9,690086
2015-02-06,615.15,617.61,612.77,612.97,935641
2015-02-09,596.57,600.77,592.96,599.37,558847
2015-02-10,602.52,604.66,597.57,599.31,627319
2015-02-11,585.19,593.45,582.69,585.43,446073
2015-02-12,581.01,591.55,575.65,580.39,275055
2015-02-13,583.2,589.22,578.31,580.13,326094
2015-02-16,583.69,590.27,579.53,582.03,513022
2015-02-17,580.14,584.57,577.92,582.7,348844
2015-02-18,585.57,587.5,583.28,584.85,1238592
2015-02-19,588.07,596.38,584.66,592.71,1324249
2015-02-20,596.6,598.31,589.81,593.45,790003
2015-02-23,586.19,587.7,578.05,585.42,309316
2015-02-24,584.4,592.25,580.27,587.77,442866
2015-02-25,587.41,593.16,581.26,584.36,380961
2015-02-26,589.81,596.23,585.96,586.99,401040
2015-02-27,602.97,609.57,598.01,598.72,904212
2015-03-02,601.46,610.34,592.15,601.24,236415
2015-03-03,601.09,607.79,596.5,602.12,515660
2015-03-04,588.61,599.7,584.19,591.21,872406
2015-03-05,592.45,601.04,592.27,593.25,460445
2015-03-06,604.41,607.17,596.64,600.1,620086
2015-03-09,602.07,608.24,595.49,604.03,289551
2015-03-10,613.74,616.49,602.18,608.58,852842
2015-03-11,615.84,621.23,609.21,615.03,772507
2015-03-12,610.54,618.63,608.27,611.46,387683
2015-03-13,616.07,618.56,613.29,615.57,436547
2015-03-16,624.55,629.54,615.21,628.05,440663
2015-03-17,637.75,642.58,634.69,639.15,301665
2015-03-18,632.42,637.36,631.98,635.1,623444
2015-03-19,639.9,641.99,639.4,640.87,582825
2015-03-20,651.77,663.13,639.56,651.66,774163
2015-03-23,639.49,641.16,633.98,637.06,432019
2015-03-24,639.25,639.27,630.2,637.18,633992
2015-03-25,650.66,653.83,635.7,649.01,626096
2015-03-26,650.47,658.0,650.05,652.3,246308
2015-03-27,641.39,650.62,639.84,641.24,995821
2015-03-30,641.65,648.67,636.67,640.1,280110
2015-03-31,627.12,627.5,617.29,627.46,900294
2015-04-01,624.04,629.13,623.77,625.73,736718
2015-04-02,630.51,648.22,623.35,636.45,1326876
2015-04-03,641.97,642.72,640.21,641.32,524669
2015-04-06,639.14,647.81,638.98,640.04,1139505
2015-04-07,658.8,661.78,653.35,660.18,235086
2015-04-08,675.45,683.65,670.45,673.78,443395
2015-04-09,672.8,677.8,669.42,674.16,859937
2015-04-10,676.69,681.52,674.3,675.44,373515
2015-04-13,676.81,686.97,673.28,675.82,638522
2015-04-14,678.08,679.92,675.61,678.96,490634
2015-04-15,673.59,683.41,672.42,674.81,473481
2015-04-16,662.21,666.76,656.86,660.18,759454
2015-04-17,670.33,679.09,669.45,670.92,257959
2015-04-20,660.98,667.7,653.55,663.71,634458
2015-04-21,665.66,673.14,663.39,666.43,356753
2015-04-22,661.27,674.83,659.85,661.27,561121
2015-04-23,653.4,659.77,648.29,654.28,777505
2015-04-24,654.66,665.84,647.22,654.95,560244
2015-04-27,666.43,675.75,664.88,668.41,322560
2015-04-28,673.8,674.56,670.93,674.21,1287321
2015-04-29,663.53,674.63,652.48,659.29,316019
2015-04-30,656.48,660.11,652.77,656.08,781325
2015-05-01,648.92,675.35,645.67,653.72,1326886
2015-05-04,640.83,647.62,634.01,642.89,612871
2015-05-05,647.61,649.98,640.99,645.55,619185
2015-05-06,652.7,658.24,650.95,653.4,759354
2015-05-07,647.61,650.63,647.3,648.42,414171
2015-05-08,649.99,654.68,646.09,653.35,328162
2015-05-11,648.52,651.28,644.92,650.24,998727
2015-05-12,652.61,659.37,645.58,649.57,549065
2015-05-13,641.13,643.63,631.94,641.16,1049211
2015-05-14,641.91,647.64,634.92,643.56,333041
2015-05-15,642.62,656.82,641.35,643.47,714736
2015-05-18,654.23,658.06,635.45,654.51,350884
2015-05-19,654.97,658.81,649.16,658.7,180274
2015-05-20,663.87,664.54,658.78,661.62,300094
2015-05-21,682.14,687.42,674.66,679.55,1109307
2015-05-22,673.9,681.37,654.22,673.24,326702
2015-05-25,665.97,668.5,663.44,664.24,282716
2015-05-26,667.49,674.69,658.39,665.32,608691
2015-05-27,676.82,678.97,672.03,678.02,355760
2015-05-28,678.51,694.98,671.01,680.0,989971
2015-05-29,695.62,697.2,690.84,695.5,333511
2015-06-01,693.83,706.19,692.44,695.26,557095
2015-06-02,714.96,722.3,701.78,710.56,748859
2015-06-03,699.57,705.69,694.3,698.82,611028
2015-06-04,711.02,713.14,698.74,709.51,732384
2015-06-05,694.92,712.48,686.89,694.58,581492
2015-06-08,705.25,714.18,697.92,703.95,516120
2015-06-09,694.54,707.65,687.25,697.26,453849
2015-06-10,702.66,712.93,697.88,701.15,523660
2015-06-11,705.31,719.04,701.18,703.0,763754
2015-06-12,694.9,702.26,685.73,697.38,226534
2015-06-15,689.33,706.84,680.21,692.34,941886
2015-06-16,678.1,686.96,672.05,675.89,1077789
2015-06-17,689.65,693.75,686.05,688.83,716673
2015-06-18,699.91,705.87,692.21,704.85,714725
2015-06-19,714.16,717.2,711.26,713.19,589587
2015-06-22,715.22,720.85,712.44,716.22,678473
2015-06-23,721.12,726.05,705.75,720.41,823782
2015-06-24,708.63,714.34,701.03,706.42,1024644
2015-06-25,710.79,720.13,706.59,713.99,593849
2015-06-26,711.83,717.97,699.47,713.25,725373
2015-06-29,719.74,725.64,715.65,722.53,272506
2015-06-30,728.79,729.14,717.56,726.99,374243
2015-07-01,739.44,746.77,729.63,736.14,1022208
2015-07-02,739.59,741.49,725.4,736.56,411906
2015-07-03,736.18,741.84,730.83,735.35,441991
2015-07-06,734.54,738.18,725.55,735.03,602745
2015-07-07,734.38,739.94,728.56,731.48,560561
2015-07-08,745.13,746.15,741.08,742.43,507838
2015-07-09,735.64,741.96,729.21,736.65,482175
