Date,Open,High,Low,Close,Volume
2015-01-01,296.73,304.44,295.13,300.0,584760
2015-01-02,311.03,319.0,301.59,310.57,472230
2015-01-05,309.29,313.87,304.96,310.54,305659
2015-01-06,316.34,329.7,312.48,320.0,567939
2015-01-07,318.81,320.67,316.31,318.73,268364
2015-01-08,308.75,312.53,307.64,308.93,535460
2015-01-09,309.53,318.91,308.39,310.77,1022141
2015-01-12,319.7,324.98,317.91,321.51,640264
2015-01-13,323.18,325.78,321.14,323.43,538195
2015-01-14,319.25,324.26,315.12,318.54,606590
2015-01-15,318.81,328.81,317.96,321.43,314592
2015-01-16,316.41,318.17,312.65,317.49,391529
2015-01-19,314.25,314.5,309.99,312.05,530727
2015-01-20,320.42,321.97,318.09,319.13,578467
2015-01-21,316.65,318.13,315.68,317.27,879859
2015-01-22,311.8,322.16,299.58,313.67,300204
2015-01-23,309.96,315.4,305.03,311.51,519259
2015-01-26,309.19,310.21,298.23,308.86,1010282
2015-01-27,306.76,311.54,300.55,305.77,492768
2015-01-28,300.53,302.02,291.69,298.8,809653
2015-01-29,293.81,297.66,289.24,291.79,320539
2015-01-30,293.55,297.67,288.96,291.05,417397
2015-02-02,288.93,292.0,284.97,285.54,697218
2015-02-03,285.19,289.96,283.8,284.52,517551
2015-02-04,278.02,285.42,272.67,281.05,634454
2015-02-05,278.98,284.14,270.87,275.96,460181
2015-02-06,270.77,276.22,265.98,270.43,563883
2015-02-09,258.65,262.03,253.13,260.83,223275
2015-02-10,257.17,264.92,254.68,259.65,214110
2015-02-11,257.98,262.9,249.35,257.81,444784
2015-02-12,266.82,270.95,265.47,267.92,512391
2015-02-13,261.41,263.96,253.93,260.24,796711
2015-02-16,265.71,269.59,265.7,267.76,273454
2015-02-17,263.88,271.33,259.98,264.49,530661
2015-02-18,255.11,257.33,252.98,254.43,526229
2015-02-19,246.99,251.89,244.1,246.67,389015
2015-02-20,252.55,254.33,245.65,249.25,321451
2015-02-23,250.11,252.26,244.68,249.4,273961
2015-02-24,249.54,252.03,239.26,248.94,271339
2015-02-25,245.63,246.09,238.55,245.78,661912
2015-02-26,241.49,244.49,239.16,239.57,418576
2015-02-27,234.52,236.22,228.42,235.14,357076
2015-03-02,230.46,237.96,228.31,231.77,253481
2015-03-03,226.3,234.19,223.46,230.46,311742
2015-03-04,230.27,234.73,228.74,230.74,436315
2015-03-05,224.14,226.07,219.92,223.92,243690
2015-03-06,215.92,223.06,215.04,216.3,301080
2015-03-09,211.0,213.21,210.01,212.38,452277
2015-03-10,209.0,215.33,207.34,209.68,618690
2015-03-11,205.09,207.98,202.33,206.3,714374
2015-03-12,199.2,201.94,195.74,200.17,343799
2015-03-13,197.37,200.18,195.36,196.56,249391
2015-03-16,197.73,199.88,196.73,196.93,211675
2015-03-17,195.78,197.99,191.27,194.97,103090
2015-03-18,195.18,202.82,193.87,198.35,640038
2015-03-19,199.9,203.79,199.52,200.76,456140
2015-03-20,197.48,202.45,196.44,198.13,225359
2015-03-23,199.44,201.62,198.73,201.21,773901
2015-03-24,203.01,203.33,199.03,202.46,486842
2015-03-25,203.05,207.08,199.56,204.36,290827
2015-03-26,200.06,201.24,196.31,201.11,433536
2015-03-27,202.88,206.38,201.45,202.41,495933
2015-03-30,208.49,210.5,206.17,206.83,282088
2015-03-31,203.47,205.36,201.33,203.87,580598
2015-04-01,204.29,210.69,201.71,202.93,557226
2015-04-02,201.72,203.37,196.56,201.67,131569
2015-04-03,198.88,203.48,194.9,198.65,456870
2015-04-06,196.19,200.89,193.63,198.78,821756
2015-04-07,199.84,200.65,199.77,200.0,227694
2015-04-08,197.18,203.02,195.5,201.0,146160
2015-04-09,197.69,198.93,197.29,197.47,747847
2015-04-10,199.76,201.89,197.13,198.0,410976
2015-04-13,209.97,210.29,203.21,208.9,315781
2015-04-14,212.56,215.76,206.35,211.88,416942
2015-04-15,210.74,217.99,210.41,213.81,653110
2015-04-16,209.18,214.83,206.77,210.38,627098
2015-04-17,207.97,210.0,207.84,208.29,310210
2015-04-20,212.09,215.51,210.98,214.63,566951
2015-04-21,215.52,218.25,211.04,215.51,336371
2015-04-22,223.16,223.45,221.45,222.6,1010186
2015-04-23,220.41,222.47,216.81,222.05,623468
2015-04-24,224.58,230.82,221.8,226.86,791408
2015-04-27,225.77,229.94,225.72,226.88,1637579
2015-04-28,224.2,230.49,223.99,225.48,247555
2015-04-29,225.42,232.5,221.45,224.18,516580
2015-04-30,216.55,224.75,209.98,216.99,915351
2015-05-01,210.25,212.94,208.21,208.89,250205
2015-05-04,209.37,209.66,205.84,207.94,518243
2015-05-05,207.37,212.53,207.11,211.03,551850
2015-05-06,208.8,209.78,208.41,209.22,396285
2015-05-07,208.52,215.81,206.25,210.6,383192
2015-05-08,205.98,209.65,205.81,206.38,424219
2015-05-11,210.36,215.74,208.03,211.06,435162
2015-05-12,206.03,206.2,204.1,204.4,481233
2015-05-13,198.62,201.83,193.66,197.71,371710
2015-05-14,199.08,201.54,196.6,197.19,760015
2015-05-15,201.34,201.99,199.27,200.34,405940
2015-05-18,195.28,196.68,195.28,195.51,628495
2015-05-19,201.72,202.9,195.91,201.39,196066
2015-05-20,199.0,205.22,197.44,199.88,340332
2015-05-21,201.33,204.91,198.76,200.82,297408
2015-05-22,196.38,198.51,195.4,196.88,386847
2015-05-25,200.43,203.0,196.89,198.54,433261
2015-05-26,193.78,196.56,192.5,194.17,440848
2015-05-27,187.24,189.32,183.82,186.93,290685
2015-05-28,191.64,195.5,191.33,192.49,170445
2015-05-29,193.29,194.58,191.66,192.54,303930
2015-06-01,192.37,194.36,191.42,193.97,319134
2015-06-02,193.39,194.4,192.11,193.31,618549
2015-06-03,193.27,194.5,192.47,193.09,209058
2015-06-04,192.29,195.04,191.45,192.3,152112
2015-06-05,182.81,184.86,182.07,182.57,352860
2015-06-08,183.69,184.03,177.6,183.78,364774
2015-06-09,177.35,177.4,174.94,177.35,219934
2015-06-10,181.27,182.8,177.87,179.32,729034
2015-06-11,181.66,184.21,176.47,181.25,216240
2015-06-12,184.09,187.52,183.03,183.75,494112
2015-06-15,185.69,186.65,184.86,185.46,374416
2015-06-16,182.2,184.98,181.99,183.77,279296
2015-06-17,184.91,186.78,182.91,184.06,325164
2015-06-18,185.69,191.52,182.19,186.25,853534
2015-06-19,185.5,186.72,181.29,186.08,171098
2015-06-22,186.83,188.09,183.94,186.96,340421
2015-06-23,184.7,184.8,180.39,183.14,284504
2015-06-24,181.39,184.68,175.81,182.61,335315
2015-06-25,179.08,179.65,177.15,179.41,223180
2015-06-26,183.31,185.27,183.14,184.75,419061
2015-06-29,181.37,185.35,175.16,182.25,347432
2015-06-30,177.11,181.9,176.66,179.44,449058
2015-07-01,179.51,181.53,177.8,181.18,291939
2015-07-02,173.83,174.95,173.43,174.73,175292
2015-07-03,175.85,176.76,172.65,174.93,414296
2015-07-06,173.72,174.87,173.17,174.33,198724
2015-07-07,172.52,174.21,170.22,171.0,111818
2015-07-08,170.69,175.41,168.2,170.79,199736
2015-07-09,169.2,170.62,167.48,167.48,524644
2015-07-10,170.2,172.52,166.77,168.4,779692
2015-07-13,164.69,166.71,158.65,163.76,180136
2015-07-14,161.88,163.52,161.74,161.79,168985
2015-07-15,158.26,162.43,154.4,158.87,204369
2015-07-16,156.0,158.74,154.53,156.73,202804
2015-07-17,156.77,158.7,153.68,156.36,279504
2015-07-20,156.44,159.59,152.6,157.67,116615
2015-07-21,157.3,157.34,153.77,156.82,183026
2015-07-22,158.19,160.13,152.87,157.37,248306
2015-07-23,157.63,161.35,155.11,156.93,195011
2015-07-24,155.28,156.17,153.18,155.15,364802
2015-07-27,154.88,155.08,152.99,154.6,363889
2015-07-28,152.36,154.8,151.37,152.46,437968
2015-07-29,149.24,150.61,145.34,148.61,199937
2015-07-30,143.87,148.61,141.95,144.17,391082
2015-07-31,148.54,149.23,146.54,147.53,187951
2015-08-03,149.78,151.37,147.2,149.38,318942
2015-08-04,147.73,147.97,146.54,147.48,403911
2015-08-05,149.71,151.66,148.12,149.05,455056
2015-08-06,149.13,154.86,147.62,151.05,326414
2015-08-07,152.62,154.36,150.68,152.39,388080
2015-08-10,153.47,155.45,153.13,153.74,437620
2015-08-11,146.19,148.48,143.75,147.05,192283
2015-08-12,142.61,143.78,142.48,143.74,256394
2015-08-13,144.84,146.45,143.39,146.26,275150
2015-08-14,147.04,147.68,144.16,145.79,337629
2015-08-17,146.61,149.21,143.63,147.08,231467
2015-08-18,151.33,156.28,150.16,150.52,299108
2015-08-19,150.03,153.27,149.5,151.1,386449
2015-08-20,157.38,159.5,153.94,156.29,584907
2015-08-21,154.96,156.56,153.02,154.75,112569
2015-08-24,159.54,160.04,156.65,159.16,359531
2015-08-25,166.74,167.19,165.01,166.86,240299
2015-08-26,166.63,170.8,163.04,166.67,399126
2015-08-27,160.14,161.31,159.39,160.39,297462
2015-08-28,155.07,156.78,152.41,154.81,250549
2015-08-31,153.95,154.92,153.77,154.9,186563
2015-09-01,154.24,154.62,150.06,153.92,265138
2015-09-02,154.74,157.5,153.0,154.34,265312
2015-09-03,157.77,158.73,154.19,156.06,378872
2015-09-04,153.75,158.63,150.03,154.71,185019
2015-09-07,153.17,155.04,150.96,152.65,201870
2015-09-08,153.55,155.89,152.95,153.71,226351
