Date,Open,High,Low,Close,Volume
2015-01-01,281.29,285.3,279.7,280.0,350213
2015-01-02,286.18,290.36,282.6,285.08,820318
2015-01-05,279.03,281.52,273.4,277.91,645604
2015-01-06,284.24,286.32,281.65,284.39,864452
2015-01-07,288.54,294.05,286.92,288.99,684547
2015-01-08,284.98,290.05,281.49,286.35,464460
2015-01-09,280.1,284.95,276.81,282.96,901149
2015-01-12,278.69,279.01,278.13,278.64,371812
2015-01-13,276.65,280.28,270.78,278.86,327972
2015-01-14,278.74,279.51,277.85,278.26,621586
2015-01-15,283.13,285.4,277.93,281.69,389761
2015-01-16,284.16,290.05,282.42,282.77,348967
2015-01-19,276.01,280.34,271.51,275.32,443891
2015-01-20,277.36,286.62,270.35,277.26,365197
2015-01-21,265.97,274.95,257.56,270.35,411407
2015-01-22,264.27,270.08,257.58,263.29,304989
2015-01-23,264.94,271.92,258.58,267.91,611457
2015-01-26,272.44,275.09,268.65,272.68,488294
2015-01-27,273.43,274.1,263.05,271.74,343537
2015-01-28,263.04,265.58,258.7,264.72,622044
2015-01-29,264.54,265.72,262.03,264.12,342199
2015-01-30,270.81,271.49,262.02,268.44,325224
2015-02-02,268.12,268.36,262.88,267.29,410537
2015-02-03,268.39,273.24,263.04,267.52,312167
2015-02-04,256.09,261.01,252.2,257.52,770487
2015-02-05,263.11,265.1,257.94,261.73,204347
2015-02-06,259.96,264.52,257.66,258.94,396829
2015-02-09,253.93,260.24,250.27,252.29,423815
2015-02-10,253.17,259.32,250.97,255.26,250350
2015-02-11,252.71,259.26,248.53,253.53,443596
2015-02-12,248.73,252.75,247.25,249.69,760291
2015-02-13,241.67,242.68,238.47,241.83,543698
2015-02-16,239.39,242.9,237.99,241.31,528543
2015-02-17,237.63,240.05,231.64,235.62,235196
2015-02-18,239.8,241.88,237.62,239.94,498764
2015-02-19,238.85,239.54,235.84,238.85,333069
2015-02-20,245.18,247.13,237.75,243.52,607445
2015-02-23,246.05,250.22,241.19,245.81,341288
2015-02-24,242.47,243.39,237.46,242.64,275513
2015-02-25,244.6,245.11,241.99,245.05,670956
