Date,Open,High,Low,Close,Volume
2015-01-01,1097.49,1107.81,1081.38,1100.0,469471
2015-01-02,1113.95,1114.27,1110.06,1112.28,954459
2015-01-05,1101.59,1118.47,1096.21,1105.73,685729
2015-01-06,1125.11,1129.81,1123.42,1125.41,314423
2015-01-07,1143.14,1156.43,1142.14,1148.39,541520
2015-01-08,1154.67,1160.09,1149.32,1156.8,298301
2015-01-09,1144.68,1154.25,1132.13,1146.64,677999
2015-01-12,1148.48,1166.75,1141.06,1152.25,400561
2015-01-13,1141.83,1145.85,1135.36,1137.66,420336
2015-01-14,1131.1,1137.7,1126.48,1127.27,248298
2015-01-15,1133.94,1134.75,1123.7,1128.99,697792
2015-01-16,1124.22,1129.38,1117.54,1124.93,838181
2015-01-19,1122.6,1126.86,1117.09,1124.22,388033
2015-01-20,1153.06,1154.84,1146.71,1149.99,523606
2015-01-21,1135.23,1139.68,1122.22,1134.74,442738
2015-01-22,1121.33,1132.79,1110.86,1120.87,484016
2015-01-23,1088.65,1115.12,1072.15,1097.9,381643
2015-01-26,1119.32,1126.22,1109.17,1116.51,343431
2015-01-27,1112.16,1116.94,1108.93,1109.86,887746
2015-01-28,1094.15,1104.5,1092.36,1094.17,180357
2015-01-29,1098.39,1099.4,1071.7,1095.41,611238
2015-01-30,1111.74,1113.1,1109.43,1109.52,586665
2015-02-02,1125.97,1144.16,1114.13,1128.59,1045347
2015-02-03,1136.98,1140.01,1127.19,1137.81,482057
2015-02-04,1122.33,1138.27,1121.55,1126.1,454835
2015-02-05,1141.91,1144.67,1135.84,1136.37,384037
2015-02-06,1156.28,1174.09,1147.52,1152.53,629705
2015-02-09,1137.04,1157.0,1125.15,1140.12,402993
2015-02-10,1156.94,1161.58,1152.91,1154.56,346815
2015-02-11,1148.59,1174.12,1142.67,1147.53,395514
2015-02-12,1139.38,1142.53,1130.55,1141.98,360586
2015-02-13,1142.58,1152.28,1131.21,1142.1,347271
2015-02-16,1156.4,1170.3,1150.68,1153.1,557996
2015-02-17,1150.71,1157.78,1137.01,1147.12,489889
2015-02-18,1159.36,1162.17,1146.29,1150.41,657085
2015-02-19,1139.7,1144.87,1133.98,1139.35,565143
2015-02-20,1116.14,1140.39,1106.84,1117.02,332287
2015-02-23,1127.23,1127.93,1114.02,1125.12,223563
2015-02-24,1108.64,1118.18,1107.02,1109.32,344418
2015-02-25,1108.8,1114.93,1100.49,1110.96,688464
2015-02-26,1112.24,1125.6,1101.7,1115.67,690783
2015-02-27,1091.52,1112.35,1084.25,1104.03,767351
2015-03-02,1113.87,1119.52,1101.43,1111.15,719833
2015-03-03,1113.72,1127.04,1090.43,1119.8,804639
2015-03-04,1116.35,1127.3,1111.34,1119.63,599013
2015-03-05,1106.99,1113.8,1098.7,1105.91,1071946
2015-03-06,1098.74,1100.29,1080.59,1099.92,571417
2015-03-09,1102.14,1113.4,1086.21,1094.29,1123658
2015-03-10,1081.34,1095.23,1079.01,1086.78,392422
2015-03-11,1085.03,1085.12,1064.15,1076.98,387368
2015-03-12,1074.04,1075.04,1050.98,1069.12,459819
2015-03-13,1063.78,1074.14,1052.94,1060.57,486301
2015-03-16,1071.51,1080.12,1053.84,1066.39,433293
2015-03-17,1060.77,1062.9,1045.74,1059.34,609382
2015-03-18,1050.09,1060.38,1049.55,1056.05,465065
2015-03-19,1059.06,1060.02,1054.81,1057.25,378221
2015-03-20,1082.33,1091.22,1077.18,1087.67,458394
2015-03-23,1079.25,1092.64,1077.72,1081.15,814190
2015-03-24,1088.18,1099.91,1080.87,1088.46,573078
2015-03-25,1087.18,1094.36,1082.71,1090.48,254917
2015-03-26,1084.1,1091.84,1079.55,1080.7,923072
2015-03-27,1091.36,1095.23,1060.68,1092.13,609162
2015-03-30,1090.9,1104.46,1085.11,1089.42,644209
2015-03-31,1067.92,1071.65,1059.34,1067.95,745533
2015-04-01,1057.5,1065.98,1048.63,1057.05,733066
2015-04-02,1060.21,1070.27,1048.24,1063.34,340616
