Date,Open,High,Low,Close,Volume
2015-01-01,452.05,457.65,443.37,450.0,504521
2015-01-02,450.88,460.3,444.05,453.96,487764
2015-01-05,459.26,460.0,450.92,459.64,607291
2015-01-06,465.54,474.07,464.3,467.52,797983
2015-01-07,471.59,477.43,464.3,472.63,645368
2015-01-08,473.34,475.29,463.52,474.88,212528
2015-01-09,472.06,480.56,464.76,469.49,309765
2015-01-12,482.18,483.16,472.6,480.72,725442
2015-01-13,483.73,485.95,482.38,485.28,400313
2015-01-14,478.28,485.05,476.7,479.22,883483
2015-01-15,483.08,488.44,482.13,482.33,302498
2015-01-16,488.31,500.16,485.77,486.48,771265
2015-01-19,503.44,508.68,499.13,501.22,428225
2015-01-20,512.9,517.06,510.37,511.53,945463
2015-01-21,511.66,514.78,501.44,507.75,429142
2015-01-22,504.39,505.19,498.31,503.48,389568
2015-01-23,500.02,502.15,493.82,500.96,583464
2015-01-26,497.46,503.07,493.71,499.18,311699
2015-01-27,505.04,516.26,497.56,507.35,404763
2015-01-28,505.65,511.51,497.66,508.24,803442
2015-01-29,506.24,507.52,499.7,504.8,1022882
2015-01-30,506.53,510.8,498.9,503.13,515557
2015-02-02,502.51,504.13,498.9,502.29,460069
2015-02-03,501.5,513.38,496.03,497.63,308972
2015-02-04,485.55,491.71,483.52,485.49,746178
2015-02-05,489.83,490.99,487.38,488.57,463548
2015-02-06,488.71,495.04,486.18,491.99,343933
2015-02-09,485.9,486.53,479.91,484.23,629715
2015-02-10,482.49,496.22,471.2,483.79,318031
2015-02-11,485.35,489.67,474.74,483.65,571661
2015-02-12,485.89,486.15,480.29,483.26,460124
2015-02-13,485.82,492.08,483.84,485.2,589142
2015-02-16,487.9,488.04,484.24,487.01,306013
2015-02-17,488.86,489.9,485.26,488.62,593529
2015-02-18,486.32,491.65,477.95,485.01,270613
2015-02-19,496.04,502.37,486.12,492.12,636286
2015-02-20,493.94,494.63,492.43,493.92,535311
2015-02-23,513.38,513.39,509.77,513.02,300668
2015-02-24,510.49,523.29,509.74,514.35,572867
2015-02-25,511.82,516.91,506.97,510.9,765701
2015-02-26,509.29,511.25,502.89,510.98,475601
2015-02-27,505.86,508.99,504.59,506.28,343520
2015-03-02,504.48,509.13,498.38,503.47,479019
2015-03-03,502.93,510.44,497.28,506.39,231173
2015-03-04,507.98,511.72,505.42,506.98,641502
2015-03-05,520.43,521.73,516.71,519.88,839901
2015-03-06,515.26,516.18,504.51,513.73,489908
2015-03-09,507.19,511.42,503.35,508.56,524983
2015-03-10,515.54,522.62,510.08,513.12,913752
2015-03-11,513.15,520.22,509.55,512.49,1057414
2015-03-12,507.67,514.62,496.64,509.2,772445
2015-03-13,503.45,510.99,500.89,506.37,381245
2015-03-16,503.31,511.62,500.72,504.47,929610
2015-03-17,508.52,509.06,502.96,506.65,729821
2015-03-18,508.87,510.59,507.9,507.91,625285
2015-03-19,503.57,516.3,500.58,508.16,640170
2015-03-20,514.83,523.68,513.36,515.55,916295
2015-03-23,513.43,516.42,506.33,513.16,274695
2015-03-24,513.43,519.69,506.33,509.3,544593
2015-03-25,509.08,517.72,499.11,506.31,363038
2015-03-26,514.78,524.76,513.8,515.17,710007
2015-03-27,515.65,515.9,511.72,515.26,413159
2015-03-30,509.9,513.31,501.29,512.85,1985810
2015-03-31,508.89,518.1,507.72,514.58,780256
2015-04-01,513.69,517.51,505.55,514.55,358858
2015-04-02,529.57,533.45,526.08,527.33,923706
2015-04-03,539.1,548.24,536.35,538.69,541009
2015-04-06,546.62,559.75,541.07,548.36,666193
2015-04-07,552.48,557.62,548.3,550.35,584064
2015-04-08,548.9,549.03,544.68,544.75,300376
2015-04-09,546.15,550.8,539.69,549.6,492368
2015-04-10,555.86,556.07,552.09,555.98,407235
2015-04-13,560.76,565.44,555.73,562.02,245572
2015-04-14,556.9,562.34,548.2,556.79,514346
2015-04-15,564.23,571.55,556.35,565.32,591790
2015-04-16,564.32,568.11,554.86,557.69,358159
2015-04-17,550.44,551.68,547.25,550.72,977362
2015-04-20,556.1,566.51,545.75,555.39,734347
2015-04-21,562.95,563.49,561.12,562.55,676403
2015-04-22,551.4,554.56,549.46,554.33,789823
2015-04-23,552.79,559.27,551.9,552.32,771912
2015-04-24,558.25,564.87,545.66,561.74,730116
2015-04-27,577.76,584.81,571.07,573.36,1255236
2015-04-28,567.82,577.28,565.53,565.66,282830
2015-04-29,570.17,580.53,560.66,571.56,810366
2015-04-30,567.46,577.3,557.31,567.86,553858
2015-05-01,566.58,567.26,560.54,564.12,1119019
2015-05-04,586.08,592.13,575.08,585.4,838979
2015-05-05,585.75,598.74,582.51,589.86,640593
2015-05-06,585.88,592.46,566.71,585.46,1183963
2015-05-07,595.4,603.46,592.63,592.68,634680
2015-05-08,599.16,606.15,594.79,605.11,845044
2015-05-11,609.79,613.49,605.77,609.43,537663
2015-05-12,600.82,614.18,597.97,602.95,728720
2015-05-13,607.53,611.46,594.28,604.28,1543971
2015-05-14,609.36,616.53,605.26,610.53,986706
2015-05-15,601.93,616.47,595.12,603.35,823045
2015-05-18,614.54,618.7,610.87,612.39,410433
2015-05-19,610.18,615.14,607.26,612.5,1748611
2015-05-20,597.63,602.66,596.94,597.42,437423
2015-05-21,608.8,609.98,604.12,608.07,732321
2015-05-22,604.99,614.17,604.26,605.48,819499
2015-05-25,609.54,615.25,598.07,612.91,908947
2015-05-26,612.37,623.35,610.84,614.63,519217
2015-05-27,610.6,618.76,607.85,610.94,903630
2015-05-28,612.72,631.39,601.05,617.65,433867
2015-05-29,618.99,620.88,610.97,618.77,1341677
2015-06-01,640.29,643.64,632.34,641.01,472077
2015-06-02,643.51,647.52,637.57,641.96,582204
2015-06-03,659.27,661.21,648.85,657.46,984531
2015-06-04,659.73,670.57,649.79,662.88,704924
2015-06-05,635.69,646.61,629.15,637.09,1449573
2015-06-08,625.2,630.65,619.97,627.66,1204996
2015-06-09,632.96,638.13,623.19,634.37,886280
2015-06-10,636.44,643.92,626.21,637.12,537900
2015-06-11,629.56,635.99,619.24,626.58,694976
2015-06-12,638.13,648.1,635.68,639.74,421261
2015-06-15,629.11,632.14,626.43,626.76,527594
2015-06-16,628.81,634.52,621.98,628.11,637289
2015-06-17,633.37,636.16,625.72,629.66,1001836
2015-06-18,636.71,637.83,635.41,637.66,871749
2015-06-19,640.8,648.97,632.18,643.01,657523
2015-06-22,625.0,634.6,616.11,624.62,556319
2015-06-23,622.65,627.9,620.63,626.9,956077
2015-06-24,620.98,622.48,614.6,620.56,563860
2015-06-25,625.97,630.8,612.28,624.47,928140
2015-06-26,638.34,638.71,622.24,635.38,913876
2015-06-29,630.75,636.96,621.69,629.66,1101048
2015-06-30,620.79,634.62,620.3,621.17,509978
2015-07-01,630.58,640.33,622.16,625.42,593901
2015-07-02,628.06,628.23,626.97,628.08,706148
2015-07-03,619.93,643.35,615.37,622.72,627374
2015-07-06,621.73,624.65,606.87,621.82,529984
2015-07-07,612.6,616.86,606.77,616.1,535408
2015-07-08,608.68,612.93,600.6,611.87,415878
2015-07-09,611.54,622.14,606.8,610.91,500707
2015-07-10,616.69,621.65,613.65,620.16,952635
2015-07-13,621.77,633.7,617.32,623.39,1004915
2015-07-14,615.85,620.52,614.59,618.91,790328
2015-07-15,621.91,625.27,620.31,621.54,633969
2015-07-16,604.46,607.51,600.04,606.28,693085
2015-07-17,604.38,605.2,602.4,603.02,1196827
2015-07-20,605.07,606.34,601.41,603.91,948702
2015-07-21,602.83,610.64,595.71,606.17,239518
2015-07-22,622.83,627.51,619.72,620.41,524794
2015-07-23,612.56,620.38,604.3,613.01,573181
2015-07-24,619.13,629.29,609.96,622.35,1334107
2015-07-27,624.02,629.5,622.13,623.04,894496
2015-07-28,617.08,617.96,598.99,612.5,402110
2015-07-29,610.36,613.35,608.62,610.87,903359
2015-07-30,602.17,611.61,597.08,606.38,2172556
2015-07-31,606.79,608.0,602.51,604.42,942708
2015-08-03,609.39,616.84,604.7,605.34,477215
2015-08-04,597.96,601.2,596.34,600.7,1244986
2015-08-05,594.99,606.77,591.01,597.0,772477
2015-08-06,603.39,619.68,600.39,603.3,528206
2015-08-07,599.86,605.26,589.39,604.8,690358
2015-08-10,616.96,619.41,609.91,611.54,637445
2015-08-11,610.48,616.69,596.62,610.61,514980
2015-08-12,605.39,606.48,598.59,605.28,424076
2015-08-13,609.87,611.03,608.55,608.95,541544
2015-08-14,606.19,611.34,601.97,606.85,667704
2015-08-17,609.84,612.5,606.42,611.18,953350
2015-08-18,619.49,626.88,612.5,621.97,436805
2015-08-19,615.06,620.59,606.41,618.14,402855
2015-08-20,632.97,639.73,627.89,631.88,781066
2015-08-21,624.06,626.8,617.18,620.5,637060
2015-08-24,617.58,620.0,611.23,615.1,599094
2015-08-25,636.24,640.12,631.55,637.02,542411
2015-08-26,634.53,635.61,625.22,635.04,502765
2015-08-27,637.42,639.94,631.32,633.07,453167
2015-08-28,636.12,644.15,625.15,638.28,354912
2015-08-31,631.14,644.73,628.37,635.61,818378
2015-09-01,642.85,647.66,639.67,642.17,896512
2015-09-02,651.5,659.82,638.41,649.15,1448891
2015-09-03,651.96,660.17,647.54,658.86,968420
2015-09-04,668.15,676.79,659.87,667.02,757885
2015-09-07,668.66,677.76,663.07,671.86,921991
2015-09-08,670.65,681.35,669.11,674.69,653795
2015-09-09,677.95,681.81,677.42,678.78,546037
2015-09-10,688.18,696.36,677.35,691.55,1051988
2015-09-11,686.41,692.13,678.52,691.58,871357
2015-09-14,675.01,683.93,659.63,674.7,482780
2015-09-15,665.63,666.92,664.26,665.76,757546
2015-09-16,661.85,670.53,653.26,666.68,533258
2015-09-17,675.84,693.27,675.03,679.88,1156371
2015-09-18,682.56,685.64,679.44,681.22,641760
2015-09-21,686.59,688.97,677.54,685.06,1532543
2015-09-22,689.26,706.34,685.09,697.03,1306329
2015-09-23,677.77,690.23,662.04,681.4,522247
2015-09-24,673.57,681.51,669.66,673.8,592583
2015-09-25,680.75,697.46,676.26,679.54,1013081
2015-09-28,707.6,708.7,700.14,706.37,897618
2015-09-29,691.81,706.28,687.83,690.04,733016
2015-09-30,681.49,683.78,669.74,683.57,798382
2015-10-01,689.7,695.07,688.82,689.18,746453
2015-10-02,698.59,700.38,695.92,699.76,1216882
2015-10-05,713.39,721.51,703.2,715.09,755535
2015-10-06,706.98,713.64,700.66,711.52,967852
2015-10-07,710.65,713.6,706.54,709.76,956463
2015-10-08,683.87,691.43,677.32,688.66,1370473
2015-10-09,687.67,695.1,687.43,691.09,754402
2015-10-12,698.92,706.59,695.69,696.89,845224
2015-10-13,720.08,735.68,718.76,720.59,1024722
2015-10-14,742.97,743.66,731.92,739.67,684332
2015-10-15,748.04,751.66,744.61,749.1,811180
2015-10-16,737.08,748.1,736.46,738.82,594279
2015-10-19,749.07,756.56,736.27,745.44,1119626
2015-10-20,751.69,763.8,743.23,752.96,1613068
2015-10-21,762.64,768.2,751.93,761.74,408169
2015-10-22,779.9,791.88,775.76,780.43,1387788
2015-10-23,794.1,797.5,791.16,793.7,910641
2015-10-26,793.05,794.22,788.48,793.79,1461926
2015-10-27,804.36,811.65,799.5,801.37,1016432
2015-10-28,819.13,837.72,798.06,818.89,1429750
2015-10-29,838.95,843.78,828.24,840.13,964834
2015-10-30,836.54,844.78,830.11,835.64,961637
2015-11-02,833.56,847.45,827.61,839.04,1387174
2015-11-03,845.82,846.82,840.33,842.2,2524574
2015-11-04,847.55,863.82,844.34,852.98,796939
2015-11-05,870.99,880.73,864.05,873.44,1089525
2015-11-06,882.07,902.57,876.28,883.76,760955
2015-11-09,874.22,877.72,869.98,873.3,913203
2015-11-10,883.57,888.87,876.12,877.53,805610
2015-11-11,877.36,885.15,858.47,873.54,660125
2015-11-12,873.72,887.78,870.93,879.18,1220083
2015-11-13,877.58,891.55,877.36,880.87,1067909
2015-11-16,898.33,905.02,897.29,903.66,756462
2015-11-17,873.07,879.22,866.23,877.89,664550
2015-11-18,857.52,883.58,857.06,859.67,1435652
2015-11-19,878.27,878.74,864.58,873.42,834515
2015-11-20,867.99,874.08,861.74,868.89,2404855
2015-11-23,861.97,882.53,850.77,862.39,947191
2015-11-24,873.72,891.23,864.56,872.87,1022995
2015-11-25,875.48,881.22,869.16,878.97,910650
2015-11-26,908.01,925.42,902.01,908.28,631535
2015-11-27,900.06,903.64,877.53,899.12,584914
2015-11-30,908.56,926.45,890.28,899.15,1740294
2015-12-01,915.85,927.52,904.82,912.28,1806734
2015-12-02,903.2,912.44,882.83,896.93,706191
2015-12-03,902.49,914.26,888.41,902.38,1245986
2015-12-04,909.7,914.94,906.09,907.67,1748832
2015-12-07,923.57,932.06,920.37,922.55,632878
2015-12-08,917.47,924.62,906.36,924.44,1028803
2015-12-09,909.26,926.33,895.89,918.79,842658
2015-12-10,927.57,936.32,925.09,932.0,1153971
2015-12-11,934.84,943.82,929.01,929.93,1703041
2015-12-14,901.64,904.91,894.57,903.15,1278350
2015-12-15,900.46,910.4,893.55,897.49,1286262
2015-12-16,926.55,931.55,921.13,921.44,455219
2015-12-17,906.18,914.97,903.2,911.12,1384497
2015-12-18,911.12,919.58,904.59,905.44,1010235
2015-12-21,903.44,909.43,896.25,907.89,2412094
