Date,Open,High,Low,Close,Volume
2015-01-01,279.57,283.02,276.3,280.0,363574
2015-01-02,281.77,282.32,280.92,281.42,649150
2015-01-05,280.07,280.96,279.13,279.4,857186
2015-01-06,282.9,284.96,280.65,283.32,678553
2015-01-07,289.63,291.71,289.46,290.29,408776
2015-01-08,298.63,299.21,292.58,295.36,833416
2015-01-09,292.48,296.32,292.18,292.93,506617
2015-01-12,298.29,304.62,296.89,299.15,507669
2015-01-13,302.89,304.12,299.51,300.47,442846
2015-01-14,302.99,306.98,297.59,299.77,361586
2015-01-15,298.51,298.65,294.49,297.27,551370
2015-01-16,300.49,301.76,298.56,301.6,882072
2015-01-19,299.19,300.81,293.37,300.57,555934
2015-01-20,308.33,309.74,304.33,304.97,513518
2015-01-21,303.72,306.8,298.12,302.86,1230122
2015-01-22,298.19,302.49,294.64,294.68,460650
2015-01-23,292.98,295.48,287.15,293.0,614084
2015-01-26,296.28,301.49,288.27,295.28,693568
2015-01-27,294.52,301.54,290.56,294.82,453896
2015-01-28,291.04,291.4,285.72,290.58,841859
2015-01-29,287.29,289.33,282.82,288.46,403176
2015-01-30,292.67,293.79,289.22,292.52,563376
2015-02-02,294.04,294.65,289.99,294.33,445522
2015-02-03,293.7,299.87,293.24,296.1,331970
2015-02-04,293.17,294.56,291.25,292.83,411241
2015-02-05,285.18,288.28,279.24,286.74,494419
2015-02-06,283.96,286.83,283.8,286.78,315048
2015-02-09,285.58,287.92,285.03,286.56,441487
2015-02-10,284.03,288.28,280.32,285.68,561444
2015-02-11,281.76,286.78,275.71,280.86,516930
2015-02-12,278.53,282.91,273.54,279.04,748924
2015-02-13,279.17,281.19,274.09,279.7,365559
2015-02-16,273.01,277.96,268.02,276.2,607587
2015-02-17,283.04,286.02,280.62,284.69,444912
2015-02-18,282.93,285.18,275.5,283.85,438269
2015-02-19,281.99,287.57,279.25,284.94,743950
2015-02-20,271.66,278.41,267.12,274.57,280517
2015-02-23,278.9,283.8,276.6,277.63,362174
2015-02-24,275.35,280.48,271.57,274.88,540119
2015-02-25,271.24,272.76,268.03,271.36,864774
2015-02-26,271.19,277.23,269.67,271.69,732739
2015-02-27,268.81,269.11,266.56,268.29,505746
2015-03-02,267.39,268.86,260.74,266.79,306750
2015-03-03,266.11,266.62,265.36,265.39,275722
2015-03-04,265.84,270.14,264.48,266.59,308364
2015-03-05,266.69,270.35,266.0,266.7,190288
2015-03-06,267.18,273.13,264.59,269.04,473378
2015-03-09,269.05,270.02,266.34,269.34,456851
2015-03-10,271.67,277.65,268.71,273.14,464048
2015-03-11,268.63,277.71,266.3,272.48,842668
2015-03-12,268.85,269.15,266.82,267.0,541314
2015-03-13,268.59,269.51,263.24,269.14,1189574
2015-03-16,267.48,272.14,263.08,266.38,402025
2015-03-17,258.81,261.89,256.92,258.43,627115
2015-03-18,254.35,255.51,252.55,254.05,433549
2015-03-19,255.51,263.59,254.67,257.76,802926
2015-03-20,262.49,268.61,257.8,264.8,393391
2015-03-23,265.73,267.43,264.59,264.87,306143
2015-03-24,266.2,266.52,261.69,265.15,635906
2015-03-25,265.8,266.6,264.93,266.56,798758
2015-03-26,266.81,274.64,265.19,267.07,534389
2015-03-27,268.65,270.89,267.5,270.69,590648
2015-03-30,269.08,269.44,264.03,269.27,1170831
2015-03-31,272.37,277.94,267.13,270.13,518168
2015-04-01,269.94,270.91,268.05,269.98,450298
2015-04-02,274.56,274.62,272.29,273.3,542867
2015-04-03,276.66,278.23,276.22,276.39,482440
2015-04-06,280.69,285.5,280.23,280.77,784263
2015-04-07,283.99,285.03,281.86,283.7,521485
2015-04-08,287.81,289.02,287.43,287.57,341441
2015-04-09,281.95,284.44,281.49,283.24,1175247
2015-04-10,278.71,281.34,276.84,280.43,556223
2015-04-13,278.64,278.85,273.06,277.02,347182
2015-04-14,278.94,284.41,276.26,279.43,761262
2015-04-15,284.28,284.54,279.28,281.11,543406
2015-04-16,277.58,280.55,276.69,278.4,431478
2015-04-17,283.79,290.61,280.33,284.0,569066
2015-04-20,277.82,281.71,275.26,278.92,833533
2015-04-21,279.52,282.33,275.56,279.98,340311
2015-04-22,280.05,281.02,276.96,278.89,894770
2015-04-23,275.77,277.62,274.49,276.82,703341
2015-04-24,282.78,283.32,281.03,282.09,398885
2015-04-27,280.06,284.6,275.45,279.02,796522
2015-04-28,278.68,284.47,277.43,279.9,711271
2015-04-29,281.52,286.89,278.76,281.07,1851108
2015-04-30,277.34,281.71,272.55,277.12,539397
2015-05-01,279.64,281.34,277.67,280.53,302582
2015-05-04,285.18,291.27,284.56,286.0,423143
2015-05-05,287.87,289.7,286.43,286.88,483153
2015-05-06,279.95,280.85,278.4,280.01,1451071
2015-05-07,290.36,291.64,284.19,288.84,400959
2015-05-08,289.96,294.96,289.19,291.33,1117587
2015-05-11,288.2,289.05,283.34,288.58,475651
2015-05-12,292.36,294.57,284.34,293.65,672882
2015-05-13,296.52,300.85,288.92,295.94,445547
2015-05-14,299.14,302.83,297.78,297.91,790448
2015-05-15,301.57,305.1,298.14,303.28,449154
2015-05-18,305.96,309.05,302.01,305.9,467536
2015-05-19,309.05,309.71,306.6,308.62,709066
2015-05-20,301.24,303.43,300.62,300.74,361993
2015-05-21,301.41,307.79,296.25,303.54,670618
2015-05-22,306.83,307.57,304.31,306.83,1381001
2015-05-25,305.98,312.68,305.32,308.19,748801
2015-05-26,316.29,321.45,313.73,314.07,713310
2015-05-27,307.16,310.64,300.37,307.83,520663
2015-05-28,310.62,313.67,309.05,309.69,614749
2015-05-29,310.85,310.89,303.7,308.91,447548
2015-06-01,320.57,322.02,314.71,319.92,892150
2015-06-02,324.47,325.72,321.97,324.03,595053
2015-06-03,327.32,331.08,323.8,327.03,522631
2015-06-04,320.76,324.0,319.68,321.34,663268
2015-06-05,314.96,318.34,313.63,316.29,463589
2015-06-08,328.19,329.62,321.72,326.11,738567
2015-06-09,327.62,328.29,326.46,327.96,533260
2015-06-10,330.88,334.63,326.83,330.44,474861
2015-06-11,327.83,331.87,327.78,328.49,670018
2015-06-12,329.51,330.69,329.09,329.21,456104
2015-06-15,322.45,325.93,321.35,323.8,390479
2015-06-16,320.22,325.28,316.81,318.91,989586
2015-06-17,328.01,328.31,325.51,326.38,303024
2015-06-18,321.94,323.16,321.31,322.78,739654
2015-06-19,320.35,325.22,320.01,321.75,648098
2015-06-22,322.27,327.65,320.18,321.63,545607
2015-06-23,321.75,324.72,321.49,321.92,882986
2015-06-24,326.14,328.05,324.39,324.95,533774
2015-06-25,321.01,324.78,319.05,320.74,1113005
2015-06-26,327.93,332.18,321.38,327.33,312720
2015-06-29,322.84,329.36,318.12,325.53,363052
2015-06-30,332.35,334.42,329.23,330.09,533624
2015-07-01,327.73,328.01,326.41,327.27,249546
2015-07-02,329.46,333.47,324.76,330.76,495647
2015-07-03,328.15,328.73,322.17,325.68,962696
2015-07-06,326.2,327.83,321.31,326.72,205759
2015-07-07,325.0,326.91,324.59,325.93,278469
2015-07-08,328.05,333.99,327.0,328.23,1021006
2015-07-09,320.46,321.73,317.8,321.49,637550
2015-07-10,320.77,322.78,316.12,320.97,421724
2015-07-13,313.82,318.15,313.5,315.52,417221
2015-07-14,312.74,317.07,309.43,314.36,704492
2015-07-15,318.3,323.82,317.17,317.28,911319
2015-07-16,312.86,320.84,311.08,314.13,1126018
2015-07-17,319.87,326.06,315.36,319.11,1064018
2015-07-20,318.66,319.32,314.66,317.55,582661
2015-07-21,310.49,316.86,302.52,308.36,453009
2015-07-22,307.72,310.14,306.4,306.73,1136394
2015-07-23,309.04,312.01,303.57,310.13,396901
2015-07-24,311.4,315.23,309.04,309.57,196870
2015-07-27,304.25,306.27,300.67,304.59,388861
2015-07-28,297.35,298.99,292.29,297.2,501523
2015-07-29,290.6,294.68,290.13,291.96,446468
2015-07-30,286.46,291.66,284.42,287.93,416297
2015-07-31,285.7,286.45,282.76,284.36,569434
2015-08-03,285.54,287.82,281.85,284.82,726447
2015-08-04,286.4,291.84,283.77,284.58,693672
2015-08-05,287.62,287.76,287.07,287.66,521615
2015-08-06,287.69,291.84,285.32,286.4,439251
2015-08-07,280.46,285.55,279.15,281.44,290576
2015-08-10,281.43,284.0,277.86,283.25,480041
2015-08-11,285.22,288.24,282.01,285.96,322829
2015-08-12,281.03,281.82,277.32,281.26,622402
2015-08-13,284.28,287.22,283.16,286.32,913055
2015-08-14,289.1,294.12,283.96,287.85,351417
2015-08-17,286.56,296.73,285.04,285.27,757256
2015-08-18,286.52,290.94,280.15,284.49,754447
2015-08-19,284.69,288.51,282.26,284.74,773503
2015-08-20,286.3,286.85,283.89,286.4,351640
2015-08-21,284.46,284.52,281.01,283.84,555152
2015-08-24,289.13,293.56,288.0,289.99,1052395
2015-08-25,293.74,294.04,287.69,293.03,737693
2015-08-26,286.49,289.58,286.4,286.44,413960
2015-08-27,281.81,285.25,279.24,284.18,575576
2015-08-28,283.14,283.22,276.35,282.12,412425
2015-08-31,275.75,278.45,270.97,277.93,1797084
2015-09-01,277.42,279.99,274.48,276.38,403678
2015-09-02,280.28,283.88,277.45,282.88,214635
2015-09-03,285.93,289.13,285.2,285.69,654926
2015-09-04,294.42,295.05,291.59,294.37,531245
2015-09-07,292.06,296.08,290.63,294.03,719582
2015-09-08,296.31,297.2,295.42,297.09,671593
2015-09-09,296.79,303.01,295.36,297.53,168962
2015-09-10,295.53,300.82,291.68,298.15,412155
2015-09-11,309.64,311.04,303.44,308.19,835647
2015-09-14,308.91,309.09,306.18,308.39,453145
2015-09-15,312.82,313.28,310.1,311.94,322576
2015-09-16,307.96,309.66,304.49,308.0,478480
2015-09-17,308.5,309.95,306.14,308.73,604587
2015-09-18,307.77,312.15,304.58,311.02,830178
2015-09-21,310.56,314.07,309.35,310.91,867737
2015-09-22,306.31,308.74,305.2,308.45,624832
2015-09-23,309.44,315.52,307.08,309.62,576549
2015-09-24,319.15,320.34,316.09,318.17,646264
2015-09-25,321.29,322.65,318.79,322.09,681686
2015-09-28,321.59,328.97,315.13,318.41,1239913
2015-09-29,319.63,321.38,319.3,319.8,488351
2015-09-30,318.81,323.69,318.65,319.81,690796
2015-10-01,318.62,320.54,314.72,319.08,678097
2015-10-02,317.15,320.19,311.69,316.26,806170
2015-10-05,314.09,316.72,309.67,312.66,260777
2015-10-06,311.07,312.09,307.05,310.08,1015460
2015-10-07,309.69,310.54,309.22,310.18,475075
2015-10-08,306.94,307.14,303.13,306.58,607963
2015-10-09,311.16,319.46,306.51,313.7,705538
2015-10-12,306.43,307.61,300.97,305.95,508283
2015-10-13,308.67,312.35,306.74,306.83,594778
2015-10-14,303.08,304.28,301.59,303.68,698860
2015-10-15,302.83,308.3,299.55,301.21,509150
2015-10-16,302.76,307.45,296.48,301.28,473725
2015-10-19,297.14,300.51,293.45,295.69,613663
2015-10-20,292.58,298.68,291.52,293.37,583367
2015-10-21,292.83,301.57,290.07,291.8,473262
2015-10-22,295.99,298.0,294.54,297.13,538571
2015-10-23,304.12,306.29,302.02,304.57,923586
2015-10-26,299.45,300.57,298.83,300.3,968952
2015-10-27,303.98,306.78,302.06,304.8,634128
2015-10-28,312.56,315.19,308.84,311.58,1289807
2015-10-29,306.67,307.03,303.58,306.86,423720
2015-10-30,310.26,312.76,307.11,308.02,673868
