Date,Open,High,Low,Close,Volume
2015-01-01,2187.99,2232.17,2179.93,2200.0,335212
2015-01-02,2207.65,2228.37,2165.14,2205.53,386161
2015-01-05,2219.57,2234.52,2213.5,2224.37,554595
2015-01-06,2252.27,2276.39,2249.34,2267.03,438759
2015-01-07,2285.93,2302.11,2282.06,2284.65,991615
2015-01-08,2274.92,2321.95,2259.93,2270.18,982943
2015-01-09,2304.24,2320.99,2297.49,2298.27,506930
2015-01-12,2307.98,2347.35,2292.75,2311.45,477667
2015-01-13,2391.17,2397.26,2346.87,2361.45,1083092
2015-01-14,2411.38,2428.07,2376.59,2402.49,814490
2015-01-15,2343.01,2361.5,2313.63,2350.44,262615
2015-01-16,2358.72,2379.17,2331.72,2369.96,380880
2015-01-19,2367.75,2381.16,2344.24,2373.98,640750
2015-01-20,2385.88,2404.06,2379.42,2381.43,699595
2015-01-21,2363.47,2384.54,2353.75,2378.66,554286
2015-01-22,2345.89,2371.07,2309.99,2329.14,591356
2015-01-23,2344.21,2392.02,2326.17,2354.15,384992
2015-01-26,2365.93,2374.79,2354.07,2362.31,514053
2015-01-27,2336.51,2354.25,2335.52,2340.21,680087
2015-01-28,2303.38,2304.5,2264.59,2298.05,651217
2015-01-29,2288.09,2324.98,2225.68,2288.19,347957
2015-01-30,2282.99,2339.49,2275.72,2289.78,564922
2015-02-02,2256.64,2280.49,2255.58,2263.73,414277
2015-02-03,2277.06,2282.52,2258.78,2278.63,355277
2015-02-04,2236.54,2266.85,2231.52,2249.65,464842
2015-02-05,2250.13,2265.61,2225.54,2244.46,589268
2015-02-06,2198.78,2205.12,2191.61,2200.89,311023
2015-02-09,2155.16,2166.15,2142.51,2151.73,374320
2015-02-10,2148.89,2175.11,2110.57,2153.5,848018
2015-02-11,2109.24,2109.5,2050.98,2097.59,433094
2015-02-12,2122.4,2153.91,2105.68,2106.72,486785
2015-02-13,2084.35,2111.68,2041.83,2071.08,677076
2015-02-16,2093.18,2130.82,2059.77,2078.69,684930
2015-02-17,2070.21,2139.46,2064.53,2085.88,461857
2015-02-18,2055.16,2077.46,2032.74,2059.43,455226
2015-02-19,2092.71,2104.72,2088.87,2091.47,288835
2015-02-20,2070.91,2077.41,2038.69,2072.65,345568
2015-02-23,2115.12,2135.06,2097.78,2128.9,667204
2015-02-24,2093.56,2125.2,2079.37,2094.07,443962
2015-02-25,2100.59,2150.67,2046.74,2079.54,485362
2015-02-26,2105.86,2116.54,2098.09,2113.64,901855
2015-02-27,2128.65,2172.75,2091.44,2135.06,311415
2015-03-02,2104.8,2120.11,2099.54,2102.44,351372
2015-03-03,2165.89,2182.25,2135.18,2176.62,207084
2015-03-04,2137.71,2152.15,2127.93,2141.79,689733
2015-03-05,2125.98,2162.84,2079.63,2121.65,300084
2015-03-06,2104.45,2111.66,2090.26,2103.08,1405742
2015-03-09,2108.33,2122.92,2099.86,2101.54,1571045
2015-03-10,2105.13,2122.23,2098.45,2110.19,552984
2015-03-11,2122.87,2128.24,2104.37,2105.55,521450
2015-03-12,2119.33,2123.73,2111.3,2113.22,347084
2015-03-13,2135.45,2167.17,2128.69,2155.05,651638
2015-03-16,2124.51,2152.93,2104.52,2128.54,725005
