Date,Open,High,Low,Close,Volume
2015-01-01,300.46,304.22,296.17,300.0,409980
2015-01-02,301.61,305.1,297.44,301.88,405749
2015-01-05,301.56,304.18,300.51,301.41,663782
2015-01-06,298.47,302.03,297.55,300.47,661402
2015-01-07,299.79,303.25,295.9,299.27,724126
2015-01-08,298.14,300.09,294.44,297.12,789910
2015-01-09,299.77,300.37,297.02,299.94,444340
2015-01-12,311.42,312.97,307.83,312.44,312927
2015-01-13,315.85,315.97,314.84,315.35,1187900
2015-01-14,315.24,317.34,311.28,315.57,213626
2015-01-15,321.69,326.01,320.4,320.69,488889
2015-01-16,325.52,329.16,322.36,325.5,320399
2015-01-19,319.69,325.71,317.76,322.18,650110
2015-01-20,331.25,336.94,330.52,334.09,421820
2015-01-21,335.38,338.19,332.92,336.25,898364
2015-01-22,327.97,330.09,324.59,327.43,646029
2015-01-23,322.32,327.82,321.93,322.9,1025969
2015-01-26,331.57,333.55,330.82,330.98,617609
2015-01-27,336.0,337.18,334.32,336.81,939706
2015-01-28,334.62,338.45,331.17,332.13,373510
2015-01-29,330.22,331.85,328.75,330.45,829113
2015-01-30,336.81,338.65,329.83,336.48,560409
2015-02-02,338.75,342.03,338.63,339.93,642290
2015-02-03,344.66,348.27,339.8,345.19,872388
2015-02-04,343.29,346.4,339.92,342.68,681155
2015-02-05,343.18,345.33,342.18,343.24,418992
2015-02-06,339.35,345.33,338.61,342.79,471552
2015-02-09,338.45,338.53,333.16,337.84,384807
2015-02-10,336.1,336.29,332.93,335.36,760481
2015-02-11,334.32,336.1,332.19,333.43,492304
2015-02-12,334.6,337.62,332.77,333.27,464858
2015-02-13,327.87,329.95,327.54,327.66,622076
2015-02-16,342.16,342.49,335.98,339.2,568592
2015-02-17,336.57,336.93,334.33,336.28,917667
2015-02-18,328.17,333.83,324.04,330.93,791111
2015-02-19,332.71,333.62,327.57,332.44,750040
2015-02-20,322.36,323.94,318.76,321.05,499789
2015-02-23,320.8,322.42,317.94,322.41,722817
2015-02-24,314.39,316.55,313.12,314.69,687529
2015-02-25,307.12,307.86,305.09,305.77,339961
2015-02-26,305.75,308.84,303.84,306.37,465491
2015-02-27,307.23,308.07,303.96,307.5,483824
2015-03-02,316.53,316.92,310.83,315.63,1032720
2015-03-03,315.48,318.57,310.29,316.95,452200
2015-03-04,316.65,319.15,314.84,316.67,641837
2015-03-05,313.15,314.7,312.67,314.26,901444
2015-03-06,304.56,308.72,304.15,304.86,382820
2015-03-09,305.37,308.33,304.08,305.11,570043
2015-03-10,307.87,311.45,305.38,306.69,1170333
2015-03-11,308.05,311.44,303.81,307.7,276532
2015-03-12,300.92,302.85,292.53,301.54,417939
2015-03-13,304.71,307.64,303.15,303.39,574331
2015-03-16,300.82,302.5,298.12,300.15,597273
2015-03-17,299.93,305.12,297.43,302.05,546309
2015-03-18,307.07,308.77,301.76,306.13,660454
2015-03-19,312.28,317.97,308.79,312.2,912911
2015-03-20,313.06,314.79,307.89,313.09,537828
2015-03-23,317.22,320.46,315.7,315.85,524521
2015-03-24,316.38,317.75,315.94,316.62,674277
2015-03-25,317.37,317.43,315.13,316.34,1171757
2015-03-26,316.32,316.93,313.82,314.86,676482
2015-03-27,315.04,317.03,313.48,314.97,796247
2015-03-30,313.78,316.14,309.82,313.27,282785
2015-03-31,311.62,316.0,307.65,310.84,493362
2015-04-01,312.19,319.07,309.56,311.66,322204
2015-04-02,314.96,316.83,308.89,313.95,538033
2015-04-03,317.04,318.85,314.81,318.24,977110
2015-04-06,323.67,326.36,321.75,324.43,341337
2015-04-07,327.38,329.72,327.15,328.88,1143338
2015-04-08,328.72,330.27,323.93,326.72,554251
2015-04-09,323.08,325.45,320.0,325.05,786101
2015-04-10,327.67,329.81,325.29,326.1,828159
2015-04-13,338.09,339.31,332.66,337.51,1380855
2015-04-14,332.84,334.41,326.77,333.9,724647
2015-04-15,336.8,340.24,335.56,338.36,413833
2015-04-16,336.93,337.5,335.11,336.98,852367
2015-04-17,340.27,343.85,335.61,340.54,201217
2015-04-20,341.81,346.97,337.87,341.32,398418
2015-04-21,331.98,335.59,331.04,334.64,468098
2015-04-22,340.26,344.7,334.71,340.5,257469
2015-04-23,334.25,338.64,332.86,335.31,1146151
2015-04-24,333.68,334.45,329.19,332.14,968759
2015-04-27,334.65,335.23,333.98,334.15,679137
2015-04-28,341.83,344.5,339.49,342.46,907576
2015-04-29,344.6,350.5,342.22,342.83,663710
2015-04-30,340.02,346.3,334.33,340.56,817843
2015-05-01,340.83,343.0,340.01,340.96,944868
2015-05-04,343.72,345.43,340.73,343.39,327791
2015-05-05,344.44,346.54,342.68,343.31,825752
2015-05-06,342.56,342.96,340.95,342.55,902812
2015-05-07,342.09,342.25,338.69,340.33,456590
2015-05-08,336.23,339.25,330.06,336.72,527931
2015-05-11,339.12,344.85,335.27,340.33,429357
2015-05-12,339.42,341.87,335.76,337.47,653050
2015-05-13,337.3,344.01,335.09,337.69,659316
2015-05-14,334.54,337.52,331.72,333.82,622354
2015-05-15,330.05,332.55,325.46,329.13,420730
2015-05-18,330.35,330.87,323.48,327.86,956884
2015-05-19,326.05,327.07,324.65,326.4,436796
2015-05-20,324.9,326.63,322.86,324.28,687340
2015-05-21,323.63,330.08,315.09,324.55,743356
